,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Beds:,Baths:,House size:,Land size:,
1,Single Storey Independent House For Rent In Hokanadara,11 Jul 10:37 pm,"Malabe, Colombo","35,000","Single separate House RentLess than 5min to Athurugiriya highway entrance.The centralized location where you could reach Malabe, Pelawaththa, Thalawathugoda, ect.The secured area with 8 Wall around the land.2 Bedroom, 2 Bathroom (1 indoor and 1 Outdoor), Living and Dining roomLarge kitchen, 1 car park, Back Garden 3 months advance",2,2,"1,500.0 sqft",13.0 perches,
2,"['Single Storey Independent House For Rent In Hokanadara', '11 Jul 10:37 pm', 'Malabe, Colombo', '35,000', 'Single separate House RentLess than 5min to Athurugiriya highway entrance.The centralized location where you could reach Malabe, Pelawaththa, Thalawathugoda, ect.The secured area with 8 Wall around the land.2 Bedroom, 2 Bathroom (1 indoor and 1 Outdoor), Living and Dining roomLarge kitchen, 1 car park, Back Garden 3 months advance', '2', '2', '1,500.0 sqft', '13.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,Brand New Luxury House For Rent At Malabe,27 May  1:25 pm,"Malabe, Colombo","160,000",Full Furnished Brand New Luxury House For Rent At Malabe,"Opal Residence, Sudarshana Mawatha, Malabe",4,5,"3,700.0 sqft",6.0 perches
4,2 Bed Room House for Rent in Malabe Near Sliit,19 Jul  8:15 pm,"Malabe, Colombo","45,000","Two (2) Bed Room House for rent in Royal Prestige Gardens. 2nd Lane Off Vihara Mawatha,Malabe10 Perches, 600 Sqft., Kitchen, Dining, living room and Large Garden, parking for 2-3 vehicles,  Peaceful Environment, Quiet neighborhood, 20 Ft Road.800 Meters to Kandy Road (177 bus route)1.2 Km to SLIIT1.3 Km to Cargill’s Food City2.8 Km to HORIZON Campus2.9 Km to CINEC Campus2.9 Km to Nevil Fernando Hospital3.0 Km to Kaduwela Junction3.8 Km to Malabe JunctionHouse Rent Rs. 45,000/- per month(Negotiable).Please call for Seen on appointment ","Royal Prestige Gardens,2nd Lane Off Vihara Mawatha, near sliit",2,1,"1,100.0 sqft",10.3 perches
5,House for Rent - Malabe,19 Jul 10:10 am,"Malabe, Colombo","35,000",Parking available for two vehicles.close to arangala kells super and food city.1.5km to Athurugiriya highway. Expect six month key money.,"Praja Mawatha, Arangala",2,2,"1,200.0 sqft",10.0 perches
6,House for Rent in - Arangala,18 Jul  6:27 pm,"Malabe, Colombo","55,000",House for rent Arangala Malabe =========================,3,3,"1,905.0 sqft",7.0 perches,
7,House for Rent in - Malabe,18 Jul  3:56 pm,"Malabe, Colombo","35,000","A single story house with 2 bedrooms, one bathroom, living area, dining area and a kitchen is available. Room available for 2 vehicles. Not interested in pets.",2,1,"1,200.0 sqft",15.0 perches,
8,House for rent in Malabe,18 Jul  2:33 pm,"Malabe, Colombo","45,000",Newly refurbished House For a Rent in Malabe. Fully Tiled 3 Bed Rooms and single Barth Room Available. Separate water/Electricity. Car Parking Space Available.100 m to SLIT and new Kandy Road.                     Six Month Advance Neede.,Malabe,3,1,"1,300.0 sqft",20.0 perches
9,House for Rent - Malabe,18 Jul 12:40 pm,"Malabe, Colombo","75,000","A Brand New house for rent/lease. 4 minutes to Aturugiriya Exchange, 9 minutes to SLIIT, 9 minutes to Malabe. 20 minutes to Pannipitiya, 12 minutes to Aturugiriya Town, 3 bedrooms with attached bathrooms,  Kitchen and Pantry, two living rooms, helper’s room with attached bathroom, Wi Fi and TV connection, Telephone, two car garage, small backyard, roller door entrance","1st Lane, Nelum Pedesa, Hokandara North",4,4,"2,100.0 sqft",8.0 perches
10,House For Rent - Malabe,17 Jul 12:46 pm,"Malabe, Colombo","30,000",House rent rent - Malabe - Hokandara east Ground floor gate and wall around the landtiled kitchen with pantry servant toiletcar park250 M Athurugiriya Malabe main rd1 Km Hi way entrance separate electricity and water  3 months advance required,Hokandara East,3,2,"1,300.0 sqft",10.0 perches
11,2 Story House for Rent - Next to Sliit Malabe,16 Jul  1:00 pm,"Malabe, Colombo","65,000","An ideal 2 story house for a family or Boarders. Adjoining the rear entrance of Malabe SLIIT. (Isurupura). 500m from Malabe-Kaduwela main road.  Calm neighborhood with a family community around. 500m to the Foodcity, 1km to the Galle Highway and 2km from Malabe town.",6,5,"3,000.0 sqft",10.0 perches,
12,Malabe - House for rent,16 Jul 11:17 am,"Malabe, Colombo","45,000","01 A/C room , parking for 02 vehicles  , 05 minutes drive to Cinec Campus / 08 minutes drive to SLIIT campus, 05 minutes drive to Horizon School, 15 minutes drive to Battaramulla, 05 minutes to Nevil Fernando  Hospital, Garden & Peaceful Environment , Shops and fast food restaurants in walking distance 50M","Thisara Mawatha, Thalahena, Malabe",2,1,"1,500.0 sqft",8.0 perches
13,Three Bed Room House for Rent - Himbutana,17 Jul  7:27 am,"Malabe, Colombo","45,000",Brand new house 3 bed rooms 2 barthrooms with all facilities,Salmaluyana Hibutana,3,2,"2,000.0 sqft",10.0 perches
