,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,House for Rent Moratuwa, 5 Jul  2:04 pm,"Moratuwa, Colombo","22,000","Upstair Annex for rent Katukurunda, Moratuwa. 600 Sqft One Bed roomKitchenBathroomDinning RoomIdeal for working coupleSeparate entrance & ElectricitySix Months Advance","4, Joseph Place, Katukurunda, Moratuwa",1,1,600.0 sqft,5.0 perches
2,"['House for Rent Moratuwa', ' 5 Jul  2:04 pm', 'Moratuwa, Colombo', '22,000', 'Upstair Annex for rent Katukurunda, Moratuwa. 600 Sqft One Bed roomKitchenBathroomDinning RoomIdeal for working coupleSeparate entrance & ElectricitySix Months Advance', '4, Joseph Place, Katukurunda, Moratuwa', '1', '1', '600.0 sqft', '5.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for Rent in - Moratuwa,19 Jul 12:30 pm,"Moratuwa, Colombo","38,000",House for rent upstairs 2 Bedrooms 2 Bathrooms ( 1 attached ) 100 meters to Galle Road 200 Meters to k-zone 300 meters to university of moratuwa Living room Kitchen with pantry cupboard Separate Water electricity Air condition room Separate entrance Private parking 3 Month Advance Good residential area,87/2 Bandaranayaka Road Katubadda Moratuwa,2,2,"1,250.0 sqft",10.0 perches
4,House for Rent in - Moratuwa,19 Jul 12:30 pm,"Moratuwa, Colombo","38,000",House for rent upstairs 2 Bedrooms 2 Bathrooms ( 1 attached ) 100 meters to Galle Road 200 Meters to k-zone 300 meters to university of moratuwa Living room Kitchen with pantry cupboard Separate Water electricity Air condition room Separate entrance Private parking 3 Month Advance Good residential area,87/2 Bandaranayaka Road Katubadda Moratuwa,2,2,"1,250.0 sqft",10.0 perches
5,Upstair house for rent in Katubedda,20 Jul 12:06 pm,"Moratuwa, Colombo","25,000",Fully furnished. can be rented with or without furniture.,1,1,"2,400.0 sqft",7.0 perches,
6,House for Rent in Moratuwa,17 Jul  7:45 pm,"Moratuwa, Colombo","23,000","House for Rent in MoratuwaLocation - Charles Place - Idama - MoratuwaBedroom 02 / Bathroom 01Living room / Kitchen 200 m to Galle Road Peaceful Good Residential AreaParking Available for small car or three wheelerContact for more detailsRent Rs 23000  මොරටුව කුරුස  හන්දිය , ගාලුපාරට  මීටර් 200 නුදුරින්  ඉතාමත්  වැදගත්  හා නිදහස්  පරිසරයක පිහිටි  නිවසක්  කුලියට දීමට නිදන කාමර  02 සාලය  නාන කාමරය  මුළුතැන්ගෙය  සහිතව කුඩා මෝටර් රථයක් හෝ  ත්‍රී විල්  රථයකට  නැවැවීමේ  පහසුව  මාසික  කුලිය  රුපියල්  23000 වැඩි විස්තර  සදහා අමතනන",Idama  - Moratuwa,2,1,"1,000.0 sqft",3.0 perches
7,House for rent Katubedda,17 Jul  3:46 am,"Moratuwa, Colombo","45,000","Fully furnished house1km to Katubedda junction2 bedrooms ,1 bathrooms , TV lobby , living room ,dinning, kitchen Vehicle parking availableNewly built housePeaceful Environment",2,1,"1,500.0 sqft",14.0 perches,
8,"Upstair House for Rent at Uyana, Moratuwa.",15 Jul 11:24 am,"Moratuwa, Colombo","20,000","Upstair house for rent at Uyana, Moratuwa.",2,1,"1,700.0 sqft",16.0 perches,
9,House for Rent Moratuwa,14 Jul  3:15 pm,"Moratuwa, Colombo","35,000",Two bed roomed upstair unit for rent. 100 yards to Galle road. Brand new house. Car parking and garden available. Separate entrance. 06 month advance required.අලුතෙන් සාදා නිම කල නිවසක ඉහල මහල කුලියට දීමට ඇත ගාලු පාරට මීටර් 100 වාහන නැවතුම් පහසුකම් ඇත.,2,1,"2,300.0 sqft",30.0 perches,
10,Complete House For Rent In Moratuwa,12 Jul  9:00 pm,"Moratuwa, Colombo","35,000",Complete house available for rent.,"28/17A, Thilaka Road, Kaduruduwa Gorakana, Moratuwa",3,2,"2,000.0 sqft",10.0 perches
11,3 Bedroom House for Rent Moratuwa,12 Jul  2:45 pm,"Moratuwa, Colombo","35,000","3 Bedroom House for rent in Moratuwa.Two bathrooms, one outside.Partially tiled Good and peaceful neighborhood.1.2 km from Galle Road.Bus services available Could arrange for visiting on Sundays.Please call prior for appointments","276/3A, Sri Rahula Mawatta, Katubedda, Moratuwa",3,2,"1,000.0 sqft",6.0 perches
12,House for rent Katubeddha,12 Jul  7:49 pm,"Moratuwa, Colombo","60,000","350 m for Katubeddha  junctionHalf km to katubeddha university3 bedrooms  ,2 bathrooms , TV lobby , living room ,kitchen open verandah in roof top ,Vehicle parking space : 1Remote and roller shutter Newly built 3 store house","21/3, Bandaranayake mawatha, Katubeddha, Moratuwa.",3,2,"2,200.0 sqft",5.5 perches
13,House for Rent in Moratuwa,12 Jul  2:53 pm,"Moratuwa, Colombo","15,000",House for Rent in Moratuwa - Katubedda Location - De mel road - Laxapathiya Bedroom  01 /  Living room  ( Up stair )Bathroom 01 / Kitchen  ( Ground Floor )Separate Entrance / Electricity / WaterParking Available Looking for Working Couple  or  2 People100m to Galle Road  Facing De mal road Walking Distance to all Banks / Super MarketRent Rs 15000  ( 03 month advance ),Demel Road - Laxasapathiya - Katubedda -  Moratuwa,1,1,800.0 sqft,6.0 perches
14,House for Rent in Moratuwa,13 Jul  3:14 pm,"Moratuwa, Colombo","38,000",Two Storied House for Rent In Katubedda  - MoratuwaLocation - De Zoysa Road - Katubedda - MoratuwaGood Residential  LocationLand 8 perch /  House 1800 sq ft  03  Bedrooms   03  Bathrooms Fully Tiled  /  Timber Celing Over Head Water Tank Servant BathroomParking Two Vehicles Boundary wall and Gate Walking Distance to University Rent Rs 38000 (  Five months advance ) For a couple ground floor alone consideredContact for more details,De Zoysa Road  - Moratuwa,3,3,"1,800.0 sqft",8.0 perches
15,House For Rent in Moratuwa | Uyana,11 Jul  2:48 pm,"Moratuwa, Colombo","32,000",House For Rent in Moratuwa | Uyana,Moratuwa | Uyana,3,1,"1,800.0 sqft",15.0 perches
16,House for Rent Moratuwa,12 Jul  2:32 pm,"Moratuwa, Colombo","28,000","මොරටුව ටවුමට ඉතාමත් ආසන්නව දුම්රියපොළට, බස් නැවතුම්පොලට, සුපර්මාර්කට්, බැංකු, ප්‍රසිද්ධ පාසල් වලට නුදුරින් කාමර 2ක යාබද නාන කාමරය සහිත සම්පුර්ණ ටයිල් LED Light , ජල විදුලිය වෙනමම, පිහිටි  නිවස කුලියට දීමට ඇත. මාස 6 ක අත්තිකාරම්.",Moratuwa,2,1,"1,500.0 sqft",8.0 perches
17,House for Rent Katubedda,11 Jul  1:52 pm,"Moratuwa, Colombo","30,000",කටුබැද්ද විශ්ව විද්‍යාලය ආසන්නව කාමර 3ක දෙමහල් නිවසක් කුලියට. යුවලකට වඩාත් සුදුසුයි.,"Katubedda ,Moratuwa",3,1,"1,200.0 sqft",8.0 perches
18,House for rent - Moratuwa, 8 Jul  2:10 pm,"Moratuwa, Colombo","45,000",Upstair House for Rent 04 Bed rooms 03 attached bathrooms TELEPHONE PEO TV Internet Remote access 45000,4,3,"4,500.0 sqft",12.0 perches,
19,House for Rent - Moratuwa, 6 Jul  8:25 pm,"Moratuwa, Colombo","13,000",Newly built house. Very close to masjid (jummah masjid),madagissa road horethuduwa,2,1,800.0 sqft,3.5 perches
20,House for Rent in - Rawathawatta, 6 Jul  1:35 pm,"Moratuwa, Colombo","14,000",Small Annex with One Bed Room One Toilet with Separate Water and Lights Just 500 Meters from Galle Road Rawathawatta Suitable for A Couple or A Female Individual.,1,1,500.0 sqft,10.0 perches,
21,"Upper Floor (Brand New) of House for Rent at Katubedda, Moratuwa", 7 Jul 12:48 pm,"Moratuwa, Colombo","38,000","Upper Floor (Brand New) of house for Rent at Laxapathiya Road via De Mel Road, Katubedda, Moratuwa. Separate Entrance. Located in a very Good neighborhood with Privacy and all facilities nearby. 1 Km to Galle Road,1.5 k m.to University of Moratuwa,and close to Katubedda junction. Also, walking distance to Angulana Railway Station.- 3 Bed rooms- 2 Bath rooms- Living & Dining area- Pantry-Two Large balcony (front and back)- Timber ceiling- Access to Large Roof Deck Partly Covered with Pitch Roof- Mainline Water with Water Storage Tank","Katubedda, Moratuwa - 1 Km to Galle Road",3,2,"1,500.0 sqft",10.0 perches
22,House for rent in Moratuwa, 5 Jul  4:43 pm,"Moratuwa, Colombo","25,000","Welcome,Ideal for a working couple.Separate Entrance. More Spaces.",2,1,"2,000.0 sqft",8.0 perches,
23,House for Rent in Moratuwa, 5 Jul  2:14 pm,"Moratuwa, Colombo","38,000",House for rent in katubedda - moratuwa1st Floor Bedrooms 02 / Bathroom 01Living / dining / Kitchen with PantryShort walk to Galle Road / Banks / Super market Separate Water & Electricitysix months Deposit ( 06 )Rent Rs 38000 Contact for more details,Angulana station Road  -  Katubedda,2,1,"1,900.0 sqft",10.0 perches
24,House for Rent - Moratuwa,17 Jul 12:19 pm,"Moratuwa, Colombo","26,000",Houses for rent in Koralawella5 minutes to the Moratuwa town- Seperate water and electricity- Fully tiled- with a Garadge,2,1,"1,700.0 sqft",6.0 perches,
25,House for Rent - Rawathawatte Moratuwa, 4 Jul  1:01 pm,"Moratuwa, Colombo","20,000","Two bed roomed house in a residential area with spacious living room,  kitchen and washroom available. 250 meters to Rawatawatte Junction and Galle Road. More suitable for a couple. Six months advance required.","No 64/1, De Soysa Road, Rawathawatte, Morat",2,1,800.0 sqft,10.0 perches
26,House for Rent Moratuwa, 9 Jul  8:52 am,"Moratuwa, Colombo","45,000","A Brand-new, Bungalow style, 1300 Sqft house for rent near Moratuwa University.",200 meters to University of Moratuwa,1,2,"1,300.0 sqft",8.0 perches
27,Upstair House for Rent Moratuwa,29 Jun 12:24 pm,"Moratuwa, Colombo","25,000",Moratuwa Koralawella 2 Bed Roomed Upstair House for Rent.BalconyLiving RoomKitchen WashroomSuitable for couple. 6 months advance,"119/2, Koralawella Road, Moratuwa",2,1,"1,400.0 sqft",6.5 perches
28,House for Rent in Moratuwa,29 Jun 12:02 pm,"Moratuwa, Colombo","27,000","House for Rent in Puwakaramba  - MoratuwaNewly Constructed Modern House Rent for Up Stair  - Separate Entrance Bedrooms 02 / Complete Bath Room Living / Dining /  Kitchen  & Roof Top areaParking Available Peaceful Environment Separate Water & Electricity 1 km to  Galle Road - Rawathawattha 1 km to Moratuwa  UniversityRent Rs 27,000 Contact for  more details",Puwakaramba - Moratuwa,2,1,"1,200.0 sqft",12.0 perches
29,House for Rent in - Moratuwa,19 Jul 12:30 pm,"Moratuwa, Colombo","38,000",House for rent upstairs 2 Bedrooms 2 Bathrooms ( 1 attached ) 100 meters to Galle Road 200 Meters to k-zone 300 meters to university of moratuwa Living room Kitchen with pantry cupboard Separate Water electricity Air condition room Separate entrance Private parking 3 Month Advance Good residential area,87/2 Bandaranayaka Road Katubadda Moratuwa,2,2,"1,250.0 sqft",10.0 perches
30,House for Rent Moratuwa, 5 Jul  2:04 pm,"Moratuwa, Colombo","22,000","Upstair Annex for rent Katukurunda, Moratuwa. 600 Sqft One Bed roomKitchenBathroomDinning RoomIdeal for working coupleSeparate entrance & ElectricitySix Months Advance","4, Joseph Place, Katukurunda, Moratuwa",1,1,600.0 sqft,5.0 perches
31,House for Rent in - Moratuwa, 4 Jul 12:41 pm,"Moratuwa, Colombo","40,000","House for Rent in Rawathawattha - Moratuwa Two Story House Bedrooms 04 / Bathroom 03 ( Separate Servant Bath )Living / Dining / Kitchen  Separate Water & Electricity Slt Line with Peo Tv100 M  from Galle Road Location - Holy Emanual Church Road ( Opposite Princess of Wales College )150 M to  Prince of Wales College Rent Rs 40,000",Holy Emanual Church Road - Rawathawattha - Moratuwa,4,3,"1,200.0 sqft",5.0 perches
32,Brand New Furnished House for Rent - Moratuwa, 4 Jul 10:45 am,"Moratuwa, Colombo","40,000","A modern fully furnished single bedroom house with parking facilities. The house is fully air conditioned with a gourmet kitchen, hot water facilities and a spacious bedroom and living areas.",31 Holy Cross Avenue Moratuwa,1,1,"2,400.0 sqft",10.0 perches
33,House for Rent - Moratuwa,28 Jun 12:04 am,"Moratuwa, Colombo","30,000",Very good house for a family. just 4.5 KM from Moratuwa and 5 KM to Panadura.,"Parakrama Mawatha, Paratta road, keselwatta",4,2,"2,400.0 sqft",67.0 perches
34,Modern House for Rent in Katubada, 6 Jul 10:53 am,"Moratuwa, Colombo","68,000","Two storied modern Hose ,Fully tiled ,1.2Km form the Galle Road , 150m to the railway station , Parking for 2 vehicles , remote gate ,01 AC room with attached bathrooms ,CCTV Facility, Spacious Living & dinning area . No brokers PlsPls contact for more details .",De Mel Road Katubada,4,3,"3,800.0 sqft",10.0 perches
35,House for Rent Moratuwa,26 Jun  1:56 pm,"Moratuwa, Colombo","22,000","Attach bathroom,parking availabale,behind university of moratuwa","johnrodrigo mawatha,katubedda,moratuwa",1,1,"1,000.0 sqft",4.0 perches
36,House for Rent in Moratuwa,23 Jun 12:22 pm,"Moratuwa, Colombo","25,000",House for Rent in MoratuwaLocation - Polkotuwa Mawatha - RawathawatthaGround Floor  Bedrooms 02 / Bathroom 01Living / Dining / KitchenParking AvailableWalking Distance to Galle Road Good Residential AreaRent Rs 25000 ( 06 month advance ),Polkotuwa Mawatha - Rawathawattha - Moratuwa,2,1,"1,200.0 sqft",10.0 perches
37,2 Bedroom house for Rent in Moratuwa, 7 Jul  9:09 pm,"Moratuwa, Colombo","35,000","-	2 parking space-	Separate entrance-	2 average size bedrooms-	1 bathroom-	Spacious living room & kitchen.-	600 m from Galle road.-	Situated in Golumadama Junction-	Furniture includes,King sized double bed1 single bed3-piece AlmiraSofa setDinner tableCoffee table","Golumadama Junction, Moratuwa.",2,1,"2,000.0 sqft",10.0 perches
38,Brandnew House - Moratuwa,22 Jun 10:19 am,"Moratuwa, Colombo","35,000",New house for rent-katubeda near campus,3,2,"1,400.0 sqft",6.0 perches,
39,House for Rent - Moratuwa,22 Jun  9:28 am,"Moratuwa, Colombo","23,000","Living, Dining, two rooms, pantry and attached bathroom.Separate entrance and utility bills.Looking for a couple or two girls.",near moratuwa town,2,1,"1,250.0 sqft",8.0 perches
40,House for Rent Moratuwa, 5 Jul  2:04 pm,"Moratuwa, Colombo","22,000","Upstair Annex for rent Katukurunda, Moratuwa. 600 Sqft One Bed roomKitchenBathroomDinning RoomIdeal for working coupleSeparate entrance & ElectricitySix Months Advance","4, Joseph Place, Katukurunda, Moratuwa",1,1,600.0 sqft,5.0 perches
41,Soysapura 3 bed rooms house Moratuwa,21 Jun 12:01 pm,"Moratuwa, Colombo","30,000","Soysapura Mirage scheme 3 bed rooms house for rent. Maintained well, decent neighbour hood, good for family, or working crowd.",Mirage house Soysapura,3,1,"1,000.0 sqft",5.0 perches
42,House for Rent in Moratuwa,20 Jun  7:21 pm,"Moratuwa, Colombo","20,000",House for Rent in Moratuwa - Horethuduwa1st FloorBedrooms  02 / Bathroom  01With all other facilitiesSeparate Entrance & Electricity Rent Rs 20000contact for more details,Horethuduwa  - Moratuwa,2,1,"1,500.0 sqft",10.0 perches
43,House for Rent Katubedda,22 Jun 10:06 am,"Moratuwa, Colombo","24,000","House for rent with 2 bedrooms, living room, dining, pantry,  bathroom and a garage. Fully tiled, separate water and light.",Katubedda,2,1,"1,100.0 sqft",10.0 perches
44,House for Rent- Moratuwa-Katubedda,20 Jun  3:57 pm,"Moratuwa, Colombo","27,000","A separate House is offered on rent, in a highly residential area, with excellent surroundings. About 600m to Galle Road/Katubedda Junction. House is in Thuduwammulla Road. The house has the following facilities,* 2 small Bedrooms and one large with attached bathroom* 2 Bathrooms inside the house (one attached and one common)* Living Room with ceiling fan.* Pantry without Cupboards* Car park 1* Parapet Wall around the house* Electricity - Two electricity supplies",2,2,900.0 sqft,6.0 perches,
45,House For Rent Moratuwa. Close To Lyceum Panadura, 5 Jul  2:47 am,"Moratuwa, Colombo","25,000","!!~~Upper floor only~~!!# 2 Bed Rooms# 1 Bath Room# Tiled Kitchen # Big Living Area# Dinning Area# Balcony Space over looking front Garden# Metal Roller Gate #150m from closest bus stop, New Galle Road#Close to New bridge#600m from Lyceum Panadura#700m from Keels Super# 2.2Km to Panadura Town# 5 mins drive to Panadura Base Hospital","234/2 Sama Pedesa, Egodauyana, Moratuwa",2,1,"1,500.0 sqft",13.0 perches
46,"House for rent at Rahula Road, Thelawala", 3 Jul 12:44 pm,"Moratuwa, Colombo","18,000","Separate newly  repaired house, one bed room, one living room, kitchen with pantry, attached bathroom & separate toilet & bath room, separate water & electricity, house is fully tiled, parking for 2 vehicles, 1.3km from Galle Road, close to KDU & Moratuwa University.very calm environment. only giving to newly married couple or small family since only one room is available.","Moratuwa, Katubedda",1,1,"1,000.0 sqft",20.0 perches
47,House for Rent - Moratuwa,15 Jun  4:51 pm,"Moratuwa, Colombo","16,000","Fully furnished house for rent for 01 year From Mid October 2019-Mid October 2020Rent-Rs.16,000/= per month. Close to Lunawa Station,Bus Stand,Hospital,School","3/3, Luvi Kumari Mawatha, Uyana, Moratuwa.",1,1,600.0 sqft,6.0 perches
48,Two Bed Room House to Rent in Moratuwa,17 Jun  1:24 pm,"Moratuwa, Colombo","26,000","Two bed room, tiled up stair house with pantry, bathroom, living & passage in Rawatawatta, Moratuwa. A highly residential area and very close to Galle Road. Preferably for a couple. Monthly rent 26,000/- with 06 months advance.",2,1,"1,800.0 sqft",10.0 perches,
49,House for Rent - Moratuwa,13 Jun  4:22 pm,"Moratuwa, Colombo","250,000",Sureagas joinshionNear s.. Petters church142 bus routeAntique houseGood for restaurant or office15 veachiles parkingSix months advance,koralavalla,4,2,"4,000.0 sqft",60.0 perches
50,House for Rent in - Moratuwa,10 Jun  2:20 pm,"Moratuwa, Colombo","45,000","Moratuwa Uyana close to St.Sebastian CollageNear the Carlton ClubNewly buit house Ground floor & First floor for rentSeparate Entrance & vehicle parkingsSeparate Electricity & Water2 Bed rooms and  2 Bath Rooms for ground floor3 Bed rooms and 2 bath rooms for 1st FloorWith furniture or without furnitureRs.45,000/= each floor (Negotiable)6 months advance","23B, C.S.A.Perera Mw, Uyana, Moratuwa (Close to St.Sebastian Collage)",5,4,"2,000.0 sqft",12.0 perches
51,House for Rent Moratuwa,10 Jun 10:15 am,"Moratuwa, Colombo","28,000","මොරටුව කොරලවැල්ල ශ්‍රියා  පෙදෙසේ කාමර 3 ක් යාබද නාන කාමර 2ක් විශාල විසිත්ත කාමරයක්, කෑම කාමරයක්, පැන්ට්‍රිය  සහිත කුස්සිය, වාහන නැවැත්වීමේ පහසුකම් සහිත සම්පුර්ණ ටයිල් කරනලද දෙමහල් නිවසක පහත මහල කුලියට දීමට ඇත. CCTV කැමරා සහිතයි. වටේට තාප්පය ඇත. කුඩා පවුලක් නම් මිල ගණන් සාකච්චා කරගත හැක,","15/10, Sriya Place, Koralawella, Moratuwa",3,2,"2,000.0 sqft",21.0 perches
52,Rent for House in Katubedda Town, 9 Jun  7:25 pm,"Moratuwa, Colombo","25,000","මොරටුව කටුබැද්ද මංසන්ධියට 500 m පමණ නුදුරින් පිහිටි ටයිල් අල්ලන ලද කාමර 02, බාත්රෑම් 01, කුස්සිය හා සාලයෙන් යුතු නිවසක් කුලියට දීමට ඇත. මාස 04 ක අත්තිකාරම් මුදලක් ගනු ලබන අතර මාසික ගාස්තුව රැපි.25000/= කි.",Katubedda,2,1,"1,200.0 sqft",8.0 perches
