,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,House for Rent in Mount Lavinia,18 Jul  7:10 pm,"Mount Lavinia, Colombo","45,000","03 Story Fully Renovated House 400m to Galle Road, as 01 Units (02 Electricity & 02 Water Meters)","No. 54/13A, Charls Collonne Place, Templers Road, Mount Lavinia",5,2,"3,000.0 sqft",6.0 perches
2,"['House for Rent in Mount Lavinia', '18 Jul  7:10 pm', 'Mount Lavinia, Colombo', '45,000', '03 Story Fully Renovated House 400m to Galle Road, as 01 Units (02 Electricity & 02 Water Meters)', 'No. 54/13A, Charls Collonne Place, Templers Road, Mount Lavinia', '5', '2', '3,000.0 sqft', '6.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,Private House For Rent In Mt Lavinia,19 Jul 12:03 pm,"Mount Lavinia, Colombo","45,000",02 Story House for rent for Executive Boy's | Couple | Ladies. Can use as a Company Accommodations Too.,"Samudrasanna Road, Mount Lavinia",2,2,850.0 sqft,3.0 perches
4,House for Rent in Mount Lavinia,18 Jul  7:10 pm,"Mount Lavinia, Colombo","45,000","03 Story Fully Renovated House 400m to Galle Road, as 01 Units (02 Electricity & 02 Water Meters)","No. 54/13A, Charls Collonne Place, Templers Road, Mount Lavinia",5,2,"3,000.0 sqft",6.0 perches
5,Ground Floor House for Rent - Mount Lavinia.,20 Jul 12:43 pm,"Mount Lavinia, Colombo","45,000",⛔ Please note that this ad is posted by an agent ( broker ) and half-month rent will be charged as service charges:,Mount Lavinia,3,2,"1,200.0 sqft",15.0 perches
6,House for Rent in Mount Lavinia,17 Jul  8:59 am,"Mount Lavinia, Colombo","80,000","*** NO BROKERS*** Luxury Unfurnished House*** 3 Bedroom with 2 air condition *** 3 Bathroom ( 2 attach and 1 common bathroom )*** Walking distance from Galle road*** Nearby Masjid, Supermarkets, Schools, Resturants, etc...*** Suitable for Maldivians' *** 4-month refundable deposit*** Half Month Agent Fee",Mount Lavinia - Watrapola road,3,3,"2,400.0 sqft",6.5 perches
7,Fully Furnished 2 Storey modern House Rent - Mt Lavinia,20 Jul  8:28 am,"Mount Lavinia, Colombo","115,000","4 bedroom 4 bathroom one attach two common 1 servant, hall large kitchen full tiled 2 story  fully furnished very close to galle road garden area parking for 3 vehicles, 6 month advance agent free half month",Taksinarama road Mt Lavinia,4,4,"2,500.0 sqft",8.0 perches
8,New House For Rent In Mt Lavinia,20 Jul  8:12 am,"Mount Lavinia, Colombo","52,000",3 bedroom 2 bathroom and attached one common hall kitchen fully tiled Pantry no car park close to Galle road six month advance agent fee half month,Peiris road Mt Lavinia,3,2,"1,250.0 sqft",7.0 perches
9,House for Rent - Mount Lavinia,19 Jul  9:15 pm,"Mount Lavinia, Colombo","300,000",House for rent 7 bedrooms 5 bathrooms 6000 sqft 20 vehicles car parking galle road facing monthly rent 300000 advance 6 month half month broker fees please no brokers,galle road mount lavinia,7,5,"6,000.0 sqft",38.0 perches
