,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,Two Bedroom House for Rent - Nugegoda,30 Jun 12:13 pm,"Nugegoda, Colombo","45,000","TWO  BEDROOM  GROUND FLOOR  SEPARATE HOUSE WITH LIVING ROOM , PANTRY AND BATH ROOM  FULLY  TILED  SEPARATE ELECTRICITY AND WATER METERS  PARKING AVAILABLE  NEAR TO NUGEGODA TOWN, 400 METERS TO HIGHLEVEL ROAD, (138, 120 AND 117 BUS ROUTES) VERY CLOSE TO 7 MILE POST AND GANSABA JUNCTION, SECURITY ALARM SYSTEM AND CAMERA SYSTEM WAS FIXED, THERE IS A SMALL GARDEN, PEACEFUL PLACE FOR SMALL FAMILY, WORKING GIRLS AND BOYS .",8/1 5 th LANE  JAMBUGASMULLA  MAWATHA  NUGEGODA,2,1,"1,000.0 sqft",13.0 perches
2,"['Two Bedroom House for Rent - Nugegoda', '30 Jun 12:13 pm', 'Nugegoda, Colombo', '45,000', 'TWO  BEDROOM  GROUND FLOOR  SEPARATE HOUSE WITH LIVING ROOM , PANTRY AND BATH ROOM  FULLY  TILED  SEPARATE ELECTRICITY AND WATER METERS  PARKING AVAILABLE  NEAR TO NUGEGODA TOWN, 400 METERS TO HIGHLEVEL ROAD, (138, 120 AND 117 BUS ROUTES) VERY CLOSE TO 7 MILE POST AND GANSABA JUNCTION, SECURITY ALARM SYSTEM AND CAMERA SYSTEM WAS FIXED, THERE IS A SMALL GARDEN, PEACEFUL PLACE FOR SMALL FAMILY, WORKING GIRLS AND BOYS .', '8/1 5 th LANE  JAMBUGASMULLA  MAWATHA  NUGEGODA', '2', '1', '1,000.0 sqft', '13.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for Rent - Nugegoda,10 Jul  7:04 am,"Nugegoda, Colombo","125,000","A new four bedroom house for rent. Three bathrooms, servants room and bathroom.Roof top. Parallel parking for two vehicles.100m from Jubilee Post junction.Three supermarkets in walking distance.","3/3, 3rd Cross Street, Jayamangala Mawatha, Pagoda, Nugegoda",4,3,"3,000.0 sqft",10.0 perches
4,Ground Floor for Rent Delkanda,20 Jul  2:25 pm,"Nugegoda, Colombo","45,000",⛔ Please note that this ad is posted by an agent ( broker ) and half-month rent will be charged as service charges:,Delkanda,2,2,900.0 sqft,10.0 perches
5,3 Bed Room House For Rent In Udahamulla Nugegoda,20 Jul 11:54 am,"Nugegoda, Colombo","55,000",-3 bed rooms with attached Bathrooms with Hot Water Facility.-Fully tiled-Parking for 2 cars-Servant facilities-5 minutes to Sri Jayawardanapura Hospital-Walking Distance to the Main Road and all major outlets(Food City/Post Office).-Peaceful and Secure Neighborhood.,"58/7B 3rd Lane, Kumbukgaha Pokuna Road Udahmulla",3,3,4.0 sqft,8.0 perches
6,නුගේගොඩ ජම්බුගස්මුල්ල මාවතේ නිවස කුලියට දීමට ඇත,20 Jul 12:12 pm,"Nugegoda, Colombo","60,000","නුගේගොඩ ජම්බුගස්මුල්ල මාවතේ දෙමහල් නිවසේ යට තට්ටුව  කුලියට දීමට ඇත .කාමර 3 ,බත් රූම් 2,මුළු නිවසම ට්යිල්ඩ් ,සියලු පහසුකම් ඇත .වාහන නැවත්වීමට ඉඩ ඇත .වටේටම තාප්ප ගේට්ටු දමා ඇත පාසල් සුපෙර්මර්කට් බැංකු ආසන්නව පිහිටා ඇත හයිලෙවෙල් පාරට මීටර් 150..ගන්සබා හන්දියට මීටර් 100 මාසික කුලිය 60/-..advance 6 months..බ්‍රෝකර්වරු අනවශ්‍යයි ",නුගේගොඩ ජම්බුගස්මුල්ල මාවත,3,2,"2,300.0 sqft",12.0 perches
7,Luxury Modern New House for rent,18 Jul  1:39 pm,"Nugegoda, Colombo","70,000","Very close by sri Jayawardana University, two story new house. Ground floor 3 bedrooms 2 bathrooms 1 servant room 1 servant bathroom Big living aeriya Pantry Fully tile Carpark, garden, roladoor 70000/- per month 1 FLOOR 3 bedrooms 2 bathroomsLiving aeriya Pantry Big bloconyBig rooftop at 2 floor (open to sky) Fully tile Carpark, roladoor, 70000/- per month Ther has to units. E.C. , water. Telphone. Separately 6 month advance",wejerama,4,3,"2,600.0 sqft",10.0 perches
8,Two Story Modern House for Rent Nugegoda,20 Jul  8:22 am,"Nugegoda, Colombo","175,000",Two story modern house Recidence office and business Bedroom 5Bathroom 43 Ac2 attached bedroomSitting and dinning Pantry and kitchen Servants bathroom and room Balcony Roof topGarden Roller door 2 vehicles parking Hot water solar20 feet road placing Kohuwala junction 300 metresBank and super market and international school Dehiwala city 2kmRs.1750006 months advance Contact agent laksiri,Nugegoda kohuwala Wijemangalarama road,5,4,"3,000.0 sqft",13.0 perches
9,Single storied house in Nugegoda,20 Jul  5:57 am,"Nugegoda, Colombo","55,000",🔴REF NO-- JU698,Nugegoda    Embuldeniya,3,2,"1,500.0 sqft",12.0 perches
10,1 st Floor House for Rent Main Road Nugegoda Junction,20 Jul 11:16 am,"Nugegoda, Colombo","70,000",1 st floor House For Rent Main Road Nugegoda junction ,500meters to Nugegoda junction,3,3,"2,100.0 sqft",10.0 perches
11,House for Rent - Nugegoda,20 Jul 11:38 am,"Nugegoda, Colombo","60,000",House For rent in Nugegoda=====================,4,2,"2,721.0 sqft",11.0 perches,
12,House for Rent in Nugegoda (1070 B/1 ),19 Jul  2:16 pm,"Nugegoda, Colombo","80,000",Two story house  Five bedrooms with three bathrooms1500 sqft08 perch land( One land with two houses. one house is available ),JUMBUGASMULLA MAWATHA,5,3,"1,500.0 sqft",8.0 perches
13,Up Floor House for Rent in Delkanda,19 Jul  3:15 pm,"Nugegoda, Colombo","40,000",Up floor for rent in DelkandaSeparate entranceSeparate Water / Electricity bills All facilities are available,2,1,"1,900.0 sqft",7.0 perches,
14,House for Rent in Delkanda,19 Jul  1:17 pm,"Nugegoda, Colombo","40,000",New HouseNear To Nugegoda and Maharagama,2,1,"1,200.0 sqft",10.0 perches,
15,Two Story House for Rent - Nugegoda,18 Jul  6:41 pm,"Nugegoda, Colombo","140,000",Two story house  Office bussiness and recidence Bedroom 5Bathroom 42 Ac2 attached roomsSitting and dinning Pantry 2 vehicles parking Private road BalconyNugegoda city 300 metresBank and super market and international school Rs.1400006 months advance Contact agent laksiri,Nugegoda Chapel road,5,4,"2,500.0 sqft",10.0 perches
16,Single Story Brand New House Nugegoda,18 Jul  6:23 pm,"Nugegoda, Colombo","150,000",single story brand new house Recidence office and business Bedroom 5Bathroom 3Sitting and dinning Master bedroom attached 10 perchers garden Double gateGarage 2 vehicles parking Servants bathroom and room 10 vehicles parking facilities 20 feet road placing Nugegoda city 1.5km Rs.1500006 months advance Contact agent laksiri,Nugegoda Pagoda road 1st cross street,5,3,"2,500.0 sqft",18.5 perches
17,Two Story Modern House for Rent Nugegoda,18 Jul  6:18 pm,"Nugegoda, Colombo","125,000",story modern house for rent nugegoda Bedroom 4Bathroom 3,Nugegoda Jayamangala mawatha,4,3,"3,000.0 sqft",10.0 perches
18,Up Stair House for Rent - Nugegoda,18 Jul 12:04 pm,"Nugegoda, Colombo","45,000","This beautifully designed unique house is available for sale in a prominent residential area in Mirihana,Nugegoda. The property is built on 8.5 perches and offers 1100 sq.ft of living space spread over 2 floors with a  roof top floor. The property consists of 2 bed rooms,equipped bathroom,2 kitchen areas in inside and outside and with a  large living area with balconies. The floor is tiled and have separate electicity and water powers.Perfect for a couple.",2,1,"1,100.0 sqft",8.5 perches,
19,Newly Built House For Lease Mirihana Nugegoda,20 Jul 11:40 am,"Nugegoda, Colombo","115,000","Recently built, 4 Bed Room, 3 Bath, with large sitting and dining area, panty, kitchen, maid's room and toilet, small garden overlooking sitting room, large rooftop fully tiled and double garage. 20 feet access road.A/C, Solar power, water tank.  Centrally located with different access roads to Nugegoda, Borella, Parliament Road",Mirihana Nugegoda,4,3,"2,700.0 sqft",10.0 perches
20,නුගේගොඩ සෝමා තලගල මාවතේ දෙමහල් නිවස කුලියට දීමට ඇත,18 Jul  8:55 am,"Nugegoda, Colombo","70,000","නුගේගොඩ දෙල්කඳ සෝම තලගල මාවතේ දෙමහල් නිවස කුලියට දීමට ඇත.කාමර 4 බත් රූම් 3 ,යට තට්ටුවේ 1 කාමරයයි බත් රූම් එකයි  සාලයයි ,කුස්සියයි ,උඩ තට්ටුවේ කාමර 3යි ,බාත්රූම් 2යි ...නිස්කලංක පරිසරයක පිහිටි නිවස සියලු පහසුකම් සහිතයි .වාහනයක් නැවත්වීමට ගරාජයක් ඇත .වටේටම තාප්පය සහිත රිමොටේ රෝලෙර් ඩොර් එකක් දමා ඇත .හයිලෙවෙල් පාරට මීටර් 400. මාසික කුලිය 70/- අත්තිකාරම් මාස 6යි.බ්‍රෝකර්වරු අනවශ්‍යයි ..",නුගේගොඩ දෙල්කඳ සෝම තලගල මාවතේ දෙමහල් නිවස කුලියට දීමට ඇත,4,3,"2,400.0 sqft",12.0 perches
21,Luxury House for Rent - Delkanda,18 Jul 12:37 am,"Nugegoda, Colombo","110,000",Brand new condition All the 5 bathrooms are attached Fully tiledA/CGarden Garage Servant bedroom and servant bathroom 6 months advance,5,5,"4,000.0 sqft",10.0 perches,
22,House for Rent in Pitakotte,17 Jul  7:32 pm,"Nugegoda, Colombo","50,000","A 4bedroom house with living room, pantry, 2bathrooms with parking facilities.","3B, Quarry Lane, Pitakotte.",4,2,"2,000.0 sqft",10.0 perches
23,HR209 – 05 BR Serene House for rent in Beddagana,17 Jul  4:01 pm,"Nugegoda, Colombo","190,000","This serene house built on a 15perch land will make an ideal home for a family with children or for professionals. Located in a highly residential and peaceful neighbourhood of Beddagana, the house consists of 05 bedrooms and 03 bathrooms and has a courtyard and a beautiful garden. There are air-conditioned rooms, hot water in the bathrooms and maid’s quarters.",5,3,"3,500.0 sqft",15.0 perches,
24,HR208 - Beautiful House for Rent in Gamsabha Junction,17 Jul  2:40 pm,"Nugegoda, Colombo","150,000","Welcoming ambience and the attractive structure of this house makes it an ideal investment for someone looking for a family home in a serene neighborhood. Despite situated in walking distance to high-level road and number of amenities, the property boasts of a calm and quite environment with a beautiful back and front gardens and a rooftop. The interior is well lit with natural lighting and there is good ventilation throughout the house making the house feel very open and airy. The house is built on 10 perches and comes with two living areas, 3 large bedrooms with one en suite bedroom, two smaller rooms, dining room, hot and cold kitchens. Master bedroom is air-conditioned and the two smaller rooms have been used as a gym and study. The cold kitchen is finished with wooden pantry cupboards and there is a separate kitchen for hot cooking. There are balconies around the rooms, a larger balcony adjoining the second floor living room and the rooftop terrace is perfect for small functions or an evening hangout.",5,3,"2,000.0 sqft",10.0 perches,
25,HR207 - House for rent in Mirihana,17 Jul  2:23 pm,"Nugegoda, Colombo","115,000",3000 Sqft14 Perches04 Bedrooms04 Bathrooms03 Balconies02 living areas2000L overhead tankTiled floorRooftop terraceMaid's quartersCCTV on request,4,4,"3,000.0 sqft",14.0 perches,
26,One Bedroom House for Rent in Mirihana,17 Jul  1:22 pm,"Nugegoda, Colombo","26,000",One bedroom small house for rent in Mirihana.  Monthly rent Rs 26000,"Ekeatta Rd . Mirihana, nugegoda",1,1,500.0 sqft,7.0 perches
27,House for Rent Udahamulla,17 Jul  1:22 pm,"Nugegoda, Colombo","40,000","Single story house for rent at Udahamulla.Electricity, water availableVehicle Parking - 250 meters to the 119 road.easy access to railway station - Udahamulla easy access to Nugegoda, Jayawardenapura Holspital, University of Sri Jayawardenapura, Maharagama.Good residential area.No brokers please. Please call and reserve time to visit the premises.","Udahamulla, near Bus Deport",2,2,"1,500.0 sqft",8.0 perches
28,House for Rent in Pitakotte,16 Jul  2:08 pm,"Nugegoda, Colombo","125,000",2 STORY BUILDING4 BEDROOMS WITH BALCONY (2 WITH AC)3 BATHROOMS (2 ATTACHED AND 1 COMMON)SEPARATE SERVANT ROOM AND BATHROOMSOLAR HOT WATER FOR BATHROOMS AND KITCHENWOODEN AND TILE FLOORSROLLER GATE WITH REMOTECAR PARKFRIENDLY NEIGHBOURHOOD 6 MONTH ADVANCE REQUIREDCALL FOR MORE DETAILS,4,3,"2,700.0 sqft",8.0 perches,
29,Two Bedroom House for Rent - Nugegoda,30 Jun 12:13 pm,"Nugegoda, Colombo","45,000","TWO  BEDROOM  GROUND FLOOR  SEPARATE HOUSE WITH LIVING ROOM , PANTRY AND BATH ROOM  FULLY  TILED  SEPARATE ELECTRICITY AND WATER METERS  PARKING AVAILABLE  NEAR TO NUGEGODA TOWN, 400 METERS TO HIGHLEVEL ROAD, (138, 120 AND 117 BUS ROUTES) VERY CLOSE TO 7 MILE POST AND GANSABA JUNCTION, SECURITY ALARM SYSTEM AND CAMERA SYSTEM WAS FIXED, THERE IS A SMALL GARDEN, PEACEFUL PLACE FOR SMALL FAMILY, WORKING GIRLS AND BOYS .",8/1 5 th LANE  JAMBUGASMULLA  MAWATHA  NUGEGODA,2,1,"1,000.0 sqft",13.0 perches
30,Single Story Modern House for Rent in Nugegoda, 8 Jul  3:31 pm,"Nugegoda, Colombo","70,000",Single story modern houseBedroom 3Bathroom 2Master bedroom attached Ac 1Hot water Sitting and dinning Pantry Servants bathroomAmbuldeniya junction 200 metresDelkanda high level road 1km20 feet road placing1 vehicles parking Rs.700006 months advance Contact agent laksiri Agent fee half months,Nugegoda Ambuldeniya Santhanampitiya Road,3,2,"1,200.0 sqft",7.0 perches
31,2 Bed Rooms House For Rent in Nugegoda near Jayawardanapura Campus.,16 Jul 10:43 am,"Nugegoda, Colombo","36,000",2B/R House for Rent Close Jayawaradanepura campus.,"Nugegoda, Wijerama Road near Jayawardanapura Campus.",2,1,750.0 sqft,5.0 perches
32,House for Rent - Mirihana,15 Jul 10:34 pm,"Nugegoda, Colombo","35,000","Separate house with spacious three bedrooms & large living room, pantry & a washroom is available for rent. Parapet wall & space to park vehicles.Rs.35,000.00 per month.6 months in advance. Walking distance to the main road (119 route)","26, Galawala Road, Mirihana",3,1,"3,000.0 sqft",10.0 perches
33,Brand New House for Lease in Nugegoda.,15 Jul  3:55 pm,"Nugegoda, Colombo","70,000","Fully Architecturally Designed, Modern Luxury Brand New House (Only Available First Floor Only) for Lease in Udahamulla, Nugegoda. Approx 2,000 Sq.Ft. just 150m to Jayawardanapura Hospital (Thalapathpitiya Road) road from Nugegoda.",Udahamulla,4,4,"2,000.0 sqft",17.0 perches
34,House for rent in Nugegoda,15 Jul  1:01 pm,"Nugegoda, Colombo","85,000","Situated 200 metres from the Mirihana Police Station. This 2 story house is built on 7.5 perches. Floor area 2,200 sq.ft (includes 2 floors). Fully furnished. 3 bedrooms. 2 bathrooms. Separate maid’s room and toilet. Front garden, balcony, and parking space for 2 vehicles available. Rental Rs. 85,000 per month.",3,2,"2,200.0 sqft",7.5 perches,
35,"House for Rent in Udahamulla, Nugegoda",15 Jul 10:04 am,"Nugegoda, Colombo","30,000","House for Rent in Udahamulla, Nugegoda==================================",Udahamulla Nugegoda,2,1,"3,000.0 sqft",20.0 perches
