,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Beds:,Baths:,House size:,Land size:,
1,HOUSE FOR RENT IN PANNIPITIYA,12 Jul 11:40 am,"Pannipitiya, Colombo","37,000",හයිලෙවල් පාරට නුදුරින් පන්නිපිටිය රත්මල්දෙණියේ පිහිටි සම්පූර්ණයෙන් ටයිල් කළ තනිමහල් නිවස.පන්නිපිටිය ධර්මපාල විදුහලට 1km,3,2,"1,700.0 sqft",10.0 perches,
2,"['HOUSE FOR RENT IN PANNIPITIYA', '12 Jul 11:40 am', 'Pannipitiya, Colombo', '37,000', 'හයිලෙවල් පාරට නුදුරින් පන්නිපිටිය රත්මල්දෙණියේ පිහිටි සම්පූර්ණයෙන් ටයිල් කළ තනිමහල් නිවස.පන්නිපිටිය ධර්මපාල විදුහලට 1km', '3', '2', '1,700.0 sqft', '10.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,New House For Rent In Pannipitiya,17 Jul  7:29 pm,"Pannipitiya, Colombo","23,000",New House For Rent In Pannipitiya Up staris2 rooms1 bathroomHallKitchenVarendaGarage1.4 km for Highlevel Road1.1 km to christ king church1.5 km to Daramapala school 297 bus also avelableMaharagama to sikuradapola junction  every 20 minutes6 months advance need,754/8A Rathmaldeniya Road Arrawwala Pannipitiya.,2,1,"1,200.0 sqft",6.5 perches
4,House to Rent in Pannipitiya,20 Jul 10:58 am,"Pannipitiya, Colombo","60,000",New house to Rent100m to 174 Kottawa Boralla RoadProperty is located on Polwatta Junction Next to Water Villa Hotel Walking distance to main roadAll in brand new condition,Polwatta Pannipitiya,6,2,"2,000.0 sqft",15.0 perches
5,House For Rent In Pannipitiya,19 Jul 11:34 am,"Pannipitiya, Colombo","65,000",Fully tiled. Modern pantry with wet kitchen. Servant quarters available. Good neighborhood.,"Circular Road, Depanama ( Near Sirasa TV)",3,2,"3,000.0 sqft",12.0 perches
6,House for Rent - Pannipitiya,19 Jul  1:21 pm,"Pannipitiya, Colombo","27,000","Rent per floor - 27000Ground floor - 2 bedrooms,1 bathroom,1 servant toilet, 1 living room, 1 kitchenupper floor -  2 bedrooms,1 bathroom, 1 living room, 1 kitchen Seperate electricity & waterWedawatta Road, Rathmaldeniya, Pannipitiya",2,1,"1,000.0 sqft",8.0 perches,
7,New House For Rent In Pannipitiya,17 Jul  7:29 pm,"Pannipitiya, Colombo","23,000",New House For Rent In Pannipitiya Up staris2 rooms1 bathroomHallKitchenVarendaGarage1.4 km for Highlevel Road1.1 km to christ king church1.5 km to Daramapala school 297 bus also avelableMaharagama to sikuradapola junction  every 20 minutes6 months advance need,754/8A Rathmaldeniya Road Arrawwala Pannipitiya.,2,1,"1,200.0 sqft",6.5 perches
8,House for rent in Pannipitiya with Furnishings.,17 Jul  4:57 pm,"Pannipitiya, Colombo","65,000",04 Bed Rooms02 Bathroomskitchen with pantry02 living roomBalcony Car parking Space.Land size – 10 perch ,"Pannipitiya, Areuwala",4,2,"2,100.0 sqft",10.0 perches
9,House for Rent in Pannipitiya,16 Jul  9:46 am,"Pannipitiya, Colombo","75,000",A two storeyed house with three bedrooms and two bathrooms on each floor is to be rented out together or separately. Ample parking and separate access available.2.5 km to Kottawa Bus Station2.9 km to Makumbura Transport Hub3 km to Kottawa Highway entrancePrice per floor can be negotiated. Suitable for both residential and commercial needs.,"158/110, Big City, Balika Niwasa Road, Rukmale, Pannipitiya.",6,4,"3,000.0 sqft",12.0 perches
10,House For Rent - Arewwala / Pannipitiya,13 Jul  5:10 pm,"Pannipitiya, Colombo","22,000","Maharagama - Bokundara Road / 50 m for Bus Route.Upstair House for Rent, Fully Tiled1 Bathroom and 2 Bed RoomsSeparate Water and Electricity ConnectionsParking is not available3 Km to Maharagama 138 Bus Route,1 1/2 Km to Bokundara 120 Bus Route6 Months AdvanceIdeal for CoupleMonthly Rent : Rs. 22,000.00",2,1,600.0 sqft,3.0 perches,
11,House for Rent in Pannipitiya,13 Jul  1:18 pm,"Pannipitiya, Colombo","18,000",A house with a well-maintained Garden located in a highly residential area in Pannipitiya. ,"4585/1/1/A, Hokandara Road, Pannipitiya",1,1,"1,500.0 sqft",10.0 perches
12,'Garden Heaven' House for Rent in - Pannipitiya,13 Jul 12:37 pm,"Pannipitiya, Colombo","32,000",A House with A Well-Maintained Garden Located in A Highly Residential Area in Pannipitiya. ,"4585/1/A, Hokandara Road, Pannipitiya",1,1,350.0 sqft,10.0 perches
13,Two Story of House for Rent at Pannipitiya,13 Jul  8:55 am,"Pannipitiya, Colombo","60,000","Located in a highly residential Area in pannipitiya07 Bed Rooms 02 Bath Rooms Full Tilled Kitchen with Pantry2 car parking*Close proximity to the Kottawa,Maharagama,Nugegoda* Looking a Decent Family*Rs. 60,000.00/= Per Month*Advance for 6 Month /Inspection only by an AppointmentNo brokers please!Call for Appointments.",273/1B Arawwala Pannipitiya,7,2,"2,000.0 sqft",10.0 perches
14,HOUSE FOR RENT IN PANNIPITIYA,12 Jul 11:40 am,"Pannipitiya, Colombo","37,000",හයිලෙවල් පාරට නුදුරින් පන්නිපිටිය රත්මල්දෙණියේ පිහිටි සම්පූර්ණයෙන් ටයිල් කළ තනිමහල් නිවස.පන්නිපිටිය ධර්මපාල විදුහලට 1km,3,2,"1,700.0 sqft",10.0 perches,
15,House For Rent in Pannipitiya,11 Jul  2:25 pm,"Pannipitiya, Colombo","45,000",Single Storied House For Rent in Pannipitiya,Pannipitiya,2,1,"1,000.0 sqft",10.0 perches
