,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,New House for Rent - Kahathuduwa,19 Jul  8:47 am,"Piliyandala, Colombo","23,000","BRAND NEW  HOUSE FOR RENT -KAHATHUDUWA   # 5 min to Matara -Kadawatha high way.# 150 meters to Colombo - Horana ( 120 Bus ) main Road.# 22 km to Colombo, # 8 km to Piliyandala Town.# 18 km to Horana Town .# House is located in a peaceful & highly residential area. .# 1 bed room/1 bath room /Living room & kitchen.# 3 month Key  Money           # Separate Electricity & Water ( 500 Ltr Water tank )# Parking facility available.# Hot water & AC facility available .# CCTV Camera protection","353/3 , Silver Gate ,Kahathuduwa South, Kahathuduwa.",1,1,"1,100.0 sqft",10.0 perches
2,"['New House for Rent - Kahathuduwa', '19 Jul  8:47 am', 'Piliyandala, Colombo', '23,000', 'BRAND NEW  HOUSE FOR RENT -KAHATHUDUWA   # 5 min to Matara -Kadawatha high way.# 150 meters to Colombo - Horana ( 120 Bus ) main Road.# 22 km to Colombo, # 8 km to Piliyandala Town.# 18 km to Horana Town .# House is located in a peaceful & highly residential area. .# 1 bed room/1 bath room /Living room & kitchen.# 3 month Key  Money           # Separate Electricity & Water ( 500 Ltr Water tank )# Parking facility available.# Hot water & AC facility available .# CCTV Camera protection', '353/3 , Silver Gate ,Kahathuduwa South, Kahathuduwa.', '1', '1', '1,100.0 sqft', '10.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for Rent in - Dampe,17 Jul  2:31 pm,"Piliyandala, Colombo","30,000",Brand New 2 Bedroom Upstair Unitwith Separate Entrance Water and Electricity Fully Tiled and Imported Bathroom Fittingswith Rooftop Access Parking AvailableGated Community Situated in A Peaceful Environment Close to Bolgoda Lake,dampe,2,1,"1,000.0 sqft",10.0 perches
4,House For Rent In Piliyandala,19 Jul  3:41 pm,"Piliyandala, Colombo","40,000","Ground Floor of a newly constructed modern house for rent2 bed rooms, bathroom,large living room, store/servant room & servant toilet , kitchen & open garage Land scaped gardenWalking distance to Commercial Bank & all super markets ( Arpico, keels, Cargils, Sathosa, P & S , Fab)Key money 4 months (Negotiable)",2,1,"2,200.0 sqft",16.0 perches,
5,House for Rent in Piliyandala,20 Jul  3:55 pm,"Piliyandala, Colombo","16,000","House for Rent in Piliyandala======================* Location - Madapaatha, Piliyandala* Bedrooms - 3* Bathrooms - 1* Land Size -  7.8 perches* House Size - 1500 Sq.Ft* Rent - 16,000 /= ","Batakenthara, Madapaatha, Piliyandala",3,1,"1,500.0 sqft",7.8 perches
6,House For Rent In Piliyandala,20 Jul  2:37 pm,"Piliyandala, Colombo","28,000",House For Rent in Piliyandala========================,2,2,"1,200.0 sqft",10.0 perches,
7,House for Rent - Piliyandala,20 Jul  2:26 pm,"Piliyandala, Colombo","17,000","Monthly rent - Rs. 17,000/=5 month advancePiliyandala, MavittaraPreferable for coupleHouse details - living room, 01bed room, Kitchen and bathroom","mavittara, piliyandala",1,1,650.0 sqft,7.0 perches
8,House for Rent in Piliyandala,20 Jul  8:44 am,"Piliyandala, Colombo","50,000","Number of bedroom – 4.{1 Master bedroom with attached bath room .}Number of bathroom – 3Kitchen with pantry. Living areaRooftopRemote & Roller Shutter gateRent - Monthly Rs.50,000","33/14,Hepporawatta, Dampe,Piliyandala",4,3,"18,000.0 sqft",12.0 perches
9,House for Rent in Madapatha Shailatararama Para.,19 Jul  3:08 pm,"Piliyandala, Colombo","25,000","Angasampurna niwasak ,kabera 4 saha nana kabera 3k sahitai ,nisansala parisarayakin uktai.wahana nawat wimata ida ata.Full complete house with 4 bead rooms and 3 bath rooms.  1bead room with attached batch room.parking available.","136/4 temple road, madepata",4,3,"1,200.0 sqft",12.0 perches
10,House for Rent in Piliyandala,17 Jul  1:17 pm,"Piliyandala, Colombo","35,000","4 bed rooms, 1 bathroom, 1 servant bath with comod,living room and kitchenDemarcated with parapet wall and gate.2KM away from piliyandala town and 5min to piliyandala town.Calm area to live.",4,1,"1,850.0 sqft",14.0 perches,
11,House for Rent (2nd Floor) Piliyandala,17 Jul 12:29 pm,"Piliyandala, Colombo","40,000",පිළියන්දල bypass හන්දියේ සිට විනාඩි 5 ක දුරකින්  පිහිටි දෙමහල් නිවසේ උඩු මහල කුලියට දීමට ඇත ,2,1,"1,500.0 sqft",15.0 perches,
12,House for Rent - Close to Maharagama,16 Jul  9:52 pm,"Piliyandala, Colombo","30,000","New House located at Makuluduwa - at Maharagama-Piliyandala main Bus route. Fully tiled house with two spacious bedrooms with attach bathrooms with the servant bathroom. Kitchen with pantry cupboards, spacious sitting area, separate water and electricity bills. Totally peaceful and friendly residential area with a decent neighbourhood. Five minutes drive to supermarkets and Bokundara economic center. 10 minutes drive to Maharagama or Piliyandala towns. Buses available every 5 minutes. Parking available. Most ideal for newly wedded couple or a family who prefer peaceful, trouble-free living.",2,2,"1,300.0 sqft",12.0 perches,
13,House for Rent in - Piliyandala,16 Jul  2:08 pm,"Piliyandala, Colombo","30,000",1) 1 St Floor 3 Room House for Rent2) Full Tile New House3) 5 Month Advance4) 30000 for Monthly Rent,3,1,"2,000.0 sqft",20.0 perches,
14,House for rent in Kesbewa,16 Jul 12:04 pm,"Piliyandala, Colombo","25,000",House for rent in Kesbewa====================,3,1,"1,633.0 sqft",10.0 perches,
15,House for Rent Piliyandala,16 Jul 11:32 am,"Piliyandala, Colombo","35,000",campliit house,"Bokundara,kuruduwaththa road,240/22",2,1,"2,000.0 sqft",11.0 perches
16,Niwasak Kuliyata Piliyandala,16 Jul  9:16 am,"Piliyandala, Colombo","35,000",Piliyandala' madapatha'sarvodaya mawate pradana parata munala ha manaram well yayakata yabada alutma niwasa mahal dekama ho wena wenama kuliyata,5,2,"3,000.0 sqft",10.0 perches,
17,House For Rent - Kiribathgoda,15 Jul  2:38 pm,"Piliyandala, Colombo","25,000",Newly Build Up stair House For Rent 1 Room1 BathroomDining with Sitting AreaMonthly Rs. 25000/=6 Months AdvanceIn Front of KEELS SUPERAdjoining the flower nursery plantIdeal for a CoupleParking Available..HOT LINE :,"Sapugaskanda Road, Makola, Kiribathgoda.",1,1,"1,200.0 sqft",8.0 perches
18,House for Rent Piliyandala,15 Jul 12:53 am,"Piliyandala, Colombo","30,000","6 Month Key Money RequiredMandavila Road, Piliyandala,Calm, quiet place. specially for a married couple or a family.",Mandawila Road,2,2,"1,500.0 sqft",8.0 perches
19,House for Rent in - Dampe,17 Jul  2:31 pm,"Piliyandala, Colombo","30,000",Brand New 2 Bedroom Upstair Unitwith Separate Entrance Water and Electricity Fully Tiled and Imported Bathroom Fittingswith Rooftop Access Parking AvailableGated Community Situated in A Peaceful Environment Close to Bolgoda Lake,dampe,2,1,"1,000.0 sqft",10.0 perches
