,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,House for Rent in Rajagiriya, 4 Jul  9:23 am,"Rajagiriya, Colombo","40,000","Semi-luxury house at Halgahadeniya road, IDH for immediate Rent.Apartment in second floor.Very convenient location; 80 m to IDH, 2 km to Rajagiriya, 2 km to Koswatta.Suitable for a married couple.900 sq ft.Fully tiled and spacious.2 bedrooms, bathroom, living and dining area, pantry.Balcony running around house.Secure vehicle parking, in a garage with automated roller doors.Electricity and water.24-hour cctv camera surveillance.Lightening arrester.Fire extinguishers.","Halgahadeniya road, IDH",2,1,900.0 sqft,8.0 perches
2,"['House for Rent in Rajagiriya', ' 4 Jul  9:23 am', 'Rajagiriya, Colombo', '40,000', 'Semi-luxury house at Halgahadeniya road, IDH for immediate Rent.Apartment in second floor.Very convenient location; 80 m to IDH, 2 km to Rajagiriya, 2 km to Koswatta.Suitable for a married couple.900 sq ft.Fully tiled and spacious.2 bedrooms, bathroom, living and dining area, pantry.Balcony running around house.Secure vehicle parking, in a garage with automated roller doors.Electricity and water.24-hour cctv camera surveillance.Lightening arrester.Fire extinguishers.', 'Halgahadeniya road, IDH', '2', '1', '900.0 sqft', '8.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,Fully Furnished House for Rent - Rajagiriya, 7 Jul  5:07 pm,"Rajagiriya, Colombo","110,000","2 storied house, fully furnished 4 bedroom, 4 bathroomsIdeal for a family (expats preferred) Only Longer term tenants. Minimum 2 year Contract.3 Months Security deposit returning end of contract. 2 parking Roof TopInspections on prior arrangement. No Brokers please.10m from Madinnagoda Road (Infront of Perara and Sons Bakery)","100/3, Madinnagoda, Rajagiriya",4,4,"3,300.0 sqft",10.0 perches
4,House for Rent in - Nawala,20 Jul 12:29 pm,"Rajagiriya, Colombo","60,000","Suitable for A Small Family, OfficeRoad Access 18 FeetSingle Story, Separate House, 10 Feet WallLand Size-5 PerchTotal Sqft-1000Location Swarnadisi Place,koswatta, Closer to Gate Way College-2 Medium Size Bedrooms, 12*9, 14*9-Living Area, Varanda-Pantry and Kitchen-2 Toilets (common)-Small Garden-Parking Space Suitable for A Small Hatchback CarMonthly Rent 60,000/-* Strictly No Brokers",2,2,"1,000.0 sqft",5.0 perches,
5,Fully Furnished House - Immediate Rent Rajagiriya,18 Jul  9:05 am,"Rajagiriya, Colombo","70,000","Spacious, Full furnished, Landed Property for Rent 2 Bed Rooms (1 Queen Size & 1 Double Bed )2 Bath Rooms (including servant bathroom)Spacious living room, dining room & Fully equipped modern kitchen Garden & Vehicle parking, quiet neighborhood, Wifi, TV, Hot water, AirconWalking distance to Arpico Super Centre, Sathosa, wet market and 7 min to Rajagiriya town. Contact Vasan",Kelsey Homes Rajagiriya,2,1,"1,600.0 sqft",6.5 perches
6,Fully Furnished Luxury House for Rent in - Rajagiriya,17 Jul 12:28 pm,"Rajagiriya, Colombo","130,000","Located in a gated community with 24/hr security, it is a semi furnished house with 3 B/R with A/c and attached bathrooms, living room, dining room, pantry, laundry room and maid/drivers room.has a attached garden and garage within the houseInclusive of a common pool, gymnasium and kids play areasituated in a quiet location, surrounded by greenery and beautifully landscaped houses","Birds Park Residencies,721/42, Obawatta rd, Madinnagoda, Rajagiriya, Rajagiriya",3,3,"2,500.0 sqft",12.5 perches
7,Two Storied House for Rent in - Rajagiriya,17 Jul 12:08 pm,"Rajagiriya, Colombo","150,000","Rent Can Be Arranged  for Whole House or As Three Separate Units ( up Stairs | Down Stairs , Annexe ) ",8,4,"2,500.0 sqft",18.0 perches,
8,2BR A/C Upstair House Rent - Medawelikada Road Rajagiriya,17 Jul 11:20 am,"Rajagiriya, Colombo","55,000",* -This simple upstart House has 2 Bed Rooms and 1 washroom. Car parking available outside the premises. There is another tenet on the ground floor. ,1st Lane  Medawelikada Road Rajagiriya,2,1,"1,000.0 sqft",10.0 perches
9,2 Bed Rooms Single Storied A/C House Rent Kalapaluwawa Road,16 Jul  6:02 pm,"Rajagiriya, Colombo","55,000",* -Very attractive Single Story House with 2 Rooms and 2 Washroom with Furniture. Mater Bedroom has A/C,1st Lane Kalapaluwawa Road,2,2,"1,200.0 sqft",10.0 perches
10,House for Rent in Rajagiriya,16 Jul 10:42 am,"Rajagiriya, Colombo","31,000","House for Rent In RajagiriyaRajagiriya,Obeysekarapura,Down stair House2 Bed rooms 1 A/C2 Barth rooms 1 Attached 1 Kitchen1 hallFully tiledSeparate entrance and Electricity and water very close o Golden key hospital,ayurvedic hospital,devi balika school.gateway school,janajaya city, Rs 31 000 per month Ground  floor7 Month key money required","2/14, Arunal uyana, Arunodhaya mawatha,, Obeysekarapura, Rajagiriya.",2,2,900.0 sqft,3.0 perches
11,Upstairs House for Rent Rajagiriya,15 Jul  2:17 pm,"Rajagiriya, Colombo","30,000","An upstairs house in Rajagiriya - Madinnagoda is for rent. 02 Bed rooms01 Kitchen01 Bath Room01 Living RoomRent is Rs. 30,000/= Per Month","739/3, 4th Lane, Madinnagoda, Rajagiriya.",2,1,850.0 sqft,10.0 perches
12,3 Bed Rooms Upper Floor Unit for Rent in Rajagiriya,14 Jul 12:17 pm,"Rajagiriya, Colombo","110,000",• Our Reference No LH 2976( Please quote this reference number when inquiring),Rajagiriya,3,2,"1,450.0 sqft",15.0 perches
13,Three Bedroom House for Rent - Rajagiriya,14 Jul 12:08 pm,"Rajagiriya, Colombo","65,000","Rajagiriya single story house for lease with three bedrooms (two with a/c), two toilets (one with hot water), sitting, dining, pantry, verandah, two garages and 13 perch garden, roller gate with cement brick paving etc.",3,2,"1,400.0 sqft",13.0 perches,
14,Upstairs House For Rent In Rajagiriya,13 Jul  7:55 pm,"Rajagiriya, Colombo","100,000","With balcony, lobby and indoor garage. Parking available on lane too. No brokers please.",Kotte Road,3,2,"1,500.0 sqft",23.0 perches
15,House For Rent in Rajagiriya,13 Jul 12:09 pm,"Rajagiriya, Colombo","25,000",2 bedrooms1 bathroom kitchen living areaonly for 3 members parking available,140/B kosswtta rd kalapaluwawa rajagiriya,2,1,800.0 sqft,3.0 perches
16,House for Rent - Rajagiriya (2km),12 Jul  5:46 pm,"Rajagiriya, Colombo","45,000",Good for Office AlsoLiving RoomDining RoomKitchenBath Room + Outside ToiletParking Space for 4 VehiclesPolished FloorCeilingBoundary Wall Surrounded2 min walking distance to IDH Town2km to RajagiriyaAdvance 6 monthsකාර්යාලයකට උවද සුදුසුයිවාහන කීපයක් නැවැත්විය හැක,"Elhena Road, Gothatuwa New Town (IDH)",3,2,"1,500.0 sqft",12.0 perches
17,House for Rent in Rajagiriya | IDH,18 Jul 11:04 am,"Rajagiriya, Colombo","36,000",House For Rent in Rajagiriya | IDH,Rajagiriya | IDH,2,1,"1,200.0 sqft",10.0 perches
18,House with A Pool at Lake Gardens - Rajagiriya,12 Jul  2:42 pm,"Rajagiriya, Colombo","350,000",Beautiful house located in a very residential area.24 security within the area.4 beds5 bathPlunge poolsmall gardensecured parking for 2 vehicles semi furnished ,lake gardens off lake drive,4,5,"4,000.0 sqft",14.0 perches
19,House for Rent in Rajagiriya,11 Jul  3:10 pm,"Rajagiriya, Colombo","35,000",Parking available,ruwanpura kalapaluwawa rajagiriya,2,1,"1,900.0 sqft",6.0 perches
20,House for Rent Rajagiriya,19 Jul  8:18 am,"Rajagiriya, Colombo","38,000","2 story house for rent gothatuwa new town IDH rajagiriya3 bedrooms2 bathrooms,living-dining, pantry 2 parking,rooftop 38000 per month,6-month advance",gothatuwa IDH,3,2,"2,000.0 sqft",10.0 perches
21,House for Rent - Rajagiriya, 9 Jul  8:30 am,"Rajagiriya, Colombo","125,000",》Foreigners are well Come》》,Rajagiriya,4,4,"3,500.0 sqft",15.0 perches
22,Luxury House For Rent In Rajagiriya, 8 Jul  6:51 pm,"Rajagiriya, Colombo","110,000",This executive 5 bedroom furnished family home in lovely condition with garage and gardens.It has  Open kitchen plan  with separate dining room if needed. Located close to Rajagiriya- Battaramulla main road. Very safe residential area with excellent neighborhood. This stunning house consist of four bedroom in up stairs  and 1 bed room in down stairs. 3 bed rooms have air conditioned facilities. It has 3 main bathrooms and 1 servant bathroom. 2  vehicles could be parked with in the property and also has a back garden with store room.  House offers spacious and well presented accommodation & throughout it was occupied by American couple. Only for foreigners please,5,4,"2,800.0 sqft",14.0 perches,
23,House for Rent - Rajagiriya, 8 Jul  3:32 pm,"Rajagiriya, Colombo","40,000","One bedroom with A/C,one bathroom.and kitchen,we need 4 months advance","no 83,1 st lane, meda welikada road,rajagiriya",1,1,"1,500.0 sqft",3.0 perches
24,House for Rent in Rajagiriya (504 B), 7 Jul  4:22 pm,"Rajagiriya, Colombo","150,000",Two story house available with four rooms and three bath rooms ( one attached two common )8.25 perchaes2500 sft,ATIGALA MAWATHA,4,3,"2,500.0 sqft",8.25 perches
25,House for Rent - Rajagiriya, 7 Jul  2:06 pm,"Rajagiriya, Colombo","33,000",* In Colombo Rajagiriya* All Facilities Available * Vehicle Parking area* Silent Decent place for live,3,2,"2,304.0 sqft",3.0 perches,
26,House for Rent - Rajagiriya (2km),10 Jul 10:06 am,"Rajagiriya, Colombo","26,000",Facing the Main Road Gothatuwa - RajagiriyaBud Rout 175 (Kohilawatta- Kollupitiya)Parking space for 1 vehicleSuitable for a CoupleIdeal for a Business (Saloon) alsoadvance 6 monthsprice is negotiable,"Rajagiriya Road, Gothatatuwa New Town",1,1,650.0 sqft,2.0 perches
