,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,Upstairs House for Rent - Talawatugoda,18 Jul  9:09 pm,"Talawatugoda, Colombo","55,000",# 3 Bed rooms with Balconies# 1 Attached bathroom with hot water# 1 common bathroom# Living area with balcony# Kitchen with pantry cupboards & dinning area# Rooftop (300 sf )# I covered parking# Remote roller door# Decent neighborhood # Walking distance to Talangama lake# 3km to talawatugoda Junction & Hemas private Hospital# 3km to SPAR super market & ARPICO super market# 3.5km to the Overseas school of Colombo ( International school )# 14km to Colombo Fort# All banks /super market /....etc with 3km # We are looking 4 member family or less# Foreigners are welcome # 6 or 12 months key money# Agent fee applicable ,Lake rd  Hokandara Thalawatugoda,3,2,"1,000.0 sqft",10.0 perches
2,"['Upstairs House for Rent - Talawatugoda', '18 Jul  9:09 pm', 'Talawatugoda, Colombo', '55,000', '# 3 Bed rooms with Balconies# 1 Attached bathroom with hot water# 1 common bathroom# Living area with balcony# Kitchen with pantry cupboards & dinning area# Rooftop (300 sf )# I covered parking# Remote roller door# Decent neighborhood # Walking distance to Talangama lake# 3km to talawatugoda Junction & Hemas private Hospital# 3km to SPAR super market & ARPICO super market# 3.5km to the Overseas school of Colombo ( International school )# 14km to Colombo Fort# All banks /super market /....etc with 3km # We are looking 4 member family or less# Foreigners are welcome # 6 or 12 months key money# Agent fee applicable ', 'Lake rd  Hokandara Thalawatugoda', '3', '2', '1,000.0 sqft', '10.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House at Thalawathugoda for long term rent,19 Jul 12:41 pm,"Talawatugoda, Colombo","100,000","A House / Apartment type for Rent at Thalawathugoda.Off Weli Para, Bodhiraja Mawatha","Bodhiraja Mawatha, Thalawathugoda",5,3,"2,100.0 sqft",6.0 perches
4,Seperate Singlestory House for Rent in Kalalgoda-Thalawathugoda,20 Jul  3:22 pm,"Talawatugoda, Colombo","40,000",Location Kalalgoda Gramoday Mawatha 03 Bed Rooms01 Bath Room19 Perch2000 sqftSeparate waterSeparate ElectricityParking Availablequiet neighbourhood800 Km from the Malabe/Kottawa bus route 1 Km from the 174 Main bus route (Kottawa/Borella)2km to Hemas Thalawathugoda hospital 1km to Vidura College -Thalawathugoda,3,1,"2,000.0 sqft",19.0 perches,
5,House for Rent in - Talawathugoda,20 Jul 11:45 am,"Talawatugoda, Colombo","95,000","Remote Gate,  4 Vehicles Can Park,  Hot Water,  Garden,  2 Bed Rooms with Ac, Near the Grand Monarch Hotel, TV lobby",4,3,"2,300.0 sqft",15.0 perches,
6,New house for rent Hokandara (Wanaguru Mawatha),20 Jul  8:46 am,"Talawatugoda, Colombo","40,000",New house for rent  Hokandara (Wanaguru Mawatha)Thalgaswatta Road.5 mins To Hokandara Junction.2 story  HouseFully Tiled / Finishing Roof .2 Bedrooms with balcony2 bath roomsTV RoomKitchenWall with Gate2 Vehicles Parking space Separate Water & Electricity 1km to 190 / 170 main Bus Road.Leading Supermarkets and Petrol station closeby.6 Months Advance needed (Negotiable),2,2,"1,250.0 sqft",6.0 perches,
7,House for rent in Thalawathugoda,20 Jul  8:16 am,"Talawatugoda, Colombo","31,000","Down floor of the two storied house is available for rent 2 Rooms, 2 bath rooms , kitchen & dining area &  living room Located in calm area & peace surrounding","No 73/6, Gramodaya Mawatha , Kalalgoda, Pannipitiya , 10230",3,2,"1,600.0 sqft",10.0 perches
8,House for Rent in - Hokandara, 7 Jul  4:37 pm,"Talawatugoda, Colombo","35,000",House for Rent  in Hokandara-  Thalawathugoda.,3,1,"1,000.0 sqft",17.0 perches,
9,For Rent - Thalawatugoda,19 Jul  1:32 pm,"Talawatugoda, Colombo","65,000",Hot WaterA/C bed room,3,1,"1,950.0 sqft",10.0 perches,
