,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Beds:,Baths:,House size:,Land size:,
1,House for Rent in Kotikawatta, 9 Jul  4:11 pm,"Wellampitiya, Colombo","32,000","Beautiful house for rent in Kotikawtta3 Bedrooms and two room with Air conditions, Two bathroomsParkingVery decent and silent area.Flexible payment method according to requirement.CCTV security systemVery close to supermarkets (keels and Cargill's) Banks, pizza hut and schools, 4Km to southern highway entrance.",3,2,"1,600.0 sqft",6.0 perches,
2,"['House for Rent in Kotikawatta', ' 9 Jul  4:11 pm', 'Wellampitiya, Colombo', '32,000', ""Beautiful house for rent in Kotikawtta3 Bedrooms and two room with Air conditions, Two bathroomsParkingVery decent and silent area.Flexible payment method according to requirement.CCTV security systemVery close to supermarkets (keels and Cargill's) Banks, pizza hut and schools, 4Km to southern highway entrance."", '3', '2', '1,600.0 sqft', '6.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for Rent in Wellampitiya,20 Jul  9:44 am,"Wellampitiya, Colombo","32,000",House for rent in walampitiya Gothamee Mawatha . Fully tile house for rent with two rooms.bath room. Kitchen. And hall.and car park.,2,1,"1,100.0 sqft",4.0 perches,
4,House for Rent In - Wellampitiya,17 Jul 12:32 pm,"Wellampitiya, Colombo","35,000",50 M from Awissawella Main Road Parking only For BikeGround FloorVery Close to Cargillsand KeelsPantry +extra Cooking Area,3,1,"1,750.0 sqft",6.0 perches,
5,House For Rent Wellampitiya,14 Jul  3:26 pm,"Wellampitiya, Colombo","27,000",House for rent3 Bed rooms one attached1servant toilet1 kitchen1 hallFully tiled home,28/A/1 sunandarama road (opposite mahabuthgamuwa) wellampitiya,3,2,"1,200.0 sqft",4.0 perches
6,House for Rent - Wellampitiya,12 Jul  3:08 pm,"Wellampitiya, Colombo","27,500",Two store house for rent separate entarance 27500 each floor...2 bed room 1 bath room per floor..,araliya mawata kohilawatta,2,1,"1,200.0 sqft",6.0 perches
7,House for Rent in Wallampitiya,10 Jul  3:42 pm,"Wellampitiya, Colombo","30,000","House for rent in wallampitiya. House Will Be Rented for Family.200 meters for awissawella Road and 500 meters for wallampitiya junction.2 Bed room, with one attached bathroom and Car Garage","`NO 204,WENNAWATTE,WALLAMPITIYA",2,1,"2,100.0 sqft",12.0 perches
8,A House for Rent at Wellampitiya,16 Jul  7:29 pm,"Wellampitiya, Colombo","20,000","House for rent with two bed rooms, living room, kitchen,Bathroom and spacious backyard garden.Ideal place for live close by Colombo(10min).","Wellampitiya,Colombo",2,1,600.0 sqft,7.6 perches
9,Rent for House - Wellampitiya,16 Jul 10:25 pm,"Wellampitiya, Colombo","37,000",3 Bedroom House for Rent in Wennawatte Wellampitiya. 250 Meters distance to Avissawella - Colombo main road.,3,1,"1,288.0 sqft",10.0 perches,
10,House For Lease In Wellampitiya, 8 Jul  6:42 pm,"Wellampitiya, Colombo","7,500","House for Lease at Brandiyawatte* Lease amount Rs.2,500,000* Monthly Rs.7500","189 Brandiyawatta road ,Bradiyawatta",2,2,"1,300.0 sqft",5.0 perches
11,Brand New Hours For Lease wellampitiya, 8 Jul  1:21 pm,"Wellampitiya, Colombo","11,000",Double storey luxury full tile house large hall with big kitchen three rooms two bathroom and parking Lease - 26 Lacks,Colombo wellampitiya,3,2,"1,200.0 sqft",3.0 perches
12,House for Rent in - Wallampitiya, 9 Jul  7:51 am,"Wellampitiya, Colombo","18,000","Contact MRS Fareeda#Up stare house Rent Or lease #One hall fully tiled # one bedroom# one Kitchen #one bathroom with toilet fully tiled#Parking available #One year key money need#Rent 18,000.00 #suitable for Small  Muslim Family",60\36C Donal perera mawatha Kohilawaththa Wallampitiya.,1,1,"1,180.0 sqft",2.0 perches
13,House for Rent at Wellampitiya, 6 Jul  3:40 pm,"Wellampitiya, Colombo","26,000","House for Rent at Kittampahuwa Road Wellampitiya.# Fully tiled House# Two Rooms# One Hall# One Bathroom with toilet fully tiled# Parking available 10F to 20F lane# Limited Houses# 3.2 Perch House# One year key money need# Rent 26,000/-# No brokers please# Newly Build House","65/3 Kittampahuwa Road,Wellampitiya.",2,1,"1,870.0 sqft",3.2 perches
14,Luxury House for Rent in Wellampitiya, 5 Jul  2:35 pm,"Wellampitiya, Colombo","70,000",2 storeyfully tiled2 rooms and hall fully air-conditioned3 vehicle parking inside the gatefull cctv systemintercom bell systemfull pantry cupboardsmall kitchen seperate in first floorgood ventilationvery spacious around the houseno brokers,6,3,"2,720.0 sqft",10.0 perches,
15,House for Rent in - Gothatuwa, 7 Jul  2:11 pm,"Wellampitiya, Colombo","28,000",House for rent or lease  in Gothatuwa. Upstair house. 2 balconies.1 attached bathroom and 1 common bathroom.Parking available.Separate electricity and water supply.200m to the IDH main road.. (152 bus route)1.5 km to Wellampitiya junctionLease 20 lakhs and monthly 8000,2,2,"1,100.0 sqft",4.0 perches,
16,House for Lease - Kolonnawa, 3 Jul  4:47 pm,"Wellampitiya, Colombo","4,000",කොළොනන්වා නගරයට නුදුරින් දෙමහල් නිවසක් පහත මාලය බදු දිමට තිබේසාලය කුස්සිය බාත්රූම් කාර් පාක්බදු දිම 1200000,"No25/32 Sri anandarama Rd, Kolonnawa",2,1,"1,200.0 sqft",5.5 perches
17,House for Rent in Wellampitiya, 2 Jul  2:01 pm,"Wellampitiya, Colombo","4,000",House for Rent in Wellampitiya,Wellampitiya,2,1,"1,000.0 sqft",3.0 perches
18,Up stare House for rent in Mahabuthgamuwa,30 Jun  1:12 pm,"Wellampitiya, Colombo","18,000",Up stare House for rent in Mahabuthgamuwa2 Bed Rooms1 Bathroom + Living AreaSeparate Electricity & Water100meter to Awissawella Low level Road,2,1,900.0 sqft,4.0 perches,
19,House for Rent at Gothatuwa,29 Jun  4:25 pm,"Wellampitiya, Colombo","27,000","Upstairs house, fully Tiled floor with cealing roof2 rooms with 1 washroom@ Manigamulla, Gothatuwa5 min walk to the nearest LAUGH OUTLETVERY MUCH SUITABLE FOR A SMALL FAMILY COUNT OF 4, BELOWParking available - a van could fit the place.",2,1,"1,200.0 sqft",8.0 perches,
20,House for Rent Wellampitya,27 Jun  4:45 pm,"Wellampitiya, Colombo","28,000",House for rent for one year  (only for muslim family),3,1,"1,200.0 sqft",3.0 perches,
21,House for Rent in Brandiyawatta,25 Jun  1:31 pm,"Wellampitiya, Colombo","30,000","House with 2 Bedrooms, 2 Washrooms, kitchen, living area and 1 store room. Full tiled house on first floor. More portions also available, call me for more details about those portions.",2,2,"1,000.0 sqft",10.0 perches,
22,House for lease Wellapitiya,24 Jun  4:41 pm,"Wellampitiya, Colombo","150,000",Upstair house with 2 bedrooms and one bathroom separate electricity & water.......for month 4000/- situated in Brendiya Watha near jumma mosq,2,1,600.0 sqft,4.0 perches,
23,House for Rent in Wellampitiya,30 Jun  6:17 pm,"Wellampitiya, Colombo","25,000",2 Rooms1 BathroomSeparate electricity and water.Near to wellampitiya junction.,"125/25, lanciyawatta road, wellampitiya.",2,1,"1,000.0 sqft",5.0 perches
24,Upstair House for Rent in Wellampitiya,20 Jun  2:21 pm,"Wellampitiya, Colombo","25,000",It's  very Beautiful  Location 02 Bedroom 01 Bathroom03 Balconys Kitchen with pantry Big Living room ,"90/4 Kohilawatte Road, wellampitiya",2,1,"1,500.0 sqft",8.0 perches
25,Upstairs House rent in Wellampitiya,19 Jun  2:07 pm,"Wellampitiya, Colombo","25,000",*Upstairs with two bed rooms for 25000 per month.Dinner roomLiving roomKitchenBathroom*parking available*Separate Electricity & water *One year advance,2,1,"1,800.0 sqft",10.0 perches,
26,House for Rent in Kotikawatta, 9 Jul  4:11 pm,"Wellampitiya, Colombo","32,000","Beautiful house for rent in Kotikawtta3 Bedrooms and two room with Air conditions, Two bathroomsParkingVery decent and silent area.Flexible payment method according to requirement.CCTV security systemVery close to supermarkets (keels and Cargill's) Banks, pizza hut and schools, 4Km to southern highway entrance.",3,2,"1,600.0 sqft",6.0 perches,
27,House for rent in wellampitiya,16 Jun  1:08 pm,"Wellampitiya, Colombo","25,000",2 bed rooms. 2 bath rooms. Location of the house near Zara’s garden jumma mosque. Parking space available. Two storied house. Peaceful surrounding. Spacious kitchen and 2 living rooms along with spacious bedrooms.,2,2,600.0 sqft,3.0 perches,
28,House for Rent in Kotikawatta, 9 Jul  4:11 pm,"Wellampitiya, Colombo","32,000","Beautiful house for rent in Kotikawtta3 Bedrooms and two room with Air conditions, Two bathroomsParkingVery decent and silent area.Flexible payment method according to requirement.CCTV security systemVery close to supermarkets (keels and Cargill's) Banks, pizza hut and schools, 4Km to southern highway entrance.",3,2,"1,600.0 sqft",6.0 perches,
29,House for Lease in Wellampitiya,14 Jun  2:32 pm,"Wellampitiya, Colombo","1,700,000",House is located in mahabuthgamuwa and monthly rent 3000. Lease only.,mahabuthgamuwa,3,2,"1,700.0 sqft",6.0 perches
30,4 Bedroom Spaces House for Rent - Wellampitiya, 4 Jul  1:13 pm,"Wellampitiya, Colombo","42,000",4bedroom spaces house for rent in Wellampitiya Opst Keells very good neighborhood all rooms are big in size (Master Bedroom is with attached washroom)Large living room with separate dinning area and spaces kitchen front open space with Garden and Car ParkFully secured wall ,Wellampitiya - Opst Foodcity,4,2,"1,200.0 sqft",10.0 perches
31,House for rent in wellampitya,11 Jun  9:35 am,"Wellampitiya, Colombo","55,000",A fully marbled luxury looking ground floor house for rent(Not for business uses only living). 2 rooms with attached bathrooms and another 12 perches land also can be used for parking vehicles. Fully neat and clean. Much suitable for families and also gardening. For visit please contact Mr Inshaf,Near sanovin wedding hall wellampitya,3,3,"1,000.0 sqft",12.0 perches
32,House for Lease (rent) in Wellampitiya,11 Jun  3:15 pm,"Wellampitiya, Colombo","4,000,000",40. Perch large garden upstairs house for (badtha) refendable deposit at brandiawathe wellampitiya near kohilawatha jumma Masjid Muslim peoples well come. 40.lks.    4 million... Monthly 10000/=,L S perera Mawatha brandiawathe wellampitiya,3,2,"3,500.0 sqft",40.0 perches
33,House for Rent - Wellampitiya,15 Jun  6:40 pm,"Wellampitiya, Colombo","48,000",Recently renovated House for rent.,"128, Nagahamulla Road , Wellampitiya.",3,2,700.0 sqft,5.5 perches
34,House for Rent in Wellampitiya, 4 Jun  2:36 pm,"Wellampitiya, Colombo","35,000",වැල්ලමිපිටිය හංදියට හා අවිස්සාවෙිල්ල පාරට විනාඩි 5 ක දුරපහළ නිවස සාලය  නිදන කාමර 2 ක් කුස්සියක්  බාත්රෑමි එකකින් සමන්විතයි(පහල නිවස මසක කුලිය 35 000 යි)උඩු මහල් නිවස 2 ක එකිනෙකට සමිබධවන අතර එහි මැද සාල 2 ක් නිදන කාමර 3 ක් කුස්සි 2 ක්බාත්රෑමි  2 ක් බැල්කෙනි  1 කින්  සමන්විතයි (උඩු මහල් 2 මසක කුලිය 45 000 යි)මෙම නිවාස 2 ම සදහා අවුරැද්දක අත්තිකාරමි බලාපොරොත්තු වේ,"27/7 kumaradasa place, wellampitiya .",2,1,"1,200.0 sqft",3.0 perches
