,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,"House for Rent in Galle - Kalegana , Mampitiya",10 Jul  9:46 pm,"Galle, Galle","22,500",Newly Built two bed rooms house. pantry and one bath room. Parking Facility available.3 Km to Richmond and Rippon College. 3.5 Km Mahinda Collage.  5km To Galle Town. 5Km to Karapitiya Base Hospital,Wataraka Road. Mampitiya,2,1,"1,200.0 sqft",8.0 perches
2,"['House for Rent in Galle - Kalegana , Mampitiya', '10 Jul  9:46 pm', 'Galle, Galle', '22,500', 'Newly Built two bed rooms house. pantry and one bath room. Parking Facility available.3 Km to Richmond and Rippon College. 3.5 Km Mahinda Collage.  5km To Galle Town. 5Km to Karapitiya Base Hospital', 'Wataraka Road. Mampitiya', '2', '1', '1,200.0 sqft', '8.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for Rent Galle Kalahe Wanchawala,17 Jul  1:34 pm,"Galle, Galle","30,000","2 story house is for rent Galle kalahe Wanchawala2 Bed rooms with attached bathrooms in upstairs with A/C , Hot water T.V setting area with big balcony Beautiful Paddy field view Surrounded by a wall and gates Security system available in Down floor 1 big bed room with fansseparate 1 small room with bathroom dining room with kitchen Fully tiled parking available for 2 vehicles All the facilities are available with furniture or without furniture 2 and half kilometer to Unawatuna beach 35 for without furniture 50 for with furniture Call for more information වෙල්යායට මුහුණලා පිහිටි අගනා දෙමහල් නිවස බදු දීමට ඇතගෘහ උපකරණ සමග හෝ නොමැතිවඉහල මාලයේ නිදන කාමර 2යි ඇටෑච් බාත් රූම් 2යිවිශාල සාලය සහ බැල්කනියපහල මාලයේ විශාල කාමර 1යි කුඩා කාමර එකයි බාත් රූම් 1යිකෑම කාමරයයිමුළුතැන්ගෙයයිසම්පූර්ණයෙන් ටයිල් අල්ලා ඇතගෘහ උපකරන රහිතව 35කිගෘහ උපකරන සහිතව 50කිවාහන 2ක් නැවත්විය හැකආරක්ෂක කැමරා පද්ධති ක්‍රියාත්මකව ඇතවටේට තාප්ප සහ ගේට්ටු දමා ඇතවැඩි විස්තර සඳහා විමසන්න","Kalahe, Wanchawala, Galle",3,3,"2,000.0 sqft",12.0 perches
4,House for Rent in Galle,20 Jul  3:10 pm,"Karapitiya, Galle","35,000","Newly constructed house for rentLooking for genuine familyLocated in karapitiya area and very close to general hospital (600m)there are two houses Ground and 1st floor.Ground - 40,000 LKR per month1st floor - 35,000 LKR per monthConstruction completed in last month including pantry, curtain, garden, fence wall and gate",Karapitiya,2,1,"1,400.0 sqft",10.0 perches
5,Jungle View House With Pool for Rent Galle,19 Jul 10:03 pm,"Galle, Galle","130,000","Cozy house for long term rent with swimming pool, designed by foreigners according to eu living standards, 3 bedrooms 2 bathrooms, furnished, fully equipped kitchen, ready to move in. Newly built roofed pavilion. Very nice trees, garden and jungle view. Very closed to Galle International College and Thomas Gall school ( 5-10 min. ) Price includes night watcher! WE ARE GOING TO SELL THE PROPERTY TOO.","Galle, Milliduwa",3,2,"2,500.0 sqft",27.0 perches
6,House For Rent - Galle,18 Jul 11:38 am,"Galle, Galle","75,000",Six Bed Rooms (Three are Air conditioned )Two Bathrooms + Servant BathroomFurnishedFully Equipped KitchenFully TiledHot WaterParking AvailableFor Long Term Rent,"4/31, Hirimbura Cross Road, Galle.",6,3,"3,000.0 sqft",12.0 perches
7,Up Stair of a House Suitable for Commercial Purposes Galle,18 Jul  9:44 am,"Galle, Galle","50,000","Fully tilled floor, equipped washroom. 4 bed rooms with one kitchen. Parking space available. separate water and electricity supply. ground floor entrance area also included. 2.8km from Galle town. Walking distance to Richmond, Sangamitta and Rippon college, beside wackwella road.",4,1,"1,650.0 sqft",16.0 perches,
8,House For Rent In Hikkaduwa,15 Jul 10:02 pm,"Hikkaduwa, Galle","60,000",Located in hikkaduwa tourism area.750m away from the hikkaduwa bus station & the railway station.Please Call for more details.,"John de silva mawatha,hikkaduwa",3,2,"1,064.0 sqft",11.0 perches
9,House For Rent In Karapitiya,12 Jul  5:46 pm,"Galle, Galle","30,000","Down stair of a newly constructed house with 3bed room,1 bath room,kitchen with pantry ,large living room,and 1 servants bath room ,parking space for two vehiclesclose to all leading school in galle town.walking distance to karapitiya hospital and to the constructing maternity hospital in Karapitiya and labuduwa HNDE","Karapitiya,Galle",3,1,"1,350.0 sqft",10.0 perches
10,House for Rent - Ambalangoda,12 Jul  5:08 pm,"Ambalangoda, Galle","30,000",1km for darmashoka college 600 m for dewananda college  1.5 km for Amblngoda town Cctv Wifi / internet Water Telephone Electricity Call for more information Thanks,No 7 R E DE SILVA ROAD AMBLNGODA,3,2,700.0 sqft,15.0 perches
11,Upstairs of A House Available for Rent. Karapitiya,12 Jul 11:07 am,"Karapitiya, Galle","20,000","•In Karapitiya, Godakanda•1.5 km to Karapitiya junction.•very decent and calm area.•Ideal for doctors,hospital staff and families.   ✓03 bed rooms.   ✓02 bath rooms.[01 attached]   ✓Living room.   ✓Balcony and roof top.[nice view]   ✓Seperate water and electricity bills.   ✓Two vehicles can be parked.   ✓Seperate entrance.•No brokers.",3,2,"1,100.0 sqft",12.0 perches,
12,House For Rent In Galle,12 Jul  5:23 am,"Galle, Galle","20,000",02 Bedrooms01 Attached BathroomKitchen with PantryClosed to Leading Schools (Mahinda/Richmond/Sangamitta)2 KM to Galle TownClam Environment,"No.24/A, Mahinda Mawatha, Bataganvila, Galle",2,1,"3,811.5 sqft",14.0 perches
13,House for Rent in Galle,11 Jul  8:14 pm,"Galle, Galle","43,000","2 storey housewalking distance to galle townpeaceful, safe neighborhood",saranankara rd Galle,3,2,"3,000.0 sqft",12.0 perches
14,දෙවන මහල බදු දිමට ඇත - අම්බලන්ගොඩ,11 Jul 10:25 am,"Ambalangoda, Galle","15,000",ප්‍රජාපතිය විද්‍යලය අසල තෙමහල් නිවසක වර්ග අඩි 850ක දෙවන මහල බදු දිමට ඇත.විමසන්න 🏚️🏚️🏚️🏚️🏚️🏚️,"wilegoda,ambalangoda",1,1,850.0 sqft,7.0 perches
15,Upstair House Rent - Dodanduwa,11 Jul  8:47 am,"Hikkaduwa, Galle","15,000","Furnished 2 bed room upstair house in a decent residential  area with bathroom,pantry along with dining area,living area and balcony","sri saranajothi mawatha,modara patuwatha,dodanduwa",2,1,"1,600.0 sqft",33.0 perches
16,House For Rent In Dangedara,11 Jul  1:56 am,"Galle, Galle","40,000",Special for Commercial purpose Suitable for Show room / Store / Tuition Classes / Residential ,4,1,"2,000.0 sqft",20.0 perches,
17,House for Rent Galle Minuwangoda,10 Jul  6:51 pm,"Galle, Galle","100,000","ගාලු නගරයෙන් දෙමහල් නිවස හා ඉඩම බදු දීමටප්‍රදාන නගර යෙන් 14 පර්ච් ගොඩනැගිල්ල හා ඉඩම.වියාපාර සදහාද සුදුසුයි.සාල 3 , නිදන කාමර 6 , කුස්සි 3, නාන කාමර 3.රථගාලප්‍රදාන පාසල් වලට මැදිව (මහින්ද,සංගමිත්ත,ඇලොසියස්,කොන්වන්ට්,විද්‍යාලෝක).ගාලු නගරයේ ඇති ප්‍රදාන අමතර පන්ති වලට ආසන්නව.නිවාස 3 ලෙස වෙන් වෙන්ව උවද බාවිතා කල හැකි ලෙස සකසා ඇත.ලමුන් සදහා බොඩිමක් ලෙසද බාවිතා කර හැකිය.(සංගමිත්ත)ජල විදුලි පහසුකම් ඇත.සියලු පහසුකම් සහිතයිවැඩි විස්තර සඳහා විමසන්නConvenient location is for rent out near Minuwangoda Junction GalleGood location for Office space, Quarters, ware house or a hostel All the facilities are available 6 Rooms 3 Kitchens 3 Bath rooms Parking available Garden available Separate access walking distance to Galle town andSituated face to Wackwella main Road Call for more information","Wackwella Road, Minuwangoda, Galle",6,3,"3,500.0 sqft",14.0 perches
