,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,House for Rent - Panadura,25 May  3:28 pm,"Panadura, Kalutara","28,000",# fully tiled ajoining  upstair house for rent (near sri  sumangala boys school )# 2 bed rooms # 1 kitchen # living rooms# attached bathroom # garage # separate electricity and water,"Kaviraja mw, panadura",2,1,"1,500.0 sqft",6.0 perches
2,"['House for Rent - Panadura', '25 May  3:28 pm', 'Panadura, Kalutara', '28,000', '# fully tiled ajoining  upstair house for rent (near sri  sumangala boys school )# 2 bed rooms # 1 kitchen # living rooms# attached bathroom # garage # separate electricity and water', 'Kaviraja mw, panadura', '2', '1', '1,500.0 sqft', '6.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,A Spacious House for Rent Kalutara,13 Jul  7:14 pm,"Kalutara, Kalutara","28,000",DETAILS:~ 3 bedrooms~ 2 bathrooms~ 2km to Kalutara city centre~ 150m to Galle road~ plenty of storage space~ large garage~ fruit bearing trees ~ house secure from all sides~ excellent residential environment,3,2,"2,475.0 sqft",27.0 perches,
4,Rent House (Top Floor) in Panadura,19 Jul  3:06 pm,"Panadura, Kalutara","25,000","# Top floor for Rent# walking distance to panadura town# very close to hospital , bus station and shops# fully tiled, freshly painted# separate electricity and water # 3 bed rooms,1 bathroom land size 10 perches # Very nice and quite surrounded area","Silva rd,  Panadura",3,1,"1,200.0 sqft",10.0 perches
5,House for Rent in Kalutara North,20 Jul 11:51 am,"Kalutara, Kalutara","40,000","Fully Furnished House Available for Rent in Kalutara North, Kalutara.",3,1,"4,000.0 sqft",15.0 perches,
6,A Spacious House for Rent Kalutara,13 Jul  7:14 pm,"Kalutara, Kalutara","28,000",DETAILS:~ 3 bedrooms~ 2 bathrooms~ 2km to Kalutara city centre~ 150m to Galle road~ plenty of storage space~ large garage~ fruit bearing trees ~ house secure from all sides~ excellent residential environment,3,2,"2,475.0 sqft",27.0 perches,
7,House for Rent - Panadura,19 Jul 11:30 am,"Panadura, Kalutara","19,000","Upstair house, 20 Meters from Panadura - Bandaragama Main Road. Ideal for a small family.No Parking space.","Alubomulla, Panadura",2,1,600.0 sqft,5.0 perches
8,House for Rent in Kalutara,18 Jul  4:34 pm,"Kalutara, Kalutara","28,000","House for rent or lease in Central junction Heenatiyangala Road, Nagoda, Kalutara (1 km for Nagoda Hospital)2 store house upstairs  for rent separate entry separate water bill & electricity billparking space available.Two spacious rooms, Veranda, Kitchen, Bathroom  fully tiled  house","No.287/1, Heenatiyangala Road, Nagoda, Kalutara",2,2,"2,000.0 sqft",23.0 perches
9,House for Lease - Horana,18 Jul  1:14 pm,"Horana, Kalutara","20,000","Facing to D B L Gunasekara Mw., (Ovitiyagala Road) which is 1.5Km from Horana town and about 600m from Horana Court Complex. Attached bathroom/4 bed rooms/ Living & Dining area/ Kitchen in good condition. Expecting 6 months advance payment.",Horana,2,1,"1,500.0 sqft",4.0 perches
10,House For Rent In Horana,18 Jul 10:40 am,"Horana, Kalutara","35,000",4 Bedroom house for rent or lease Pantry and a separate kitchen With a large garden of 80 purchasesParking space for 4 to 5 vehiclesGarage for  1 vehicle2 kms to townDropped pinNear Horana,"Munagama, Horana",4,1,"2,600.0 sqft",80.0 perches
11,Brand New Upstair House In Panadura,17 Jul 12:48 pm,"Panadura, Kalutara","45,000","For Rent Rs. 45,000.00 per monthHouse is located in Panadura Road, 100m away from Panadura Town. Good Location. Close proximity to super markets, banks, schools, bus stand,and 75m away from The Panadura Beach etc. separate access and entrance available for each unit. Parking available for a small vehicle. ",2,1,"2,450.0 sqft",10.0 perches,
12,House for Rent - Panadura,14 Jul 12:21 pm,"Panadura, Kalutara","25,000",# fully tiled with 3 bed room house# parking # living room# attached bathroom,"Ejantha wanguwa, hirana , panadura",3,1,"1,800.0 sqft",18.5 perches
13,House for Rent at Bandaragama,14 Jul 11:32 am,"Bandaragama, Kalutara","25,000",Close to Galanigama  highway entrance.,3,1,900.0 sqft,11.0 perches,
14,House For Rent In Panadura,14 Jul 11:32 am,"Panadura, Kalutara","25,000","House is situated in quit and calm place6 month key money is requiredThere are 3 rooms , 1 bathroom and kitchenFood city, Sathosa and all the facilities are near by.Just 5-10 minutes to Panadura town and located 50-100 meters from galle road in beach side.",3,1,"1,800.0 sqft",30.0 perches,
15,House For Rent In Kalutara,13 Jul  1:28 pm,"Kalutara, Kalutara","30,000",House For Rent in Kalutara,Kalutara,4,2,"1,500.0 sqft",10.0 perches
16,House for Rent Panadura,12 Jul  9:20 pm,"Panadura, Kalutara","20,000","6 Months Key money, 02, bed rooms, Dining room, kitchen and bathroom","81/3, Sri Jina Mawatha , Keselwatta, Panadura",2,1,"1,000.0 sqft",7.0 perches
17,House For Rent In Panadura,12 Jul  1:11 pm,"Panadura, Kalutara","22,000","2 Bed Rooms With Complete House For Rent In Panadura,","Gorakana, Kaduruduwa, Panadura.",2,1,"1,850.0 sqft",10.0 perches
18,House for Rent in Panadura ( Upstair ),15 Jul 10:18 am,"Panadura, Kalutara","45,000","New upstair house near panadura hospital.¤ Two bed rooms. One bathroom. Master bed rokmkom with air conditioner. Fully tiled and with furniture.¤ Seperated entrance with a gate. Separate electricity. Separate water.¤ Spacious front ground with vehicle parking.¤ Lobby, dinning, balcony, kitchen included.¤ Very silent and decent place just 200m away from Galle road. Supermarkets, pharmaceuticals, private hospitals, International schools, police station, bus stands, railway stations, restaurants are at close proximity.¤ Looking for long/short term periods. Specially, suitable for small family.","No.20, Sangamith mawatha, Panadura.",2,1,"1,500.0 sqft",6.0 perches
19,1st Floor House for Rent - Panadura.,12 Jul  9:24 am,"Panadura, Kalutara","25,000",•1st floor house for rent at Panadura.,2,1,"1,300.0 sqft",8.0 perches,
20,House For Rent (Lower Level) In Kalutara,11 Jul  2:57 pm,"Kalutara, Kalutara","40,000","The lower level of a modern house with 3 bedrooms and 3 bathrooms with boundary walled land for lease. Situated about 1.8Km from Kalutara Galle Rd clock tower, near the PTS Aluwihara ground, approx. 40 minutes to Colombo via Expressway. Complete tiled flooring including two en-suite master bedrooms. Well and street water supply. A quiet and village-like neighborhood. Kitchen with granite pantry top, polished class one timber cupboards, and under-mount sink. Extra detached kitchen with servant facilities (bath, toilet & room).  An open car porch for two vehicles, entrance lobby with a spacious balcony. The ½ acre land with the vegetation of matured coconut, clove, jackfruit, and mango trees. Kalutara South Town, Nagoda Public Hospital, Phillips Memorial Hospital, Police Training School, supermarkets, schools, ocean beaches, and other amenities are within the radius of two to three kilometers. Available for rent from 1st August/Sept. Please call on the phone number below or via",3,3,"2,000.0 sqft",80.0 perches,
21,House for Rent (upper Floor) - Panadura,10 Jul  2:24 pm,"Panadura, Kalutara","20,000","Face to Bekkegama main road, From Walana juntion 1km, Lycyem Primary school 500m,Fully Tiled, suitable for small family, No brokers, Six months refundable key money and monthly payment is must, Rent Rs.20,000/= per month,:","NO:76, Sethsiri, Bekkegama, Panadura.",2,1,"1,500.0 sqft",10.0 perches
22,House For Rent In Panadura, 9 Jul 11:08 am,"Panadura, Kalutara","45,000","House for Rent.Nice & Quiet Location.Rs 45,000/ Monthly.Water & Electricity bill Included.20 minites to Southern Express Way.10 minites to Panadura Town.Large Garden with Fruits & Vegetables free for Consumption during your Stay (Coconut,King Coconut, etc..)Fully Surrounded by Wall.Servant bathroom .6 months advance .",2,2,"1,800.0 sqft",40.0 perches,
23,House for Rent in Aluthgama, 9 Jul  6:11 am,"Alutgama, Kalutara","25,000","This house is situated at a walking distance to both Galle Road and Hettimulla railway station. Also closer to Aluthgama town. This is consist of 3 bed rooms, 2 kitchens, dinning area, living room and a bathroom.Both well water and main line water supply available. Visit us to experience a calm environment in a town.","Aluthwaththa,Hettimulla,Beruwala",3,1,300.0 sqft,20.0 perches
24,House for rent in Panadura (Adjoining to Lyceum International School), 9 Jul 10:10 am,"Panadura, Kalutara","40,000","House surrounded by the eco-friendly atmosphere. 3 minutes walking distance to the Lyceum International school, 7 minutes walking distance to the Panadura base hospital and Police Station. 1/2 km away from the Panadura town, walking distance to the Keells and Cargills supermarkets and to 3 famous restaurants.Consists of 4 Bed Rooms ( Master Bedroom with attached Bathroom) Sitting and Dining area, Varandha, Newly made Pantry, Kitchen, Servant Toilet, and Storeroom.Parking area for 3 Vehicles with Separate Garage",Arthur.V.Dies Mawatha-Panadura,4,2,"3,000.0 sqft",13.0 perches
