,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,House for Rent - Matara,15 Jul 10:04 am,"Matara, Matara","25,000","3 Bed Rooms - Dinning, Pantry, LivingAttached BathroomOut Toilet","No:53, Kaluwaragas Rd/-, Walgama, Matara.",3,2,"1,250.0 sqft",20.0 perches
2,"['House for Rent - Matara', '15 Jul 10:04 am', 'Matara, Matara', '25,000', '3 Bed Rooms - Dinning, Pantry, LivingAttached BathroomOut Toilet', 'No:53, Kaluwaragas Rd/-, Walgama, Matara.', '3', '2', '1,250.0 sqft', '20.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for Rent Matara Pamburana, 6 Jul  3:01 pm,"Matara, Matara","65,000","Opposite to Arpico Super Center, Pamburana, Matara. Newly built (2015) two stories building. Prestigious place for residence. Suitable for office also. 4000sqft.building area and roof top. Four spacious bed rooms. Child friendly balcony and staircases. Beautiful wooden pantry with cooker and cooker hood. More spacious bathrooms. Separate Servants bathrooms. 2000L water tank with sump in the ground floor connected to the water tank on the roof top. SLT connection. 15 feet wide road over three boundaries of the land. Parking space for three vehicles.  7 ft height boundary wall over the land. Call for more information මාතර පඹුරන ආර්පිකෝ සුපර්සෙන්ටර් ඉදිරිපිටපර්. 15ක ඉඩමෙහි 2015 ඉදිකරන ලද වර්ග අඩි 4000කින් යුත් සම්පූර්ණයෙන් ටයිල් කරනලදදෙමහල් ගොඩනැගිල්ල නිවසකට හෝ කාර්යාලයකට බදු දීමට ඇත.නවීන පන්නයේ මුළුතැන්ගෙය, නාන කාමර, සේවකයින් සඳහා වෙන් වූ නාන කාමර සහිතයිරූෆ්-ටොප් ඇතජලය විදුලිය දුරකථන පහසුකම් ඇතුළු සියලු පහසුකම් ඇතතාප්පයකින් සහ ගේට්ටුවකින් වටවූ දේපල වටා අඩි 15ක මාර්ගයකිපරිශ්‍රය තුල වාහන 3ක් තැවත්වීමට පහසුකම් ඇති අතරතවත් වාහන නවත්වාලීමේ පහසුකම් ඇතරූෆ්-ටොප් මත ඇති ජල ටැංකියට අමතරව සම්පයක් මගින් ජලය සැපයීමට බිම් මහලෙහි ලීටර 2000 ජල ටැංකියකි.වැඩි විස්තර සඳහා විමසන්න","Anagarika Dharmapala Mw, Pamburana, Matara",4,2,"4,000.0 sqft",15.0 perches
4,House for Rent Matara,11 Jul  3:33 pm,"Matara, Matara","32,000","මාතර රාහුල පාර 2 වන පටුමඟ , YMBA ඉදිරිපිට අංගසම්පුර්ණ නිවස බදු දීමට ඇත.","15/4, 2 වන පටුමඟ, රාහුල පාර, මැද්දවත්ත, මාතර.",3,2,"1,125.0 sqft",6.0 perches
5,House for Rent in Matara,11 Jul  1:55 pm,"Matara, Matara","25,000","Two Apartments For rent On Matara, Each One Has Two Bedrooms , Living Room, Pantry And Two Bathrooms. About 600 Meters To Rahula College And Sujatha Vidyala Clam Surrounding.","5/11, Pasal Mawatha, Matara. (Matara Maha Vidyalaya Road)",2,2,"1,200.0 sqft",7.9 perches
6,House for Rent Matara,20 Jul 10:49 am,"Matara, Matara","23,000","Dinning Room, Pantry, Living Room, Veranda, Titled Upstair House","Abhaya Place, Nupe,  .",2,1,"1,800.0 sqft",10.0 perches
7,House for Rent Weligama,19 Jul  3:03 pm,"Weligama, Matara","35,000","3 bed rooms, livingbroom, dining area, kitchen, toilet and sharing bathroomContact numbers -",3,1,"1,000.0 sqft",11.5 perches,
8,House For Rent In Matara,16 Jul  8:09 am,"Matara, Matara","25,000","Upstair house with 4 bed rooms,1 bath room, living , dining and kitchen for rent in madiha matara. 100M away from galle matara main road.","Madiha,Matara",3,1,"1,500.0 sqft",10.0 perches
9,House for Rent in Weligama,17 Jul 12:29 pm,"Weligama, Matara","35,000",5 Rooms 2 Stories House upstairs 2 Bedroom/ Hall / Big BathroomDown Stairs 3 Bedroom / Hall/  Bathroom600M For Weligama Town500M For Weligama Surfing BeachOnly Foreigners,75 Agrabodi Mawatha Weligama,5,2,"1,800.0 sqft",30.0 perches
10,House for Rent - Matara,15 Jul 10:04 am,"Matara, Matara","25,000","3 Bed Rooms - Dinning, Pantry, LivingAttached BathroomOut Toilet","No:53, Kaluwaragas Rd/-, Walgama, Matara.",3,2,"1,250.0 sqft",20.0 perches
11,House for Rent in - Matara,14 Jul  8:47 pm,"Matara, Matara","30,000","2 mins walking distance to Galle road (Asiri Hospital). In front of Dekma Institute.500m walking distance to Rahula College and Sujatha Vidyalaya.Two story house. Ground floor and First floor seperated. (Ground floor Rs.20,000/ First floor Rs. 30,000)Parking Available for 2 vehicles",3,1,"2,000.0 sqft",10.0 perches,
12,House For Rent In - Matara Town,18 Jul  4:02 am,"Matara, Matara","60,000","All Facilities Including Ample Parking Are Available in Addition to A Large Sitting & Dining Rooms. Walking Distance to Sujatha, Rahula and Matara Maha Vidyalaya.Ideal for Stores, Office, Medical Centre Etc. & Residential Purpose.",Close to end of Rahula cross road,4,2,"2,000.0 sqft",52.0 perches
13,House for Rent in Baththaramulla., 9 Jul  5:29 pm,"Matara, Matara","95,000",4 bed rooms / 3 toilets 2 rooms with A/CGarage with roller gateLiving roomsKitchen Maids room/ Toilet,"No.155, Robert Gunawardena Mawatha, Baththaramulla",4,3,"3,500.0 sqft",8.0 perches
14,House for Rent in Matara,15 Jul  6:57 am,"Matara, Matara","24,000","Newly built house for rent(ground floor)Located in beautiful,calm and quite surrounding. Decent neghibours.Very spacious landAmple parking space. For 3 cars under the porch. All tiled floor, 2 bed rooms,bathroom,living area,kitchen and external toilet. Nearly 200m to Highway entrace2.5km to town (5-10min drive)Please call for more info.","Godagama,matara",2,1,"1,200.0 sqft",30.0 perches
15,House for Rent Matara, 3 Jul 12:36 pm,"Matara, Matara","20,000",Walking Distance To Walgama Junction And Railway Station. Quite Place,"19/32, 6th Cross Rd/-, Samagi Mw/-, Walgama, Matara.",2,1,"15,000.0 sqft",20.0 perches
