,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,Luxury House In Anuradhapura, 2 Jul  3:33 pm,"Anuradhapura, Anuradhapura","12,500,000","◼️New Town Anuradhapura￼Three storied house￼6 Bedrooms with 2 A/C Rooms And 4 Bathrooms. ￼Three phase electric meter. ￼Hot water. ￼CCTV 8 Camera ￼2 Pantries ￼Can park 5 vehicles ￼Residential are￼Sinnakkara oppu ￼Full tiled & Full Curtained ￼Situated close to Sussex college, Cambridge school and DS College, banks, supermarkets, commercial outlets, restaurants, hotels etc. General Hospital 5 minutes. ","New town , Anuradhapura",6,4,"4,000.0 sqft",10.0 perches
2,"['Luxury House In Anuradhapura', ' 2 Jul  3:33 pm', 'Anuradhapura, Anuradhapura', '12,500,000', '◼️New Town Anuradhapura￼Three storied house￼6 Bedrooms with 2 A/C Rooms And 4 Bathrooms.\xa0￼Three phase electric meter.\xa0￼Hot water.\xa0￼CCTV 8 Camera\xa0￼2 Pantries\xa0￼Can park 5 vehicles\xa0￼Residential are￼Sinnakkara oppu\xa0￼Full tiled & Full Curtained\xa0￼Situated close to Sussex college, Cambridge school and DS College, banks, supermarkets, commercial outlets, restaurants, hotels etc. General Hospital 5 minutes.\xa0', 'New town , Anuradhapura', '6', '4', '4,000.0 sqft', '10.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for sale in Eppawala,25 Jun 11:07 am,"Eppawala, Anuradhapura","6,800,000","එප්පාවල නගරයට කිලෝමීටර් 1.5ක් දුරින් තඹුත්තේගම පාරේ පිහිටි අංග සම්පූර්ණ නිවස, සම්පූර්ණයෙන් ටයිල් කර සිවිලිම් ගසා ඇත. නිදන කාමර 04 යි. කෑම කාමරය, කුස්සිය,නාන කාමරය සහ වාහන 03 ක් ස`දහා ගරාජය, ලිං ජලය පර්චස් 80 ඉඩමේ කොස් දෙල් බුරුත තේක්ක පොල් අඹ වගාකර ඇත.නිරවුල් ඔප්පු නිස්කලංක පරිසරයවැඩි විස්තර සදහා අමතන්න","Thabuththegama Road,Eppawala, Anuradhapura.",4,1,"1,600.0 sqft",80.0 perches
4,House for Sale in - Kakirawa,20 Jul  4:48 pm,"Kekirawa, Anuradhapura","2,425,000",Carmful Environment . Electracity & Water Facility.,2,1,"1,000.0 sqft",30.0 perches,
5,House and Land for Sale - Thalawa,20 Jul  4:44 pm,"Anuradhapura, Anuradhapura","4,000,000",අනුරාධපුර කුරුණෑගල ප්‍රධාන මාර්ගයේ 57  තලාව නගරයට ආසන්නව මිහිරිගම පිහිටි පර්චස් 41 ඉඩම හා කාමර 3 නිවස විකිණීමට අනුරාධපුර නගරයට විනාඩි 15 ජල විදුලිය ඇතුලු සියලුම පහසුකම් සහිතයිAnuradhapura Thalawa mihirigama land and house for sale,mihirigama thalawa anuradhapura,3,1,"1,000.0 sqft",41.0 perches
6,Looking for The Best House to Live at Anurdhapura,18 Jul  8:32 pm,"Anuradhapura, Anuradhapura","20,000,000","Paradise at this point!!! The house is a two story house that includes 2 bedrooms with atached bathrooms in upstairs and 2 other bedrooms and again 2 other  guests' rooms in downstairs with a common bathroom and also the gym room, dining area and the TV area is there... There's a luxurious kitchen with two steps with pantry cupboards  in downstairs and also a living area wth two steps... There's a parking area and a wide garden around the house...","27/B, Pubudupura, Anurdhapura.",6,3,"3,000.0 sqft",30.0 perches
7,House in Anuradhapura,18 Jul 10:34 am,"Anuradhapura, Anuradhapura","3,000,000","kamara 4,kitchen,salaya,current & water only.","No:05 gammanaya,38 kanuwa,mahabulankulama",4,1,"2,048.0 sqft",80.0 perches
8,තලාව අලුතින් ඉදිකරන ලද නිවස සහ ඉඩම විකිණීමට ඇත,17 Jul  1:23 pm,"Talawa, Anuradhapura","15,000,000",මෙම ඉඩම සහ නිවස අනුරාධපුරයට ආසන්නව ඉතා සිසිල් හා සාමකාමී ප්‍රදේශයක පිහිටා ඇති අතර සියලු පහසුකම් ඇතුළත් වේ. ඊට අමතරව පොල් ගස් 20 ක් සහ වෙනත් ප්‍රයෝජනවත් ගස් වේ,"තලාව,අනුරාධපුර",2,2,"1,500.0 sqft",240.0 perches
9,House For Sale In Anuradhapura,14 Jul  5:06 pm,"Anuradhapura, Anuradhapura","9,500,000","අනුරාධපුර ප්‍රධාන  නව නගරයට ඉතා නුදුරින් ජල , විදුලි පහසුකම් සහිත අංග සම්පූර්ණ නිවසකි.සින්නක්කර ඔප්පු සහිතයි","No.2624, Stage III, Anuradhapura",3,1,"1,500.0 sqft",17.08 perches
10,"Freehold Title Old House For Sale In 2nd Stage, Anuradhapura",12 Jul  2:10 pm,"Anuradhapura, Anuradhapura","26,600,000","Freehold Title Old House with a Bare Land for Sale in 2nd Stage, Anuradhapura","Freeman Road, 2nd Stage",5,2,"2,500.0 sqft",31.35 perches
11,Tjc Mango Cultivated Holiday Bunglow Anuradhapura,12 Jul  1:42 pm,"Anuradhapura, Anuradhapura","12,500,000","-House for sale Anuradhapura- No 135, Baladaksha Mawatha, Anuradhapura.- - 210 Perches Land- 2300 Sqft- 05 Bedrooms- 04 Bath rooms- 01 Servant Toilet- Fully Tilled - Finishing roof with celling, Living/Dining, Open Veranda, TV Room, Study Room- Beautiful Full pantry with  granite Table top- Pantry / Kitchen- Parking space for 5 Vehicles- Car Porch- Beautiful Landscaping Garden Area- Price 135 Lakhs (12.5 Million). Negotiable",Baladaksha mawatha,5,4,"2,300.0 sqft",210.0 perches
12,Comfort House for Sale Anuradhapura,11 Jul 10:47 am,"Anuradhapura, Anuradhapura","32,500,000",TWO STORY HOUSE with 30 Perches. Near at New Bus Stand (500m) in Anuradhapura.Very close to town area.Main bus routes are also near.House covered by wall.Well protected area.Excellent Neighborhood + Play Ground and Children ParkSinnakkara Oppu included.Can park 4 vehicles.,"No.3053, Stage 3, 4th Lane, Pubudu Mawatha",6,3,"8,167.0 sqft",30.0 perches
13,House for Sale - Anuradhapura,10 Jul  2:29 pm,"Anuradhapura, Anuradhapura","20,500,000","House for sale Anuradhapura- 1393/7, Nagasena Mawatha, Anuradhapura. - 200 Meters to Alakamanawa Hotel, Anuradhapura. - 20 Perches Land - 2750 Sqft - 04 Bedrooms - 02 Bath rooms - 01 Servant Toilet - Fully Tilled (Tera Kotta) - Finishing roof with wooden celling, Living/Dining, Open Veranda, TV Room, Study Room- Beautiful Full pantry with Table top- Pantry / Kitchen- Parking space for 3 Vehicles- Car Porch- Separate Space for Washing Machine- Beautiful Landscaping  Garden Area- Price 205 Lakhs (20.5 Million). Negotiable- Contact : Asoka","1393/7, Nagasena Mawatha, Anuradhapura.",4,2,"2,750.0 sqft",20.0 perches
14,House for Sale in Anuradhapura, 4 Jul 11:06 am,"Anuradhapura, Anuradhapura","5,600,000","කාමර 02, සාලය සහ කුස්සියඅමතර කුස්සියක් සහ බාත්රූම් එකක් ඇත. රතු සිමෙන්ති පොළව.වටේටම ස්තෝප්පුව ඇත.වත්තේ පොල් කොස් සහ පලතුරු ගත් ඇත. බදු දීමට නම් මාසිකව 25,000 කි.","No 14/1, Godage Waththa, Pooja Nagaraya, Anuradhapura",2,2,"1,600.0 sqft",14.0 perches
15,House for Sale - Mihinthale,14 Jul  2:53 pm,"Mihintale, Anuradhapura","7,500,000",අනුරාධපුර මිහින්තලය ප්‍රධාන මාර්ගයට මුහුණලා ඇති කන්නට්ටිය පිහිටි නේවාසික හා ව්‍යාපාරික නිවස හා ඉඩම විකිණීමට වැඩ නිම වෙමින් පවතින කාමර 4  සාලය මුලුතැන්ගෙය සමන්විත නිවස හා 35*20 ප්‍රමාණයේ කඩ කාමර හා පර්චස් 28 පිරිසිදු ඔප්පු සහිත  ඉඩම විකිණීමට (ජය භුමි ඔප්පු - පර්චස් 10 වුවද කොටස් කල හැකි පරිදි සංශෝධනය කර ඇත )අනුරාධපුර නගරයට කි.මි.12මිහින්තලය නගරයට කි මි 1  1/මුදල් හදිස්සියකට ඉක්මනින් විකිණීමට,Kannatiya mihinthale,4,1,"2,500.0 sqft",28.0 perches
16,House for Sale - Anuradhapura, 2 Jul 11:59 am,"Anuradhapura, Anuradhapura","13,500,000",Isuru bumi deedPurchase 22Two Storage houseFull tilledwith Annex separate water electricityPl. call genuine buyersImmediate sale,Behind Rathnayaka Vidyalaya Anuradhapura,5,2,"1,750.0 sqft",22.0 perches
17,වැඩ නිම කල නිවස හා ඉඩම විකිනිමට - තඔුත්තේගම,10 Jul 11:43 am,"Tambuttegama, Anuradhapura","7,900,000","පර්චස් 25.වැඩ නිමකල නිවස හා ඉඩම, කාමර 4 ,කෑම කාමර 1 , සාලය, ස්ටෝරු කාමරය, කුස්සිය, ටොයිලට් බාත්රූම්, වාහන නවතා තැබීමේ පහසුව, පොල් ගස් 10, කොස් ගස්1 , කොහොඹ 1 , අඹ 1, පාරේ සිට දුර 150m. ජලය හා වුදුලිය සහිතයි. මහවැලි බලපත්‍ර හිමි...","K.R. දිසානායක, අංක 1055, තම්මැන්නෑපුර , තඹුත්තෙගම.",4,1,"1,000.0 sqft",25.0 perches
18,House for Sale Anuradhapura,16 Jul 10:11 pm,"Anuradhapura, Anuradhapura","20,000,000","අනුරාධපුර තිසාවැව අභියස, ජය ශ්‍රී  මහා බෝධින් වහන්සේ අභියස දෙමහල්. නිවසක් වෙළද සැල ද එහි ඇති භාණ්ඩ ද සමග විකිණීමට ඇත. දැනට ඉහල මහල රු 10000 කට කුලී පදනම මත දී ඇත. වෙළද සැලෙන් මසකට රු 30000ක පමණ ආදායමක් ලබා ගත හැක. නිදන කාමර 6, නාන කාමර 03, සාල දෙකයි. ජල සැපයුම් දෙකක් හා විදුලි පහසුකම්, අනුරාධපුර නගරයට කි.මී. 4යි. මිල කතා කර ගත හැක. රු කෝටි දෙකයි.                                                                                               මිලගණන් කතා කර අඩු කර ගත හැක.","Tissawewa, Anuradhapura",6,3,"1,400.0 sqft",15.0 perches
19,Ugent Sale House with Land Parasangaswewa, 8 Jul  2:09 am,"Anuradhapura, Anuradhapura","2,000,000",Clear deed.Clear current supply.Clear watter supply.80 Perches Land.From Land 100M to Anuradhapura Wauniya main Road.Call for more details,"112 Katukuliyamkulama, Parasangaswewa",2,1,"1,905.75 sqft",80.0 perches
20,Luxury House In Anuradhapura, 2 Jul  3:33 pm,"Anuradhapura, Anuradhapura","12,500,000","◼️New Town Anuradhapura￼Three storied house￼6 Bedrooms with 2 A/C Rooms And 4 Bathrooms. ￼Three phase electric meter. ￼Hot water. ￼CCTV 8 Camera ￼2 Pantries ￼Can park 5 vehicles ￼Residential are￼Sinnakkara oppu ￼Full tiled & Full Curtained ￼Situated close to Sussex college, Cambridge school and DS College, banks, supermarkets, commercial outlets, restaurants, hotels etc. General Hospital 5 minutes. ","New town , Anuradhapura",6,4,"4,000.0 sqft",10.0 perches
21,House for Sale - Anuradhapura, 1 Jul 12:58 pm,"Anuradhapura, Anuradhapura","26,000,000","Near to Deepani School.1km to Kada panaha junction.Land Size - 95 per (Including to the teak, coconut, jack)",Anuradhapura.,4,2,"1,500.0 sqft",90.0 perches
22,House and Land for Sale Anuradhapura,30 Jun  6:06 pm,"Anuradhapura, Anuradhapura","15,500,000",අනුරාධපුර ගුවන්තොටුපළ පාරේ ජය මාවතේ පිහිටි රන්බිම ඔප්පු සහිත පර්චස් 37 ඉඩම හා අංගසම්පූර්ණ කාමර 3 පහල මාලය සහිත නිවස විකිණීමටශික්ෂණ රොහලට කි.මි 1,jaya mawatha airport road anuradhapura,3,2,"1,700.0 sqft",37.0 perches
23,House for sale in Eppawala,25 Jun 11:07 am,"Eppawala, Anuradhapura","6,800,000","එප්පාවල නගරයට කිලෝමීටර් 1.5ක් දුරින් තඹුත්තේගම පාරේ පිහිටි අංග සම්පූර්ණ නිවස, සම්පූර්ණයෙන් ටයිල් කර සිවිලිම් ගසා ඇත. නිදන කාමර 04 යි. කෑම කාමරය, කුස්සිය,නාන කාමරය සහ වාහන 03 ක් ස`දහා ගරාජය, ලිං ජලය පර්චස් 80 ඉඩමේ කොස් දෙල් බුරුත තේක්ක පොල් අඹ වගාකර ඇත.නිරවුල් ඔප්පු නිස්කලංක පරිසරයවැඩි විස්තර සදහා අමතන්න","Thabuththegama Road,Eppawala, Anuradhapura.",4,1,"1,600.0 sqft",80.0 perches
24,House for Sale in Anuradhapura, 1 Jul 12:43 pm,"Anuradhapura, Anuradhapura","9,000,000","අනුරාධපුර නව නගරයට කිලෝමීටර 2යිපර්චස් 14තාප්පය බැද ඇත.අංග සම්පූර්ණ නව නිවස විකිණීමට ලක්ෂ 90 යි.ජයභූමි ඔප්පුවක් ඇත.ටී වී රූම් 01, කෑම කාමරය, කිචන් , බාත්රූම් එක හා වාහන දැමීමට ගරාජයක් සහිත නිවසනිවසට ආසන්නවම කාපට් සහ තාර යෙදූ පුළුල් මාර්ගයජය ශ්‍රී මහා බෝධිය, රුවන්වැලිසෑයට විනාඩි 15 කින් ලගා විය හැක. මුලු නිවසම ටයිල් කර, සිවිලින් ගසා ඇත.","No 2/9, Pubudupura, Anuradhapura",4,1,"1,700.0 sqft",14.0 perches
25,House For Sale In Anuradhapura, 4 Jul  2:59 am,"Anuradhapura, Anuradhapura","4,100,000","කහටගස්දිගිලිය   නගරයට අසන්නව අනුරාධපුර  පරේ නිවසක් සහිත ඉඩමක් ඉක්මනින් ව්කිණිමට ඇත. (කමර 5 ,නානකමර 1 , ගබඩා කමර 1 ,කැම කමර  1 ,පිටත toilet  2) ම්ල ගණන් සාකච්ඡා කරගත හැක.අමතන්න (මුල්ම ඇමතුමට ගනකට අවොත් දෙනවා  ඉක්මනින්  අමතන්න )",5,1,"1,500.0 sqft",80.0 perches,
26,House for Sale - Anuradhapura,24 Jun  2:13 pm,"Anuradhapura, Anuradhapura","30,000,000","New architected designed modern house for sale at 2553,stage 3,Anuradhapura.5 air conditioned rooms with 5 bath rooms.48 perches land with well maintained garden and parking area.Very close to new town of the Anuradhapura and peaceful residential area.",5,5,"2,200.0 sqft",48.0 perches,
