,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,"5 Bed House For Sale In Athurugiriya , Habarakada",11 Jul  2:38 pm,"Athurugiriya, Colombo","18,500,000","...5 Bed House For Sale In 20 perches Land...5 bed room house with 3 wash rooms, space for parking 3 vehicles in, 20 perches land located 200m off Ranala Road, Athurugiriya.","Off Ranala Road, Athurugiriya, Habarakada.",5,3,"2,500.0 sqft",20.0 perches
2,"['5 Bed House For Sale In Athurugiriya , Habarakada', '11 Jul  2:38 pm', 'Athurugiriya, Colombo', '18,500,000', '...5 Bed House For Sale In 20 perches Land...5 bed room house with 3 wash rooms, space for parking 3 vehicles in, 20 perches land located 200m off Ranala Road, Athurugiriya.', 'Off Ranala Road, Athurugiriya, Habarakada.', '5', '3', '2,500.0 sqft', '20.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,New House Athurugiriya, 6 Jul 10:02 am,"Athurugiriya, Colombo","11,450,000",New HOUSE in  ATHURUGIRIYA9 perch LAND with House1340 sqft3 Bedroom 3 Barthroom living room and kitchen Pentry Rolling Gart Garden1 Comment Bathroom15 ft wide Road Enters50 meter From Main road500 meter From Main road Homagama Athurugiriya2 Kms from Mileniuam City6 Kms Malabe Twon4 Kms from Kaduwela Twon4 Kms Experswey AthurugiriyaTotal price Rs 11.45Clear DeedsTo inspect the Land - Please inform 2 hours before,Koratota Athurugiriya,3,3,"1,340.0 sqft",9.3 perches
4,Two Story Luxury House for Sale Athurugiriya, 7 Jul  9:15 pm,"Athurugiriya, Colombo","28,000,000","Brand New Two Storied Super Luxury House for Sale in Athurugiriya, close to Ariyana Resort Apartments. Built on 9  Perches Land & 3,600 Sq.Ft floor area including beautiful roof terrace.","M D H Jayawardhana Mawatha, Athurugiriya",3,2,"3,600.0 sqft",9.0 perches
5,Newly built house for sale - Athurugiriya,21 Jul 12:50 pm,"Athurugiriya, Colombo","8,400,000",Newly built house2.5km to Athurugiriya junction 800m 697 bus route 20 ft wide roadvery good neighbourhood,3,1,"1,200.0 sqft",7.3 perches,
6,A brand-new house in Athurugiriya,20 Jul  9:53 pm,"Athurugiriya, Colombo","16,000,000",This brand new two storied house for sale in highly residential neighborhood nearby Authurugiriya city with 500m to main bus road. 1. Facilities: 4 bedrooms and 2 bathrooms; large living room; TV lobby ; pantry; brick wall built; Servant bathroom; fully tiled ; finishing roof; hot water.2. House is fully secured by high protective wall and roller gate.3. House is directly facing to a 15 feet road.,4,3,"2,200.0 sqft",7.0 perches,
7,"House for Sale in Security Zone, Millennium City, Athurugiriya",20 Jul  5:47 pm,"Athurugiriya, Colombo","28,500,000","Recently build fully tiled two story house for sale in 24 hour security zone in Millennium city, AthurugiriyaOne km for Athurugiriya townTwo km for southern highway entranceClose to Malabe SLIIT, CINEC campus, Horizan international schoolLarge green pocket available in front of the houseHighly residential area6 bedroom4 Bathroom ( 3 wired for hot water)Living area, Dining and TV lobby2 verandaCar porch ( 2 vehicles can be parked)2 pantries ( upper floor & ground floor)Wet kitchenStore room/ servant room,  servant toilet2 overhead water tanks2 electricity metersSeparate entrance from outside for upper floor available from car poach ","Millennium City, Athurugiriya",6,4,"3,900.0 sqft",12.0 perches
8,Modern Three Storied House For Sale - Athurugiriya,20 Jul  2:46 pm,"Athurugiriya, Colombo","31,000,000","Brand New Three Storied House For Sale In Malabe Road, Athurugiriya.10 Perches , Landscaped garden area.","Malabe Rd, Athurugiriya.",4,5,"4,000.0 sqft",10.0 perches
9,Athurugiriya 3 Store House,20 Jul  1:46 pm,"Athurugiriya, Colombo","22,000,000",07 Bedrooms 02 Bathrooms Large Living RoomDining / Kitchen with Pantry Cupboard Beautifully Garden 7 Vehicles Parking Space Approved DocumentsRoller GateBounded Beautiful Faddy Field Water/ Electricity/ Telephone Highly Residential Area1 km to Main Road1.5 km to Athurugiriya Police Station 2.4 km to Athurugiriya Junction 3.1 km to Habarakada Junction 3.6 km to Athurugiriya Highway   Entrance Price 20.2M,Athurugiriya,7,2,"3,300.0 sqft",17.0 perches
