,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Beds:,Baths:,House size:,Land size:,
1,4 Br House 12p for Sale in Boralesgamuwa,14 Jul  7:32 am,"Boralesgamuwa, Colombo","15,000,000",BORALESGAMUWA – off Piliyandala Road (120 Bus Route) on Katuwawala - Maharagama Bus Route.  Solidly built 2 storied 4 Bed-roomed Upstair House of 1750 sq ft on 12 Perches of hard ground (not Marshy)!  ,4,3,"1,750.0 sqft",12.0 perches,
2,"['4 Br House 12p for Sale in Boralesgamuwa', '14 Jul  7:32 am', 'Boralesgamuwa, Colombo', '15,000,000', 'BORALESGAMUWA – off Piliyandala Road (120 Bus Route) on Katuwawala - Maharagama Bus Route.  Solidly built 2 storied 4 Bed-roomed Upstair House of 1750 sq ft on 12 Perches of hard ground (not Marshy)!  ', '4', '3', '1,750.0 sqft', '12.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,Brand New Luxury Two Story House Sale For Bokundara,18 Jul  7:09 pm,"Boralesgamuwa, Colombo","25,000,000",Super Luxury Two Story House Sale For Bokundara ,"Thumbovila Road, Bokundara",5,4,"2,690.0 sqft",10.0 perches
4,Land with Part Completed House for Sale - Boralesgamuwa,20 Jul 12:57 pm,"Boralesgamuwa, Colombo","9,500,000","100m to Colombo Horana bus route200m to Boralesgamuwa Junction2 bed rooms courtyard kitchen dinning living area , part completed house ( 3 story structure )Titanium flooring , car park",Boralesgamuwa,2,1,"1,100.0 sqft",5.0 perches
5,2 Story 9P House for Sale Close to Maharagama - Boralesgamuwa,18 Jul  6:46 pm,"Boralesgamuwa, Colombo","19,700,000",2 story 9p House for Sale Embillawatta Rd-Boralesgamuwa,Embillawatta Rd-Boralesgamuwa,3,3,"3,500.0 sqft",9.0 perches
6,Luxury House for Sale - Boralesgamuwa,20 Jul 10:08 pm,"Boralesgamuwa, Colombo","31,500,000","Ultra modern super luxury house in borelesgamuwa--------------600m to Borelesgamuwa  Junction 200 meters to Maharagama Road House Made By Bricks Wall(High Standard) 3phase ElectricitySpecious and stunning roof top terrace and lobby   Roller shutterGarden CCTVSolar Hot Water Servant Room Servant Bath Room Parking facility available For 4 Vehicle All amenites areas are nearby Attached bathrooms Living, Dining, Kitchen  4 Generous size  bed BedroomsSolid timber  Doors ,Windows And kitchen cabinetsUnique smart home featuresRemotely operative lighting system for turn lights on before entering the houseUSB charge ports every room &, bathroomsSmoke & fire detect stations on every floorMotion active micro sensored step lights for stair caseTwo way pole switches for A/CsColor changing ambient lights for out doorsWater filtering stationsCount down thermal timer for iron tableProvision for back up generatorProvision. For electrical car charging portUltra Moden European Kitchen fitted with handle free touch operative kitchen cabinets, slide out twin motor cooker hood ,glass flash back & glass cook topRechargeable pest control systemDedicated rubbish storing areaCental gas storage areMechnicaly ventilated superhygine bathrooms",4,3,"3,700.0 sqft",6.5 perches,
7,Brand New Luxury Two Story House Sale At Bokundara,21 Jul 11:57 am,"Boralesgamuwa, Colombo","23,500,000",Brand New Luxury Two Story House Sale For Bokundara,Bokundara Boralesgamuwa,4,3,"2,700.0 sqft",8.0 perches
8,Brand New House - Boralasgamuwa,21 Jul 10:53 am,"Boralesgamuwa, Colombo","31,500,000","Brand new luxury house specious 3 storied house for special offer4 rooms with 4 bath room including branded fittings. All the bed rooms attached & all the . CCTV with many more luxury features.Contact price 31.5 million.6.5 perch with wide roadclose to boralasgamuwa, & 120 bus road & also 119 bus road, Hose made very strongly with five star quality finish with very nice design & has uses number one timber . Latest design tiles & durable materials. Eye caching living rooms.This located at lovely place very close to the boralasgamuwa junction.two story modern house with all facilities. Conveniently peaceful well secured residential area in boralasgamuwa/maharagama. Less than 5 minutes to  boralasgamuwa  towns & Very convenience to Keels/ Cargills /Laughs supermarkets and the banks.Selling at urgently. just  completed..","pirivena road ,boralasgamuwa",4,4,"3,800.0 sqft",6.5 perches
9,2 Story New House for Sale Boralesgamuwa,21 Jul 11:11 am,"Boralesgamuwa, Colombo","29,500,000",2 Storey House For Sale in Piriwena Road Boralesgamuwa -----------Located just 600meters from the Main and is in a Highly Residential area in Boralesgamuwa,Boralesgamuwa,4,3,"3,250.0 sqft",6.5 perches
10,House for sale near the campus Wijerama Boralesgamuwa,20 Jul 10:54 pm,"Boralesgamuwa, Colombo","8,500,000",Clear documents.,2,1,"3,000.0 sqft",4.8 perches,
11,House for Sale in Raththanapitiya,20 Jul  7:12 pm,"Boralesgamuwa, Colombo","14,500,000",Single story house for rent in raththanapitiya,2,1,"1,600.0 sqft",8.0 perches,
12,Single Story House & 16.5 P Sale at Boralesgamuwa,20 Jul  6:19 pm,"Boralesgamuwa, Colombo","28,500,000",Rs 28500000.00Negotiable,1st Lane Devalamulla Junction Boralesgamuwa,4,2,"2,500.0 sqft",16.5 perches
13,House for Sale - Borelesgamuwa,20 Jul  4:28 pm,"Boralesgamuwa, Colombo","24,000,000",24 million brand new house 700 miter borelesgamuwa town 3 vehicle parking space Roof topAc.....  soler hot water... balcony...,borelesgamuwa,4,3,"2,300.0 sqft",7.0 perches
14,Single Story House & 18 P Sale At Boralesgamuwa,20 Jul  2:33 pm,"Boralesgamuwa, Colombo","30,000,000",Rs 30000000.00Negotiable,1st Lane Devalamulla Junction Boralesgamuwa,4,2,"2,400.0 sqft",18.0 perches
