,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,"House for Sale in Thalakotuwa Gardens, Colombo 05",17 Jul 10:49 am,"Colombo 5, Colombo","52,500,000",House for Sale in Colombo 05=======================,"Thalakotuwa Gardens, Colombo 05",2,1,"1,400.0 sqft",5.9 perches
2,"['House for Sale in Thalakotuwa Gardens, Colombo 05', '17 Jul 10:49 am', 'Colombo 5, Colombo', '52,500,000', 'House for Sale in Colombo 05=======================', 'Thalakotuwa Gardens, Colombo 05', '2', '1', '1,400.0 sqft', '5.9 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for Sale in Colombo 05,17 Jul 11:08 am,"Colombo 5, Colombo","85,000,000","House for sale in Colombo 05 facing main roadbedrooms 5 , bath rooms 5Two vehicle can be park High residential area.Close to leading school & close to 5 hospital Asiri segical ,Asiri medical,Nine wells,Lanka Hospital  & Kings hospital.Commercial or residential purpose.",Colombo 05,5,5,"2,500.0 sqft",7.0 perches
4,7.5 Perches Land with House in Kirulapona.,20 Jul  7:17 am,"Colombo 5, Colombo","80,000,000",STRICTLY NO AGENTS OR BROKERS!,"EDMINTON ROAD,COLOMBO 5.",5,3,"2,847.0 sqft",7.5 perches
5,House for Sale in Colombo 5 - H0680,20 Jul  7:38 am,"Colombo 5, Colombo","280,000,000",#.3 STORIED HOUSE AT Thimbirigasyaya,3,5,"6,000.0 sqft",20.0 perches,
6,House for Sale in Colombo 5 - H0694,17 Jul  1:57 pm,"Colombo 5, Colombo","80,000,000","HOUSE FOR SALE AT POLHENGODA, COLOMBO 5.",3,2,"4,000.0 sqft",12.0 perches,
7,Old House for Sale - Colombo 5,16 Jul  2:09 pm,"Colombo 5, Colombo","220,000,000",residence area with car parking,Kirulapone Avenue,2,1,"1,200.0 sqft",4.0 perches
8,House for Sale Colombo 5 - HH632,12 Jul  5:26 pm,"Colombo 5, Colombo","176,000,000","#. BEAUTIFUL HOUSE AT LAKE DRIVE, COLOMBO 5",4,4,"5,000.0 sqft",22.0 perches,
9,"House for Sale in Thalakotuwa Gardens, Colombo 05",17 Jul 10:49 am,"Colombo 5, Colombo","52,500,000",House for Sale in Colombo 05=======================,"Thalakotuwa Gardens, Colombo 05",2,1,"1,400.0 sqft",5.9 perches
