,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,House for Sale in Kaduwela,21 Jul  9:48 am,"Kaduwela, Colombo","9,000,000",2 bedroom 1living room 1 dinning room Kitchen ,"78/A/1, vihara mawatha ,2nd lane , kothalawala ,kaduwela",2,1,"2,000.0 sqft",9.0 perches
2,"['House for Sale in Kaduwela', '21 Jul  9:48 am', 'Kaduwela, Colombo', '9,000,000', '2 bedroom 1living room 1 dinning room Kitchen ', '78/A/1, vihara mawatha ,2nd lane , kothalawala ,kaduwela', '2', '1', '2,000.0 sqft', '9.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,Newly Build Superior House for Sale in Kaduwela,21 Jul  9:08 am,"Kaduwela, Colombo","7,800,000",3 Bed Rooms1 BathroomSpecious Living Area. Dining AreaPantry Cupboard Finished with Teak Wood and Granite Top.Car Porch.Calm EnvironmentPlease Contact for More Details.,3,1,"1,200.0 sqft",7.0 perches,
4,Half Built Two Story House for Sale in - Kaduwela,20 Jul  2:14 pm,"Kaduwela, Colombo","4,000,000",Halfly Built Two Story House for Sale in Nawagamuwa.1km from Nawagamuwa Dewalaya Junction.,3,1,"1,200.0 sqft",10.0 perches,
5,House for Sale in Kaduwela,19 Jul  7:57 pm,"Kaduwela, Colombo","9,500,000",House For Sale In Kaduwela========================,"Ihalabomiriya, Kaduwela",3,2,"2,500.0 sqft",11.5 perches
6,House with Land for Sale - Kaduwela,19 Jul  3:48 pm,"Kaduwela, Colombo","7,900,000","නිරවුල් ඔප්පු සහිත මුලු ඉඩමම පර්චස් 32 කි. ප්ලෑන් පාස් කර ඇත.  * ලිං ජලය, ටැප් ජලය, විදුලිය පහසුකම් සපයා ඇත.  * බස් මාර්ගයට මීටර් 300 කි.බිම් පර්චසය ලක්ශ දෙකහාමාරකි.(Rs. 250000/=)","210/C, Kongahahena Rd, Korathota, Kaduwela",2,1,651.0 sqft,32.0 perches
7,Niwesa Alewi Keriima Sadaha Kaduwela,16 Jul  1:09 pm,"Kaduwela, Colombo","7,000,000",Anga sampuran niwasak0 nawagamuwa dewalaya laga sita 800m durak paman atha.,267B43/1morowakawaththa pahala bomiriya kaduwela,4,2,"1,500.0 sqft",6.0 perches
8,House for Immediately Sale - Kaduwela,14 Jul  7:48 pm,"Kaduwela, Colombo","6,000,000",• with Water Line+electricity • Sale for Immediately • Infront of A Play Ground,3,2,"1,200.0 sqft",8.5 perches,
9,House for Sale In Kaduwela,15 Jul 11:45 am,"Kaduwela, Colombo","11,500,000",House for sale near Kaduwela/ Athurugiriya,"Pahala Bomiriya, Kaduwela",3,3,"1,650.0 sqft",26.0 perches
10,House for Sale Kaduwela,12 Jul  7:49 pm,"Kaduwela, Colombo","2,200,000","143,697  main road from walking distance. Electricity,telephones,water facilities are available,clear deed,near to bomiriya central college",3,1,800.0 sqft,12.1 perches,
11,House For Sale In Kaduwela,12 Jul  6:23 am,"Kaduwela, Colombo","7,700,000",Situated in calm n quite areaNewly built house Fully tilled 2 bedrooms 1barthroom Living room Dinning room verendhaParking area 2km to kaduwela town 10 minutes to SLIIT CAMPUS 15 minutes to Neville Fernando hospital 10 minutes way to highway entrance,Pahala bomiriya,2,1,"1,010.0 sqft",10.0 perches
12,House for Sale in Malabe, 9 Jul  7:32 am,"Kaduwela, Colombo","14,500,000",New 2Storey House For Sale in pittugala -malabe,100 meters to Malabe to Kaduwela Road-Pittugala,3,3,"1,850.0 sqft",6.0 perches
13,House for Sale - Kaduwela, 5 Jul  9:00 pm,"Kaduwela, Colombo","9,000,000",This house can be divide to two parts for two persons if required.for more information contact us.,4,2,"1,400.0 sqft",7.0 perches,
