,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,2 Story House With 14P Sale Kohuwala,13 Jul  2:55 pm,"Kohuwala, Colombo","35,000,000",Rs 35000000.00Negotiable,75 Meters To Anderson Road Kohuwala,4,3,"2,500.0 sqft",14.0 perches
2,"['2 Story House With 14P Sale Kohuwala', '13 Jul  2:55 pm', 'Kohuwala, Colombo', '35,000,000', 'Rs 35000000.00Negotiable', '75 Meters To Anderson Road Kohuwala', '4', '3', '2,500.0 sqft', '14.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,Architect Designed Brand New House - Nugegoda,20 Jul  8:53 am,"Kohuwala, Colombo","39,500,000",ARCHITECT DESIGNED BRAND NEW HOUSE IN 6.2 PERCHES,113 B Jambugasmulla Road Nugegoda,5,3,"3,000.0 sqft",6.2 perches
4,House in Kohuwala,17 Jul  1:16 pm,"Kohuwala, Colombo","55,000,000","කොහුවල හංදිය අසල පර්චස් 8.50 ක පිහිටා ඇති අංග සම්පූර්ණ දෙමහල් නිවසක් විකිණීමට...නිදන් කාමර 06නාන කාමර 06රුෆ් ටෙරස්සෝලා උණුවතුරෆුල් ටයිල් , තාප්ප ගේට්ටු සහිතයි.පදිංචියට ව්‍යාපාරයකට සුදුසුයි.",kohuwala Junction,6,6,"2,500.0 sqft",8.5 perches
5,Kohuwala House For Sale,17 Jul  1:43 pm,"Kohuwala, Colombo","26,500,000","Kohuwala -  house in Kelsey homes in  Pepiliyana mawatha for immediate sale. House is located in a gated community in highly residential area. Fully tiled with 2 bedrooms with parking. 24 hours security. Access through Kohuwala and Papiliyana. Convenient  access to Nugegoda, Kohuwala, Dehiwala, Kalubowila and Boralesgamuwa.",Pepiliyana mawatha Kohuwala,2,2,"2,500.0 sqft",6.95 perches
6,House Sale in Kohuwala,17 Jul 12:05 pm,"Kohuwala, Colombo","100,000,000",A BEAUTIFUL HOUSE IN KOHUWALA36.95 PERCHES4 BED ROOMS3BATH ROOMSMAIDS AND DRIVERS WASH ROOMSSWIMMING POOLPARKING 06PRICE: LKR 100MILLION,H-KOHUWALA-01,4,3,"1,800.0 sqft",36.95 perches
7,Two Storey House for Sale - Kohuwala,13 Jul 11:06 am,"Kohuwala, Colombo","50,000,000",Two storey house for sale 4 bedrooms 3 bathrooms 2000 sqft 12 perches immediately sale 500 lakh land value only please no brokers,dutugamunu street kohuwala,4,3,"2,000.0 sqft",12.0 perches
8,12P & Two Story Luxury House Sale For Kalubowila,12 Jul  1:53 pm,"Kohuwala, Colombo","55,000,000",12P & Two Story House Sale For Kalubowila ,"De Silva Road, Kalubowila",5,6,"3,800.0 sqft",12.0 perches
9,2 Story House With 14P Sale Kohuwala,13 Jul  2:55 pm,"Kohuwala, Colombo","35,000,000",Rs 35000000.00Negotiable,75 Meters To Anderson Road Kohuwala,4,3,"2,500.0 sqft",14.0 perches
