,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,New House for Sale in Kolonnawa,20 Jul  3:05 pm,"Kolonnawa, Colombo","4,350,000",Newly built house for sale,"Koratuwa Rd,kottikawatha",2,2,816.0 sqft,3.0 perches
2,"['New House for Sale in Kolonnawa', '20 Jul  3:05 pm', 'Kolonnawa, Colombo', '4,350,000', 'Newly built house for sale', 'Koratuwa Rd,kottikawatha', '2', '2', '816.0 sqft', '3.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,Luxury New House For Sale (Three Square ) -Gothatuwa,20 Jul  1:25 pm,"Kolonnawa, Colombo","25,000,000",02 Kitchen 04 Balcony  (Front and Behind)Dining rooms Stores roomHot water CCTV Camara Full safety place Flooding does not take place 50 miter for Town 10 miter for main road And lot of others facilities,Gothatuwa new town,4,2,"3,200.0 sqft",6.5 perches
4,10P Land with House for Sale in Gothatuwa,14 Jul 10:19 pm,"Kolonnawa, Colombo","11,000,000",කොලොන්නව IDH   පාරේ ගොතටුව හන්දියේ බෝපැත්ත පාරේ සිට අඩි 10 පාර ඉඩමට පමනක්  ඇති පර්චස් 10ක ඉඩමේ කාමර 3ක නාන කාමරයක් ද සහිත  තරමක් පැරණි හොද තත්වයේ පදිංචි නිවස ලක්ෂ 110 කට විකිනීමට ඇත .කරුණාකර තැරව්කරුවන් අමතන්න එපා .සත්‍ය ගැනුම්කරුවන් සදහාපමණයි ..නිවස පරීක්ෂා කිරීමෙන් පසුව මිල සාකච්ඡා කල හැක .නිවස පරීක්ෂා කිරීම සදහා සාකච්ඡා කර කලින් වෙලාවක් වෙන්කර ගන්න.....................ස්තූතියි ................................,BOPATHTHA ROAD GOTHATUWA JUNCTION  GOTHATUWA .,3,1,"1,200.0 sqft",10.0 perches
5,Brand New House in - Gothatuwa/ Wellampitiya,18 Jul 10:32 pm,"Kolonnawa, Colombo","9,900,000",Brand new house available In gothatuwa  kolannaaawa and welewaththa also we have 4.5 perch 2land for 9perch can build the house with Ur plan land area is in 50m from 152 bus root luxury houses available around and pihiti polawa can build 3room with 2attached bathroom one common bathroom hall kitchen dining room with slab fully tiles luxury house further details please call number also we have the houses in welewaththa wellampitiya price for below 50lakh,Gothatuwa Kolannawa,3,3,"1,224.0 sqft",4.5 perches
6,House for Sale in Kolannawa,12 Jul  9:06 am,"Kolonnawa, Colombo","22,000,000",beautiful house for sale in kolannawatwo storied house5bed 3bath +servant room and bathroomroof topparking_________________price 22million______________________pls call/smsomix real estate,"nagamulla road ,kolannawa",5,3,"2,000.0 sqft",6.0 perches
7,House For Sale In Wallampitiya,11 Jul  1:44 am,"Kolonnawa, Colombo","11,000,000","Close to supermarket,Bank,School,Hospitals,Highway EntranceA short 5 minute walk to Avissawella RoadPublic transport available 24 hoursCan reach colombo fort/pettah within 15 minutes and it is only 5km.","96/22 A,Wennawattha Wallampitiya.",2,1,"1,800.0 sqft",12.15 perches
8,Two Storied House for Sale in Kolonnawa,18 Jul  4:26 pm,"Kolonnawa, Colombo","87,500,000","Large 5 bedrooms (1 with A/C)4 Bathrooms ( 1 with bath tub)Large 2 living areasLarge dining areaDry kitchen2 wet kitchen areas1 servant room & servant toilet1 study room / prayer roomgarage ( facility to park 2 vehicles)3 phase electricityHot water2 separate phone lines with Peo TV connectionVery convenient place for all cities, bus routes,schools, banks, hospitals etc.100m for Jumma Mosque150m for bus stopSerious Buyers only.","Vihara Mawatha, Kolonnawa",5,4,"3,800.0 sqft",16.0 perches
9,House for Sale - Gothatuwa, 8 Jul  4:14 pm,"Kolonnawa, Colombo","9,500,000",2km to Kolonnawa2.5 to Rajagiriya2 Stories completedFully TiledCeilingParking for 1 Vehicle2 KitchensRoller Gates,"Nindahena, Gothatuwa",4,2,"1,400.0 sqft",6.0 perches
10,House for sale in Gothatuwa,21 Jul  3:41 pm,"Kolonnawa, Colombo","6,700,000","Two bedroom house91A, Kotigawatta Road, Gothatuwa200 meters from Gothatuwa new town junctionCommercial area","Kotigawatta, Gothatuwa",2,1,"1,500.0 sqft",5.3 perches
11,House for Sale in - Angoda, 6 Jul 12:06 pm,"Kolonnawa, Colombo","15,000,000","2 AC rooms, parking area, private Road, Garden , close to Rajagiriya, Koswatta,Dematagoda and keells super, foodcity, Temple,church and mosque. Walikng distance Gothatuwa main road.","Gothatuwa, Angoda",2,1,"1,174.5 sqft",9.5 perches
