,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,Brand New House For Sale in Kottawa,14 Jun  3:38 pm,"Kottawa, Colombo","12,600,000","කොට්ටාව, මත්තෙගොඩ සුඛෝපභෝගී නවීන දෙමහල් නිවස(සම්පූර්ණම ගඩොල්) පර්චස් 10 , අඩි 20 පාරකාමර 3, වොෂ් රූම් 2 (හොට් වෝටර්)ජනෙල් ෆ්‍රේම් තේක්කෆිනිෂින් වහලයරෙඩ් බලව්, ජනෙල් ඩ්‍රිල් ලෑම්ප් ශෙඩ්, පැන්ට්‍රි කබඩ්, කුකර් හුඩ් 2 x 2 ග්ලාස් ටයිල්රිමෝට් රෝලර් ඩෝර්එල් කාඩෝර්වේයන්ට ට්‍රීට්මන්ට් කර ඇත.හයිවේ එන්ට්‍රන්ස් විනාඩි 2තනි බසයෙන් කොළඹට 138 බස් එක නිවස ඉදිරිපිටින්පදිංචි වී නොමැති නව ඉදිකිරීමක් වනඅගනා නිවස ප්‍රධාන පාරකට මායිම්ව ඇත.ලක්ෂ 126 හෝ සාධාරණ මුදලකට බෑන්ක් ලෝන් සැලකේ නිරවුල් සියළු ලියකිවිලි ලෑස්තියිදුර්ලභ අවස්ථාවකි.ගඩොල් නිවසක පුදුම වෙනස අත්විඳින්න ","Mattegoda, Kottawa",3,2,"1,600.0 sqft",10.0 perches
2,"['Brand New House For Sale in Kottawa', '14 Jun  3:38 pm', 'Kottawa, Colombo', '12,600,000', 'කොට්ටාව, මත්තෙගොඩ සුඛෝපභෝගී නවීන දෙමහල් නිවස(සම්පූර්ණම ගඩොල්) පර්චස් 10 , අඩි 20 පාරකාමර 3, වොෂ් රූම් 2 (හොට් වෝටර්)ජනෙල් ෆ්\u200dරේම් තේක්කෆිනිෂින් වහලයරෙඩ් බලව්, ජනෙල් ඩ්\u200dරිල් ලෑම්ප් ශෙඩ්, පැන්ට්\u200dරි කබඩ්, කුකර් හුඩ් 2 x 2 ග්ලාස් ටයිල්රිමෝට් රෝලර් ඩෝර්එල් කාඩෝර්වේයන්ට ට්\u200dරීට්මන්ට් කර ඇත.හයිවේ එන්ට්\u200dරන්ස් විනාඩි 2තනි බසයෙන් කොළඹට 138 බස් එක නිවස ඉදිරිපිටින්පදිංචි වී නොමැති නව ඉදිකිරීමක් වනඅගනා නිවස ප්\u200dරධාන පාරකට මායිම්ව ඇත.ලක්ෂ 126 හෝ සාධාරණ මුදලකට බෑන්ක් ලෝන් සැලකේ නිරවුල් සියළු ලියකිවිලි ලෑස්තියිදුර්ලභ අවස්ථාවකි.ගඩොල් නිවසක පුදුම වෙනස අත්විඳින්න ', 'Mattegoda, Kottawa', '3', '2', '1,600.0 sqft', '10.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,New House For Sale In Kottawa,15 Jul 12:06 pm,"Kottawa, Colombo","13,000,000",New modern house for sale between three towns Maharagama- kottawa- pilliyandala With all furnitures also can buy IMMEDIATE SALE for migrateNot more than one year oldRoller gate -  Roof topKottawa 4km - Pilliyandala 3km - Maharagama 4kmTotal squar feet’s 2700Kottawa highway 6km - kahathuduwa highway 5kmCan negotiate,2,1,"2,700.0 sqft",7.0 perches,
4,Kottawa House for sale,21 Jul  4:14 pm,"Kottawa, Colombo","487,000","House at Siddamulla, 3km to Kottawa junction, 450meters to 255 bus route. An ideal place for residential purpose, investment purpose or even to carry out a hotel, spa or an elders home. fully tiled. staircase to upstairs is from outside. Presently rented as 3 units. 3 sitting halls, 3 kitchens with pantry tops, large balconies, large varendah, dining area and the monthly rent income is Rs.70,000- . 6 vehicles can park in front of the house. Buildable land space available behind the house. Land can not divide. Jak, coconut and mangoostine trees available in the rectangular shape land ending at the paddy field. no water filling or floods even for the heaviest rains. Sold at a bargain price due to urgency. Rs.19million or the best offer.","Kottawa, Siddamulla",8,5,"3,600.0 sqft",39.0 perches
5,Good House In Kottawa,21 Jul  3:59 pm,"Kottawa, Colombo","31,000,000",1.5 Km TO KOTTAWA ROAD50 m TO KOTTAWA MT LAVENIA ROADROOF TOP2 A/C ROOM2 PANTRY95% COMPLETE4 VEHICLE PARKING SPACEBOUNDARY  WALL WITH ROLLER GATE,HOUSE IN KOTTAWA,6,4,"3,600.0 sqft",15.0 perches
6,Kottawa mattegoda under contraction house for sale..,21 Jul  2:01 pm,"Kottawa, Colombo","11,500,000","කොට්ටාව, මත්තෙගොඩ සුඛෝපභෝගී නවීන දෙමහල් නිවස(සම්පූර්ණම ගඩොල්) පර්චස් 7 , අඩි 30 පාරවර්ග අඩි 2750කාමර 4වොශ් රුම් 2 සාලයTv කාමරයකෑම කාමරයRoof top (600sqft)ජනෙල් ෆ්‍රේම් (කොස්)ෆිනිෂින් වහලයහයිවේ එන්ට්‍රන්ස් විනාඩි 5තනි බසයෙන් කොළඹට 138 බස් එකට 30mයි නව ඉදිකිරීමක් වන අගනා නිවස 75% වැඩ අවසන්.ලක්ෂ 30ක උපරිම මුදලකින් සියලු වැඩ නිම කල හැක.ලක්ෂ 115 හෝ සාධාරණ මුදලකට නිරවුල් සියළු ලියකිවිලි විකිනිම සදහා කල ඉදිකිරීමක් නොවෙයි මුදල් අවශ්‍යතාවක් සදහා විකුණන ලැබේ",4,2,"2,750.0 sqft",7.0 perches,
7,Brand New House for Sale - Kottawa, 2 Jul  8:21 pm,"Kottawa, Colombo","13,000,000","Brand new house for sale kottawa 296 piliyandala Road 3Bedroom, 3bathroom hot water, pantry, 100m to kottawa piliyandala Road, 3km to kottawa Town, 3km to Piliyandala town, 3km to pannipitiya Town, Two vehicle parking space, roller gate, resident area",kottawa 296 piliyandala Road,3,3,"1,580.0 sqft",9.0 perches
8,House for Sale in Kottawa,12 Jul  8:41 pm,"Kottawa, Colombo","35,000,000",House for sale in kottawa===================,5,5,"6,500.0 sqft",12.0 perches,
9,17 P & Modern Two Story House Sale for Maththegoda,21 Jul  8:48 am,"Kottawa, Colombo","18,500,000",17P & Modern Two Story House Sale For Maththegoda ,"Polgasowita Road, Maththegoda",4,3,"2,750.0 sqft",17.0 perches
