,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,4 BR 2 Story House & 9.5 P for Sale in Ebuldeniya,20 Jul 10:47 pm,"Kotte, Colombo","19,600,000","2 Story House Quick Sale at Madiwela Road, Ebuldeniya.","10 meters to Madiwela Road, Ebuldeniya",4,4,"2,650.0 sqft",9.5 perches
2,"['4 BR 2 Story House & 9.5 P for Sale in Ebuldeniya', '20 Jul 10:47 pm', 'Kotte, Colombo', '19,600,000', '2 Story House Quick Sale at Madiwela Road, Ebuldeniya.', '10 meters to Madiwela Road, Ebuldeniya', '4', '4', '2,650.0 sqft', '9.5 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for Sale in Ethul Kotte - H0663-A,20 Jul  8:38 am,"Kotte, Colombo","65,000,000","#. BEAUTIFUL 2 STORIED HOUSE AT USWATTA MW, ETHUL KOTTE",5,3,"3,000.0 sqft",10.0 perches,
4,Ethul Kotte House For Sale - H0681,20 Jul  8:18 am,"Kotte, Colombo","55,000,000",#. BEAUTIFUL 2 UNIT HOUSE AT ETHULKOTTE,7,3,"3,200.0 sqft",12.0 perches,
5,Brand New Luxury House for Sale - Pita Kotte Baddagana,19 Jul  1:45 pm,"Kotte, Colombo","114,000,000","Brand new luxury house for sale in Pita-Kotte, conveniently located 250 meters away from Pita Kotte-Thalawathugoda Road.Facing a 30 feet wide road, ","250 Meters to 153 Nawarohala -bus round Thalawathugoda Road,Kotte",5,4,"8,400.0 sqft",18.0 perches
6,02 Story House Sale At Temple Road kibulawela,20 Jul 11:36 am,"Kotte, Colombo","30,000,000",Two Story House Sale For Facing 20 Feet Temple Road kibulawela Kotte,Temple Road kibulawela Kotte,3,3,"3,000.0 sqft",9.5 perches
7,House With 20p Land Facing Duwa Road in Kotte,18 Jul  3:32 pm,"Kotte, Colombo","42,000,000","This 20p property faces a wide road and is placed in a very desirable residential location in Kotte. The old house on the property is occupied and livable, but no value has been assigned for it. Some of the key features of the property are",Duwa Road,3,2,"2,000.0 sqft",19.84 perches
8,12.5 P 02 Story House Baddagana,17 Jul  6:10 pm,"Kotte, Colombo","36,000,000","Rs 36,000,000 LAKHSTOTAL PRICE",DARMAPALA MAWATHA BADDAGANA PITALOTTE,4,3,"3,500.0 sqft",12.5 perches
9,03 Story House & 8 P Sale Baddagana,17 Jul  1:38 pm,"Kotte, Colombo","45,000,000",03 STORY HOUSE ( 02 APARTMENTS )   & 8 P SALE BADDAGANA PITAKOTTE,BADDAGANA ROAD BADDAGANA PITAKOTTE,6,6,"4,500.0 sqft",8.0 perches
10,House for Sale In Baddegana Pitakotte,17 Jul  1:32 pm,"Kotte, Colombo","30,000,000","House for Sale in Baddegana Pitakotte near Diyawanna Oya-Renovated House with new accessories-4 bed rooms with enough adequate space- A/C available-2 washrooms with Hot water facility-Car park available-Large Kitchen with pantry ,also an extra kitchen beside-Dining plus sitting area available- Very close to the Diyawanna Oya and to the parliament- Friendly Neighborhood- Balcony available-Highly residential area- Can be used for an office too- Road width 20 feetFriendly place to live",Baddegana Pitakotte,4,2,"2,300.0 sqft",10.0 perches
11,House for Sale IN Ethul Kotte - H0706-A,15 Jul  7:57 pm,"Kotte, Colombo","30,000,000",#.BEAUTIFUL HOUSE AT ETHUL KOTTE,6,3,"3,500.0 sqft",10.0 perches,
12,02 Story Luxury House Baddagana,15 Jul  8:55 am,"Kotte, Colombo","270,000,000",02 STORY LUXURY HOUSE & 80 P BADDAGANA,FACING 30 FEET DUWA ROAD BADDAGANA PITAKOTTE,5,5,"9,000.0 sqft",80.0 perches
13,B/New Luxury House For Sale - Kibulawela Kottez,14 Jul 10:09 am,"Kotte, Colombo","28,500,000",Brand New Luxury Three Story House Sale For Kibulawela Kotte,Sigera Mawatha Kibulawela Kotte,4,4,"3,000.0 sqft",8.0 perches
14,Bawa Style House for Sale in Kotte Over Looking Diyawanna Lake,13 Jul  4:33 pm,"Kotte, Colombo","70,000,000",Elegantly designed house ( Bawa style)Located at the end of a cul-de-sac overlooking Diyawanna Bird Sanctuary ·         6000sq feet·          17 perchUninterrupted view and overlooking Bird SanctuaryHighly residential area quiet and safeThe house offers extensive living space ·         5 bedrooms·         3 bathrooms·         2 kitchens·         2 large living areas (upstairs and down stairs)Jak and Teak timber used throughout the housePrice Rs 100million,5,3,"6,000.0 sqft",17.0 perches,
15,House for Sale in Pita Kotte - H0706,13 Jul 10:30 am,"Kotte, Colombo","32,000,000","#.2 STORIED HOUSE AT MISSION ROAD, PITA KOTTE",4,3,"2,600.0 sqft",14.0 perches,
16,2 Storey 4 Br House for Sale in Kotte,12 Jul  7:25 pm,"Kotte, Colombo","32,000,000",2 Storey House For Sale in kotte------------------------Located 900meters to Ethulkotte main Road.,Epitamulla Road Kotte,4,3,"2,600.0 sqft",10.5 perches
17,Two Story House for Sale Kotte,20 Jul  5:30 pm,"Kotte, Colombo","25,000,000",20 feet RoadGood residentia area25 million250 Lakhs300 lakhs,Duwa road kotte,4,2,"1,800.0 sqft",10.0 perches
18,02 Story House & 10 P Sale Kotte,10 Jul  2:52 pm,"Kotte, Colombo","36,500,000",Rs 36500000.00 LAKHS Negotiable,FACING JANTHA MW RAJAMAHAVIHARA ROAD PITAKOTTE,4,4,"3,000.0 sqft",10.0 perches
