,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,House for Sale in Malabe,20 Jul  9:59 am,"Malabe, Colombo","12,500,000","- A beautiful house situated in a peaceful and safe environment facing a spectacular view of a paddy field and Chandrika Kumarathunga Mawatha.- 05 minutes travel distance to, Horizon campus, Horizon college, Dr. Nevil Fernando - hospital, CINEC campus, MillenniumIT- 10 minutes travel distance to Highway entrance, Malabe town, SLIT- 15 minutes travel distance to Western Provincial Council office, Visa office, Ministry of Defense, Foreign Employment Bureau, Central Environmental Authority, RDA Head Office","491/6A, 3rd lane of Halbarawa Cross Road, Halbarawa Road, Thalahena, Malabe",3,3,"2,100.0 sqft",10.0 perches
2,"['House for Sale in Malabe', '20 Jul  9:59 am', 'Malabe, Colombo', '12,500,000', '- A beautiful house situated in a peaceful and safe environment facing a spectacular view of a paddy field and Chandrika Kumarathunga Mawatha.- 05 minutes travel distance to, Horizon campus, Horizon college, Dr. Nevil Fernando - hospital, CINEC campus, MillenniumIT- 10 minutes travel distance to Highway entrance, Malabe town, SLIT- 15 minutes travel distance to Western Provincial Council office, Visa office, Ministry of Defense, Foreign Employment Bureau, Central Environmental Authority, RDA Head Office', '491/6A, 3rd lane of Halbarawa Cross Road, Halbarawa Road, Thalahena, Malabe', '3', '3', '2,100.0 sqft', '10.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,Luxurious House for Sale - Malabe,19 Jul  6:26 pm,"Malabe, Colombo","29,500,000",This new house simply doesn't get any better than this.,7,3,"3,000.0 sqft",12.0 perches,
4,Brand New Single Story House - Malabe,21 Jul  3:52 pm,"Malabe, Colombo","16,000,000","Brand new Single Story House for Sale Malabe, Architect Designed10 perches with landscaped garden area.*- 1600 Sq. Ft","Kahanthota Rd, Malabe.",3,3,"1,600.0 sqft",10.0 perches
5,Brand New House for Sale in Malabe,21 Jun  8:37 pm,"Malabe, Colombo","20,000,000",Two Storied Brand New House For Sale in Malabe,Malabe,3,2,"2,500.0 sqft",10.8 perches
6,Brand New 2 Storied House In Malabe,21 Jul  3:38 pm,"Malabe, Colombo","22,500,000","Brand New Two Storied House For Sale In Malabe Road, 08 Perches Landscaped garden area.","Kahanthota Rd, Malabe.",4,4,"2,800.0 sqft",8.0 perches
7,Brand New 2 Stories Luxury House for Sale in Malabe,21 Jul 11:56 am,"Malabe, Colombo","21,500,000","New Morden  New 2 story House for Sale in Malabe, thunadahaena rd","Malabe, kahanthota Rd, thunadahena Rd",5,4,"2,400.0 sqft",10.0 perches
8,Brand New Two Storied House For Sale Malabe,21 Jul  1:38 pm,"Malabe, Colombo","19,000,000","Brand New Two Story House For Sale In Wanaguru Mw, Hokandara.10 Perches , Landscaped garden area","Horahena Rd, Malabe",3,3,"2,400.0 sqft",10.0 perches
9,Brand New 2 Story House For Sale Malabe,21 Jul  1:44 pm,"Malabe, Colombo","21,500,000","Brand New 2 Storied House For Sale In Pothuarawa Road, Malabe.07 Perches with Landscaped garden area.The house is completely tiled","Hokandara Road, Malabe.",4,4,"2,450.0 sqft",7.0 perches
10,Brand New Two Storied House Malabe,21 Jul  5:21 pm,"Malabe, Colombo","24,000,000","Brand New Two Storied House For Sale In Kahanthota Road, Malabe.07 Perches with Landscaped garden area.","Kahanthota Rd, Malabe.",4,4,"2,900.0 sqft",7.0 perches
11,B/ New Two Story House - Malabe,21 Jul  1:58 pm,"Malabe, Colombo","20,000,000","Brand New Two Storied House For Sale InThunadahena Road, Malabe.10.8 Perches with Landscaped garden area.","Kahanthota Rd, Malabe.",4,4,"2,500.0 sqft",10.0 perches
12,Brand New Architec Designed 2 Story House for Sale in Malabe,21 Jul 11:30 am,"Malabe, Colombo","18,700,000","Naturally places  3Storey House For Sale in Malabr, Gamunupura 1st Lane ","Malabe, Kaduwela rd, Gamunupura 1st Lane",3,3,"1,900.0 sqft",7.2 perches
13,Brand New House for Sale in Malabe,21 Jul  8:59 am,"Malabe, Colombo","12,000,000","මාලඹේ, රොබට් ගුණවර්ධන මාවත, සෙත්සිරි මාවත පිහිටි පර්චස් 7 ඉඩම සහිත අලුතින් ඉදිකරන ලද නිවස විකිණිමට ඇත.නිවස වටා තාප්පය හා ඉදිරිපස ගේට්ටුව ඇත.ඉඩම පර්චස් 07කාමර 03නාන කාමර 02මාළ⁣ඹේ නගරයට කි. මී. 1.5","Malabe, Colombo",3,2,"1,500.0 sqft",7.0 perches
14,Brand New House for Sale in Malabe,19 Jul 10:51 pm,"Malabe, Colombo","16,500,000","The house situated in Kahantota Road, Calm and best residential area. The house is fully tiled, Finishing high roof, Kitchen with modern pantry cupboard, Master bed room with attached bath room, servant toilet, Garage, Inside parking for 2 vehicles, Roller gate. BERYL will provide you personalized, trust worthy service at all the time.","Kahantota Road, Malabe",3,2,"1,500.0 sqft",10.0 perches
15,2 Story Brand New Modern House for Sale - Malabe,27 Jun  8:02 am,"Malabe, Colombo","18,700,000","Designed by a Chartered Architect, ","47 Melfort Estate Circular Road, Gemunupura 1st Lane Kothalawala Malabe",3,3,"1,800.0 sqft",7.13 perches
16,Brand New 2 Storied House || Malabe,20 Jul  4:38 pm,"Malabe, Colombo","18,000,000","Two Story House For Sale In Gamunupura, Kaduwela.07 Perches , Landscaped garden area ( 2 Year Used House )","Kaduwela Rd, Gamunupura.",4,4,"2,200.0 sqft",7.0 perches
17,B / New Two Storied House | Malabe,20 Jul  4:32 pm,"Malabe, Colombo","21,500,000",Brand New Two storied House @ Malabe.10 Perches with Landscaped garden area.,"Kahanthota Rd, Malabe.",5,5,"3,000.0 sqft",10.0 perches
18,2 Stories Modern House for Sale in Malabe,20 Jul  3:23 pm,"Malabe, Colombo","23,000,000",Brand new Morden 2 Storey House For Sale in Malabe Kahanthota Rd Thunadahena rd. With all furniture for sale500 meters to Kahanthota rd3 k meters to Malabe Juntion,"Malabe, kahanthota Rd, thunadahena Rd",3,3,"2,400.0 sqft",10.0 perches
19,Brand New 2 Stories Luxury House for Sale in Malabe Hokandara,20 Jul  3:21 pm,"Malabe, Colombo","21,500,000","New Morden Brand New 2 story House for Sale in thalawathugoda,Hokandara rd, vidyaraja rd.","Malabe, Hokandara rd, Vidyaraja mw",4,4,"2,600.0 sqft",6.0 perches
20,Brand New 2 Stories Luxury House for Sale in Malabe,20 Jul  3:20 pm,"Malabe, Colombo","26,000,000","Brand new Luxury Model 2 Storey House For sale in malabe, Rathnarama rd","Malabe, kahanthota Rd, Rathnarama Rd",4,4,"3,900.0 sqft",8.0 perches
21,Brand New Two Storeyd House For Sale in Malabe,20 Jul  2:44 pm,"Malabe, Colombo","30,000,000",Brand New Two Storied House For Sale In Malabe08 Perches with Landscaped garden area.,"Athurugirya Rd , Malabe",4,4,"3,900.0 sqft",8.0 perches
22,House for Sale in Malabe,20 Jul  2:39 pm,"Malabe, Colombo","4,700,000",මාලඹේ අරංගල කහන්තොට පාර ඉසුරු මාවතේ පර්චස් 5 ක වටතාප්ප සහිත සියලුම පහසුකම් සපිරි නිවස අධිවේගී මාර්ගයේ අතුරුගිරිය පිවිසුමට විනාඩි 20න් ළගා විය හැක.,"Arangala , Kahanthota",3,1,"1,300.0 sqft",5.0 perches
23,Brand New 2 Stories Luxury House for Sale in Malabe,20 Jul 12:28 pm,"Malabe, Colombo","33,000,000","Brand new Luxury Model 3Storey House For sale in malabe, Thunkadahena rd. ","Malabe, kahanthota Rd, thunadahena Rd",6,6,"3,800.0 sqft",12.0 perches
24,B New Two Storey House - Malabe,20 Jul 12:09 pm,"Malabe, Colombo","26,000,000","Brand New Two storied house @ Rathnarama Road, Malabe.08 Perches with Landscaped garden area.• - 4000 Sq. Ft.","Rathnarama Road, Malabe",5,5,"2,800.0 sqft",8.0 perches
25,B / New Two Storied House For Sale in Malabe,20 Jul  1:55 pm,"Malabe, Colombo","21,500,000","Brand New 2 Storied House For Sale In Pothuarawa Road, Malabe.08 Perches with Landscaped garden area.The house is completely tiled","Hokandara Road, Arangala.",4,4,"2,650.0 sqft",7.0 perches
26,B/ New | Two Story House Malabe,20 Jul 12:01 pm,"Malabe, Colombo","18,500,000","Brand New Two Storied House For Sale In Kahanthota Road, Malabe.6.5 Perches With Landscaped garden*- 2800 Sq. Ft.","Kahanthota Rd, Malabe.",3,3,"2,800.0 sqft",6.5 perches
27,Brand New || Two Storied House In Malabe,20 Jul 11:56 am,"Malabe, Colombo","20,000,000","Brand New Two Storied House For Sale InThunadahena Road, Malabe.10 Perches with Landscaped garden area.","Kahanthota Rd, Malabe",4,3,"2,500.0 sqft",10.0 perches
28,B/ New Two Story House Malabe,20 Jul 10:45 am,"Malabe, Colombo","28,500,000","Brand New Two Storied House For Sale In Malabe Road, Hokandara Road, 10.5 Perches , Landscaped garden area.","Hokandara Road, Malabe.",5,4,"3,500.0 sqft",10.0 perches
29,House for Sale in Malabe,20 Jul  9:59 am,"Malabe, Colombo","12,500,000","- A beautiful house situated in a peaceful and safe environment facing a spectacular view of a paddy field and Chandrika Kumarathunga Mawatha.- 05 minutes travel distance to, Horizon campus, Horizon college, Dr. Nevil Fernando - hospital, CINEC campus, MillenniumIT- 10 minutes travel distance to Highway entrance, Malabe town, SLIT- 15 minutes travel distance to Western Provincial Council office, Visa office, Ministry of Defense, Foreign Employment Bureau, Central Environmental Authority, RDA Head Office","491/6A, 3rd lane of Halbarawa Cross Road, Halbarawa Road, Thalahena, Malabe",3,3,"2,100.0 sqft",10.0 perches
30,B / New Two Storied House Malabe,19 Jul 12:08 pm,"Malabe, Colombo","20,000,000","Brand New Two Storied House For Sale InThunadahena Road, Malabe.10.8 Perches with Landscaped garden area..*- 2500 Sq. Ft","Kahanthota Rd, Malabe.",4,4,"2,500.0 sqft",10.0 perches
31,House for Sale in Malabe,20 Jul  9:59 am,"Malabe, Colombo","12,500,000","- A beautiful house situated in a peaceful and safe environment facing a spectacular view of a paddy field and Chandrika Kumarathunga Mawatha.- 05 minutes travel distance to, Horizon campus, Horizon college, Dr. Nevil Fernando - hospital, CINEC campus, MillenniumIT- 10 minutes travel distance to Highway entrance, Malabe town, SLIT- 15 minutes travel distance to Western Provincial Council office, Visa office, Ministry of Defense, Foreign Employment Bureau, Central Environmental Authority, RDA Head Office","491/6A, 3rd lane of Halbarawa Cross Road, Halbarawa Road, Thalahena, Malabe",3,3,"2,100.0 sqft",10.0 perches
32,Brand New 2 Storey Architec Designed House for Sale in Malabe,20 Jul  9:36 am,"Malabe, Colombo","24,000,000","Brand new Luxury Model 2 Storey House For sale in malabe, Kahanthota Rd ","Malabe, kahanthota Rd,",4,4,"2,800.0 sqft",7.0 perches
33,Brand New Architec Designed 2 Storey House,20 Jul  9:29 am,"Malabe, Colombo","26,000,000","Naturally places  3Storey House For Sale in malabe, athurugiriya rd, arangala junction ","Malabe, Athurugiriya rd, arangala junction",5,4,"3,800.0 sqft",8.5 perches
34,Brand New 2 Stories Architec Designed House for Sale - Malabe,20 Jul  9:28 am,"Malabe, Colombo","29,000,000","Brand new 2 Storey House For Sale in Malabe to Athurugiriya rd, Arangala junction, Hokandara Rd","Malabe, Hokandara rd",5,4,"3,400.0 sqft",10.5 perches
35,Brand New 2 Stories Luxury House for Sale in Malabe,20 Jul  9:23 am,"Malabe, Colombo","24,000,000","2 Storey House For Sale in Pothuarawa rd amargoda, and Hokandara rd","Malabe, Pothuarawa rd, Amaragoda rd",4,4,"2,400.0 sqft",8.0 perches
36,Brand New Single Story House for Sale - Malabe,20 Jul  9:21 am,"Malabe, Colombo","11,500,000","Brand new Singale House For sale in malabe, Robat Gunawardhana Mawatha","Malabe, Robert Gunawardhana Mawatha",3,2,"1,500.0 sqft",7.0 perches
