,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,3 Storey House for Sale in - Rawathawatta,13 Jul  3:13 pm,"Moratuwa, Colombo","34,500,000",Above listed house is in a residential area which is 400m away from the Gall road. ,"Rawathawatta, Moratuwa",5,5,"5,000.0 sqft",8.0 perches
2,"['3 Storey House for Sale in - Rawathawatta', '13 Jul  3:13 pm', 'Moratuwa, Colombo', '34,500,000', 'Above listed house is in a residential area which is 400m away from the Gall road. ', 'Rawathawatta, Moratuwa', '5', '5', '5,000.0 sqft', '8.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,Modern Luxury House for Immediate Sale - Moratuwa,18 Jul  4:27 pm,"Moratuwa, Colombo","32,500,000",A Modern Luxury House for Immediate Sale.PriceCall for More Details,St Peter'Road.Moratuwa,3,4,"2,970.0 sqft",13.2 perches
4,Modern Luxury House for Immediate Sale - Moratuwa,18 Jul  4:27 pm,"Moratuwa, Colombo","32,500,000",A Modern Luxury House for Immediate Sale.PriceCall for More Details,St Peter'Road.Moratuwa,3,4,"2,970.0 sqft",13.2 perches
5,Super Luxury House with 3 Stories for Sale in Moratuwa,21 Jul  3:24 pm,"Moratuwa, Colombo","29,500,000","A SUPER LUXURY HOUSE WITH 3 STORIES INCLUDING A FULL SIZE BASEMENT WITH A SEPARATE ENTRANCE FROM THE GARDEN ,EXTRA ROOFTOP AREA WITH FULL MORATUWA TOWN AND BOLGODA LAKE VIEW,BALCONIES FOR ALL 4 ROOMS WITH THE SAME VIEW(BOLGODA AND MORATUWA TOWN),SEPARATE SERVANTS ACCOMMODATION AREA,10 PERCH HOUSE AND 10 PERCH GARDEN,FULLY TILED HOUSE,WOODEN CEILING,WOODEN STAIRCASE,VERY LARGE LIVING AREAS WITH COLD WINDS FROM BOLGODA LAKE,VERY SOLIDLY BUILT WITH 12 INCH BEAMS,PARKING SPACE FOR MORE THAN  10 VEHICLES(WITHOUT THE BASEMENT AND DRIVEWAY),CCTV CAMERA SYSTEM, HOUSE OF A WELL KNOWN BUSINESSMAN IN THE AREA.VERY PLEASANT NEIGHBOURHOOD,ENTRANCE FROM A WIDE INTERLOCK PAVED ROAD.IDEAL FOR A FOREIGNER , FOR A GUEST HOUSE OR ANY SORT OF A  HOTEL.(ADVERTISED BY THE OWNER STRICTLY NO BROKERS OR WEBSITE AGENTS, FOR GENUINE BUYERS ONLY)",4,3,"7,000.0 sqft",20.0 perches,
6,Three Room Brand New House Moratuwa,18 Jul  5:59 pm,"Moratuwa, Colombo","22,750,000","Brand new two storied three bed room beautiful house with access to picturesque Bolgoda Lake in highly residential tranquil area located in Moratuwa                                  Architecturally designed03 Spacious bedrooms                                                                                                       03 Bath rooms                                                                                                                   Fully Tiled floor                                                                                                           Exposed rafter lunumidella ceilingPantry and sitting area in upper and lower floors                                        Pantry and sitting area in upper and lower floors                                                               TV Lounge   Rear side balcony and front open terrace in the upper floor areaGarage with remote controlled roller doorHouse enclosed by a walls right around Electricity and pipe borne water storage, solar power hot waterAccess to water front                                                                                              Structurally very strong and robust construction  Inspection can be made by appointment.The location is very convenient with easy access to Moratuwa and Panadura town. Distance to Moratuwa town 01 km and Moratuwa University 03 kms. Drive to Colombo City 17 Kms by Galle Road",Riverside Garden,3,3,"2,600.0 sqft",7.0 perches
7,House for Sale in - Moratuwa,20 Jul  3:32 pm,"Moratuwa, Colombo","4,500,000",2 Bed Rooms 7.5 Perches Cll කරලා විස්තර දැන ගන්න. ,2,1,950.0 sqft,7.5 perches,
8,House For Sale In Moratuwa,20 Jul 12:24 pm,"Moratuwa, Colombo","6,000,000","House For Sale In Moratuwa, 2 Bed Rooms, Complete Pantry, Attach Bath Room, 1.5 km To Moratuwa Town, 500 M To Old Galle Road, Fully Tiled House.","75/39, Sri Chandrasekara Road, Horethuduwa, Moratuwa.",2,1,"1,500.0 sqft",8.0 perches
9,House for Sale in Katubedda/molpe,21 Jul 10:44 am,"Moratuwa, Colombo","7,500,000","Bedrooms 2, Bathrooms 11 Km to Katubedda campus1.5 Km to Galle road (Katubedda junction/ KZone)10Km to Kahathuduwa highway entranceUpstair (550sqft)Guarage with with room for a hatchback car, plus roller shutter.Equipped with CCTV camera system.Fully tiled.Surrounded by parapet wall.",Moratumulla,2,1,"1,500.0 sqft",4.75 perches
