,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Beds:,Baths:,House size:,Land size:,
1,House with Land for Sale in Near Nawala Junction,19 Jul  7:35 am,"Nawala, Colombo","53,000,000","- Located near Nawala Junction - 5 minute walk to Food City, Pharmacy, Dialog, Gym, NDB bank, People's bank, Nations Trust bank, Pizza Hut- Trishaw stand up the road- Friendly and quiet neighbourhood",3,2,"3,948.0 sqft",14.5 perches,
2,"['House with Land for Sale in Near Nawala Junction', '19 Jul  7:35 am', 'Nawala, Colombo', '53,000,000', ""- Located near Nawala Junction - 5 minute walk to Food City, Pharmacy, Dialog, Gym, NDB bank, People's bank, Nations Trust bank, Pizza Hut- Trishaw stand up the road- Friendly and quiet neighbourhood"", '3', '2', '3,948.0 sqft', '14.5 perches']","['title', 'posted date', 'location', 'price', 'description', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,03 STORY HOUSE & 9.8 P SALE IN NAWALA,21 Jul 10:59 am,"Nawala, Colombo","52,000,000",Rs 52000000.00 LAKHSTOTAL PRICE,FACING 4TH LANE NAWALA,3,2,"3,000.0 sqft",9.8 perches
4,Full Tiled House for Sale Nawala,21 Jul  9:24 am,"Nawala, Colombo","30,000,000",2storey house with car parking.. (30million) total price,Nawala junction,4,3,"2,500.0 sqft",6.0 perches
5,"Single Storey House For Sale Land Value in Nawala,Senanayake Avenue.",19 Jul  2:19 pm,"Nawala, Colombo","37,500,000",3B/R House for Sale Land Value inSenanayake mawatha.Nawala.------------------------Located 400 meters to Nawala Road.,"Nawala, Senanayake Avenue",3,1,"1,200.0 sqft",10.56 perches
6,4B/R 2 Storey House for Sale at Nawala facing Main Rd,19 Jul  2:13 pm,"Nawala, Colombo","85,000,000",Two Storey House for Sale in Nawala.Facing Nawala Main Road.,"Nawala, Facing Main Road.",4,3,"2,100.0 sqft",13.32 perches
7,Brand new house for sale koswatta,19 Jul  8:12 am,"Nawala, Colombo","110,000,000",Brand new house 6bedrooms all attached bathroom with car parking.  full residence area ( 1.10 million) total price.. waiting for good buyer,Nawala koswatta,6,6,"5,000.0 sqft",6.0 perches
8,3story 19.3P House For Sale in Nawala,19 Jul 12:33 am,"Nawala, Colombo","110,000,000",This House is located Nawala Koswattha  near Gateway  college ,Gunasekera Garden Nawala,5,4,"4,000.0 sqft",19.3 perches
9,House for Sale in Nawala,18 Jul  8:43 pm,"Nawala, Colombo","150,000,000",House For sale in Nawala===================,5,3,"3,500.0 sqft",20.0 perches,
