,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Beds:,Baths:,House size:,Land size:,
1,House for Sale in Pannipitiya, 9 Jul  4:01 pm,"Pannipitiya, Colombo","14,800,000",House for sale in pannipitiya==================,4,2,"1,225.0 sqft",7.25 perches,
2,"['House for Sale in Pannipitiya', ' 9 Jul  4:01 pm', 'Pannipitiya, Colombo', '14,800,000', 'House for sale in pannipitiya==================', '4', '2', '1,225.0 sqft', '7.25 perches']","['title', 'posted date', 'location', 'price', 'description', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,Best House in Rathmaldeniya Pannipitiya,16 Jul  5:42 pm,"Pannipitiya, Colombo","8,000,000",# 1km to Moraketiya Junction# 1km to Pannipitiya Dharmapala Maha Vidyalaya # 500m to Christ King College # 500m Erawwala Dharmapala Vidyalaya# 4 bedrooms # 1 attached bathroom # 1 servant toilet# 2 vehicle parking area # 8•1 perches # no brokers please # only genuine buyers,"Rathmaldeniya,Pannipitiya",4,1,"1,000.0 sqft",8.1 perches
4,4BR House for Sale - Pannipitiya,21 Jul  5:03 pm,"Pannipitiya, Colombo","27,500,000",• Our Reference No SH 10277( Please quote this reference number when inquiring),Pannipitiya,4,2,"3,500.0 sqft",15.0 perches
5,Brand New Modern House for Sale in - Pannipitiya,23 Jun  5:59 pm,"Pannipitiya, Colombo","22,500,000","More photos - https://youtu.be/K6xfWvK3oh0Engineer own Newly built, architect designed unoccupied house for sale in Pannipitiya, Vidyala Junction. 80m to 336 Kottawa-Malabe bus route. 300m to Vidyala Junction and Cargills Food City. 2.5Km to High Level Road and Pannipitiya Nursing Home. 3Km to Pannipitiya Dharmapala School. 4km to Thalawathugoda junction. 4Km to Makumbura highway Entrance. 4Km to Athurugiriya highway Entrance.Fully tiled. Size 2' x 2' Porcelain.Finishing Roof - Kempas and ceiling sheets.Windows and doors - Teak wood.Timber fitted staircase stepsGrills fitted for Windows.Kitchen with Pantry Cupboards.2 Large Living areas and dining area 4 bed rooms with 4 KDK ceiling fans. Air-conditioned master bedroom3 bathrooms with hot water.Garden area with Malasian carpet grass laying.Parking area for 3 vehicles with Elcardo  remote roller gate.Nicely designed wicket gate.Amano rain water gutters and down pipes.1000L double layer water tank fixed with ball valve and non return valve.Total floor area 2100 sq.ft. Approved building and survey plans.C.O.C obtained for bank loan facilities. Electricity and pipe born water. Sorrounding wall.Prime property for quick sale. 225 lakhsMoney urgent.Call. Engineer Dilum",Vidyala junction,4,3,"2,500.0 sqft",8.8 perches
6,A Brand New Luxury Modern House in Pannipitiya Palanwatta,20 Jul 11:56 pm,"Pannipitiya, Colombo","26,000,000",@  300m  (296) bus route  kottawa   piliyandala @  2•5km   kottawa @  3•5km  pannipitiya darmapala maha vidyala @  5km   maharagama @  4•5km  piliyandala @  4  bedrooms @  4  bathrooms @  large living area and dining area @  fully complete pantry with gas cooker @  large  tv  lobby @  large  roof terrace@  balcony @ fully tiled @  Ac@  Cctv @  hot water @  brick wall @  surrounding wall and roller gate @  very beautiful garden @  4  vehicle parking area @  better environment @  10  perched @  3600  sqpt @  no brokers  please @  only genuine buyers,4,4,"3,600.0 sqft",10.0 perches,
7,House For Sale In Pannipitiya - H0663,20 Jul  8:46 am,"Pannipitiya, Colombo","10,500,000","#. HOUSE AT ARAWWALA, PANNIPITIYA",3,1,"1,500.0 sqft",7.5 perches,
8,Valuable House close to Koswatte Junction,19 Jul  1:56 pm,"Pannipitiya, Colombo","12,000,000","7 Perch LandClose to Koswatte Town, CTB Depot, Battaramulla300 Metres to 177,171,163, 190 Bus RoutesLess than 1 Km to Battaramulla TownNear All Govt Offices but away from TownPrice For less than market valueClose to  Shops, Towns, Supermarkets, Buses20 Feet  12 feet Road  Private RoadLand is mostly square in shape, walls built in all 4 sidesNo Brokers PlsCall for details",Koswatte Battaramulla Malabe Road,2,1,"1,700.0 sqft",7.0 perches
9,Mordern House for Sale in Pannipitiya,19 Jul  8:03 am,"Pannipitiya, Colombo","13,000,000","modern house sale in pannipitiya 7.7perches.1700 sqft.3 bed 2 bathrooms.Hot water,Living Area,Dining room with teak Pantry cupboards, separate kitchen, separate store room , 1 car porches, 5 or 6 vehicle parking aria, Remote Gates,Face to 20 feet Road.Highly Residential area, 1 km meters Pannipitiya junction  Good condition. Immediate sale. ",pannipitiya weeramawatha,3,2,"1,700.0 sqft",7.5 perches
10,Modern House for Sale in Pannipitiya,19 Jul  7:54 am,"Pannipitiya, Colombo","18,000,000",2Storey  modern  House for Sale in Pannipitiya ,pannipitiya,4,4,"2,700.0 sqft",14.0 perches
11,Brand New Single Story House in Pannipitiya,19 Jul  7:51 am,"Pannipitiya, Colombo","13,000,000",single Storey  brand new House for Sale in pannipitiya,pannipitiya,3,3,"1,700.0 sqft",7.5 perches
12,Single Story 3 Bed Room House for Sale - Pannipitiya,17 Jul  2:53 pm,"Pannipitiya, Colombo","14,900,000","10p, newly built ,fully tilled ,three bedroom ,living ,dining ,panty ,kitchen ,two bathroom ,landscape gurden, 15million or highest offerHorahena road,rukmale ,pannipitiya",3,2,"1,500.0 sqft",10.0 perches,
13,House for Sale in Pannipitiya,17 Jul  2:08 pm,"Pannipitiya, Colombo","19,700,000","2 story brand new houseResidential area5 Beds room 5 Bath roomsMaster bed room attach bath roomLiving,dining areaPantry with kitchenVeranda,garagePipe born water & electricityParapet wall with remote gatePannipitiya dharmapala location900m to high level roadClear deeds",Pannipitiya,5,5,"2,500.0 sqft",10.0 perches
14,Brand New Two Story House in Pannipitiya,19 Jul  7:50 am,"Pannipitiya, Colombo","22,500,000",2Storey Brand new Super Luxury House for Sale in pannipitiya ,pannipitiya,4,4,"2,400.0 sqft",8.8 perches
15,Best House in Rathmaldeniya Pannipitiya,16 Jul  5:42 pm,"Pannipitiya, Colombo","8,000,000",# 1km to Moraketiya Junction# 1km to Pannipitiya Dharmapala Maha Vidyalaya # 500m to Christ King College # 500m Erawwala Dharmapala Vidyalaya# 4 bedrooms # 1 attached bathroom # 1 servant toilet# 2 vehicle parking area # 8•1 perches # no brokers please # only genuine buyers,"Rathmaldeniya,Pannipitiya",4,1,"1,000.0 sqft",8.1 perches
