,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Beds:,Baths:,House size:,Land size:,
1,Two Storied House for Sale in Kahathuduwa - Piliyandala,19 Jul  7:36 am,"Piliyandala, Colombo","9,950,000","Recently built beautiful house for sale in “Sunray Park” housing scheme with very good neighborhood. An elevated location with undisturbed Paddy field views through to Adams Peak. This two storied specious house covered in over 2500 Sq. Ft. of floor area.5 specious bedrooms with balconies to upper floor 2 bathrooms with modern fittings and hotwater supplyLarge Living and dining area with dual height spaceFamily/ TV room  Kitchen with some pantry cupboardsIndoor garden spaceServant’s accommodationNice white colour terrazzo flooringBurglar alarm system for added securityAir-conditioning to one roomBoundary wall and steel gatesVery calm and quite residential area with plenty of space to breath fresh air and village type surroundings, bushlands, rubber plantations still close to Colombo CBD and easy access to Southern Highway.   10 Perch good size lot with wide access roads. (If required adjoining two 10 perch lots can be purchased separately. This additional land extent planted with may fruit trees and some coconut trees)Suitable for someone with growing family and trying to escape from busy/ congested lifestyle to a more stress-free environment and still wanting to live close to Colombo. Ideal for some looking for a holiday home within short drive from Colombo as well.Looking for offers over Rs. 11 Million for 18 to 20 Million worth this house, priced to sell quickly to finance our new project in Hikkaduwa.visit www.mapleholidayvillas.com/properties-for-sale/ for more details",5,2,"2,500.0 sqft",10.0 perches,
2,"['Two Storied House for Sale in Kahathuduwa - Piliyandala', '19 Jul  7:36 am', 'Piliyandala, Colombo', '9,950,000', 'Recently built beautiful house for sale in “Sunray Park” housing scheme with very good neighborhood. An elevated location with undisturbed Paddy field views through to Adams Peak. This two storied specious house covered in over 2500 Sq. Ft. of floor area.5 specious bedrooms with balconies to upper floor 2 bathrooms with modern fittings and hotwater supplyLarge Living and dining area with dual height spaceFamily/ TV room  Kitchen with some pantry cupboardsIndoor garden spaceServant’s accommodationNice white colour terrazzo flooringBurglar alarm system for added securityAir-conditioning to one roomBoundary wall and steel gatesVery calm and quite residential area with plenty of space to breath fresh air and village type surroundings, bushlands, rubber plantations still close to Colombo CBD and easy access to Southern Highway.   10 Perch good size lot with wide access roads. (If required adjoining two 10 perch lots can be purchased separately. This additional land extent planted with may fruit trees and some coconut trees)Suitable for someone with growing family and trying to escape from busy/ congested lifestyle to a more stress-free environment and still wanting to live close to Colombo. Ideal for some looking for a holiday home within short drive from Colombo as well.Looking for offers over Rs. 11 Million for 18 to 20 Million worth this house, priced to sell quickly to finance our new project in Hikkaduwa.visit www.mapleholidayvillas.com/properties-for-sale/ for more details', '5', '2', '2,500.0 sqft', '10.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,Two Story House in Bokundara,19 Jul  1:26 pm,"Piliyandala, Colombo","26,500,000",* House completed in 2017* Property has 2 access ( Front and Rear )* 4 Bed rooms (2 bed rooms with closets )* 4 Bathrooms* Living area* Dining area* TV lobby* Court yard* Kitchen* Washing area* Store room* Staircase -Kumbuk timber* All bricks walls* Tiles-Rocell and Lanka tile* Bath room fittings -Rocell* Main doors -Jak timber* Powder coated alluminium* Outside store room ( 250 sqft)* CCTV- 8 camerasHouse situated in Bokundara Makuluduwa road2 minutes walking distance to Vishvakalawa junction 10 minutes drive to Maharagama and Boralesgamuwa junctions5 minutes drive to PiliyandalaExpecting 28.5 million Please call Chandana Munasinghe-ownerSelling due to migrate,Piliyandala,4,4,"2,500.0 sqft",21.25 perches
4,Brand new Uncommon House Piliyandala,11 Jul 10:26 am,"Piliyandala, Colombo","13,500,000","Piliyandala Kesbewa 120 parata  yabada honnanthara athi sukopabogi thani mahal niwasa kadinamin wikinimata. Loand approved . Clear deed. Loan document completed.Two living Room with Dinning Area, 3 Bed Room ,2 Bathroom , 2 kitchen, 1 Store Room, Court Yard with Budu Pahana. Rollergate,","Wijayanandanarama Para ,Honnanthara ,Piliyandala",3,2,"1,500.0 sqft",7.0 perches
5,New House for Sale in Piliyandala,19 Jul  9:56 pm,"Piliyandala, Colombo","10,500,000","New House for sale in Piliyandala* කාමර තුනයි, බාතරූම් දෙකයි* සර්වනට් ටොයිලට්* පැන්ට්‍රි* රිමේට් ගේට්, ගරාජ්* අඩි 30 පලල් පාර* පදිංචි නොවූ අලුත්ම නිවස","Batuwandara, Kesbewa",3,2,"1,472.0 sqft",8.0 perches
6,Brand New 2 Storied House for Sale in Piliyandala,21 Jul  3:49 pm,"Piliyandala, Colombo","16,000,000",Kesbewa   twon ekata Kittuwa  162 piliyandala bandaragama parata 600m  Tile Sivilin Wata thappa roler gettu Wahana 10k pack kirimata puluwana Bank school super market athulu siyalu pahasukam walin samanwithai. Bank  loan laba gatha heka  . Land eka saha   house  eka  Lks 190k  watina athara   Adi 30 parata muhunala atha Piliyandalata 3km    mila ganan  sakachcha kara gatha heka. Ikmanin wikinimata,6,3,"3,250.0 sqft",17.25 perches,
7,Luxury House For Sale In Piliyandala,30 Jun  9:44 am,"Piliyandala, Colombo","28,800,000",Luxury House For Sale In Piliyandala ============================,Piliyandala,5,4,"3,600.0 sqft",8.2 perches
8,New House for Sale in Piliyandala,19 Jul  2:42 pm,"Piliyandala, Colombo","9,000,000",Owner Migrating - Immediate Sale for a best price.Ground Floor Completed. (Brick+ Roller Gate & Parapet Wall)Title Deed/Approved Plan/Approved Survey Plan/Non Vesting/ Street Line available (Can go for Loans).Clear Documents. (Owned by a Banker - Documents with the Bank for existing Staff Loan)10 minutes to Piliyandala Town. ( 4 Km.)15 minutes to Highway Express.15 minutes to Galle RoadCall for more details.,3,2,"1,100.0 sqft",7.5 perches,
9,Brand New House at Battaramulla,21 Jul 11:00 am,"Piliyandala, Colombo","45,000,000","We have luxurious specious 3 storied Brand new house for special offer…… please contact - only 45 million - negotiable4000 square feet house, 4 specious bed rooms with AC & attached bath rooms. Total 6 bath rooms. 20 feet wide road. You don't find a house with this features for this price. Perfect plan.. 2 vehicles can park. Hot water with solar. Specious living & dining areas.seperate maid rooms with bath rooms. Scenic large terrace, laundry room.CCTV, AC, Roller gate, fully equip pantry cupboards. High quality wood for doors & windows. House has constructed to the highest standard using quality materials.Nice garden, peaceful well secured residential area located at battaramulla just 5 minutes to the town. Very convenience to Keels/ Cargills /Laughs supermarkets and the banks & light rail transport project…..Selling at urgently..Just completed..","bensil kobbakaduwa mv, battaramulla",6,5,"3,900.0 sqft",7.5 perches
