,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,House for Sale in Rajagiriya,17 Jul 11:08 am,"Rajagiriya, Colombo","8,000,000",House For Sale in Rajagiriya,"Mosque Lane,Nawala Road,Rajagiriya",2,1,"1,000.0 sqft",2.0 perches
2,"['House for Sale in Rajagiriya', '17 Jul 11:08 am', 'Rajagiriya, Colombo', '8,000,000', 'House For Sale in Rajagiriya', 'Mosque Lane,Nawala Road,Rajagiriya', '2', '1', '1,000.0 sqft', '2.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for Sale in Rajagiriya,20 Jul 10:09 am,"Rajagiriya, Colombo","36,000,000",Two storied house facing Moragassmulla rd distance to Borralla road 800M built in two separate unitsUpstairs two Bed rooms kitchen and a bath roomGround floor 3 Bed rooms Two Bath rooms Kitchen roof topParking availablefor 3 vehicles.Ideal for a office/ store,Moragasmulla Rajagiriya,5,3,"2,000.0 sqft",6.5 perches
4,Upstairs House for Sale in - Rajagiriya,19 Jul 11:51 pm,"Rajagiriya, Colombo","30,000,000","Just 250m to Ambagaha junction and 2.5km to Rajagiriya town. About 1km to IDH. Calm and best residential area. The specious house is Fully tiled, Kitchen with pantry cupboards, Large living area, Dinning area, Finishing roof, Balcony, Large garden area, well water also available. Main line water and electricity, 30 feet wide road access. Space available even to build up new house.BERYL will provide you personalized, trust worthy service at all the time.",Rajagiriya,4,2,"1,800.0 sqft",15.0 perches
5,House for Sale in Idh Kotikawatta Rd,17 Jul  5:46 pm,"Rajagiriya, Colombo","11,500,000",House for sale in IDH pahsla batalanda road900m to the IDH junction 150m IDH kotikawatta road2 bedrooms with A/C2 bathroomsPantryHot water parking spaceRoller gate--------------------------------------------- IDH පහල බටලන්දහේන පාරේ අලුත් නිවසක් විකිණීමට පර්චස් 6යිකාමර 2යිනාන කාමර 2යිරෝලර් ගේට්IDH හංදියට මීටර් 900කොටිකාවත්ත IDH පාරට මීටර් 150යිලක්‍ෂ 115යි,"rajagiriya,IDH",2,2,"1,650.0 sqft",6.0 perches
6,House for Sale with 20 Perch Land - Kotuwegoda,16 Jul  2:53 pm,"Rajagiriya, Colombo","60,000,000","near to the fairway residencies, 1.5KM to rajagiriya, 2KM to baththaramulla, 50M to main road, all facilities available[electricity and water] 1 perch price 30,00,000.00,total price 600,00000.00","gamunu mawatha, kotuwegoda",2,1,"1,800.0 sqft",20.0 perches
7,Houses for sale at Rajagiriya,15 Jul  4:59 pm,"Rajagiriya, Colombo","36,400,000","Perfectly Positioned within an easy commute to Colombo city center, leading international schools,supermarkets,restaurants,nature parks and walkways. Majestic rajagiriya presents all the excitement of modern city life. Paired with the privacy and tranquility of luxury living.",4,4,"2,641.0 sqft",6.2 perches,
8,2 Storeied House for Sale in Kotikawatta .,14 Jul  7:22 pm,"Rajagiriya, Colombo","17,200,000","කොලොන්නව ,අංගොඩ  අවිස්සාවේල්ල පාරේ  කොටිකාවත්ත හන්දියේ නාගහවෙල පාරේ මීටර් 300ක් පමණ දුරින්  පර්චස් 10ක ඉඩමේ කාමර 4 නාන කාමර 2ක් සහිත   දෙමහල් නවීන පන්නයේ වටිනා  නිවස ලක්ෂ 172 කට  විකිනීමට ඇත .කරුණාකර තැරව්කරුවන් අමතන්න එපා .සත්‍ය ගැනුම්කරුවන් සදහා පමණයි .",NAGAHAWELA  ROAD KOTIKAWATTA .,4,2,"2,250.0 sqft",10.0 perches
9,"3 Story New House for Sale Kalapaluwawa Road, Rajagiriya",14 Jul 10:12 am,"Rajagiriya, Colombo","39,000,000","3 Storey New House For Sale in Kalapaluwawa Road, Rajagiriya------------100 meters to Abagaha junction 4 Km to Koswattha Junction 5 Km to Rajagiriya Junction 150 Bus Route Kelaniya-Simamalakaya","Kalapaluwawa Road,Buthgamuwa,Rajagiriya",4,4,"3,600.0 sqft",30.0 perches
10,Brand new condition House for sale in Rajagiriya,13 Jul  2:04 pm,"Rajagiriya, Colombo","45,000,000","Madinnagoda road, Rajagiriya -  Semi Furnished House for sale in Gated community, 3000 sqft, 2 storied, 3 bedrooms with attached bathrooms, Living room,dinning rooms and TV room, Kitchen with pantry, Servant room and laundry rooms,  Common swimming pool/ Gymnasium  and children play area, 24 hour security, Asking Price is Rs. 45m",Birds parks Residencies Rajagiriya,3,3,"3,000.0 sqft",12.5 perches
11,Fully Tiled House for Sale - Rajagiriya,12 Jul  2:53 pm,"Rajagiriya, Colombo","3,950,000",The house is located with a distance of 400 M to the rajagiriya main road. Close by to the main schools and super markets. The land is only 2 perches and the house is built in the total land. the slab was laid in the intention of building a three storied house. the house is fully tiled with attached bathroom. 10 feet road. clear deed. NO time wasters please. brokers are welcome.,rajagirya,1,1,800.0 sqft,2.0 perches
12,House for sale in Rajagiriya,19 Jul  2:27 pm,"Rajagiriya, Colombo","28,000,000","Single Story House for Sale in Rajagiriya* Bedroom - 03* Bathroom - 03* Land Size - 6.75 perches* House Size - 1400 sqft* Price - 28,000,000/= (Land value only)","Rajagiriya town,privet road",3,3,"1,400.0 sqft",6.75 perches
13,House for Sale in Rajagiriya,11 Jul  1:52 pm,"Rajagiriya, Colombo","110,000,000",• Our Reference No SH 8612( Please quote this reference number when inquiring),Rajagiriya,5,4,"3,600.0 sqft",16.89 perches
