,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,House for Sale - Ratmalana,20 Jul  8:38 am,"Ratmalana, Colombo","44,000,000","We have beautifully designed, luxurious 3 bedroom house (2650 sq.ft.) with 2 Bathrooms in 8.5 Perch land, built to the highest quality, situated close to GALLE ROAD(100m),convenient location with many public & private institutions. ",Dammadara Road,3,2,"2,600.0 sqft",8.5 perches
2,"['House for Sale - Ratmalana', '20 Jul  8:38 am', 'Ratmalana, Colombo', '44,000,000', 'We have beautifully designed, luxurious 3 bedroom house (2650 sq.ft.) with 2 Bathrooms in 8.5 Perch land, built to the highest quality, situated close to GALLE ROAD(100m),convenient location with many public & private institutions. ', 'Dammadara Road', '3', '2', '2,600.0 sqft', '8.5 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for Sale in Ratmalana, 8 Jul  6:00 pm,"Ratmalana, Colombo","26,500,000","House for Sale in Ratmalana 8 perches 2 storyed, car parks,  Garden,  Price Rs,  26.5 million make and earlier appointment",Ratmalana,4,3,"2,000.0 sqft",8.0 perches
4,Ratmalana Architect Designed 4 Bed Rooms Upstair House,18 Jul  4:25 pm,"Ratmalana, Colombo","16,000,000","LOCATION Three story up stair house is situated on the Soysapura main road, this building has commercial value facing the Soysapura main road 26 feet. Easy access to the Galle road. Very close to Commercial Bank,  Fashion bug, K Zone supermarket, banks, places of worship, and shops, it is about fifty minutes’ drive to the Colombo city centre, Ninety minute drive to the Katunayake International airport & close to most of the towns in & around Colombo & the suburbs, from this location.","Soysapura road, Mirage Commercial Scheme",4,3,"2,800.0 sqft",8.0 perches
5,Brand New House For Sale | Ratmalana,20 Jul  9:15 am,"Ratmalana, Colombo","9,500,000",Brand New Modern House for Sale in Rathmalana. 5 Perch House. Facing 20ft Road. Located in Highly residential area. Very convinient Location.,3,2,"1,600.0 sqft",5.0 perches,
6,Brand New House For Sale | Ratmalana,20 Jul  9:15 am,"Ratmalana, Colombo","13,500,000","Brand New Modern House for sale in Rathmalana. 6 Perch House. Located in Highly residential area. Very convenience location. Close to Galle Road. Close to Bus Stop, Banks, Food City and Etc.. Bimsaviya First class certificate.",3,2,"1,600.0 sqft",6.0 perches,
7,Brand New modern House in Ratmalana for sale,20 Jul  8:13 am,"Ratmalana, Colombo","29,000,000",4 bedroom 4 bathroom three with attach 1 common hall modern kitchen fully tiled parking for two vehicles remote Gate garden area 250 feet Wide Road facing clear title brand new sale price 29 million,privana road ratmalana,4,4,"2,500.0 sqft",4.0 perches
8,3 BR house Ratmalana,20 Jul  5:33 am,"Ratmalana, Colombo","17,000,000",3 BR house for sale in highly residential Area in mt Lavinia 2 bathrooms + Servants  Garden 350 m to galle rd 170 lakhs negotiable for the heighst quick sale,Pirivena rd,3,2,"1,320.0 sqft",10.5 perches
9,House For Sale In Ratmalana,19 Jul 10:45 am,"Ratmalana, Colombo","12,000,000","Quietly situated in the hub of on Rathmalana City , this newly updated 3bedroom, 2 bathroom town residence has been crafted with an unwavering dedication to contemporary quality and class. Creating an effortlessly luxurious environment, the tri-level design features vast living/dining, cleverly integrated and gourmet kitchen. Embraced by panoramic 360-degree views, the rooftop terrace provides a breezy city-view platform. Exceptionally slick, the maste bedroom  air conditioners, video security,  Walk to transport, eateries, shops.",New Air Port Road,3,2,"2,500.0 sqft",4.0 perches
