,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,Brand New Luxury Three Story House Sale For Kalalgoda,16 Jul  7:09 pm,"Talawatugoda, Colombo","42,000,000",Brand New Luxury Three Story House Sale For Kalalgoda ,"Weera Mawatha, Kalalgoda",4,5,"3,900.0 sqft",12.75 perches
2,"['Brand New Luxury Three Story House Sale For Kalalgoda', '16 Jul  7:09 pm', 'Talawatugoda, Colombo', '42,000,000', 'Brand New Luxury Three Story House Sale For Kalalgoda ', 'Weera Mawatha, Kalalgoda', '4', '5', '3,900.0 sqft', '12.75 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,3 Storied 5BR House for Sale in Thalawathugoda,10 Jul  3:34 pm,"Talawatugoda, Colombo","27,500,000","3 Storied 5BR House for Sale in Lake Road, Thalawathugoda10 Perches3500 Sq.Ft.5 Bedrooms4 Bathrooms30Ft. Access Road, Then 15Ft. Private RoadBuilt in 3 Years AgoUrgent SaleNo BrokersSelling Price: Rs.275 LakhsCall for More Details",Lake Road,5,4,"3,500.0 sqft",10.0 perches
4,Super Luxury Two Story House Sale For Talawatugoda,21 Jul  6:09 pm,"Talawatugoda, Colombo","52,500,000",Brand New Luxury Two Story House Sale For Thalawathugoda ,"Hokandara Road, Thalawathugoda",5,4,"4,000.0 sqft",10.5 perches
5,Luxury Brand New Two Storey House in Talawatugoda,16 Jun  4:43 pm,"Talawatugoda, Colombo","45,000,000","Luxury two storey house for sale in thalawathugoda kallagoada Rd. 4 bedrooms and 5 bathrooms. Comply with all requirements including hot water, TV lobby, balcony, cctv camera. Brick wall, servant bedroom with a toilet and a double carpoch, roller gate, garden. Doors and windows are jacked. Completed pantry. 20 ft Road. 1km to 174 Rd. 1.3 km to thalawathugoda Junction. Residential area.",Talawtugoda kallagoad Road,4,5,"4,000.0 sqft",12.0 perches
6,House in Thalawathugoda,21 Jul  7:38 am,"Talawatugoda, Colombo","18,000,000",2 story under construction house5 bathrooms3 bath roomsLiving / dining / sitting areaOffice roomKitchen areaCar porchwater & electricity23 feet road300m to 174 bus road600m to louver international schoolResidential areaClear deed,Thalawathugoda,5,3,"2,300.0 sqft",8.75 perches
7,Two Storied House For Sale in Talawatugoda,20 Jul  1:21 pm,"Talawatugoda, Colombo","57,500,000",2 storied Luxury Modern House house For Sale in ||  Thalawathugoda. On 20 Perch Land,"Uthuwankanda Road, Thalawathugoda",5,5,"3,800.0 sqft",20.0 perches
8,B / New 2 Storied House - Thalawathugoda,20 Jul  1:49 pm,"Talawatugoda, Colombo","21,500,000","B / New 2 story house ||  Hokandara Road, Thalawathugoda.6.5 Perches with Landscaped garden area.","Thalawathugoda Rd, Hokandara",4,3,"2,200.0 sqft",6.5 perches
9,Brand New 2 Stories Super Luxury House for Sale in Thalawathugoda,20 Jul 10:44 am,"Talawatugoda, Colombo","52,500,000",2Storey Brand new Super Luxury House for Sale in Thalawathugoda. ,"Thalawathugoda, Hokandara rd",5,4,"4,100.0 sqft",10.25 perches
10,Brand New 2 Stories Luxury House for Sale in Thalawathugoda,20 Jul  9:18 am,"Talawatugoda, Colombo","21,500,000","New Morden Brand New 2 story House for Sale in thalawathugoda,Hokandara rd, vidyaraja rd.","Thalawathugoda, Hokandara rd",4,4,"2,400.0 sqft",6.0 perches
11,Brand New Modern 3Story House Sale For in Thalawathugoda,20 Jul  8:55 am,"Talawatugoda, Colombo","35,000,000","Brand New Modern 3 Story House Sale For in Thalawathugoda Hokandara Road ,Thalawathugoda .................................................200 Meter to Hokandara - Thalawathugoda Road1 Km to Thalawathugoda Junction ",200 Meter to Hokandara - Thalawathugoda Road,4,4,"3,150.0 sqft",8.0 perches
12,Architect Designed Brand New House For Sale -Talawatugoda,20 Jul  8:51 am,"Talawatugoda, Colombo","21,500,000",Architect Designed Brand New 6P House For Sale in Hokandara ,3km to thalawatugoda junction,4,3,"2,850.0 sqft",6.0 perches
13,Hokandara House | For Sale - H0685,20 Jul  8:23 am,"Talawatugoda, Colombo","23,500,000","#. BEAUTIFUL BRAND NEW 2 STORIED HOUSE AT VIDYARAJA MW, HOKANDARA",4,3,"2,500.0 sqft",6.0 perches,
14,Brand New Upstairs House in Talawathugoda,20 Jul 12:30 am,"Talawatugoda, Colombo","29,500,000","Just about 500m to Athurugirya Highway Interchange and about 3.5km to Talawathugoda town. About 3km to Malabe town, Just 1km to Athurugiriya town. Calm and best residential area. Good neighborhood. The house is Fully Tiled, Large Living area, dinning area. Servant bathroom. Greenish and landscape garden area.CCTV, Finishing roof, Inside parking for 2 vehicles, Remote gate, wicket gate. Teak doors and windows. BERYL will provide you personalized, trust worthy service at all the time.",Talawathugoda - Hokandra - Wanaguru Mawatha,4,3,"2,600.0 sqft",10.5 perches
15,Architect Designed House || in 174 bus road talawatugoda,19 Jul 10:39 pm,"Talawatugoda, Colombo","38,000,000","Architect Designed modern House4 bed rooms (2 A/C room)4 attach bath roomsSitting,dining areaLiving areaPantry with kitchenGarage with vehicle parking spaceCCTV camera systemParapet wall with roller GatePipe born water & electricityResidential area with good neighborhoodClear deeds",174 bus road,4,4,"4,000.0 sqft",11.0 perches
16,Architect Designed Brand New Luxury House For Sale - Thalawathugoda,19 Jul  4:43 pm,"Talawatugoda, Colombo","34,000,000","Architect Designed Brand New Luxury House For Sale in thalawathugoda--------------2.5km to thalawathugoda Junction 600 meters to Hokandara Road30 feet Road.Ground floor:-1Bedrooms .1bathrooms.with servant toilet.With Hotwater servant RoomLiving/Dinning/Modern PantryLandscapingHouse Made By Bricks Wall3fas Electricity First floor :-3Bedrooms with A/C2bathrooms.with attach and hot waterCCTV SystemTeak wood made by Doors and Windows Balcony.2rd Floor with Rooftop.Close by Keels Super, Cargils Food City, Health Guard Pharmacy, Dispensary,price 34Million (340Lakhs)NegotiablePlease call for Seen on appointment more information and PriceGENUINE BUYERS ONLYNO BROKERS",600 meters to Hokandara Road,4,3,"2,850.0 sqft",7.5 perches
17,Architect Designed Brand New Luxury House Sale in - Thalawathugoda,19 Jul  3:31 pm,"Talawatugoda, Colombo","34,000,000",Architect Designed Brand New Luxury House For Sale in thalawathugoda--------------2.5km to thalawathugoda Junction 600 meters to Hokandara Road30 feet Road.,2.5km to thalawathugoda Junction,4,4,"3,600.0 sqft",8.0 perches
18,Brand New Modern 2 Story House for Sale - Thalawathugoda,19 Jul  4:21 pm,"Talawatugoda, Colombo","35,000,000","Brand New Modern Two Story House Sale For in Thalawathugoda Hokandara Road ,Thalawathugoda .................................................200 Meter to Hokandara - Thalawathugoda Road1 Km to Thalawathugoda Junction ",200 Meter to Hokandara - Thalawathugoda Road,4,4,"3,650.0 sqft",8.0 perches
19,House for Sale Thalawathugoda,19 Jul  2:58 pm,"Talawatugoda, Colombo","36,000,000","6 bedrooms 2 ac rooms, first floor bedroom wooden floor Seperate entrance for 2 floors has seperate bathrooms kitchens. 2 indoor car parking. 3 to 4 outdoor car parking.12.5 perches  weli road , thalawathugoda.",6,4,"3,500.0 sqft",12.0 perches,
20,House || in Thalawathugoda,19 Jul  2:39 pm,"Talawatugoda, Colombo","34,500,000",2 story brand new house- Bedroom – 4- Bathroom – 3- Land Size - 8 Perches- House Size – 3500 sqft,Thalawathugoda,4,3,"3,500.0 sqft",8.0 perches
21,Super Luxury Three Story House Sale For Thalawathugoda,19 Jul  2:10 pm,"Talawatugoda, Colombo","47,500,000",Modern Three Story House Sale With  Furniture For Thalawathugoda ,"Hokandara Road, Thalawathugoda",5,4,"4,800.0 sqft",10.25 perches
