,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,02 Story House Sale in Wellampitiya,18 Jul  2:24 pm,"Wellampitiya, Colombo","13,000,000","02 story house residential  area 03 beds room,02 bathroom ,master  beds room Ac attached  bathroom living dinning  area,pantry  with kitchen verenda ,perapot wall, sola hot water ,03 cars parking  area,03  pashe couuent and   sigal pashe  ,very  near  to colombo city  and kaduwela,kadawatha katunayaka mathara highway","no 135/1,wennawatta,wellampitiya",3,2,"2,600.0 sqft",11.75 perches
2,"['02 Story House Sale in Wellampitiya', '18 Jul  2:24 pm', 'Wellampitiya, Colombo', '13,000,000', '02 story house residential  area 03 beds room,02 bathroom ,master  beds room Ac attached  bathroom living dinning  area,pantry  with kitchen verenda ,perapot wall, sola hot water ,03 cars parking  area,03  pashe couuent and   sigal pashe  ,very  near  to colombo city  and kaduwela,kadawatha katunayaka mathara highway', 'no 135/1,wennawatta,wellampitiya', '3', '2', '2,600.0 sqft', '11.75 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,Brand New House for Sale in Wennawatte,17 Jul 11:26 am,"Wellampitiya, Colombo","9,500,000","Brand new house for sale in Wellampitiya Wennawatta 3rd lane with 3 bedrooms and 2 bathrooms.1. Large parking area, can park KDH Van2. Large living room 3. Dining area4. Large 3 bedrooms and 1 with attach bathroom5. 15 feet wide road access6. Remote roller shutter gate7. This area is not innandaded by rainy water and minor floods8. About 200m to the main road9. Walking distance to the Leading supermarkets such asKeells and Cargills.10. About 500m to wellampitiya Junction11 . Very near to wennawatte Jummah Mosque.12. Carm and quiete enviournment with good Nabours13. Avissawella colombo main road is under construction and land value will be increased   very soon after the construction14. Very convenient and safe place to live.",Wennawatte 3rd Lane,3,2,"1,200.0 sqft",4.5 perches
4,House for Sale in Wellampitiya,20 Jul  3:20 pm,"Wellampitiya, Colombo","2,700,000","Single story Brand new house,2 Bed rooms (1 Large room & small room),1 Bath room,Kitchen with pantry,Tiled floor & Roof ceiling,Behind Noorania Muslim mosque,15 ft road facing,1 km to Wallampitiya Junction,2 km to IDH Junction ,1 km to Kolonnawa Junction,Clear Title,","Haritha uyana,Megoda kolonnawa,Wallampitiya",2,1,600.0 sqft,2.0 perches
5,House For Rent - Wellampitiya,20 Jul  2:36 pm,"Wellampitiya, Colombo","7,000,000",කොළඹට නුදුරින්,A/4/1 වෙහෙරගොඩැල්ල පාර සේදවත්ත වැල්ලම්පිටිය,3,2,800.0 sqft,3.2 perches
6,Two Storied House for Sale in Wellampitiya,20 Jul  2:08 pm,"Wellampitiya, Colombo","7,000,000",දෙමහල් නිවසක් විකිණීමට ඇත - වැල්ලම්පිටිය ===================================,"A/4/1, Wehera Godalla road, Sedawaththa , Wellampitiya",3,2,"1,000.0 sqft",3.2 perches
7,House for Sale - Wellampitiya,19 Jul  1:24 pm,"Wellampitiya, Colombo","3,800,000","Wellampitiya, Welewatta (Meethotamulla)4.5km to Pettah2km to Dematagoda3km to Katunayaka Highwayමීත‌ොටමුල්ල වෙලේවත්ත නිවසක්අඩි 10 පාරඉක්මණින් විකිණීමට","Welewatta, Meethotamulla.",2,2,"1,650.0 sqft",4.0 perches
8,House for Sale - Kolannawa,16 Jul  2:07 pm,"Wellampitiya, Colombo","7,500,000",×house Located in Main Road ×50m to Willampitiya Junction 1km to Idh Road ×car Parking Space Available ×mine Market Is Around the House ×peace Full Area 100% Safety ×all Documents Are Clear×for Leas Rs.13.5,magada kolannawa,2,1,900.0 sqft,4.0 perches
9,House for Sale in Kotikawatta,11 Jul  2:45 pm,"Wellampitiya, Colombo","3,000,000","කොටිකාවත්ත, IDH පාරට 300 m හා කොටිකාවත්ත නගරයට 500 m ක් නුදුරින් පර්චස් 2.2, කාමර 02, මුළුතැන්ගෙය, සාලය, බාත් රූම් සහිත තාප්ප, ගේට්ටු යෙදූ නව නිවසක් විකිනීමට.තවද කොටිකාවත්ත නගරයේ සහ පොල්ගස්ඕවිට නගර වල තවත් නිවාස සහ ඉඩම් විකිනීමට ඇත.වැඩි විස්තර සදහා විමසන්න. ( imo , whatsapp, Viber මගින්ද සම්බන්ධ විය හැක.)","Kotikawatta, IDH Road",2,1,"1,450.0 sqft",2.2 perches
10,House for Sale Wellampitiya,10 Jul  6:29 pm,"Wellampitiya, Colombo","5,500,000",House for Sale Wellampitiya==================,2,1,817.0 sqft,3.0 perches,
11,2 Bed Room House with Concrete Slab in - Wellampitiya, 5 Jul  8:13 pm,"Wellampitiya, Colombo","6,000,000",Only 6.0 Million. (60 Lakhs),"Samagi Mawatha, Wellampitiya",2,2,817.0 sqft,3.0 perches
12,House for Sale in - Wellampitiya, 4 Jul  1:57 pm,"Wellampitiya, Colombo","6,000,000",Newly Build HouseCall for More Details,2,2,893.75 sqft,3.25 perches,
13,House for Sale - Wellampitiya, 7 Jul  2:56 pm,"Wellampitiya, Colombo","2,400,000",Can park a three-wheel inside the house,"B4/1, Siripala Pinthu Niwasa, Sedawatta,  Wellampitiya",1,1,850.0 sqft,2.0 perches
14,Two Story House for Sale in Wellampitiya, 8 Jul  5:34 pm,"Wellampitiya, Colombo","8,300,000",#  කොළඹ කඩුවෙල ප්‍රධාන මාර්ගයට මීටර් 25යි.#  දෙමහල් නිවස.#  විදුලිය හා ජලය ඇත.#  කොළඹ ප්‍රධාන විදුහල් වලට ළඟම ස්ථානය.#  ජාතික රෝහලට කිලෝමීටර් තුනයි,"475/5,2nd lane,kuruniyawaththa,wellampitiya.",5,1,800.0 sqft,2.6 perches
15,Home for Urgent Sale Gothatuwa.,27 Jun  1:16 pm,"Wellampitiya, Colombo","17,500,000",House with AnnexRooftop - Concrete SlabGood Neighborhood200 Mts to the Main RoadFor immediate Sale!17.5M - Price (Negotiable)Contact #,"Ambagaha Junction, Gothatuwa.",3,2,"1,200.0 sqft",14.0 perches
16,House for sale in Wellampitiya,26 Jun  3:53 pm,"Wellampitiya, Colombo","4,500,000",House for sale in Wellampitiya,2,1,571.67 sqft,2.7 perches,
