,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,3 Br Luxury House for Sale - Labuduwa Galle,19 Jun  9:23 am,"Galle, Galle","27,500,000","Wonderful 3 Bedrooms luxury house for a couple or young family offering open concept living/dining space. The main living space offers super titanium cut floors. Living room/dining room has built-in sitting bench. Teak/Granite kitchen cabinetry with plenty of counter space, double sink, and pantry. Built-in microwave and an oven are included. Laundry conveniently located in the house with extra storage space. 2 good size bedrooms both offering A/C and stunning French doors to the outside. Large 3 piece bathrooms offers separate shower, granite counter top and high-end fittings. This house comes with 2 oversize parking spaces finished with pressed concrete tiles. This home is ideally situated with amenities nearby in Labuduwa Galle.",Badie Road in Labuduwa Galle,3,2,"2,057.0 sqft",8.0 perches
2,"['3 Br Luxury House for Sale - Labuduwa Galle', '19 Jun  9:23 am', 'Galle, Galle', '27,500,000', 'Wonderful 3 Bedrooms luxury house for a couple or young family offering open concept living/dining space. The main living space offers super titanium cut floors. Living room/dining room has built-in sitting bench. Teak/Granite kitchen cabinetry with plenty of counter space, double sink, and pantry. Built-in microwave and an oven are included. Laundry conveniently located in the house with extra storage space. 2 good size bedrooms both offering A/C and stunning French doors to the outside. Large 3 piece bathrooms offers separate shower, granite counter top and high-end fittings. This house comes with 2 oversize parking spaces finished with pressed concrete tiles. This home is ideally situated with amenities nearby in Labuduwa Galle.', 'Badie Road in Labuduwa Galle', '3', '2', '2,057.0 sqft', '8.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House For Sale In Baddegama Town,25 May  1:05 pm,"Baddegama, Galle","1,700,000",ජාතික පාසල් ආසන්නයේම බද්දෙගම දක්ශින අදිවේගි පිවිසුමට 1km දුරින්ද බද්දෙගම බස් නැවතුම්පොළට 1/2km දුරින්දඅංගසම්පූර්ණ නිවස හා ඉඩම විකිණීමට,2,1,"1,950.0 sqft",20.0 perches,
4,House for Sale in Ambalangoda,21 Jun 10:33 am,"Ambalangoda, Galle","4,000,000",සියලු පහසුකම් සහිත පහත මහල පදිංචියට සුදුසු නිවසක් සහිත ඉඩමකි.ඉඩම වටකර තාප්පය සහ ගේට්ටුව සවිකර ඇත.අම්බලන්ගොඩ ට 7km.පදිංචියට සුදුසු නිස්කලංක පරිසරයකි.මුදල් හදිසයකට ඉක්මනින් විකුණනු ලැබේ.මිල ගනන් සාකච්ඡා කල හැක.,"no 74 ,silver garden,ronnaduwa,meetiyagoda",1,1,"1,456.0 sqft",11.8 perches
5,House for Sale in Galle Labuduwa,21 Jul  5:40 pm,"Galle, Galle","8,300,000","පර්චසය රු. ලක්ෂ 4 ට අලෙවි වන ගාල්ල ලබුදුව කපුහෙම්පල ගොඩදුව පාරේ පිහිටා ඇති අංගසම්පුර්ණ නිවසකි.ඉඩම පර්චස් 20 ක් වන අතර, ඉඩමේ වර්තමාන වටිනාකම ලක්ෂ 80 ක් පමන  වන නමුත්, ඉක්මණින් අලෙවි කල යුතු බැවින් ඉඩමේ වටිනාකම පමණක් සලකා (නිවස සියළු පහසුකම් සහිත ටයිල් කරන ලද අංගසම්පුර්න නිවසක් වුවද ) විකිණීමට මිල කොට ඇත. එබැවින් දක්වා ඇති වටිනාකම අවසාන මිල වේ. ගාල්ල සහ කරාපිටිය රෝහල්වලට ඇත්තේ කි.මි 3 ක් පමණි. (හෙද හෙදියන්ට විශේෂයි)ලබුදුව සිරිධම්ම විදුහලට සහ දක්ෂිණපාය කාර්යාල සංකිර්නයට විනාඩි 4  (1.6 km) ක් තුල ලගාවිය හැකිය. (රජයේ නිලධාරින්ට සහ ලබුදුව සිරිධම්ම විදුහලට ඇතුලත් කරන්නන්ට විශේෂයි)ගාල්ලේ සිට ලබුදුව දක්වා අංක 381 බස් මාර්ගයේ  ගොඩදුව හංදියෙන් මිටර් 100 ක් පමන ඇතුලට වන්නට නිවස පිහිටා ඇත. දක්වා ඇති දුරකථන අංකයට කථාකොට පරික්ෂා කිරීමට පැමිණිය හැකිය.ගේට්ටු පිවිසුම් 2 ක් ද සහිතව, ලිංජලය මෝ, පිරිසිදු සින්නක්කර ඔප්පු ඇත. බැංකු ණය පහසුකම් සම්බන්ධයෙන්ද සලකා බැලිමට හැකියාව පවතියි. (ඔප්පුවල නම හැරවීමෙන් තොරව)  සිංහල බෞද්ධ ගැමි පරිසරයක පිහිටා ඇති බැවින්  ඉහල සිංහල මධ්‍යම පාන්තික පවුලකට පදිංචිය සදහා ඉතා සුදුසු වේ.",kapuhempala akmeemana,3,1,980.0 sqft,20.0 perches
6,3 Br Luxury House for Sale - Labuduwa Galle,19 Jun  9:23 am,"Galle, Galle","27,500,000","Wonderful 3 Bedrooms luxury house for a couple or young family offering open concept living/dining space. The main living space offers super titanium cut floors. Living room/dining room has built-in sitting bench. Teak/Granite kitchen cabinetry with plenty of counter space, double sink, and pantry. Built-in microwave and an oven are included. Laundry conveniently located in the house with extra storage space. 2 good size bedrooms both offering A/C and stunning French doors to the outside. Large 3 piece bathrooms offers separate shower, granite counter top and high-end fittings. This house comes with 2 oversize parking spaces finished with pressed concrete tiles. This home is ideally situated with amenities nearby in Labuduwa Galle.",Badie Road in Labuduwa Galle,3,2,"2,057.0 sqft",8.0 perches
7,ඇල්පිටිය ඇල්ල පාර නිවසක් විකිණීමට,12 Jul 12:22 am,"Elpitiya, Galle","9,000,000","#. ඇල්පිටිය ඇල්ල මැද පාර නිවසක් විකිණීමට#. කුරුදුගහ හැතැප්ම අධිවේගී පිවිසුමට 750m #. පුධාන පාසල් සීමාව #. රෝහල් ,පොලීසිය, බැංකු අසන්නයෙ#. පුළුල් මාර්ග ,ජලය , විදුලිය ,නිසන්සල වටපිටාව  #. පොල් ,තැඹිලි ,🍋 දෙහි ,⁣ පලතුරු ⁣වගාවන්,,#. සින්නක්කර ඔප්පු ,බැංකු ණය  #. සියලු පහසුකම් සහිත ඉඩම සහ නිවස ඉක්මනින් විකිණීමට.",5,1,"1,350.0 sqft",40.0 perches,
8,House for Sale in Galle (richmond Hill),20 Jul  8:16 pm,"Galle, Galle","13,500,000","Newly build house(2016) in Richmond Hill housing complex with beautiful View in Galle town area. In front of Sussex College and Keels Super kalegana,. 10 perches. first floor fully done. 50 meters to Galle-Wakwella main Road. 1Km to Richmond College.",2,1,"2,000.0 sqft",10.0 perches,
9,House with Land for Sale in Galle,20 Jul  2:28 pm,"Galle, Galle","3,800,000",පර්චස් 10ක  නිවසක් සහිත ඉඩම විකුණනු ලැබේ.,"No.233,City Of Life,Managewaththa,Imaduwa",3,1,"1,500.0 sqft",10.0 perches
