,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,House for Sale in Kadawatha,27 Jul  2:36 pm,"Kadawatha, Gampaha","10,500,000",වැඩ නිමවෙමින් පවතින කඩවත සූරියපාළුව නව නිවස ඉක්මනින් විකිණීමට   x නිදන කාමර තුනක්  x නාන කාමර දෙකකි   x කුස්සිය   x කෑම කාමරය   x විශාල මැද සාලය   x TV Lobby  x Roller Door සමග වට තාප්ප,Sooriyapaluwa,3,2,"1,750.0 sqft",7.0 perches
2,"['House for Sale in Kadawatha', '27 Jul  2:36 pm', 'Kadawatha, Gampaha', '10,500,000', 'වැඩ නිමවෙමින් පවතින කඩවත සූරියපාළුව නව නිවස ඉක්මනින් විකිණීමට   x නිදන කාමර තුනක්  x නාන කාමර දෙකකි   x කුස්සිය   x කෑම කාමරය   x විශාල මැද සාලය   x TV Lobby  x Roller Door සමග වට තාප්ප', 'Sooriyapaluwa', '3', '2', '1,750.0 sqft', '7.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for Sale in Kadawatha,25 Jul 12:53 pm,"Kadawatha, Gampaha","4,900,000","*ඉක්මන් පදිංචි වීමට හැකි සියලු පහසුකම් වලින් සමන්විත කඩවත නගරය සහ අධිවේගී සිව්මන්සලට  ඉතාමත් ආසන්නයේ පිහිටා ඇත .* කඩවත සුරිගම හන්දියේ සිට 450m  / ගාමිණි මාවත දෙසින් සුරිගම හන්දියට 600m  / ගාමිණි මාවත  දෙසින් අලියා වංගුවට 650m . (කඩවත සිට සුරිගම හන්දියට 2 km) .  රාගමට 3km පමණ  . ගාමිණී මාවතට මුහුණලා පිහිටි වටිනා ඉඩම.* අයිතිකරු විදේශ ගත වීමට අපේක්ෂා කරන බැවින් ඉතා ඉක්මන් විකිණීමට ඉහලම ඉල්ලුමට.* ගේට්ටු, නිවස වටේම තාප්පය , නල ජලය, විදුලිය , සකස් කරන ලද මිදුල  , සාමකාමී නිස්කලංක පරිසරය , සුහද ශීලී වැදගත් අසල්වැසියන් .නිවසේ විස්තර : සාලය , කුඩා කාමර 2 , මුළුතැන් ගෙය , නාන කාමරය , කෑම කාමරය , නිවසින් බැහැර සේවක වැසිකිලිය , මුළු නිවසම ටයිල් කරන ලද , මුළු නිවසම සිවිලිම ගසා ඇත .","156/C/1, MaharaNugegoda, Kadawatha",2,1,600.0 sqft,9.0 perches
4,The House for Sale Imbulgoda,29 Jul  2:46 pm,"Kadawatha, Gampaha","14,000,000","Good Area 12 Perches land, House Sqt 3750- Bed rooms, 3 Kitchen, Bath room- House is located in high security AreaNear  the Highway Road. PRICE (NEGOTIABLE ONLY AFTER INSPECTION)","164/1D, Amunugoda, Imbulgoda.",3,2,"3,784.0 sqft",12.0 perches
5,House for Sale - Kadawatha, 5 Jul  5:26 pm,"Kadawatha, Gampaha","9,150,000",කඩවත  කිරිල්ලවල  නුවර පාරේ  සිට  1.3 km  ජපන්  පන්සල  පාරෙන් සහ  කොකිස් කඩේ හන්දියෙන්  පිවිසිය හැක ,3,1,"1,400.0 sqft",12.7 perches,
6,House for Sale in Kadawatha,27 Jul  2:36 pm,"Kadawatha, Gampaha","10,500,000",වැඩ නිමවෙමින් පවතින කඩවත සූරියපාළුව නව නිවස ඉක්මනින් විකිණීමට   x නිදන කාමර තුනක්  x නාන කාමර දෙකකි   x කුස්සිය   x කෑම කාමරය   x විශාල මැද සාලය   x TV Lobby  x Roller Door සමග වට තාප්ප,Sooriyapaluwa,3,2,"1,750.0 sqft",7.0 perches
7,"2 Storey House for Sale in Kadawatha, Ganemulla Rd",28 Jul  9:57 pm,"Kadawatha, Gampaha","13,500,000","2Storey House For Sale in kadawatha, Ganemulla rd, suriyapaluwa.","Kadawatha, Ganemulla rd, suriyapaluwa.",4,3,"2,850.0 sqft",19.0 perches
8,"House and Land For Sale at Gampaha, Kadawatha",29 Jul 10:33 am,"Kadawatha, Gampaha","23,000,000","Well developed residential area at Kirillawala. Close to Colombo Kandy Highway Kadawatha. 30 Perches of Land with house. Large living room with separate dining area, 4 bedrooms, 2 tiled bathrooms with one en-suite, kitchen, large utility room, 3 phase electricity, piped and well water, hot water, garage with driver quarters. House and land surrounded by parapet wall. 10 perches of land at the rear of the house ideal for further development.",4,2,"1,728.0 sqft",30.0 perches,
9,"Luxury Complete 2 Store House for Sale in Kirillawala , Kadawatha",27 Jul  3:02 pm,"Kadawatha, Gampaha","18,500,000","*****************************************************************************************************• -2 Storey house for sale at Kirillawala Kadawatha, • -22 Perch• -350 meters to Kirillawala Junction,• -4km to high way entrance,• -6 Bedrooms (1 servant bedroom)• -2 bathroom,• - 02 Servant facilities (toilets)• -Large garden Area• -Living Hall• -Tv loby, • -Dining hall, • -Kitchen,• - Remote & Roller Shutter & wicket gate• - Pipe born water and well water with over head water tank• -Natural place • -Varenda,• -Ground Floor very beautiful • -Parking Spaces 6 vehicles. • -Electricity (3PH),• -Close to the Cargils Food City, super Market, bank,any shopping facility's, MetroCity.• -Call for more Details.• -price can be negotiating after inspection• -Immediate selling for Upgrade...• -Fell free for contact us• -Land value(15 million).. • -FULL AMOUNT  CAN BE ARRANGE AS LOAN.****************************************************************************************************",6,2,"3,200.0 sqft",22.0 perches,
