,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Beds:,Baths:,House size:,Land size:,
1,Brand New House for Sale in Kandana,25 Jul  9:07 am,"Kandana, Gampaha","30,000,000","Situated in kandana town100m to colombo negombo main road4500sqft5 bedrooms6 bathrooms(attached)Pantry cupboards(upstairs and downstairs)All bathrooms hotwater Solar power ,cctv,roller shutterRooftop 600 sqftdouble parking garageConstructed and designed by charted architecture and charted engineer",5,6,"4,500.0 sqft",12.0 perches,
2,"['Brand New House for Sale in Kandana', '25 Jul  9:07 am', 'Kandana, Gampaha', '30,000,000', 'Situated in kandana town100m to colombo negombo main road4500sqft5 bedrooms6 bathrooms(attached)Pantry cupboards(upstairs and downstairs)All bathrooms hotwater Solar power ,cctv,roller shutterRooftop 600 sqftdouble parking garageConstructed and designed by charted architecture and charted engineer', '5', '6', '4,500.0 sqft', '12.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,Brand New Luxury House for Sale at Kandana,19 Jul  6:13 pm,"Kandana, Gampaha","27,000,000",BRAND NEW LUXURY HOUSE FOR SALE AT KANDANA,4,3,"2,750.0 sqft",8.0 perches,
4,Brand New Luxury House for Sale at Kandana,19 Jul  6:13 pm,"Kandana, Gampaha","27,000,000",BRAND NEW LUXURY HOUSE FOR SALE AT KANDANA,4,3,"2,750.0 sqft",8.0 perches,
5,House For Sale - Welisara,29 Jul  1:37 pm,"Kandana, Gampaha","2,000,000",මහබාගේ අඩි 20 පාරේ පිහිටි ජල විදුලිය සමග අඩක් නිමකළ නිවස විකිණීමට.ප්‍රවේශ මාර්ගය අඩි 7යි. පර්චස් 5යි.ලක්ෂ 20යි.ඔබට අවශ්‍ය ඉඩම් හා නිවාස සඳහා අප අමතන්න,Welisara,1,1,700.0 sqft,5.0 perches
6,House for Sale in - Kandana Town,29 Jul  1:10 pm,"Kandana, Gampaha","18,000,000",House for sale in Kandana Town ,Kandana,4,2,"2,350.0 sqft",14.5 perches
7,House for Sale (Three Story Luxury House) Kandana,21 Jul  1:43 pm,"Kandana, Gampaha","29,000,000","Beautiful  Three Story Luxury House For Sale In KandanaWalking Distance to KZONENear De Mazenod College , OKI Close Kandana and Kapuwatte Railway Station 600m to Colombo Negombo Main Road Bed Rooms - 04Bath Rooms - 0416 Perches  , 6000 sqfeet with Roof top Garden CCTV Security SystemParepot Wall with Roller GateGood Residential AND  Respect Area Carpet Road Access Please contact For More details Price Negotiable After Inspection","Rilaulla , Kandana",4,4,"6,000.0 sqft",16.0 perches
8,Beautiful Three Story Luxury House for Sale in Kandana, 7 Jun  2:49 pm,"Kandana, Gampaha","23,000,000","Beautiful 3 Storied Luxury House For sale In Kandana. (Walking Distance to De Mazenod College , OKI , Railway Station and 1km to Colombo Negombo Main Road )10 Perches , 3800Sqft (900 Sqft Roof Top Area)CCTV Security SystemParepat wall with Remote Gate---Ground Floor ----Car Park for 3 or more vehicles with Remote Roller Gate Large Living Room , Dinning Room , Large Bed room with AC and bath Room with Hot waterDry Kitchen with Pantry Cupboards , varandah can be used as Garden---- 1st Floor -----Large Living Room , 2 Master Bed rooms with AC , and Toilet with Hot waterLarge Balcony Area--- 2nd floor ----Open Roof top (Can be Used as Roof top Garden , Gym Area , Laundry Room ,)","Rilaulla , Kandana",3,2,"3,800.0 sqft",10.0 perches
9,Luminous Two Story House for Sale - Kandana,29 Jul 11:17 am,"Kandana, Gampaha","20,000,000",Nagoda-Kandana.Luminous two story house for sale! Five minutes easy access by Colombo-Negombo main road. Located in a peaceful resident area.•	 Four bed rooms•	 Two bathrooms•	 Garage•	 Luminous living area•	 Kitchen •	 TV lobby with balcony•	 Spacious green backyard•	Surrounding house wall•	14 perches•	3000 sqft •	Price 20 Mln (Negotiable)Please contact the owneri if you are really interested!!!,4,2,"3,000.0 sqft",14.0 perches,
