,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,House For Sale In Pethiyagoda Kelaniya,31 May 10:05 am,"Kelaniya, Gampaha","5,700,000","08 Perchs land with house2 Bed rooms1 Barth roomLiving & dining rooms500m to Biyagama Colombo main rdClose proximity to all supermarkets,schools,hospitalsPrice negotiable","Mawella Rd,Pethiyagoda,Kelaniya",2,1,800.0 sqft,8.0 perches
2,"['House For Sale In Pethiyagoda Kelaniya', '31 May 10:05 am', 'Kelaniya, Gampaha', '5,700,000', '08 Perchs land with house2 Bed rooms1 Barth roomLiving & dining rooms500m to Biyagama Colombo main rdClose proximity to all supermarkets,schools,hospitalsPrice negotiable', 'Mawella Rd,Pethiyagoda,Kelaniya', '2', '1', '800.0 sqft', '8.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for Sale - Kelaniya,24 Jul  2:58 pm,"Kelaniya, Gampaha","7,000,000",Owner of the property which close to Kelaniya Police Station is finding potential buyers for a quick sale. This could be used for renting purposes for the buyer with the relevant developments. Currently there is a small retail shop located in this property and buyer could continue with the retail customer base.,2,1,"1,500.0 sqft",7.0 perches,
4,Polhena Kelaniya House,24 Jul  5:36 am,"Kelaniya, Gampaha","11,500,000","calm place and good environment, 1.5Km to Kandy Road , 1.5Km to kelaniya temple2.8 km to kiribathgoda , 3.5 Km to Ja ela high way , 4.6 Km to Matara highway","Polhena , kelaniya",4,2,750.0 sqft,7.5 perches
5,House for Sale in Kelaniya,23 Jul  6:08 pm,"Kelaniya, Gampaha","35,000,000","HOUSE for sale in KelaniyaThis house located in the city kelaniya, Bulugaha junction. 100 meters away from the Kandy road, bulugaha junction. Near by cargills foodcity.  Easy access to the Kelaniya temple, Kelaniya university , Peliyagoda . 5 minutes to katunayaka highway entrance. And 6 kilometers to southern express way entrance.  4 kilometers to Colombo border. ","Kelaniya, Bulugahahandhiya",3,4,"6,800.0 sqft",13.5 perches
6,House for Sale in Kelaniya,23 Jul 11:29 am,"Kelaniya, Gampaha","12,500,000",House for Sale in Kelaniya=====================,"Salmal Uyana, Wanawasala, Kelaniya",3,1,"2,178.0 sqft",20.0 perches
7,"4 story house for sale in kelaniya, Polhena Road",27 Jul  9:36 am,"Kelaniya, Gampaha","24,500,000",4 Storey House For Sale in kelaniya Polhena Road ,"Polhena Road, kelaniya",4,3,"2,000.0 sqft",6.0 perches
8,House for sale - Kelaniya,21 Jul  3:41 pm,"Kelaniya, Gampaha","6,500,000",පිරිවෙන ඉදිරිපිට පෙතියාගොඩ මෑවැල්ල පාරෙහි පර්චස් 14ක ඉඩමක් විවිධාකාරයේ ගස් වර්ගයන් සහිත අංග සම්පූර්ණ නිවසක් (වර්ග අඩි 1500 යක් පමණ) ලක්ෂ 65 කට විකිණීමට තිබේ. ,3,2,"1,500.0 sqft",14.0 perches,
9,House for Sale in Biyagama,23 Jul  1:24 pm,"Kelaniya, Gampaha","13,000,000","The house situated in Peragashandiya just walking distant to New Kandy Road..... Just 400m to 'Food City', 'Keells Super' and 01km to 'Fonterra'. Also just 01km to Biyagama zone. Calm and highly secured location.( no access to outsiders). The house is fully tiled, Master bed room with AC and attached bath room. Pantry with Teak cupboards, Kitchen with Mahogany cupboards, Living area, Dinning area, Servant toilet, small room for keep garden tools, Bricks wall, covered with parapet wall. Inside parking for 3 vehicles. Garden area. Wet kitchen. BERYL will provide you personalized, trust worthy service at all the time.",Kelaniya - Biyagama,3,2,"1,600.0 sqft",13.5 perches
