,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,House For Sale - Ederamulla,25 Jul 12:40 pm,"Wattala, Gampaha","16,800,000","Brand New house, 261 main bus road, Architect designed modern house4bedrooms with A/C, 2 bathrooms, Servant toilet, Modern kitchen with pantry cabinetLiving area , 3rd floor roof top party place size 2500 sqt, Remote controlled rolling shuttersClose to Church and Temple Rosvila main mousq, Very close to the schools And very close to the keels/ cargeels/laugh supermarket",55 Rosvila Garden Edaramulla Wattala,4,3,"2,500.0 sqft",6.0 perches
2,"['House For Sale - Ederamulla', '25 Jul 12:40 pm', 'Wattala, Gampaha', '16,800,000', 'Brand New house, 261 main bus road, Architect designed modern house4bedrooms with A/C, 2 bathrooms, Servant toilet, Modern kitchen with pantry cabinetLiving area , 3rd floor roof top party place size 2500 sqt, Remote controlled rolling shuttersClose to Church and Temple Rosvila main mousq, Very close to the schools And very close to the keels/ cargeels/laugh supermarket', '55 Rosvila Garden Edaramulla Wattala', '4', '3', '2,500.0 sqft', '6.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,Compleate House for Sale Nayakakanda,17 Jul 12:54 pm,"Wattala, Gampaha","22,200,000",HOUSE FOR SALE IN WATTALA NAYAKAKANDA.4 bedroom house with Attached bathroom to two rooms fully tiled.Kitchen tiled and with pantry cupboards Open verandaSeparate Store room (70 SOFT)15.5 perch (Perfect rectangle)House is 1850 SQ FT Price 22.5 million (negotiable) for 02 -Cars Garage facilities Big garden space (all around ) and Open veranda  Peaceful and highly residential area  clear deed.,"nayakakanda,near church",4,2,"1,500.0 sqft",15.5 perches
4,Wattala Brandnew House For Sale,23 Jul 12:03 pm,"Wattala, Gampaha","24,000,000",Reserve Your Dream Luxurious House Lot Today &Make 5 Million Rupees Profit Tomorrow -----------,3,3,"2,700.0 sqft",7.5 perches,
5,Two Storied House for Sale in Kerawalapitiya,29 Jul  1:03 pm,"Wattala, Gampaha","31,500,000","Two storied house for sale in KerawalapitiyaFully renovated luxury house 20.5 perches 3500 sq ft04 bedrooms (2 bedrooms with attached bathrooms )04 bathrooms ( with servant bathrooms )Back and front garden space 05 vehicle parking spaceCCTV installed 1.5 km to kerawalapiti junction closed to keels supermarket, banks, schools, church,  All documents are clearDon’t miss this opportunityGenuine buyers only",Wattala kerawalapitiya,4,4,"3,500.0 sqft",20.5 perches
6,House For sale - Ja Ela,29 Jul 10:44 am,"Wattala, Gampaha","6,800,000","ජා ඇල නගරයට සම්පයෙන් වටිනා නිවස හා ඉඩම විකිණීමට ජා ඇල නගරයට 2km අංග සම්පුර්ණ කාමර 02නාන කාමර 01 , Toilet 01විශාල කුස්සිය , සාලය , කෑම කාමරය නිදහස් පරිසරය ඉදිරිපස තාප්ප සහිතය වාහන නැවැත්වීමේ පහසුකම් ලිං ජලය , විදුලිය පහසුකම් පුළුල් මාර්ග වැදගත් වටපිටාව සහ සියලු පහසුකම් සහිතය වැඩි විස්තර සඳහා අමතන්න House For Sale In Near Jaela Town (2km)2km to Jaela Town 25 Perch Land With House Complete 02 Bed Rooms 01 Bath Room ,01 ToiletLarge Kitchen , Living , DinningCeiling, Vehicle Parking Space Front Parepot Wall With Gate Good Residential Area 12 Feet Concrete Road Please Contact For More details","Batagama, Jaela",2,2,"1,500.0 sqft",25.0 perches
7,2 Story House for Sale - Wattala,15 Jun 10:16 am,"Wattala, Gampaha","19,500,000",2 storey house for sale in hendala6 bedroom for bathrooms 2 hall 2 kitchenTwo electricity metre 2 water metre there are two uunit upper floor separate entrance10 parch land 125 metres to Colombo main roadParking space for 3 vehiclesPrice 19. 5 millionPlease call genuine buyers only no broker please,6,4,"3,500.0 sqft",10.0 perches,
8,Brand New House for Sale - Wattala,13 Jul  3:46 pm,"Wattala, Gampaha","14,900,000","Brand New House for Sale- Enderamulla St Jude RoadFully Tiled (2 x 2 tiles) 2 Storey House3 Bed Rooms,2 Bath Rooms,Living Room,Dining Room,Pantry, 450 sq.ft. Roof Top3 Balconies (with 300 sq. ft. Balcony)Boundary Wall with 2 Gates (Roller Gate & Small Gate)500m to Enderamulla Junction85/1/C, Jude Mawatha, Enderamulla","85/1/C St. Jude Mawatha, Enderamulla, Wattala",3,2,"1,600.0 sqft",7.0 perches
9,House for Sale Wattala,27 Jul  8:24 pm,"Wattala, Gampaha","9,000,000",Home visits Friday and Saturday only.,4,1,"1,800.0 sqft",7.0 perches,
