,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,House for Sale in - TISSAMAHARAMA, 8 Jul 12:19 pm,"Tissamaharama, Hambantota","3,200,000",Recently built house located near Yala Junction near Kirinda village for sale. This property is ideal to have as a private home OR as an investment holiday home to rent out to foreign tourists visiting Yala area.,"258 Yala Junction, Kirinda, Tissamaharama",2,1,"1,100.0 sqft",18.0 perches
2,"['House for Sale in - TISSAMAHARAMA', ' 8 Jul 12:19 pm', 'Tissamaharama, Hambantota', '3,200,000', 'Recently built house located near Yala Junction near Kirinda village for sale. This property is ideal to have as a private home OR as an investment holiday home to rent out to foreign tourists visiting Yala area.', '258 Yala Junction, Kirinda, Tissamaharama', '2', '1', '1,100.0 sqft', '18.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for Sale in - Ranna,19 Jul  5:32 pm,"Tangalla, Hambantota","15,000,000",1km to Colombo - kataragama route1.5km ranna twon1.5km ranna maha vidyalaya1.5km ranna hospital,"nidahasgama,ranna",4,2,"1,800.0 sqft",120.0 perches
4,House For Sale In Tangalla,19 Jul  7:54 am,"Tangalla, Hambantota","4,200,000",bed 04 .eka room ekaka tile karala naha.mulu idamema gas  walin pirila atha.kitchen bath room hadala natha.beach ekata m 500 dura.jeewath weemata nidahas parisaraya.sofa set ekak .furnichers samaga wikine.document clear.[kamathi nam perches 40 samaga gedara ganna puluwan],no.18 wellaodaya. ranna,4,1,"3,000.0 sqft",80.0 perches
5,Two Storey House for Sale in Beliatta,16 Jul 12:26 pm,"Beliatta, Hambantota","21,500,000","Fully tiled, four bed-roomed house within Beliatta, near to Puwakdandawa Girls school, 5 minutes drive from the main bus stand. And 17 P land with all amenities three phase power, hot water, garage and maintained gardenIncluded:","No:344/1, Jayasekara Mawatha, Puwakdandawa, Beliatta",4,2,"2,600.0 sqft",17.0 perches
6,නිවස සහිත ඉඩම විකිනීමට - තිස්සමහාරාමය,15 Jul 12:49 pm,"Tissamaharama, Hambantota","6,000,000",නිවස සහිත ඉඩම විකිනීමට ඇත. පර්චස් 65කින් යුක්ත වේ නිවාස අර්වධ නිමකර ඇත. පන්නගමුව වැව ඉදිරිපිට පිහිට ඇත. පොල්ගස් 45 ක් ඇත. විදුලිය සහ නල ජල පහසුකම් සහිත වේ. වැඩිම ඉල්ලුමට විකුණනු ලැබේ.,Tissamaharama,3,1,"1,500.0 sqft",65.0 perches
7,"House for Sale in Nalagama, Tangalle",14 Jul  2:56 pm,"Tangalla, Hambantota","1,500,000",නිරවුල් ඔප්පු සහිතයජල විදුලි පහසුකම් සහිත,"Godauda kanda, Nalagama, Tangalle",2,1,"1,430.0 sqft",10.0 perches
8,House for Sale - Beliatta,13 Jul  8:21 pm,"Beliatta, Hambantota","4,800,000",බෙලිඅත්ත පුවක්දන්ඩාව මාර්ගය අසල අංග සම්පූර්ණ නිවසක් විකිණීමට ඇතනිදන කාමර 3ක් නාන කාමර 1ක් සහ AC / Hot Water  /  CCTV කැමරා ඇතවිමසන්න.....,Puwakdandawa,3,1,850.0 sqft,30.0 perches
9,House For Sale - Hambantota Town,13 Jul  5:06 pm,"Hambantota, Hambantota","3,000,000",ඉන්දියන් තානාපති කාර්යාලය අසල,"No. 107/A, New Road, Hambantota",3,1,"1,000.0 sqft",10.0 perches
10,House for sale in Weeraketiya,12 Jul  3:51 pm,"Tangalla, Hambantota","11,000,000",Two story house for sale in Weeraketiya,4,1,"1,220.0 sqft",15.0 perches,
11,House for Sale - Ambalanthota,15 Jul  1:46 pm,"Ambalantota, Hambantota","900,000",අම්බලන්තොට මැඩිල්ලෙන් කාමර දෙකක් සහිත නිවස සහ පර්චස් 40 ක විදුලිය සහ නළ ජලය හිමි ඉඩම විකිණීමට ඇත.,"Ammbalanthota, Medilla",2,1,750.0 sqft,40.0 perches
12,House for Sale - Ambalanthota, 8 Jul 10:08 am,"Ambalantota, Hambantota","22,000,000","Ambalantota town-1km, Sangrila  Hotel10km,Ridiyagama safari -15km,Dry Zone botanycal garden -12km,Bird park 18km","lansiwatta road, Ambalantota.",10+,10,"3,500.0 sqft",20.0 perches
