,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,House for Sale in - Horana, 9 Jul  7:47 pm,"Horana, Kalutara","6,500,000","අලුතෙන්ම සාදන ලද කාමර 4 නාන කාමර 1 සමන්විත අංග සම්පූර්න නිවස, වට තාප්පය ගසා ඇත,ගේට්ටුව දමා ඇත, සියලුම ජනෙල් දොරවල් කොහොඔ සහ තේක්ක දැවයෙන් නිමවා ඇත, ඵම දැව  වෝටර් බේස් කර ඇත සම්පූර්න ගෙය වාස්තු විදානුකූලව සාදා ඇත, වැසි ජලය බැසයාමට කානු සකසා ඇත, හොරණ නගරයට 5 km (280 හොරණ මහරගම බස් මාර්ගයට   500m) ඉතාම හොද නිවසක් සොයන අයෙකු දැන්ම අමතන්න. මෙම නිවස කිසිවකු පදිංවි වී නොමැත.","මහ උඩුව, හොරණ.",4,1,"1,700.0 sqft",20.0 perches
2,"['House for Sale in - Horana', ' 9 Jul  7:47 pm', 'Horana, Kalutara', '6,500,000', 'අලුතෙන්ම සාදන ලද කාමර 4 නාන කාමර 1 සමන්විත අංග සම්පූර්න නිවස, වට තාප්පය ගසා ඇත,ගේට්ටුව දමා ඇත, සියලුම ජනෙල් දොරවල් කොහොඔ සහ තේක්ක දැවයෙන් නිමවා ඇත, ඵම දැව  වෝටර් බේස් කර ඇත සම්පූර්න ගෙය වාස්තු විදානුකූලව සාදා ඇත, වැසි ජලය බැසයාමට කානු සකසා ඇත, හොරණ නගරයට 5 km (280 හොරණ මහරගම බස් මාර්ගයට   500m) ඉතාම හොද නිවසක් සොයන අයෙකු දැන්ම අමතන්න. මෙම නිවස කිසිවකු පදිංවි වී නොමැත.', 'මහ උඩුව, හොරණ.', '4', '1', '1,700.0 sqft', '20.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for Sale - Horana,21 Jul  1:35 pm,"Horana, Kalutara","17,000,000","30 p land with renovated house in Dikhenapura, Horana20 mins to the highway (both Kahathuduwa/Gelanigama)200m to the Panadura-Ratnapura main road.2 km to Horana Town Facing Dikhenapura- Panadura/Ratnapura main road.Available now for sale ",4,2,"3,000.0 sqft",30.0 perches,
4,හොරන නගරය අසලින් අගනා නිවසක්,20 Jul  3:56 pm,"Horana, Kalutara","6,500,000","හොරන කුලුපන පෙදෙසේ පානදුර රතනපුර ප්‍රධාන මාර්ගයට යාබදව අගනා නිවසක් විකිණීමට තිබේ.සාලය, නිදන කාමර 3ක්, නාන කාමරය, කෑම කාමරය, මුලුතැන්ගෙය සහිතව.වටයෙන්ම තාප්පයෙන් වටවූ ඉඩමෙහි, වාහන නැවත්විමට ඉඩකඩ ඇත.තෙකලා ව්දුලිය, නල ජලය සහිතය.ගැලනිගම අදිවේගී මාර්ග පිවිසුමට විනාඩි 3යි.","33D, කුලුපන, පොකුනුවිට",3,1,"1,000.0 sqft",9.3 perches
5,House For Sale In Horana,20 Jul  2:29 pm,"Horana, Kalutara","1,650,000","සියළුම නාගරික පහසුකම් සහිත හොරණ නගරයේ පොකුණුවිට වැලිකළ පාරේ 1දුරින් වෙල්යායකට වටවූ සුන්දර පරිසරයක පිහිටි කාමර 1, බාත්රූම් 1, සාලය, මුළුතැන්ගේ සහිත නිවස, නලජලය, පිරිසිදු ඔප්පු, විදුලිය, තැඹිලි ගස් 4, පොල්ගස් 1","පොකුණුවිට, හොරණ.",1,1,850.0 sqft,11.9 perches
6,2 Store House for Sale Gonapola,19 Jul  7:12 pm,"Horana, Kalutara","4,700,000","අඩක් නිම කරන ලද නව නිවස වර්ග අඩි 1400 කට ආසන්න ස්ලැබ් එකපදිංච් වීමට හැකපහත කාමර දෙකක්, නානකාමර එකක්, මුළුතැන්ගෙය, සාලයයෝජිත ඉහල මාලයේ කාමර දෙකක්, නානකාමර එකක් හා විසිත්ත කාමරයඅනුමත ලියකියවිලි බැංකු ණය ලබා ගත හැකඅඩි 20 ක පාරට මුහුණලා වෙළද ව්‍යාපාරයකටද සුදුසුයිමිල ලක්ෂ 47 යි වීදියගොඩ ගෝනපොල බස් පාරට මීටර 500 යිහොරණ කොළඹ ප්‍රධාන මාර්ගයට කිලෝමීටර් 1.8",Gonapola Wediyagoda Road,2,1,"2,400.0 sqft",12.0 perches
7,2 storey New House For Sale - Piliyandala,19 Jul  2:38 pm,"Horana, Kalutara","6,800,000",10 Perch 03 Bedrooms 02 Bathrooms 10×12 Firm ( කඩ කාමරය )Living / Dining Electricity / Telephone / WaterFully Tiled 2000 sqft SlabWalking Distance To 127 Piliyandala Moragahahena Bus Route 1.7 KM to 120 Horana Colombo Main Bus Route Approved DocumentsUrgent SaleMore Details for Call,Moragahahena Piliyandala Bus Route,3,2,"2,500.0 sqft",10.0 perches
8,House for Sale in Horana,17 Jul  2:14 pm,"Horana, Kalutara","6,500,000","කාමර 3, බාත්රූම් 1, සාලය, කුස්සියසාලය ටයිල් කර ඇත.","වල්පිට පාර, බැල්ලපිටිය, හොරණ.",3,1,"1,000.0 sqft",40.0 perches
9,House for sale in Horana,15 Jul 11:34 am,"Horana, Kalutara","6,700,000",1.5km to Panadura - Rathnapura main bus rout3km to Horana townSingle Storey 2bed & Tow Stoery 3bed available10 Perch Land*24h Security*Open Gym *Swimming pool*Kids Play AreaWater & Current Available .Payment can be done in installments.For More Information Please Call On....,Horana Wawlugala Road,2,1,747.0 sqft,10.0 perches
