,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,House for Sale Panadura, 6 Jun  1:22 pm,"Panadura, Kalutara","5,500,000","පානදුර කෙසෙල්වත්ත සඟබෝ මාවතේ කාමර 1 ක් සහිත නිවස, වටේට තාප්පය, බිම් මහල අංග සම්පුර්ණ කර ඇත. ටයිල් සහිතයි. බාත්රුම් 1, සාලය,Pantry  ,කෑම කාමරය. ගාලුපාරට  1.5 km යි. මොරටුවට 5 km යි. පානදුරට 6 km යි. නිරවුල් ඔප්පු .","Sangabo Mawatha, Parathha Road, Keselwatte, panadura",1,1,680.0 sqft,8.0 perches
2,"['House for Sale Panadura', ' 6 Jun  1:22 pm', 'Panadura, Kalutara', '5,500,000', 'පානදුර කෙසෙල්වත්ත සඟබෝ මාවතේ කාමර 1 ක් සහිත නිවස, වටේට තාප්පය, බිම් මහල අංග සම්පුර්ණ කර ඇත. ටයිල් සහිතයි. බාත්රුම් 1, සාලය,Pantry  ,කෑම කාමරය. ගාලුපාරට  1.5 km යි. මොරටුවට 5 km යි. පානදුරට 6 km යි. නිරවුල් ඔප්පු .', 'Sangabo Mawatha, Parathha Road, Keselwatte, panadura', '1', '1', '680.0 sqft', '8.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for Sale in Payagala - Kalutara,12 Jun  5:24 pm,"Kalutara, Kalutara","2,500,000","නිදන කාමර - 290% වැඩ නිම වූ නිවසජලය, විදුලිය සහිතයිගාල්ල- කොළබ ප්‍රධාන පාරට 1.5Kmපැමින පරීක්ශා කර මිල ගනන් සාකචා කර ගත හැක.","430, පැතුම් උයන, නාගහදූව, පයාගල.",2,1,"1,200.0 sqft",10.7 perches
4,New House For Sale In Aluthgama,15 Jul  6:57 pm,"Alutgama, Kalutara","5,000,000",New House for sale in Aluthgama,Aluthgama,3,1,"1,500.0 sqft",13.0 perches
5,House for Sale in - Panadura,12 Jun  4:08 pm,"Panadura, Kalutara","18,000,000","House for sale in Panadura Nalluruwa75 m to Galle Road and Bus Stop150 m to Keels Super market400 m to Sri Sumangala Girls School700 m to Royal CollageIn Sri sumangala Boys Collage  Zone area3 min to panadura Town, Main Bus stop and Railway Station75m to Peoples Bank and 800 m to Commercial Bank4 min to Panadura Genaral HospitalMany more facilities around the area",3,1,"1,800.0 sqft",17.5 perches,
6,Two Storied Houses & Shop for Sale in Aruggoda,21 Jul  4:17 pm,"Panadura, Kalutara","25,000,000",More Deatails Reference No : H - 349,"Ruggaha road, Aruggoda",3,1,"2,800.0 sqft",19.0 perches
7,House for Sale - Horana,21 Jul  1:35 pm,"Horana, Kalutara","17,000,000","30 p land with renovated house in Dikhenapura, Horana20 mins to the highway (both Kahathuduwa/Gelanigama)200m to the Panadura-Ratnapura main road.2 km to Horana Town Facing Dikhenapura- Panadura/Ratnapura main road.Available now for sale ",4,2,"3,000.0 sqft",30.0 perches,
8,House For Sale In Wadduwa,21 Jul  1:23 pm,"Wadduwa, Kalutara","15,000,000",Owner name - Nilmini ,"Mahawihara road , Wadduwa",4,2,"2,600.0 sqft",14.0 perches
9,House for Sale - Panadura,29 Jun  7:01 pm,"Panadura, Kalutara","7,500,000",# මොරවින්න බස් පාරට මි 150# සම්පුර්ණ ටයිල් හා සිවිලිම # සේවක වැසිකිලිය# අමතර කුස්සිය# ගාලුපාරට කි.මි 2# ලක්ෂ 75,"Moravinna , panadura",3,1,"2,250.0 sqft",9.5 perches
