,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,2 Storied 4BR House for Sale in Panadura, 9 Jul  9:39 am,"Panadura, Kalutara","15,000,000",2 Storied 4BR House for Sale in Panadura8 Perches4 Bedrooms2 BathroomsTiled Floors3 Vehicles can Park15Ft. Access Road300m to Main RoadNear Panadura TownUrgent SaleNo BrokersSelling Price: Rs.150 LakhsCall for More Details,Near Panadura Town,4,2,"2,500.0 sqft",8.0 perches
2,"['2 Storied 4BR House for Sale in Panadura', ' 9 Jul  9:39 am', 'Panadura, Kalutara', '15,000,000', '2 Storied 4BR House for Sale in Panadura8 Perches4 Bedrooms2 BathroomsTiled Floors3 Vehicles can Park15Ft. Access Road300m to Main RoadNear Panadura TownUrgent SaleNo BrokersSelling Price: Rs.150 LakhsCall for More Details', 'Near Panadura Town', '4', '2', '2,500.0 sqft', '8.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,Villa House for Sale in Ruskin Island Bolgoda,19 Jul 11:44 am,"Panadura, Kalutara","36,750,000",Villa House for sale in Ruskin island Bolgoda=================================,3,3,"3,000.0 sqft",36.0 perches,
4,House for Sale in - Panadura,12 Jun  4:08 pm,"Panadura, Kalutara","18,000,000","House for sale in Panadura Nalluruwa75 m to Galle Road and Bus Stop150 m to Keels Super market400 m to Sri Sumangala Girls School700 m to Royal CollageIn Sri sumangala Boys Collage  Zone area3 min to panadura Town, Main Bus stop and Railway Station75m to Peoples Bank and 800 m to Commercial Bank4 min to Panadura Genaral HospitalMany more facilities around the area",3,1,"1,800.0 sqft",17.5 perches,
5,Two Storied Houses & Shop for Sale in Aruggoda,21 Jul  4:17 pm,"Panadura, Kalutara","25,000,000",More Deatails Reference No : H - 349,"Ruggaha road, Aruggoda",3,1,"2,800.0 sqft",19.0 perches
6,House for Sale - Panadura,29 Jun  7:01 pm,"Panadura, Kalutara","7,500,000",# මොරවින්න බස් පාරට මි 150# සම්පුර්ණ ටයිල් හා සිවිලිම # සේවක වැසිකිලිය# අමතර කුස්සිය# ගාලුපාරට කි.මි 2# ලක්ෂ 75,"Moravinna , panadura",3,1,"2,250.0 sqft",9.5 perches
7,House with Land in Sarikkanmulla,20 Jul  2:22 pm,"Panadura, Kalutara","15,000,000","32 perches Land with House for sale in sarikkamulla, Wattalpola,Panadura in Muslim Aria.Near to Mosque(palli)&Wishdom international school.surronded by wall.400mt to galle road.Desent neighborhood &with clear deeds.","Sarikkamulla , wattalpola, Panadura",3,1,"1,500.0 sqft",32.0 perches
8,House for Sale in - Panadura,20 Jul 11:20 am,"Panadura, Kalutara","9,000,000","• 33 Perches• Tiled Roof House with Cement Flooring, Ceiling, Windows Grilled• 3 Bedrooms, 2 Bathrooms & Outside Toilet• Verendah, Living room, Dining, Kitchen and Separate Garage• Two wells with overhead water tank• Surrounded by walls• Big garden with 3 coconut trees, 2 King coconut trees, Mango, Amberella, Lovi, Satapillaa, Star fruit, Anoda, Mangusteen, Jack, Orange Trees• Malamulla bus root is visible ( 100m )• 2.5KM To Panadura town• No Broakers please  ","No.84/Bogahawatte,Malamulla West,Panadura",3,2,"2,500.0 sqft",33.3 perches
9,House | Panadura Walana For Sale,20 Jul  1:35 pm,"Panadura, Kalutara","9,500,000",# nearly walana lyceum primary school # parking 2 vehicles # fully tiled# fully wooden ceilings roof# living area# kitchen and dining# 1 servant toilet # 1 open shower area# 1 large bathroom # parapet wall and gate# pantry # living room# 4 bed rooms# 1km to galle rd# 15 feet width road# clear deeds# ලක්ෂ 95,"Gemunu mw, Panadura",4,1,"2,350.0 sqft",14.0 perches
10,House for Sale in Panadura,19 Jul  2:43 pm,"Panadura, Kalutara","30,000,000",House for sale in Panadura=====================,4,2,"3,600.0 sqft",9.0 perches,
11,"House for Sale, Panadura, Aruggoda",19 Jul  1:15 pm,"Panadura, Kalutara","6,000,000","පානදුර, අරුග්ගොඩ, අංග සම්පූර්ණ නිවසක් විකිනීමට (Panadura, Aruggoda, Completed house) - පානදුර නගරයට කි.මී. 6 (6km to Panadura)- බන්ඩාරගම නගරයට කි.මී. 5 (5km to Bandaragama)- නිදන කාමර 3 (3 bedrooms)- නාන කාමර 1 (1 bath room)- සර්වන්ට් ටොයිලට් 1 (1 servent toilet)",අරුග්ගොඩ පාසල අසල (Closer to Aruggoda school),3,1,"1,200.0 sqft",12.5 perches
12,House | Panadura Walana for Sale,18 Jul  6:18 pm,"Panadura, Kalutara","4,500,000","# පානදුර වලාන (primary ) ලය්සියම් පාසල අසල වැදගත් පරිසරයක පිහිටි බැoකු නය ලබා ගත හැකි පිරුසිදු ඔප්පු , ජල විදුලිය සහිත පර් 7 ක ඉඩම සහිත කුඩා  නිවස විකිණීමට # ලක්ෂ 45","Bekkegama rd, walana , panadura",2,1,"1,000.0 sqft",7.0 perches
