,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,අඩක් වැඩ නිම කල නිවස සමග පර්චස් 30ක ඉඩම මුදල් හදිස්සියක් සදහා විකිණේ,20 Jul 11:46 am,"Warakapola, Kegalle","10,000,000","අඩක් වැඩ නිම කල නිවස සමග පර්චස් 30ක ඉඩම මුදල් හදිස්සියක් සදහා විකිණේ... නිරවුල් ඔප්පු, කොළඹ නුවර පාරට මීටර් 50 ක් දුරින් සහ තෝලංගමුව මධ්‍ය විද්‍යාලයට මීටර් 150ක්  දුරින් පිහිටා ඇත.","D88/A, දික්කැලේවත්ත, තෝලංගමුව, වරකාපොළ.",4,1,"1,799.0 sqft",30.0 perches
2,"['අඩක් වැඩ නිම කල නිවස සමග පර්චස් 30ක ඉඩම මුදල් හදිස්සියක් සදහා විකිණේ', '20 Jul 11:46 am', 'Warakapola, Kegalle', '10,000,000', 'අඩක් වැඩ නිම කල නිවස සමග පර්චස් 30ක ඉඩම මුදල් හදිස්සියක් සදහා විකිණේ... නිරවුල් ඔප්පු, කොළඹ නුවර පාරට මීටර් 50 ක් දුරින් සහ තෝලංගමුව මධ්\u200dය විද්\u200dයාලයට මීටර් 150ක්  දුරින් පිහිටා ඇත.', 'D88/A, දික්කැලේවත්ත, තෝලංගමුව, වරකාපොළ.', '4', '1', '1,799.0 sqft', '30.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for Sale - Mawanella,18 Jul 11:09 am,"Mawanella, Kegalle","90,000,000","LOOK NO FURTHER - Here is your opportunity to purchase an amazing 5 star - Trip Advisor and Major booking sites Rated property established in 2012 tucked away in the majestic countryside of Manwanella, Sri Lanka. This property has won many awards including 2 Travelers choice awards and works with highly regarded local and international travel agents.This property comes complete with a well maintained large family home, beautiful gardens and views across the valleyPeople who stay here need to travel no further if that's what they want.  With full Day Spa facilities, Open Air, fully equipped self-catering kitchen, magnificent pool and gym in addition to a choice of air-conditioned rooms complete with unsuited and bar fridge.Land size and floor plans can be provided to the right person. No Brokers and serious buyers only",10+,6,"3,688.0 sqft","21,775.0 perches",
4,Home for sale Rambukkana,20 Jul  6:52 pm,"Rambukkana, Kegalle","5,500,000",PERCHES 56 KA IDAMAKA THULA NIWASAK WIKINEEMATA DIGA- ADI-47PALALA- ADI-23Colombo  ADIWEGI MARGAYATA METER 300KURUNEGALA MARGAYATA METER 100ARAKSHITHA BEMMA SAMAGA GET GETTUWAPIRISIDU LING JALAYA WIDULIYA SAMAGA SAMPOORNA GEYAK WIKINEEMATA.,Rambukkana Town,3,1,"1,500.0 sqft",56.0 perches
5,අඩක් වැඩ නිම කල නිවස සමග පර්චස් 30ක ඉඩම මුදල් හදිස්සියක් සදහා විකිණේ,20 Jul 11:46 am,"Warakapola, Kegalle","10,000,000","අඩක් වැඩ නිම කල නිවස සමග පර්චස් 30ක ඉඩම මුදල් හදිස්සියක් සදහා විකිණේ... නිරවුල් ඔප්පු, කොළඹ නුවර පාරට මීටර් 50 ක් දුරින් සහ තෝලංගමුව මධ්‍ය විද්‍යාලයට මීටර් 150ක්  දුරින් පිහිටා ඇත.","D88/A, දික්කැලේවත්ත, තෝලංගමුව, වරකාපොළ.",4,1,"1,799.0 sqft",30.0 perches
6,House For Sale In Kegalle,18 Jul  3:32 pm,"Kegalle, Kegalle","22,500,000",Immediate sale !!!money urgent Changed as a reception hall and can use as a house Full completed house for sale,"pussella road,dewalegama,kegalle",4,2,"4,000.0 sqft",20.0 perches
7,House for Sale - Mawanella,18 Jul 11:09 am,"Mawanella, Kegalle","90,000,000","LOOK NO FURTHER - Here is your opportunity to purchase an amazing 5 star - Trip Advisor and Major booking sites Rated property established in 2012 tucked away in the majestic countryside of Manwanella, Sri Lanka. This property has won many awards including 2 Travelers choice awards and works with highly regarded local and international travel agents.This property comes complete with a well maintained large family home, beautiful gardens and views across the valleyPeople who stay here need to travel no further if that's what they want.  With full Day Spa facilities, Open Air, fully equipped self-catering kitchen, magnificent pool and gym in addition to a choice of air-conditioned rooms complete with unsuited and bar fridge.Land size and floor plans can be provided to the right person. No Brokers and serious buyers only",10+,6,"3,688.0 sqft","21,775.0 perches",
8,House for sale in Dehiowita,16 Jul 11:50 pm,"Dehiowita, Kegalle","1,100,000",දෙහිඕවිට තිබිරිපොල වර්ග අඩි 380ක් සහිත ගොඩ නගමින් පවතින පර්චස් 21.98ක ඉඩම සහිත නිවස ඉතා ඉක්මණින්ම විකිණීමට.ප්‍රධාන පාරට 500mමිල ගණන් සාකච්ඡා කරගත හැක,"Thibiripola, Dehiowita",1,1,380.0 sqft,21.98 perches
9,House For Sale - Yatiyanthota,16 Jul  9:47 am,"Yatiyantota, Kegalle","6,900,000","✔වර්ග අඩි 1200 නිවසක් සමග ඉඩමක්       යට්යන්තොට නගරයට 1 1/4 km නුදුරින් ප්‍රධාන පාරට මායිමව ✔ප්‍ර්‍රමාණය - පර්චස් 25✔කාමර - නිදන කාමර 3              කෑම කාමර 01              බාත් රෑම් 01 ✔පිරිසුදු උල්පත් ජලය , ව්දුලිය, දුරකඨ්න පහසුකම් සහිත ✔තේ සිටුවා ඇත, ✔දුරියන් ගස් 2 ක් ද නිස්කලංක ඉඩමකි ✔නිරවුල් ඔප්පු ",Yatiyanthota,3,1,"1,200.0 sqft",25.0 perches
