,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,Two Stories House For Sale in Kurunegala,21 Jun  3:38 pm,"Kurunegala, Kurunegala","33,000,000",Two Storied House for saleClose to Colombo Kandy Highwayentrance at Wilbawa 4km to Kurunegala6 bed rooms04 bathroomskitchen with pantryupstairs to room stair palourcall for more Details,"Dummalapitiyawatta, Wanduragala, Kurunegala.",6,4,"4,000.0 sqft",19.0 perches
2,"['Two Stories House For Sale in Kurunegala', '21 Jun  3:38 pm', 'Kurunegala, Kurunegala', '33,000,000', 'Two Storied House for saleClose to Colombo Kandy Highwayentrance at Wilbawa 4km to Kurunegala6 bed rooms04 bathroomskitchen with pantryupstairs to room stair palourcall for more Details', 'Dummalapitiyawatta, Wanduragala, Kurunegala.', '6', '4', '4,000.0 sqft', '19.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for Sale in Kurunegala City,15 Jul  9:49 am,"Kurunegala, Kurunegala","16,000,000","Two story building, Ground floor (02 bed rooms, Living area, Dinning area, Kitchen, Bath room, Car porch, Varendah) Additional separate unit with Kitchen (fire wood), store room and toilet.Upstairs (90% completed) 03 bed rooms, Bath room, Living area, two balconies.Very close to popular schools, 700 mt from Kurunegala - Negombo main road, Water (MC pipe and dug well both), Electricity, MC sewerage line, Calm and quiet environment.","City Garden, 3rd Lane, Negombo Road, Kurunegala",5,2,"2,500.0 sqft",15.0 perches
4,House for Sale - Kurunegala,19 Jul  1:23 pm,"Kurunegala, Kurunegala","9,000,000","නුවර ප්‍රදාන මාර්ගයේ මල්ලවපිටිය හන්දියේ උයන්දන සිට km 1.5  දුරින් මොඩර් වත්ත ප්‍රදේශයේ ප 18.5 වටිනා බිම්කොටසක අගනා නිවසක් විකිණීමට ඇත.නිදන කාමර 4, attach bathroom 2,විදුලිය ඇත,ළිං ජලය ඇත,වටේට තාප්පය ගසා ඇත. නිරවුල් ඔප්පු ,සාමකාමී වටපිටාවක්.වැඩි විස්තර සදහා අමතන්න.","Modarwatta, Uyandana ,Kurunegala",4,2,"2,500.0 sqft",18.5 perches
5,House in Calm Place 10 Minutes to Kurunegala for Immediate Sale,21 Jul 10:08 am,"Kurunegala, Kurunegala","6,900,000","2 bedroomed house with an attached bathroom situated in a 60 perch big square land, 7 coconut trees, just 7km to Kurunegala city , 600m to piduruwella junction ( kurunegala- Negambo main road), very calm and quiet place, clear deeds, with all facilities. very good neighborhood. immediate sale for 6.9 M or highest offer","Sandagala Road, Piduruwella",2,1,"1,250.0 sqft",60.0 perches
6,House for Sale - Mawathagama,21 Jul  8:56 am,"Mawathagama, Kurunegala","14,000,000","ළිං ජල පහසුකම් , දුරකථන පහසුකම් , විදුලි පහසුකම් වැනි සියලුම පහසුකම් සහිතයි.",Arampolawaththa Mawathagama,5,3,"3,053.0 sqft",80.0 perches
7,5 Bedroom House for Sale Kurunegala City,20 Jul  9:46 am,"Kurunegala, Kurunegala","125,000,000",HOUSE FOR SALE IN KURUNEGALA CITY AREA IN COLOMBO ROAD,Kurunegala Colombo Road,5,2,"4,600.0 sqft",41.2 perches
8,House for Sale - Giriulla Dambadheniya,20 Jul 12:45 pm,"Giriulla, Kurunegala","2,150,000","# මීගමුව - කුරුණෑගල ප්‍රධාන බස් මාර්ගයට යාබදව ( මීටර 700 ක් දුරින්  ) , දඹදෙණිය නගරයට ආසන්නව ( කි.මී. 1ක් දුරින් ) අඩක් නිම කල නිවසක් සමඟ පර්චස් 15 ක වටිනා ඉඩම විකිණීමට තිබේ .... # නිවස ඇතුළත සිවිලිම ගසා ඇත ...# ජලය හා විදුලිය පහසුකම් සමඟ # නිරවුල් ඔප්පු # අඩි 12 පාර නිවසටම# ඉක්මණින් විකිණීමට # වැඩි විස්තර සඳහා පහත අයිතිකරුගේ දුරකථන අoකයෙන් විමසන්න",Dambadheniya / Giriulla,2,1,"1,100.0 sqft",15.0 perches
9,House for Sale in - Kurunegala,19 Jul  3:56 pm,"Kurunegala, Kurunegala","5,500,000","කුරුණෑගල නගරයට විනාඩි 5යි.කුරුණෑගල රෝහල, ජනප්‍රිය පාසැල් වලට ආසන්නව.කොළඹ - කුරුණෑගල ප්‍රධාන පාරට සමීපව.වඳුරාගල.පර්චස් 22ක නිවස සහ ඉඩම (වෙනම පිහිටි කඩ කාමරයක්ද සහිතව).නිදන කාමර 4ක් මිල ලක්ෂ 55යි (සාකච්චා කරගත හැක).ඉතා ඉක්මනින් විකිණේ","Samagi mawatha, Wanduragala, Kurunegala",4,1,950.0 sqft,22.0 perches
