,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,House For Sale - Devinuwara,20 Jul  4:00 pm,"Matara, Matara","4,000,000",මාතර වැල්ලමඩම මහින්ද රාජපක්‍ෂ විද්‍යාලයට මායිම්ව හා රුහුණු විශ්ව විද්‍යාලයට මැදිව පර්චස් 40 ඉඩමක් සමඟ නිවසක් විකිණීමට ඇත.,"Puwakgasare Watta, Gandarawatta, Devinuwara.",3,1,"1,800.0 sqft",40.0 perches
2,"['House For Sale - Devinuwara', '20 Jul  4:00 pm', 'Matara, Matara', '4,000,000', 'මාතර වැල්ලමඩම මහින්ද රාජපක්\u200dෂ විද්\u200dයාලයට මායිම්ව හා රුහුණු විශ්ව විද්\u200dයාලයට මැදිව පර්චස් 40 ඉඩමක් සමඟ නිවසක් විකිණීමට ඇත.', 'Puwakgasare Watta, Gandarawatta, Devinuwara.', '3', '1', '1,800.0 sqft', '40.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House For Sale - Matara,20 Jul  2:17 pm,"Matara, Matara","7,200,000","02 Bed Rooms, 01 Living Room Temporary KitchenNon Attached Bath PlaceWall Surrounding The Whole Land2 - GatesIn The Rahula & Sujatha Boudry10 Mints For Nilwala Gate","No: 33/5, Addarawatta, Hittetiya Meda, Matara.",2,1,600.0 sqft,10.9 perches
4,House for Sale - Matara,21 Jul 11:45 am,"Matara, Matara","26,000,000","3 bed rooms, 2 bathrooms, kitchen and a very big living room in upstairs.",5,4,"2,500.0 sqft",18.0 perches,
5,House for Sale in - Kekanadura,20 Jul  4:48 pm,"Kekanadurra, Matara","3,200,000","මාතර යටියන ප්‍රධාන මාර්ගයට 600m දුරින් පිහිටා ඇති, කැකණදුර දුම්රිය ස්ථානයට සහ මාතර නගරයට සමීප, නළ ජලය සහ විදුලිය සහිත, සියලු පහසුකම් වලින් පරිපූර්ණ, කාමර 3ක්, ලොකු සාලයක්, කෑම කාමරයක්, කුස්සියක් සහ නාන කාමරයකින් සමන්විත විශාල නිවස ඉක්මනින් විකිණීමට.","Kakanadura, Matara.",3,1,960.0 sqft,14.3 perches
6,House For Sale - Devinuwara,20 Jul  4:00 pm,"Matara, Matara","4,000,000",මාතර වැල්ලමඩම මහින්ද රාජපක්‍ෂ විද්‍යාලයට මායිම්ව හා රුහුණු විශ්ව විද්‍යාලයට මැදිව පර්චස් 40 ඉඩමක් සමඟ නිවසක් විකිණීමට ඇත.,"Puwakgasare Watta, Gandarawatta, Devinuwara.",3,1,"1,800.0 sqft",40.0 perches
7,House For Sale In Kamburugamuwa,20 Jul  2:35 pm,"Kamburugamuwa, Matara","8,000,000",මාතර නගරයට ආසන්නයේ කඹුරුගමුව ප්‍රධාන පාරට ආසන්නව,"52/A , බව්වගෙහේන, කඹුරුගමුව.",3,1,800.0 sqft,15.3 perches
8,House For Sale - Matara,20 Jul  2:17 pm,"Matara, Matara","7,200,000","02 Bed Rooms, 01 Living Room Temporary KitchenNon Attached Bath PlaceWall Surrounding The Whole Land2 - GatesIn The Rahula & Sujatha Boudry10 Mints For Nilwala Gate","No: 33/5, Addarawatta, Hittetiya Meda, Matara.",2,1,600.0 sqft,10.9 perches
9,House for Sale - Matara,20 Jul  2:08 pm,"Matara, Matara","15,000,000",රාහුල / සුජාතා පාසල් සිමාවේ නිස්කලංක පරිසරයක පිහිටි දෙමහල් නිවස ඉකමණින් විකිණීමට,5,2,"2,560.0 sqft",12.21 perches,
10,2 Stairs House for Sale in Weligama,18 Jul  8:57 pm,"Weligama, Matara","29,000,000",11 Rooms & 10 BathroomsNear Weligama UCVery Respect Area50M to Weligama TownWalking Distance to Beach2 Shops RoomsTourist Board Approved Register Licence 3 Phase Electricity 5Km to Mirissa 4Km to Midigama,10+,10,"5,000.0 sqft",21.0 perches,
11,House for Sale in Matara,18 Jul  2:44 pm,"Matara, Matara","50,000,000","*5 rooms in total with 2 master bed rooms*3 bathrooms with hot water system including servant,s bathroom*Modern pantry with burner top and exhaust hood *Roof terrace and balcony*Parking space *Tiled front garden*Separate water and electricity for the two storeys *5 minutes drive to Rahula and Sujatha Schools*10 minutes drive to Godagama exit of Southern Expressway*10 minutes drive to Matara Town","Sumanasara Mw, Welegoda Matara",5,3,"4,300.0 sqft",13.1 perches
