,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,2 Acre Land in Delgoda,18 Jul  7:56 pm,"Delgoda, Gampaha","350,000",This 2 Acre land is located 24 km from Colombo and 8 km distance from Biyagama. It has wide road access. The land is flat and soil is hard land and located in a area that never floods .   . The Road frontage is 200 Ft. Very suitable for a container yard or a commercial venture.,11690,Commercial,2.0 Acres
2,"['2 Acre Land in Delgoda', '18 Jul  7:56 pm', 'Delgoda, Gampaha', '350,000', 'This 2 Acre land is located 24 km from Colombo and 8 km distance from Biyagama. It has wide road access. The land is flat and soil is hard land and located in a area that never floods .   . The Road frontage is 200 Ft. Very suitable for a container yard or a commercial venture.', '11690', 'Commercial', '2.0 Acres']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land for Rent - Kanuwana,16 Jul  2:33 pm,"Ja-Ela, Gampaha","900,000",ජා ඇළ නගරයට මැදිව හැටන් නැෂනල් බැංකුව ඉදිරි පිට ප්‍රධාන බස් පාරට මායිම්ව අංක 126 දරණ ‍ව්‍යාපාරික ස්ථානයට යාබද ඕනෑම ව්‍යාපාරයකට සුදුසු  පර්චස් 10 ක හිස් ඉඩම බදු දීමට. මසකට රුපියල් 75000/=.,"No 126 ,Old Negambo Road, Kanuwana, Jaela",Commercial,15.0 Perches
4,Land For Lease In Wattala,11 Jul  5:11 am,"Wattala, Gampaha","15,000",Land for lease in Wattala10 purchase land around the land paper Gate150 metres 2 main roadPrice per month 15000,Residential,10.0 Perches,
5,Land for Rent - Gampaha, 9 Jul  5:40 pm,"Gampaha, Gampaha","4,800,000","Rent for land wear house or any other business, Face to new kandy road,50 m to BOI, have power suply, water suply","new kandy road, malwana, yatihena, waduwegama",Commercial,20.0 Perches
6,"Land for Rent in Akbar Town (hunupitiya, Wattala)", 6 Jul 12:59 pm,"Wattala, Gampaha","400,000",Land for Rent in Akbar Town (Hunupitiya),"Akbartown, Wattala 11300","Agricultural, Commercial, Residential, Other",80.0 Perches
7,Land for Rent in Mabola, 4 Jul  5:28 pm,"Wattala, Gampaha","20,000",Land for Rent in Mabola====================,"Fatima Road, Mabola, Wattala",Commercial,20.0 Perches
8,JA ELA 250 Perch Bare Land for Rent Warehouse or Yard, 3 Jul  3:56 pm,"Ja-Ela, Gampaha","3,600,000",The total land extent is 392 perches but usable space is 250 perches. The rest of the land is a pond.  1 KM from the highway exit. 30 ft road access.,"Suduwella , Ja-ela","Commercial, Other",250.0 Perches
9,Land For Long Term Lease Close To Katunayake Free Trade Zone,14 Jul 10:25 pm,"Katunayake, Gampaha","3,000,000","At very close proximity to Katunayake Free Trade Zone (less than 1km)Adjacent to Wesley College, Thempola, KatunayakeFacing the Kuswala-Muthuwadiya main road","Thempola, Muthuwadiya",Agricultural,2.5 Acres
10,Commercial Land for rent in Kotugoda.,27 Jun 11:43 am,"Ja-Ela, Gampaha","120,000","◆ Commercial land for rent in Minuwangoda Road, Kotugoda.◆ Face in Minuwangoda Road. ◆ 129 Perches of land. ◆ This land suitable for stores, Wear house, Companies and businesses purpose. ◆ Monthly Rental Rs 120000/=◆ Six Months advance payment. ◆ Negotiate. ◆ Inspection strictly by appointment.","Minuwangoda Road, Kotugoda.","Commercial, Other",129.0 Perches
11,200 Perches Land For Rent / Lease Negombo Road,26 Jun 11:00 am,"Wattala, Gampaha","60,000","Land With Building For Lease Or Rent Term : Short Term Or Long TermLocation Hendala Road Facing 50 Meters to Negombo Road Land Size 200 Perches Land We Can Divide For Your Requirements 50 Perches / 100 Perches 02 Gate Access Cement Floor & Good Maintenance Hendala Road Facing - Wattala 100 Meters to Negombo Road150 Road Frontage Land Good Maintenance And Cement Floor40 Feet Containers Access200 Perches Land with 2 Story Office Space, 2 Story Labor Quarters And Vehicle Garage 3 Phase Electricity High Security AreaSuitable For Containers Yard, Vehicle Yard, Ware House, Super Market, Largest Stores, Garments And Any kind of Purpose Part Of Land Also will Given Monthly Rental 200 Perches 1.2 Million Negotiable100 Perches 0.6 Million Negotiable",Negombo Road - Hendala Road Wattala,"Agricultural, Commercial, Residential, Other",200.0 Perches
12,Land For Rent in Gampaha,24 Jun 11:01 am,"Gampaha, Gampaha","240,000",LAND FOR RENTඉඩමක් බදු දිමටහිස් ඉඩමක්සියලු පහසුකම් සහිත.මාසික මුදල 20000/=අවුරුදු 7 පමනබටපොත,"Agricultural, Commercial",80.0 Perches,
13,Land for Lease Kalayniya,22 Jun  3:08 pm,"Kelaniya, Gampaha","1,500,000",Land is available for lease for period of two to three years for reasonable/ fair business. Less than 10 minutes to Kiribathgoda city.,"Temple Road , Dalugama, Kalayniya",Commercial,10.0 Perches
14,ඉඩමක් සහ ගොඩනැගිල්ලක් කුලියට - කටාන,15 Jul  9:00 pm,"Negombo, Gampaha","20,000","එජන්සි එකකට,ඇබරුම්හලකට,ගබඩවකට ඉතා සුඩුසුයි","Disagewatta,Katana",Commercial,25.0 Perches
15,Land for Rent or Lease in Kadawatha,16 Jun 12:20 pm,"Kadawatha, Gampaha","1,800,000","40 perch land available for rent or lease. Old House to be demolished. Opposite the highway and less than 1km to the highway entrance.Access to the land in two sides with 15-20ft wide roads.Ideal for a warehouse. Rent is negotiable.Monthly Rs 150,000",Commercial,40.0 Perches,
16,Land for Rent in Udugampola,16 Jun  9:36 am,"Gampaha, Gampaha","420,000",පර්. 22 තැනිතලා ඉඩම.උඩුගම්පොල නගරයට ආසන්න.මිල ගණන් සාකච්ඡා කරගත හැකිය. ,"Agricultural, Commercial",22.0 Perches,
17,Land For Rent in Kadawtha,15 Jun  1:07 pm,"Kadawatha, Gampaha","600,000",face to kadawatha ganemulla rd4 Km to kadawatha highway 3 km ganemulla rellwaystetion3 km ragama hospital,kadawatha ganemulla,Agricultural,10.0 Perches
