,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Land type:,Land size:,
1,Bare Land Available for Rent in:: Nawala-Rajagiriya,13 Jul 11:58 am,"Rajagiriya, Colombo","660,000","RENT / LEASE Only (NOT for sale). Located in Nawala-Rajagiriya area. Lot will be available after the current tenant leaves 31st August. Steel shed in the property in the pictures belongs to the tenant and will be removed when they leave. Monthly rent 55,000 with 6 monthadvance. Period of lease open for discussion (Min 2 yrs renewable every 2 years). NO BROKERS PLEASE!!**Note: No activity with excessive noise**",Commercial,30.0 Perches,
2,"['Bare Land Available for Rent in:: Nawala-Rajagiriya', '13 Jul 11:58 am', 'Rajagiriya, Colombo', '660,000', 'RENT / LEASE Only (NOT for sale). Located in Nawala-Rajagiriya area. Lot will be available after the current tenant leaves 31st August. Steel shed in the property in the pictures belongs to the tenant and will be removed when they leave. Monthly rent 55,000 with 6 monthadvance. Period of lease open for discussion (Min 2 yrs renewable every 2 years). NO BROKERS PLEASE!!**Note: No activity with excessive noise**', 'Commercial', '30.0 Perches']","['title', 'posted date', 'location', 'price', 'description', 'Land type:', 'Land size:']",,,,,,
3,Land for Rent/Lease in Kohuwela, 3 Jul 12:25 pm,"Kohuwala, Colombo","1,500,000","*15 perch commercial property available for long term lease.*Currently occupied by a car sale.*Walking distance to Cargills and Keells supermarkets.*Water/Electricity available.*Easily accessible from Colombo-Piliyandala main road.*Suitable for car sale, stores, car wash etc.",Commercial,15.0 Perches,
4,2 Acre Land in Delgoda,18 Jul  7:56 pm,"Delgoda, Gampaha","350,000",This 2 Acre land is located 24 km from Colombo and 8 km distance from Biyagama. It has wide road access. The land is flat and soil is hard land and located in a area that never floods .   . The Road frontage is 200 Ft. Very suitable for a container yard or a commercial venture.,11690,Commercial,2.0 Acres
5,Land for Rent - Maharagama,18 Jul  9:45 pm,"Maharagama, Colombo","360,000","-20 perch land including 15x40 shed.-Wide antrance gate from Carpeted Neelammahara Road.-3 phase 60 A Electricity supply.-full covered by walls.1.5km to Maharagama and Katuwawela (120 Bus route).Rs 30,000 /= per month",109 Neelammahara Rd Maharagama,Commercial,20.0 Perches
6,Land for Rent Kotte,18 Jul  1:06 pm,"Kotte, Colombo","2,400,000",පර්චස් 15 ක කිබුලාවල හන්දියේ පිහිටි මෙම ඉඩම බදු දීමට,"තලවතුගොඩ පාර,මාදිවල ,කෝට්ටේ (කිබුලාවල හන්දිය )",Commercial,15.0 Perches
7,2 Acres Land For Rent - Matale,18 Jul  2:57 pm,"Matale, Matale","540,000","Two acres land available for rent at Matale, Sri Lanka * Ideal for animal or agricultural farming",Matale,Agricultural,2.0 Acres
8,Land for Rent - Batharamulla,19 Jul 10:35 pm,"Battaramulla, Colombo","500,000",Prime land situated in Baththaramulla Kosawatta. Land situated facing Pipe road Heenatikumbura .40 feet wide main road access .Land is facing main road for about 250 feet. ,"16B, Heenatikumbura Road, Thalangama North , Batharamulla","Agricultural, Commercial",100.0 Perches
9,Land for Rent - Kanuwana,16 Jul  2:33 pm,"Ja-Ela, Gampaha","900,000",ජා ඇළ නගරයට මැදිව හැටන් නැෂනල් බැංකුව ඉදිරි පිට ප්‍රධාන බස් පාරට මායිම්ව අංක 126 දරණ ‍ව්‍යාපාරික ස්ථානයට යාබද ඕනෑම ව්‍යාපාරයකට සුදුසු  පර්චස් 10 ක හිස් ඉඩම බදු දීමට. මසකට රුපියල් 75000/=.,"No 126 ,Old Negambo Road, Kanuwana, Jaela",Commercial,15.0 Perches
10,පදිංචියට හෝ වගාකිරීමට අගනා ඉඩමක් නාවුල,16 Jul  2:24 pm,"Dambulla, Matale","1,650,000",මාතලේ- දඔල්ල පාරට විනාඩි 05ක දුර විදුලිය හා ඔිනැම වාහනයක් ගමන් කල හැකි මාර්ග වාගා කිරීමට ඉතාමත් හොදයි,නාවුල,Agricultural,216.0 Perches
11,Land for Rent / Lease at Ampitiya Kandy,16 Jul  8:44 am,"Ampitiya, Kandy","100,000","32 Perch flat land located facing Ampitiya Thalatuoya main road.400 m distance towards Thalatuoya from Ampitiya Boo tree and 3.5 Km from Kandy Rathubokkuwa.Land is for rent or lease and suitable for commercial investors, Storing road construction materials and machines.",Facing Ampitiya Thalatuoya Main Road,Commercial,32.0 Perches
12,Bare Land for Rent or Lease Nugegoda,15 Jul  2:48 pm,"Nugegoda, Colombo","2,700,000",Commercial Land for Rent or Lease,"Old Kesbewa Road, Delkanda, Nugegoda",Commercial,39.0 Perches
13,145 Perches Land for Rent or Lease Homagama,15 Jul 12:58 am,"Homagama, Colombo","250,000",::: Location: The land is faced to PANAGODA – EMBULGAMA (B354) main road. The road is linked to Athurugiriya – Godagama (B240) and Colombo – Hanwella Low Level (AB10) main roads at PANAGODA and EMBULGAMA junctions,Commercial,145.0 Perches,
14,Land for Lease Col 5,15 Jul  2:59 pm,"Colombo 5, Colombo","1,320,000",*Land for rent or lease*Located in D.M Colambage Mw Col - 5*Near to Kirupalona Railway station / Nawaloka Hospital / Nawala campus / Pizza Hut.* Road adjoins with Nugegoda - Rajagiriya Rd and Baseline rd.*1st owner for the land.*Call for more details and inquiries. *Contact - Sanjay Dayan,Other,25.0 Perches,
15,Land for Rent in Maspotha Kurunegala,13 Jul  6:28 pm,"Kurunegala, Kurunegala","3,000,000","* Located close to the Puttalama Kurunegala Main Road* 20ft road to access* 6.5km (11min) to Kurunegala Town* Suitable for Storage Warehouse/Parking/Vehicle yard /Leasing yard/ Agriculture * Price - Rs.250,000 per Month","Gunasiri Tile Factory, Pallandeniya, Maspotha, Kurunegala","Agricultural, Commercial, Other",1.0 Acres
16,4Acre Teak Land for Long Term Lease in Anuradhapura,13 Jul 11:38 am,"Mihintale, Anuradhapura","7,200,000",Long Term Investment for your Child !,Kurundankulama Village,"Agricultural, Commercial, Other",4.0 Perches
17,Land for Rent - Colombo 7,13 Jul 11:35 am,"Colombo 7, Colombo","2,000,000",Land for rent colombo 7  perches60  long trem rent monthly rent 20 lakh 1 year half month broker fees please no brokers,kinsy road colombo 7,"Commercial, Residential",60.0 Perches
18,Land for Rent in - Colombo 7,13 Jul 11:33 am,"Colombo 7, Colombo","1,500,000",Land for Rent Colombo 7 Perches 45.5 Long Trem Rent Monthly Rent 15 Lakh 1 Year Half Month Broker Fees Please No Brokers,Darmapala Road Colombo 7,"Commercial, Residential",45.5 Perches
19,Land for Rent in - Boralesgamuwa,13 Jul  2:29 pm,"Boralesgamuwa, Colombo","200,000","Land for rent, Ideal for small store or any other purpose.","werahera, boralesgamuwa",Other,80.0 Perches
20,Bare Land Available for Rent in:: Nawala-Rajagiriya,13 Jul 11:58 am,"Rajagiriya, Colombo","660,000","RENT / LEASE Only (NOT for sale). Located in Nawala-Rajagiriya area. Lot will be available after the current tenant leaves 31st August. Steel shed in the property in the pictures belongs to the tenant and will be removed when they leave. Monthly rent 55,000 with 6 monthadvance. Period of lease open for discussion (Min 2 yrs renewable every 2 years). NO BROKERS PLEASE!!**Note: No activity with excessive noise**",Commercial,30.0 Perches,
21,Land For Lease In Wattala,11 Jul  5:11 am,"Wattala, Gampaha","15,000",Land for lease in Wattala10 purchase land around the land paper Gate150 metres 2 main roadPrice per month 15000,Residential,10.0 Perches,
22,Land for Rent - Gampaha, 9 Jul  5:40 pm,"Gampaha, Gampaha","4,800,000","Rent for land wear house or any other business, Face to new kandy road,50 m to BOI, have power suply, water suply","new kandy road, malwana, yatihena, waduwegama",Commercial,20.0 Perches
23,Bear Land for Commercial Purposes Thalawathugoda, 9 Jul  2:09 pm,"Talawatugoda, Colombo","300,000",Bear land near main road Pitakotte- Thalawathugoda main road near Sri Lanka Army cafe.,"Ekamuthu Mawatha, Thalawathugoda",Commercial,12.0 Perches
24,Spacious Land For Rent In Malabe, 7 Jul  6:00 pm,"Malabe, Colombo","160,000","**** Land for rent near Koswattha Police Station ***** 152 bus root  Most suitable for the Car Wash,Mechanical Garage, Modern Supermarket chain or Filling Station etc..Land is located at commercialized area with people can easily access.",209/1 Koswattha Road Hinatikumbura,Other,32.0 Perches
25,Commercial Land for Rent in Kamburugamuwa, 9 Jul  7:38 am,"Matara, Matara","100,000",30 perch commercial land facing galle road in Kamburugamuwa for rent. Close by Kamburugamuwa lake. This area is highly commercial with many business.,Kamburugamuwa,Commercial,30.0 Perches
26,Commercial Land and House for Rent in Piliyandala, 8 Jul  4:44 pm,"Piliyandala, Colombo","720,000","* The Land is located in Sirimangala watte Road, Mampe, Piliyandala * 120 Perches Land, Just 1.5km away from Piliyandala* Facing 20ft wide Road * Ideal for Commercial Purpose* Excellent Location and Good Environment","No.334, Sirimangala Watte, Mampe, Piliyandala",Commercial,120.0 Perches
27,ගෝනපල පර්: 30 ක ඉඩම බදු දීමට., 6 Jul  2:45 pm,"Horana, Kalutara","90,000",ගෝනපල පලන්නෝරුව මධ්‍ය මහා විද්‍යාලයට ඉදිරිපිට විද්‍යාල මාවතට මුහුණලා පිහිටි පර්: 30 ක ඉඩම සුළු ව්‍යාපාරයට බදු දීමට. ජලය විදුලිය අවශ්‍යතා ලබා දිය හැකිය.,"පලන්නෝරුව පාසල ඉදිරිපිට, ගෝනපල",Commercial,30.0 Perches
28,"Land for Rent in Akbar Town (hunupitiya, Wattala)", 6 Jul 12:59 pm,"Wattala, Gampaha","400,000",Land for Rent in Akbar Town (Hunupitiya),"Akbartown, Wattala 11300","Agricultural, Commercial, Residential, Other",80.0 Perches
