,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,අනුරාධපුර නගර සීමාවෙන් ඉඩම් කොටසක් විකිණීමට,20 Jul  3:13 pm,"Anuradhapura, Anuradhapura","300,000",* අනුරාධපුර නගර සීමාවේ පිහිටි පිරිසිදු සින්නක්කර ඔප්පු සහිත ඉඩමකි. ,"jaffna junction ,Anuradhapura","Commercial, Residential",20.0 perches
2,"['අනුරාධපුර නගර සීමාවෙන් ඉඩම් කොටසක් විකිණීමට', '20 Jul  3:13 pm', 'Anuradhapura, Anuradhapura', '300,000', '* අනුරාධපුර නගර සීමාවේ පිහිටි පිරිසිදු සින්නක්කර ඔප්පු සහිත ඉඩමකි. ', 'jaffna junction ,Anuradhapura', 'Commercial, Residential', '20.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Valuable Commercial Land near Talawa Bus Station facing A28,19 Jul  4:04 pm,"Talawa, Anuradhapura","6,900,000",Foundation has been done for a 3 storey building with a basement.  You could build 3/4 small shops in the basement facing the side road goes to Talawa market.Then designed 3 stories from the A28 main road level facing the main road just like other buildings nearby. ,"Talawa Bus Station, Talawa, Anuradhapura",Commercial,6.0 perches
4,Prime Royal Terrace - Puliyankulam,24 Jul 11:18 am,"Anuradhapura, Anuradhapura","285,000","Land Details•	Project name – Royal Terrace•	Town – Anuradhapura•	City – Anuradhapura•	District – Anuradhapura•	Price P.P – 285,000/= to 610,000/=Facilities•	Electricity –Three phase•	Water – Water board line •	Tar Road – 20’ to 30’ wide Tar road",Prime Lands Pvt Ltd - Anuradhapura,"Commercial, Residential",10.0 perches
5,Prime North Star Land for Sale - Anuradhapura,24 Jul 11:17 am,"Anuradhapura, Anuradhapura","310,000",අනුරාධපුර යාපනය හන්දියෙන් ප්රධන පාරට මුහුණලා සුන්දර වෙල් යායකින් වට වූ සින්නක්කර ඔප්පු සහිත නේවාසික හා වය්යාපාරික බිම් කොටස්.- නල ජලය- තෙකලා විදුලිය- තාර යෙදූ පුලුල් මාර්ග- බැංකු ණය හා පහසු ගෙවීමේ ක්රම- පුජා නගරයට මීටර් 800- අනුරාධපුර නගරය මීටර් 600,Prime Lands Pvt Ltd - Anuradhapura,"Commercial, Residential",10.0 perches
6,Land for Sale - Anuradhapura (Near Thisa Wewa),23 Jul 10:24 am,"Anuradhapura, Anuradhapura","39,600,000",A land in an attractive place close to Thisa wewa (walking distance). Has a completed little house with electricity and water. Also included a well and a landscaped garden. Clear deeds.,"2 Kanuwa , Thisa wewa , Anuradhapura","Commercial, Residential",72.0 perches
7,Land for sale in Anuradapura,23 Jul  3:13 pm,"Anuradhapura, Anuradhapura","2,900,000",Land for sale in Anuradapura  ( Town Area )සාලිය  මාවත /  පුල්ලෙයාර් හන්දිය  /  අනුරාදපුර  Land  Size 15 Perches නුවර වැව  ආසන්න යේඅඩක් වැඩ නිමකළ  නිවසක්ද සහිතව කාමර 2 සලය / නානකාමරය  සහ කුස්සියට  ස්ලැබ් එක දමා ඇත අනුමත සැලැස්මක්  සහිතයි Price Rs 2900000 වැඩි විස්තර සදහා අමතන්න,Saliya mawatha - Pulleyar handiya  - Anuradapura,Residential,15.0 perches
8,Land and house for Sale in Anuradhapura,23 Jul  1:56 pm,"Anuradhapura, Anuradhapura","60,000",අනුරාධපුර ගුවන්තොටුපළ පාරේ ඣානික්කුලම ශ්‍රමදාන මාවතේ  පර්චස් 109 ඉඩම විකිණීමට (නුවර පාරට කි.මි.1)ජය භුමි ඔප්පු  සහිතයි අනුරාධපුර ශික්ෂණ රොහලට කි.මි 6 නව / පැරණි බස්නැවතුපලට කි මි 7.5අංගසම්පූර්ණ කාමර 3 නිවසක් සහිතයි අඹ පොල් ඇතුලු වගාවන් සහිත ජල විදුලිය සහිතයි  පවන ගාර්ඩ්න් හෝටලයට යාබදව පිහිටා ඇත,Shramadhaana mawatha ghranikkulama anuradhapura,"Agricultural, Commercial, Residential, Other",109.0 perches
9,2.5 Acres Agricultural Land and 80 Perches Bare in Thambuttegama,23 Jul  7:58 pm,"Tambuttegama, Anuradhapura","4,500,000",Paddy Land (2.5 Acres)- 100% Clear Deeds- Profitable Agricultural Land.- Good Water Supply- Clear 12 Ft Access Road- 300 M to The Main Road. ( Anuradhapura - Kurunegala Main Road)- 3 Km to Thambuttegama Town- 23 Km to Anuradhapura Main Town.,"Koonwewa, Thambuttegama (anuradhapura - Kurunegala Main Road)","Agricultural, Commercial, Residential",3.0 acres
10,Land With House For Sale In Kekirawa,23 Jul  2:10 pm,"Kekirawa, Anuradhapura","2,000,000",Land for sale in kerirawa===================,Residential,80.0 perches,
11,පොල් ඉඩම විකිණීමට මැදවච්චිය,22 Jul  2:17 pm,"Medawachchiya, Anuradhapura","5,000,000",ඉතාමත් සරු පොල් ඉඩමක් . රට යන නිසා විකුණනු ලැබේ පිදෙන පැල . වැඩි විස්තර සඳහා අමතන .,Agricultural,20.0 acres,
12,Land in Anuradhapura Nochchiyagama,22 Jul  2:07 pm,"Nochchiyagama, Anuradhapura","3,200,000","#අගනා නිවසක් (කාමර 3 , සාලය , කුස්සිය)#පොල් අක්කරයක් (මාස 1.5  වතාවක් rs 20000 ආදායමක්)# කුබුරු අක්කරයක් ( ගොඩ සහ මඩ ගොවිතැන් සිදුකල හැක)#වගා ලිදක් සහ බීමට ගන්නා වතුර ලින් 2ක්#කොස් ගස් , අබ ගස්, අලිගැටපෙර , කොකෝවා, වෙරලු, දොඩම් , දෙහි , පේර , ඇබරැල්ලා,දෙල් වැනි ගෙඩි කැඩෙන ගස් විශාල ප්‍රමානයක් ඇත.",thammannawa pahalamaragahawewa,Other,2.0 acres
13,Valuable Land for Sale - Anuradhapura,21 Jul  4:07 pm,"Mihintale, Anuradhapura","8,000,000","01 acre flat land with a small house facing to Anuradhapura,Trincomalee road at Ranpathwila.Suitable for either residential or commercial purposes","Commercial, Residential",1.0 acres,
14,අනුරාධපුර ඉඩම විකිණීමට,23 Jul 12:53 pm,"Anuradhapura, Anuradhapura","22,000","නිරවුල් පිරිසිදු ඔප්පු ,ජලය, විදුලිය ,දුරකථන ,කාමර 2ක නිවස,අඩි 20 පුලුල් මර්ගය,සාලියපුර  හමුදා කදඋර අසල ,නිවස 20 පර.","සාලියපුර ,අනුරාධපුර",Residential,64.0 perches
15,Land for Sale - Medawachchiya,20 Jul 11:56 am,"Medawachchiya, Anuradhapura","4,650,000",Nwara - Yapanaya A9 pradhana margyata munala. Wyaparika sthanayakata ho padinchiyata sudusu watapitawa.Medawachchiya town eke sita 800m dura.,"253, Kandy Road, Kanadarawa, Medawachchiya","Commercial, Residential, Other",47.0 perches
