,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land for Sale in Badulla,17 Jul  8:03 pm,"Hali Ela, Badulla","2,000,000","* Badulla- HaliEla * 18 perches land - clear deeds * 2 minutes to HaliEla city* 100m away from Badulla- Colombo main road* Close to HaliEla AG office * Middle class - high residential area* Water, electricity * Schools, banks- close",Badulla- HaliEla,Residential,18.0 perches
2,"['Land for Sale in Badulla', '17 Jul  8:03 pm', 'Hali Ela, Badulla', '2,000,000', '* Badulla- HaliEla * 18 perches land - clear deeds * 2 minutes to HaliEla city* 100m away from Badulla- Colombo main road* Close to HaliEla AG office * Middle class - high residential area* Water, electricity * Schools, banks- close', 'Badulla- HaliEla', 'Residential', '18.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Tea Estate for Sale - Guruthalawa,17 Jul  7:41 pm,"Welimada, Badulla","14,000,000","* Welimada- Guruthalawa* Facing to Haputale road* 7 acres tea estate - clear deeds * 1 1/2 km away from Welimada city* 4 km away from Diyatalawa city* 4 acres - VP tea, 3 acres- Lanka tea* 3000 kg tea leaves/ month* Valuable terpentine trees are available * House with 3 bedrooms for laborers - with water & electricity * Road facilities ",Welimada- Guruthalawa,"Agricultural, Commercial",7.0 acres
4,Land for Sale in Bandarawela,24 Jul  8:21 am,"Bandarawela, Badulla","550,000","Located at Ambetennawatta, Bandarawela. Just 950 meters to Bandarawela Bus Station. 3 minutes drive to town. Have clear deeds. Can access by two roads, one from upside of the land and another one from the bottom of the land. Both are concrete roads. Call for more details. Price can be negotiable.","Commercial, Residential",10.0 perches,
5,Land in For Sale Badulla,22 Jul  2:24 pm,"Badulla, Badulla","36,000",Nagara seemawe athi meme idama wahama wikine,"katupelella gama, badulla","Agricultural, Commercial, Residential, Other",68.0 perches
6,Land for Sale in Bandarwela,22 Jul  1:16 pm,"Bandarawela, Badulla","200,000","A piece of land with a view of the scenic beauty. Hospitality climate and an ideal land for tourist destinations and Any other tourist activitiesForm this place its 117km to Kandy and it takes 3 hr 30 min , to Nuwaraeliya 36km 1hr and 45 min to Ella. All 5As as Accomodation accessibility, amenities, attractions and activities are included in the tourist destination","warakagoda, Ettampitiya Bandarwela road.",Residential,93.0 perches
7,නිවසක් සහ ඉඩම විකිණීමට - බදුල්ල,22 Jul 11:06 am,"Badulla, Badulla","1,200,000",මනරම් නිස්කලංක පරිසරයක පිහිටා ඇති.සින්නක්කර ඔප්පු ජල විදුලි මාර්ග පහසුකම් ඇති නිවාස සහ ඉඩම විකිණීමට.සම්පූර්ණ පර්චස් 24 කි. බදුල්ල නගරයට මිනිත්තු 15 දුර.මිල ගණන් සාකච්ඡා කරගත හැක.,බදුල්ල රිල්පොල  මැදගම,Other,24.7 perches
8,Land for Sale in Bandarawela,22 Jul  9:58 am,"Bandarawela, Badulla","120,000",Approximately 6.5 Km from Bandarawela TownNear to Malwaththa Aramaya and Aislabe Tea FactoryPerfect for residential Perfect place for cottage/bungalow/Holiday InnPeaceful area,Malwaththa,Residential,37.0 perches
9,Land for sale - Ella,21 Jul 11:49 pm,"Ella, Badulla","375,000","@ ඇල්ල හංදියේ සිට කිලෝමිටර් 3.2යි. @ දර්ශණීය සුන්දර නිස්කලංක පරිසරය. @ ජය භුමි ඔප්පු, ප්ලෑන් ඇත.  @ ඉඩමටම  කොන්ක්‍රිටි පාර ,නල ජලය, විදුලිය, දුරකථන පහසුකමි ඇත. @ අවශ්‍ය නමි පර්චස් 12ක් ලබාගත හැක. @ පර්චසය රු. 375000යි. @ සංචාරක හෝටලයක් ඉදිකිරීමට කදිමයි. @ නියම ගැණුමිකරුවන් පමණක් අමතන්න.",3 කණුව පස්සර  ඇල්ල,Commercial,10.0 perches
10,Land for Sale - Diyathalawa,22 Jul 10:41 am,"Diyatalawa, Badulla","150,000","@ දියතලාව නගරයට කිලෝමිටර් 2.5යි. @ සුන්දර නිස්කලංක පරිසරය. @ සිංනක්කර ඔප්පු ,අනුමත ප්ලෑන් @ NBRO අනුමැතිය. @ දෝඩමිවත්ත කාපටි පාරට මුහුණලා ඉඩම පිහිටා ඇත. @ පර්චසය රු. 150000 සිට ඉහලට තෝරාගැණීමට බිමි කොටස් කීපයක්ම ඇත.  @ නියම ගැණුමිකරුවන් පමණක් අමතන්න.",ඩබල්පීල්ල අසල දෝඩමිවත්ත පාර දියතලාව,"Commercial, Residential",10.0 perches
11,Land for Sale in Badulla Town,20 Jul 10:04 pm,"Badulla, Badulla","200,000",ස්ප්‍රිංවැලි මාර්ගයට මුහුණලා ඉඔුල්ගොඩNBRO අනුමතිය ලබාගෙන ඇතබදුල්ල නගරයට විනාඩි 10,Imbulgoda,"Commercial, Residential",8.5 perches
12,Land for Sale in Badulla Town,23 Jul  1:35 pm,"Badulla, Badulla","100,000",ස්ප්‍රිංවැලි මාර්ගයේ රොක්හිල්NBRO අනුමතිය ලබාගෙන ඇතබදුල්ල නගරයට විනාඩි 10,"Commercial, Residential",14.0 perches,
13,Land for Sale in - Bandarawela,20 Jul  5:16 pm,"Bandarawela, Badulla","700,000",ElectricityWater Call for More Details,"Bindunuwewa, Bandarawela",Residential,8.0 perches
14,Land for Sale Mahiyanganaya,19 Jul  5:47 pm,"Mahiyanganaya, Badulla","35,000","මහියංගණය බදුල්ල ප්‍රධාන මාර්ගයට මීටර් 20 ක් දුරින් කුරැවිතැන්න මහා විද්‍යාලය ආසන්නයේ නිවාස බිම් කොටස් විකිණීමට තිබේ.(විදුලිය, සින්නක්කර ඔප්පු, ජලය, බැංකු ණය පහසුකම්)",Residential,20.0 perches,
15,Land for sale - Haputale,19 Jul  2:32 pm,"Haputale, Badulla","80,000","@ හපුතලේ සිට යහලබැද්ද ඉඩමට කිලෝමිටර් 4.5යි. @ දියතලාවට කිලෝමිටර් 5යි. @ සිංනක්කර ඔප්පු, ප්ලෑන් ඇත. @ දර්ශණීය සුන්දර නිස්කලංක පරිසරය. @ පදිංචියට, සංචාරක නිවාඩු නිකේතනයකට කදිමයි.  @ අවශ්‍ය නමි පර්චස් 10ක් ලබාගත හැක. @ පර්චසය 80000යි. @ නියම ගැණුමිකරුවන් පමණක් අමතන්න.",යහලබැද්ද හපුතලේ,Residential,22.0 perches
16,Land for Sale in Welimada,18 Jul  6:43 pm,"Welimada, Badulla","80,000","වැලිමඩ නගරයේ සිට 1km දුරින්, පර්චස් 14.4 ක බිම් කොටස, වැලිමඩ විජය විද්‍යාලයට යාබදව බිම් කොටස, බදුල්ල සහ බණ්ඩාරවෙල මාර්ග දෙකෙන්ම ලගා විය හැක. සින්නක්කර ඔප්පු සහ 100% පිරිසිදු ඔප්පු,සියලුම නාගරික පහසුකම්, නල ජලය සහ තෙකලා විදුලිය, ඉක්මනින්ම විකිණීමට",Badulla or Bandarawela road Welimada,Residential,14.4 perches
17,Land for Sale in Badulla,17 Jul  8:03 pm,"Hali Ela, Badulla","2,000,000","* Badulla- HaliEla * 18 perches land - clear deeds * 2 minutes to HaliEla city* 100m away from Badulla- Colombo main road* Close to HaliEla AG office * Middle class - high residential area* Water, electricity * Schools, banks- close",Badulla- HaliEla,Residential,18.0 perches
