,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land for Sale in Batticaloa, 7 Jul  7:49 pm,"Batticaloa, Batticaloa","5,750,000","For the previous callers and new clients... This deal is almost finalised to 5.75million. 1st advance payment booking will be accepted and all payment on 10th of July.Excellent neibhorhood .. kannakai amman temple surroundong.. batticaloa lagoon .. near busstand and hospital and big schools.. walkable distance to town.மட்டக்களப்பு நகரில் கண்ணகை அம்மன் கோவில் அருகாமையில், எரிக்கரையோரமாக, நல்ல சூழலில் அமைந்துள்ளது. மத்திய பேருந்து நிலையம் நடை தூரத்தில்..உப்பு கராச்சி பிரதான வீதியில் 10  பேர்ச் உறுதிக்காணி விற்பனைக்கு உண்டு. தொடர்புகளுக்கு .",it's almost finalised to 5.75 million.,Residential,10.0 perches
2,"['Land for Sale in Batticaloa', ' 7 Jul  7:49 pm', 'Batticaloa, Batticaloa', '5,750,000', 'For the previous callers and new clients... This deal is almost finalised to 5.75million. 1st advance payment booking will be accepted and all payment on 10th of July.Excellent neibhorhood .. kannakai amman temple surroundong.. batticaloa lagoon .. near busstand and hospital and big schools.. walkable distance to town.மட்டக்களப்பு நகரில் கண்ணகை அம்மன் கோவில் அருகாமையில், எரிக்கரையோரமாக, நல்ல சூழலில் அமைந்துள்ளது. மத்திய பேருந்து நிலையம் நடை தூரத்தில்..உப்பு கராச்சி பிரதான வீதியில் 10  பேர்ச் உறுதிக்காணி விற்பனைக்கு உண்டு. தொடர்புகளுக்கு .', ""it's almost finalised to 5.75 million."", 'Residential', '10.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,13.75 Acers Beach Front Bare Land for Sale, 8 Jul 12:43 pm,"Batticaloa, Batticaloa","8,000,000","13.75 ACERS BEACH FRONT BARE LAND FOR SALE WITH 7 HALF BUILT VILLAS BEAUTIFUL WIDE BEACH, BLUE WATER, ",BATTICALOA,"Commercial, Other",13.75 acres
4,Lands for hotel industry and other purposes sale in Pasikudah,23 Jul  1:20 pm,"Batticaloa, Batticaloa","165,000","Main Road side land next to the Kalkudah post-office in Pasikudah for urgent sale with clear deed. 2.5 Acres of bare  land suitable for Hotels, Fuel station, farms and many other business purposes. Many hotels are closed by to the proposed land. Per perch Rs.165, 000 negotiable.","Pasikudah, Vaalaichenai",Commercial,2.5 acres
5,Land for sale மைலம்பாவளி,21 Jul  8:08 pm,"Batticaloa, Batticaloa","65,000",Original deed landjust 100m main road200 coconut trees in land,"Agricultural, Commercial, Residential",2.0 acres,
6,Land for Sale Kumpurumulai கும்புறுமுலை,21 Jul  3:51 pm,"Batticaloa, Batticaloa","50,000",Original deed landland front Batticaloa colombo Hiveway Quick saleBank facility Available,"Agricultural, Commercial, Residential",5.0 acres,
7,Land for Sale in Kattankudy,17 Jul 12:10 pm,"Batticaloa, Batticaloa","4,500,000",1. Land to Build A House2. Land on the Back Side3. Two coconut trees on the land4. Fenced land,New Kattankudy-01.,Residential,4.0 perches
8,Land for Sale in Batticaloa,14 Jul 10:03 am,"Batticaloa, Batticaloa","2,500,000","This land is available for sale, contact me immediately. This land is high demand because of the New District Secretariat of Batticaloa building.https://www.google.com/maps/dir/7.7517392,81.6758756/Thiraimadu+School+Road,+Batticaloa/@7.7516257,81.6757857,17z/data=!4m6!4m5!1m0!1m2!1m1!1s0x3afad2638f3de245:0x94ba16482bab3a95!3e0",Other,19.0 perches,
9,காணி விற்பனைக்கு வந்தாறுமுலை,13 Jul  3:29 pm,"Batticaloa, Batticaloa","2,500,000","வந்தாறுமுலை கிழக்குப்பல்கலைக்கழகத்திற்கு அருகாமையில் அமைந்துள்ள கொம்மாதுறை உமாமில் வீதியில் கிணறு மற்றும் மலசலகூடம்,மின்சார வசதியுடன் கூடிய சிறியவீடும் உள்ளது.",Residential,18.5 perches,
10,Land for Sale in Batticaloa,11 Jul 10:56 am,"Batticaloa, Batticaloa","150,000",Land for sale,thannamunai,Residential,12.0 perches
11,Land For Sale In Baticaloa, 9 Jul  9:53 am,"Batticaloa, Batticaloa","380,000","10 perch, peaceful area, near shops",navatkerni batticaloa. ...,Residential,10.0 perches
12,Land for Sale in - Aithyamalai, 7 Jul 12:57 pm,"Batticaloa, Batticaloa","1,500,000","Land at Katpanai kulam, Aithyamalai area - 2 acres upland with small house. there are coconut, cashew, banana and citrus trees. Total price Rs 15 lacks (price negotiable)","Katpanai kulam, Manipuram, Aithyamalai",Other,2.0 acres
13,Land for Sale - Batticaloa, 9 Jul  8:13 pm,"Batticaloa, Batticaloa","700,000",land for sale at batticaloa townoriginal deed landAll documents clear Bank lorn facility available Back for thandavanveli.Quick sale,"Commercial, Residential",15.0 perches,
14,Beach Front Land for Sale in Kalkuda Bay,23 Jul  9:24 am,"Batticaloa, Batticaloa","60,000,000",Beachfront square land for Sale in Kalkudah bay,Kalkudah bay,"Agricultural, Commercial, Residential, Other",7.0 acres
15,Beach Land in - Kayankerni,30 Jun  2:16 pm,"Batticaloa, Batticaloa","9,000,000",Beautiful Beach Land in Kayankerni .Very Clear Title Deeds.. only 40k a Perch..,Other,1.5 acres,
16,Land for Sale - Batticaloa,29 Jun  2:11 pm,"Batticaloa, Batticaloa","350,000","Location: Kalaimagal Cross Road, Nochchimunai, Batticaloa (200 meters from the New Kalmunai-Batticaloa Road)","Kalaimagal Cross Road, Nochchimunai, Batticaloa",Residential,15.0 perches
