,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land for Sale In - Athurugiriya, 7 Jul  4:59 pm,"Athurugiriya, Colombo","2,500,000",Godagama Meegoda High Level Bus Parata Nudurin Me Land Pihita Aetha .Amathanna.,"NO-123 ,BOMUNUWA ,VIA NITTAMBUWA",Residential,10.0 perches
2,"['Land for Sale In - Athurugiriya', ' 7 Jul  4:59 pm', 'Athurugiriya, Colombo', '2,500,000', 'Godagama Meegoda High Level Bus Parata Nudurin Me Land Pihita Aetha .Amathanna.', 'NO-123 ,BOMUNUWA ,VIA NITTAMBUWA', 'Residential', '10.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,20 Perch Land for Sale in Habarakada,17 Jul  5:47 pm,"Athurugiriya, Colombo","350,000",20 perch land for sale in Habarakada300m to habarakada juntion100m to main roadGood residential area 10 or 6 perch also can consider.Good residential area Quick saleOwner will migrate Pls call,Residential,20.0 perches,
4,Land|plot 14|for sale|Athurugiriya,18 Jul  2:12 pm,"Athurugiriya, Colombo","3,500,000","Athurugiriya Junction.1.7km to Athurugiriya Highway interchange.2.5km to Athurugiriya Junction.2km to  Rukmale Junction4.5km to  Kottawa Junction.• Pipe-borne Water• Drain System• Three Phase ElectricityPay Rs.100,000/- and reserve a block.Pay the full amount within 7 days and get a special discount.",Pore Athurugiriya,Residential,7.0 perches
5,Land for Sale Athurugiriya,21 Jul  8:48 pm,"Athurugiriya, Colombo","525,000",30 feet wide road good neighbourhood carm and quite location 600 metres to main road and ,paradis city housing scheme,Residential,6.0 perches
6,Land for sale in Athurugiriya,21 Jul  9:39 am,"Athurugiriya, Colombo","22,500,000","About 3km to Habarakada Junction. Calm and Highly residential area. There is a single story house. 4 bedrooms, 2 bathrooms.Tiled, large living area. One boundary line is facing to the greenish paddy field. well water, mainline electricity. Ideal for Eco village or wedding/reception hall. One of the best location who needs to spend a peaceful, calm and resting life. very good future investment, highly developing area.BERYL will provide you personalized, trust worthy service at all the time.",Athurugiriya - Habarakada,Residential,70.0 perches
7,Land for Sale in - Ranala,21 Jul  7:17 am,"Athurugiriya, Colombo","117,000",මීගොඩ පිටකොටුව 190 බස් පාරේ හබරකඩ  හන්දියේ සිට කිලෝ මීටර් 3ක් දුරින් 698 හෝමාගම කඩුවෙල බස් මාර්ගය ට  ආසන්න ව   පර්චස් 6 ක අගනා ඉඩමක් මුදල් හදිස්සියකට වහාම විකිනීමට පර්චසය රුපියල් 195 000.අමතන්න 0775507944,"Habarakada, Ranala","Agricultural, Commercial, Residential",6.0 perches
8,10.5 Perch Land for Sale in Habarakada,20 Jul 10:20 pm,"Athurugiriya, Colombo","390,000",10.5 perch land for sale in Habarakada. 100m to main road300m to 190 bus rootGood residential area Pls call for more details,Residential,10.5 perches,
9,Land for Sale 14.5p Ransiri Uyana (Athurugiriya-Kaduwela),20 Jul  5:31 pm,"Athurugiriya, Colombo","6,525,000","Total Land 14.5 PPer Perch Rs 450,000/=5.9Km to Kaduwela Town and 5.3Km to Athurugiriya Clock Tower.If travel by Vehicle: Athurugiriya Clock Tower > Galwarusawa Road > Ransiri Uyana > Land (5.3Km)If travel by Bus (697 bus route Homagama-Kaduwela): Athurugiriya > Ambagaha Junction > Ransiri Uyana > Land (7.3Km)Clear deed, Bought from The Finance Co PLC, recently measured the land.","Ransiri Uyana, Horaketiya Road, Kaduwela",Residential,14.5 perches
10,Nice Rare 7.9 Perch Land near Athurugiriya Town,20 Jul  1:14 am,"Athurugiriya, Colombo","5,800,000","Very rare land200 Metres to TownPrice is less than market value (Above 850 per perch)Close to  Shops, Towns, Supermarkets, Buses20 Feet  Road  Private RoadLand is mostly rectangle  in shapeSelling Urgently, due to a personal matterNo Brokers plsOnly asking Rs. 5.8 Million, value 7 Million",Athurugiriya mear Town,Residential,7.9 perches
11,Bare Land for Sale in Athurugiriya [LS34],19 Jul  2:55 pm,"Athurugiriya, Colombo","495,000","Highlights- Land extent: 12 Perches- Property is located on a lane off Kaduwela - Athurugiriya Road, Oruwala, Athurugiriya.- The property is approx. 50 meters from Kaduwela - Athurugiriya Road. - The property is approx. 1 km from Millennium City Junction. ","Kaduwela - Athurugiriya Road, Oruwala, Athurugiriya",Residential,12.0 perches
12,Land|plot 22|for sale|Athurugiriya,18 Jul  2:55 pm,"Athurugiriya, Colombo","525,000","Athurugiriya Junction.1.7km to Athurugiriya Highway interchange.2.5km to Athurugiriya Junction.2km to  Rukmale Junction4.5km to  Kottawa Junction.• Pipe-borne Water• Drain System• Three Phase ElectricityPay Rs.100,000/- and reserve a block.Pay the full amount within 7 days and get a special discount.",Pore Athurugiriya,Residential,7.0 perches
13,Land|plot 12|for sale|Athurugiriya,18 Jul  2:02 pm,"Athurugiriya, Colombo","530,000","Athurugiriya Junction.1.7km to Athurugiriya Highway interchange.2.5km to Athurugiriya Junction.2km to  Rukmale Junction4.5km to  Kottawa Junction.• Pipe-borne Water• Drain System• Three Phase ElectricityPay Rs.100,000/- and reserve a block.Pay the full amount within 7 days and get a special discount.",Pore Athurugiriya,Residential,7.45 perches
14,Land|plot 18|for sale|Athurugiriya,18 Jul 12:59 pm,"Athurugiriya, Colombo","540,000","Athurugiriya Junction.1.7km to Athurugiriya Highway interchange.2.5km to Athurugiriya Junction.2km to  Rukmale Junction4.5km to  Kottawa Junction.• Pipe-borne Water• Drain System• Three Phase ElectricityPay Rs.100,000/- and reserve a block.Pay the full amount within 7 days and get a special discount.",Pore Athurugiriya,Residential,7.75 perches
15,Land|plot 17|for sale|Athurugiriya,18 Jul 12:14 pm,"Athurugiriya, Colombo","535,000","Athurugiriya Junction.1.7km to Athurugiriya Highway interchange.2.5km to Athurugiriya Junction.2km to  Rukmale Junction4.5km to  Kottawa Junction.• Pipe-borne Water• Drain System• Three Phase ElectricityPay Rs.100,000/- and reserve a block.Pay the full amount within 7 days and get a special discount.",Pore Athurugiriya,Residential,7.4 perches
16,Land for Sale in Panagoda,18 Jul 12:11 pm,"Athurugiriya, Colombo","3,000,000","18.5 perches land for sale in walpita road, panagoda 1km to hanwella homagama bus route( 293)clear deedsgood residential area",walpita road,Residential,18.5 perches
