,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Land type:,Land size:,
1,Land with House For Sale In Battaramulla,11 Jul  3:02 am,"Battaramulla, Colombo","34,500,000","15.3 perch land with two story house for sale located in a prime location. Facing the wickramasinghepura (ITN) main road, less than 400m to pannipitiya main road, close proximity to Thalawathugoda junction where all banks,supermarkets,hospitals and schools within reach. Location at its best for residential/semi-commercial investment. Convenient access from the main road and the lane. Selling for the land value only with a two story 3000sqft house consisting of 4bed rooms,3bathrooms, 2 living areas,kitchen and car porch. Absolutely clear titles.An opportunity not to be missed. Call for more information and inspection.","Commercial, Residential",15.3 perches,
2,"['Land with House For Sale In Battaramulla', '11 Jul  3:02 am', 'Battaramulla, Colombo', '34,500,000', '15.3 perch land with two story house for sale located in a prime location. Facing the wickramasinghepura (ITN) main road, less than 400m to pannipitiya main road, close proximity to Thalawathugoda junction where all banks,supermarkets,hospitals and schools within reach. Location at its best for residential/semi-commercial investment. Convenient access from the main road and the lane. Selling for the land value only with a two story 3000sqft house consisting of 4bed rooms,3bathrooms, 2 living areas,kitchen and car porch. Absolutely clear titles.An opportunity not to be missed. Call for more information and inspection.', 'Commercial, Residential', '15.3 perches']","['title', 'posted date', 'location', 'price', 'description', 'Land type:', 'Land size:']",,,,,,
3,Land for Sale Battaramulla,12 Jul  3:36 pm,"Battaramulla, Colombo","2,100,000","Good Residential Property in UDUMULLA Road. (Acces through Subathipura road and BOGAHENA ROAD), BattaramullaPeaceful surrounding, Good Neighborhood500 Mtrs to Main Road500 Mtrs to Battaramulla Junction300 Mtrs to ID & Pastport Office  20 feet wide road access50 feet road frontageLand extent – 8 perchesTotal Price Rs. 16.8 MLongtitude",goo.gl/maps/uHkgQfEAt3ZRFFCQA ; Udumulla Road,Residential,8.0 perches
4,Land For Sale at Battaramulla,27 May 10:52 am,"Battaramulla, Colombo","12,500,000",Land For Sale at BattaramullaNEAR ITNBARE LAND10.5 PERCHES125 LAKS  💠 Very Use Full for ResidentHighly residential area and very calm surrounding.   For Quickly Sell☎ Call for More Details.,L-BATTARAMULLA-04,Residential,10.5 perches
5,Land for Sale in - Pelawatta,13 Jul 10:45 am,"Battaramulla, Colombo","1,600,000","7 perches on Lake road in a peaceful, well secured and decent neighborhood. close proximity to new defense forces HQ, 2.5 Kms from Pelawatta junction. Approved building plan available if interested.",Lake road,Residential,7.0 perches
6,Land for Sale in Pelawatta,22 Jul 10:05 am,"Battaramulla, Colombo","2,600,000","+ For Immediate sale+ Good Residential Property in Pelawatta+ Peaceful surrounding, Good Neighborhood+ Easy Access to Main Road+ Genuine buyers are welcome",Pelawatta,"Residential, Other",19.55 perches
7,Commercial Land for Sale Battaramulla,22 Jul  1:08 am,"Battaramulla, Colombo","5,000,000",Battaramulla land 47.50 perhes with  large House  facing Pannipiitiya  Road 70 metres From Battaramulla Junction  5million  per perch negotiable IDEAL FOR COMMERCIAL BUILDINGS or APARTMENT COMPLEX,Battaramulla Pannipiitiya Road,Commercial,47.5 perches
8,Super land with an old house for sale only value price pelawatta,21 Jul 10:26 pm,"Battaramulla, Colombo","3,500,000",200m to main pelawatta junction 20ft rd facing superb land with an old house 13.5.perches land square land high land natural soil. Highly residential area 500m to parliament very close to battaramulla Colombo Rajagiriya all government departments and offices are very close price 3500000.per perch genuine buyers well come appointments,Battaramulla pelawatta,Residential,13.5 perches
9,Land for sale in Battaramulla,21 Jul  3:54 pm,"Battaramulla, Colombo","2,000,000",Good Residential Property in Pelawatte - BattaramullaLocated in Chandrika Lake Road,"Lake Road, Pelawatte, Battaramulla","Commercial, Residential, Other",17.3 perches
10,Land for sale in Battaramulla,20 Jul 12:10 pm,"Battaramulla, Colombo","4,600,000",Good Residential property in Jayanthipura - BattaramullaLocated in Bodhiraja Mawatha,"Bodhiraja Mawatha, Jayanthipura - Battaramulla","Residential, Other",16.5 perches
11,Land for Sale - Pelawatta,20 Jul  8:17 am,"Battaramulla, Colombo","1,200,000","බත්තරමුල්ල තලවතුගොඩ නගරයන්ට පහසුවෙන් ලඟාවිය හැකි , පැලවත්ත නගරයට නුදුරින් අඩි 20 පළල පාරකට මුහුණලා නලජලය ,විදුලිය සහිත පර් 7.8 බිම්කොටස විකිණීමට .පදිංචියට , ආයෝජනයට කදිමයි .බැංකු ණය ලබාගත හැක .",Residential,7.8 perches,
12,Land in Pelawatta Kumaragewatta for Sale,20 Jul  5:51 am,"Battaramulla, Colombo","2,300,000","Land in Pelawatta, Kumaragewatta Rd, Saman Uyana, Highly Residential Neighborhood * Land extent is 14.5 P* Half built solid house designed by a well known Architect with approved documents if you   wish to continue as it is. * 20 feet rd access * High end well developed neighborhood * 1 km TO PALAWATTA JUNCTION, EASY ACCESS TO MANY SUPER MARKETS -    SPAR, ARPICO, FOOD CITY, * MANY EATERIES CLOSE BY EX KFC, QUICK THAI, PIZZA, CHINESE DRAGON, * * OASIS PRIVATE SCHOOL,  JOGGING TRACKS, * 800M TO THALAWATHUGODA HEMAS HOSPITAL, AND 2KM TO BATTARAMULLA. (COLOMBO MUNICIPALITY COUNCIL) * ASKING PRICE 2.3M PER PERCH (LAND VALUE)  NEGOTIABLE","Pelawatta, Kumaragewatta",Residential,14.5 perches
13,"Land for Sale in Pelawatta,jayanthi Mw",19 Jul  8:55 pm,"Battaramulla, Colombo","4,200,000","Land for sale in pelawatta junction high residential and commercial area 60m pelawatta junction 60m to parliament road20ft roadBank,Supermarkets,hospital,schools,walking path are very close----------------------------------------------බත්තරමුල්ල පැලවත්ත විජිතපුර ජයන්ති මාවතේ හිස් ඉඩම විකිනීමට.පාර්ලිමේන්තු පාරේ සිට තුන්වන ඉඩම. පාර්ලිමේන්තු පාරට මීටර් 60යි.ඉහල වැදගත් නේවාසික ප්‍රදේශයකි.සියලූම බැංකුව,සුපිරි වෙළෙඳසල්,රෝහල්,පාසැල්,රජයේ කාර්‍යාල,අවිදින මන්තීරු ඇතුළු සියලු පහසුකම් ඇවිදින දුරින්.පර්චස් 12යිඅඩි20 පාරපර්චස් 1ක් ලක්‍ෂ 42යි","pelawatta,jayanthi Mw","Commercial, Residential",12.0 perches
