,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land for Sale - Papiliyana,17 Jul 12:22 pm,"Boralesgamuwa, Colombo","2,150,000","පැපිලියාන මංසන්දියට ආසන්නව හික්ගහවත්ත පාරේ,සියලු පහසුකම් සහිත 7.3 perch අගනා බිම් කොටස විකිනීමට ","Hikgahawatta Road,Papiliyana.",Residential,7.3 perches
2,"['Land for Sale - Papiliyana', '17 Jul 12:22 pm', 'Boralesgamuwa, Colombo', '2,150,000', 'පැපිලියාන මංසන්දියට ආසන්නව හික්ගහවත්ත පාරේ,සියලු පහසුකම් සහිත 7.3 perch අගනා බිම් කොටස විකිනීමට ', 'Hikgahawatta Road,Papiliyana.', 'Residential', '7.3 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land for Sale in Boralesgamuwa,14 Jul  7:26 am,"Boralesgamuwa, Colombo","1,400,000",LAND with Private Access to BORALESGAMUWA - LAKE & WALKING TRACK ,"Commercial, Residential",25.0 perches,
4,Land with House for Sale - Boralesgamuwa,13 Jul  4:05 pm,"Boralesgamuwa, Colombo","13,500,000","තනි තට්ටුවක නිවසක් සහිත පර්චස් 8.6ක හරි හතරැස් ඉඩමක් විකිනීමට ඇත.ශ්‍රී ජයවර්ධනපුර විශ්වවිද්‍යාලය නුදුරින් හා 138 ප්‍රධාන බස් මාර්ගයට 1 km හා 119 බස් මාර්ගයට 800 m දුරින් පවතින නිසා පහසුවෙන් ලගාව්මට හැකියාව ඇත. බොරලැස්ගමුව, මහරගම, නුගේගොඩ යන ප්‍රදාන නගර 3නටම පහසුවෙන් යාමට හැකිය පවතින නිසා එදිනෙදා කටයුතු පහසුවෙන් ඔබට කරගැනීමට හැකියාව ඇත.සියලුම බැංකු විජේරාම මංසන්දියේ හා ඊට ආසන්නව ඇති නිසා බැංකු පහසුකම් හා අනිකුත් දෑ  ඔබට පහසුවෙන් කරගැනීමට හැකියාව ඇත.ජලය හා ව්දුලිය ද සහිත හරි හතරැස් ඉඩමක්. ( ශිෂ්‍ය නේවාසිකාගාරයක් තැනීම සදහා වඩාත් යෝග්‍ය වේ )","162/ 4B, 3 වන පටුමග, එගොඩවත්ත, බොරලැස්ගමුව",Residential,8.6 perches
5,07P LAND FOR SALE IN BORALESGAMUWA,22 Jul  2:21 am,"Boralesgamuwa, Colombo","7,700,000",BORARESGAMUWA 7P LAND  FOR SALE.(ABERATHNA MAWTHA),"Aberathna Mawatha,Boralesgamuwa",Residential,7.0 perches
6,Residential 10P land Sale Boraresgamuwa,21 Jul  9:29 am,"Boralesgamuwa, Colombo","15,000,000",Residential 10P land Sale in Boraresgamuwa ---------------------------------*1 Km To Boraresgamuwa Town *300merts to 119 bus Route Dehiwala-Maharagama,300merts to 119 bus Route Dehiwala-Maharagama Boraresgamuwa,Residential,10.0 perches
7,Land for Sale in - Boralesgamuwa,20 Jul  4:48 pm,"Boralesgamuwa, Colombo","7,437,500","1.2 km to Werahera junction and 2 km to Boralasgamuwa 1 perch Rs 875000. Peaceful residential area. 74, Peris Mawatha, Gangarama Rd, BoralesgamuwaClear deeds and can arrange document for bank loan","74, Peris Mawatha, Gangarama Rd, Boralesgamuwa",Residential,8.5 perches
8,Land for sale in Boralesgamuwa,20 Jul  1:11 pm,"Boralesgamuwa, Colombo","12,200,000",A 7 perches land for sale in Boralesgamuwa. just 150m to 119 main bus route.The land facing to 20ft wide carpeted road.Highly residential and peaceful area.,Residential,7.0 perches,
9,Land for Sale - Boralesgamuwa,20 Jul 11:27 am,"Boralesgamuwa, Colombo","1,000,000",1 perch 10 Lakhs (negotiable)Clear deeds Peaceful environmentRespectable and safe residential area1.2 Km from Werahera junction,"Werahera, Boralesgamuwa",Residential,9.0 perches
