,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Land type:,Land size:,
1,Land | for Sale in Colombo 3 - MCP P657,19 Jul  8:02 pm,"Colombo 3, Colombo","20,000,000",6 and 11 perch lots.This Land is located in Marine drive Colombo 3.Close to the Bambalapitiya railway station.,Commercial,17.0 perches,
2,"['Land | for Sale in Colombo 3 - MCP P657', '19 Jul  8:02 pm', 'Colombo 3, Colombo', '20,000,000', '6 and 11 perch lots.This Land is located in Marine drive Colombo 3.Close to the Bambalapitiya railway station.', 'Commercial', '17.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Land type:', 'Land size:']",,,,,,
3,16 P BARE LAND SALE COL 03,18 Jul  1:14 pm,"Colombo 3, Colombo","18,000,000",Rs 18000000.00 LAKHSPER PERCH,ALFERED AVENUE COL 03,"Commercial, Residential",16.0 perches
4,11P Commercial Bare Land For Sale - Colombo 03,17 Jul  2:13 pm,"Colombo 3, Colombo","20,500,000",Rs. 20500000 PER PERCHnegotiable,Walukarama Road,"Commercial, Residential, Other",11.0 perches
5,Land for sale in Pelawatta Battaramulla,16 Jul  1:04 pm,"Colombo 3, Colombo","2,000,000",Good Residential Land in Pelawatta - BattaramullaLocated on private road off  Kumaragewatta Road,"Kumaragewatta,Pelawatta, Battaramulla","Residential, Other",20.0 perches
6,Colombo 3 Land for Sale - LL685-C,15 Jul  7:52 pm,"Colombo 3, Colombo","20,500,000","11 perch land in Walukarama road, Kolpiity, Colombo o3.",Residential,11.0 perches,
7,Colombo 3 Land for Sale - LL685-C,15 Jul  7:53 pm,"Colombo 3, Colombo","20,500,000","11 perch land in Walukarama road, Kolpiity, Colombo o3.",Residential,11.0 perches,
8,Commercial Land for sale in Dehiwala,15 Jul  2:36 pm,"Colombo 3, Colombo","6,000,000",Located on Waidya Road - Dehiwala,Waidya Road Dehiwala,"Commercial, Residential, Other",25.0 perches
9,Land for Sale in - Kandana,14 Jul 11:16 am,"Colombo 3, Colombo","8,500,000",Land with Boundary WallCall for More Details,"Church Road, Holy Family Avenue, Kandana",Residential,12.0 perches
10,Land for Sale at Colombo-03,13 Jul 11:39 am,"Colombo 3, Colombo","1,300,000",13 MILLION PER PERCH20 FEET ROAD,Residential,20.0 perches,
11,Colombo 3 Land | for Sale - LL685-B,12 Jul 10:55 pm,"Colombo 3, Colombo","57,000,000","6 perch land with old building at School lane, Colombo 3.",Residential,6.0 perches,
12,Commercial Land for Sale in Colombo - 03,10 Jul  7:29 pm,"Colombo 3, Colombo","20,000,000",Located on Galle Road - Colombo 3Suitable for Commercial ventures,Galle Road,"Agricultural, Commercial, Residential, Other",53.0 perches
13,Land for Sale Colombo 3,10 Jul  9:39 am,"Colombo 3, Colombo","15,000,000",Land for sale  kollupitiya 11.5 perches per perch 15 million please no brokers,galle road colombo 3,"Commercial, Residential",11.5 perches
14,Kaduwela Commercial Land for Sale, 8 Jul  4:20 pm,"Colombo 3, Colombo","33,000,000","KADUWELA COMMERCIAL LAND FOR SALE - DISCOUNTED PRICE$184,000Battaramulla",Kaduwela,"Commercial, Residential",60.0 perches
