,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land for Sale - Ratmalana,18 Jul 11:33 am,"Dehiwala, Colombo","1,700,000","Near 192 & 117 Bus RouteFlat Bare LandClose to colombo airportclear documentscan be use warehouse, office, yard, small apartment or personal usevaluable land","Katukurunda watte, Rathmalana","Commercial, Residential",54.0 perches
2,"['Land for Sale - Ratmalana', '18 Jul 11:33 am', 'Dehiwala, Colombo', '1,700,000', 'Near 192 & 117 Bus RouteFlat Bare LandClose to colombo airportclear documentscan be use warehouse, office, yard, small apartment or personal usevaluable land', 'Katukurunda watte, Rathmalana', 'Commercial, Residential', '54.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,22 Perches Land for Sale in Dehiwala,12 Jun  7:21 am,"Dehiwala, Colombo","2,600,000",Land for LUXURY RESIDENCES or APARTMENTS in DEHIWALA ,"Commercial, Residential",22.0 perches,
4,60 P Land Sale at Dehiwala,22 Jul 10:55 am,"Dehiwala, Colombo","10,000,000",Rs 10000000.00 LAKHS PER PERCH,FACING GALLE ROAD DEHWALA JUNCTION DEHIWALA,"Commercial, Residential",60.0 perches
5,Land For Sale - Dehiwala,22 Jul  8:33 am,"Dehiwala, Colombo","3,200,000",Land for Sale - Pallidora Road DehiwelaNo Brokers Please,Residential,11.5 perches,
6,27.55P Land for Sale in Dehiwala,21 Jul  7:35 pm,"Dehiwala, Colombo","123,975,000",•Our Reference No. SL 9495(Please quote this reference number when inquiring.)	,Dehiwala,"Commercial, Residential",27.55 perches
7,Land for Sale - Dehiwala,21 Jul  1:23 pm,"Dehiwala, Colombo","2,800,000",Land for sale waidya Road dehiwala 14.85 perches per Perch 28 lakh immediately sale please no brokers,waidya road dehiwala,Residential,14.85 perches
8,Land for Sale in Dehiwala,21 Jul 11:04 am,"Dehiwala, Colombo","3,000,000",very good living area 300 meter to cory road 900 meter to galle road,robet road dehiwala,Residential,53.0 perches
9,17 P Bare Land for Sale - Papiliyana,21 Jul  9:35 am,"Dehiwala, Colombo","2,400,000","17 PERCHES BEARE LAND  FOR SALE ( SQUARE BLOCK ) 70 FEET FRONTAGE WITH 60 FEET LONG ) CLOSE TO DEHIWALA PAPILIYANA MAIN ROAD, WITH ALL FACILITIES, 20 MINUTES DRIVE TO DEHIWALA JUNCTION,  NUGEGODA, KOHUWALA, 20 MINUTES DRIVE TO HIGHWAY, SUPER MARKET'S, SCHOOLS, BANK'S, MEDICAL CENTER, RELIGIOUS PLACES, RESTAURANT ECT......",DEHIWALA PAPILIYANA,Residential,17.0 perches
10,17.64 P Land with Property Sale Dehiwala,21 Jul 11:54 am,"Dehiwala, Colombo","4,975,000",Rs 4975000.00 LAKHS per perchNegotiable,FACING INITIUM ROAD / 50 METERS TO GALLE ROAD DEHIWALA,"Commercial, Residential",17.64 perches
11,Residential Land for sale - Dehiwala,20 Jul 10:07 am,"Dehiwala, Colombo","3,000,000,000",3million per perch with old house,Dehiwala station road,Residential,8.0 perches
12,14P Land In Dehiwala,20 Jul  7:38 am,"Dehiwala, Colombo","1,800,000",Vijitha Road nedimala square blocks 14 birch 12 feet road facing close to nedimala main road high residential area per Perch 18lacks,vijita road nedimala,Residential,14.0 perches
