,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Land type:,Land size:,
1,Residential Land for Sale at Meegoda,22 Jul  2:03 am,"Homagama, Colombo","675,000",Good Residential Land for sale immediately.Clear 'බිම් සවිය' deed.135 meters from 125 bus route ( Close to Ayurveda Hospital)6.75 lakhs per perch.Negotiable,Residential,13.4 perches,
2,"['Residential Land for Sale at Meegoda', '22 Jul  2:03 am', 'Homagama, Colombo', '675,000', ""Good Residential Land for sale immediately.Clear 'බිම් සවිය' deed.135 meters from 125 bus route ( Close to Ayurveda Hospital)6.75 lakhs per perch.Negotiable"", 'Residential', '13.4 perches']","['title', 'posted date', 'location', 'price', 'description', 'Land type:', 'Land size:']",,,,,,
3,Land for Sale Homagama - Godagama,13 Jul  3:41 pm,"Homagama, Colombo","170,000","Land location 300m from Jayamuthugama Junction. 1.5km away from Wataraka station and Padukka 120bus route. Facing a paddy field, peaceful environment, 20p land bank approved clear deeds made into two 10p blocks, for sale.","Residential, Other",20.0 perches,
4,Land facing Main Road Homagama,16 Jul  4:42 pm,"Homagama, Colombo","9,800,000","10.90 perches commercially valued Land in Maharagama Urban area for sale.75m from Homagama Base Hospital towards Kottawa 128 bus route. (Near hospital Car Parks & opposite of sold Land plots)Government valuation is 134 Lakhs. 10.90p divided by Court Order.Price can be negotiated on inspection.Railway stations, Highway entrance, Schools, Highlevel road (1km) and all facilities in close proximity & highly developing area. Old house ; 2 rooms, small kitchen, bathroom, living. No tiles and ceiling, can use for business purposes.Inspection on prior appointment.",Kottawa - Galawila road,Commercial,10.9 perches
5,Land for Sale in Kesbewa,22 Jul  1:29 pm,"Homagama, Colombo","750,000",Land for sale in Kesbewa,Kesbewa,"Commercial, Residential",44.0 perches
6,Land for Sale in Ashglade,22 Jul  1:07 pm,"Homagama, Colombo","415,000","280 ප්‍රධාන මර්ගයට මූනල අගනා ව්‍යපාරික හා නේවාසික බිම් කොටස්.පහසු ගෙවිම් සමගින්, මුලික ගෙවිම 580000,,",kiriwaththuduwa,"Commercial, Residential",7.0 perches
7,Land for Sale in Kottawa - Homagama Town,15 Jul  1:34 pm,"Homagama, Colombo","880,000",Land In kottawaNear Highway Transport HUB400m to High Level RoadGated ,Residential,7.0 perches,
8,Land for Sale - Habarakada,21 Jul  9:55 pm,"Homagama, Colombo","4,100,000",Land for sale Habarakadabare land for sale9 perches800 M to Habarakada junction600 M to Main rd ( 190 bus root )3 KM to Athurugiriya town2.5 KM to Homagama,"Samupakara mawatha, Habarakada",Residential,9.0 perches
9,"Land for Sale Homagama, Kottawa", 5 Jul  2:50 pm,"Homagama, Colombo","435,000","* මොරටුව ඉංජිනේරු පීඨයට අාසන්නව* මහින්ද රාජපක්ෂ ක්‍රීඩා සංකීර්ණය අසල* NDT තාකෂණික පීඨය අසල* හෝමාගම නගරයට විනාඩි 5ක් සහ කොට්ටාව නගරයට විනාඩි 10යි.* NSBM හරිත සරසවියට, මහින්ද රාජපක්ෂ විද්‍යාලයෙ, තාක්ෂණ නගරයට අාසන්නව* කොට්ටාව හා කහතුඩුව අධිවේගී පිවිසුම් දෙකට ඉක්මනින් ලගාවිය හැකි දුර* මත්තෙගොඩ නිවාස සංකීර්ණයට විනාඩි 5යි.* සුපිරි වෙළද සැල්, බැංකු, පුළුල් මංමාවත්, නල ජලය, තෙකලා විදුලිය, සියළුම 4G අාවරණය, පිරිසිදු ප්‍රථම පන්තියේ හිමිකම් ඔප්පු, සුන්දර සාමකාමී පරිසරයක්.* සියළුම නවීන පහසුකම් සපිරි පරිසරයක්.* මහරගම හොරණ මාර්ගයට මී. 500* 128 කොට්ටාව තලගල මාර්ගයට අැවිදින දුර.* පර්චස් 6.3, 6.4, 6.5, 7, 7.8, 8 බිම් කොටස්* 435,000/= සිට ඉහලට","Commercial, Residential, Other",6.5 perches,
10,හෝමාගම - හල්බරාව බිම් කොටස් විකිණීමට.., 7 Jul  3:32 pm,"Homagama, Colombo","1,300,000","හෝමාගම - හල්බරාව 366 බස් පාරට 100m. නල ජලය ,විදුලිය ,පහසු ගෙවීමේ ක්‍රම ,බැංකු ණය පහසුකම් සහිත වෙල අද්දර නිස්කලංක පරිසරයක පිහිටි අගනා තැනිතලා බිම් කොටස්.. මුලික ගෙවීම ලක්ෂ 5යි. බිම් කොටසම ලක්ෂ 13 සිට..",හෝමාගම,Residential,6.0 perches
11,Land For sale in Meegoda,18 Jun  8:53 am,"Homagama, Colombo","290,000",Land For sale in Meegoda====================#    NSBM හරිත විශ්ව විද්‍යාලයට කිලෝමීටර් 1 යි#    මහින්ද රාජපක්ෂ විද්‍යාලයට කිලෝමීටර් 1 යි#    ප්‍රධාන පාරට මුහුණලා ඇත.#    ජල විදුලිය සහිතයි#    නිවසක් සෑදීම සදහා ප්ලෑන් සහ ඉඩම ප්‍රාදේශීය සභාවේ අනුමත කර ඇත.#    බැංකු ණය ගැනීමට හැක.,"Godagama, Meegoda",Residential,12.0 perches
12,Land For Sale - Homagama,19 Jul  2:16 pm,"Homagama, Colombo","475,000",හෝමාගම පිටිපන ඉතා අගනා බිම්කොටස් විකිණිමට -----------------------------------------------------------------------------------------------------------------මුළු ඉඩමම පර්චස් 26ම හෝ පර්චස් 8 හෝ 10 යේ කොටස්  වශයෙන්  මිලදීගත හැක.-----------------------------------------------------------------------------------------------------------------NSBM හරිත සරසවි නගරයට මීටර 800යි මහින්ද රාජපක්ෂ ජාතික පාසලට මීටර 700යි ,"Homagama , Pitipana","Commercial, Residential",26.0 perches
13,Pitipana Paddy facing land, 6 Jul 11:37 am,"Homagama, Colombo","450,000","හෝමාගම - පිටිපන සියලුම පහසුකම් සහිත නේවාසික බිම් කොටස් විකිණීමට පර්චසය රුපියල් 450,000 සිට","Moragahahena- Pitipana Road, Pitipana south, Homagama",Residential,10.0 perches
14,Residential Land for Sale at Meegoda,22 Jul  2:03 am,"Homagama, Colombo","675,000",Good Residential Land for sale immediately.Clear 'බිම් සවිය' deed.135 meters from 125 bus route ( Close to Ayurveda Hospital)6.75 lakhs per perch.Negotiable,Residential,13.4 perches,
15,"Land for Sale in Homagama, Godagama",12 Jul  6:33 pm,"Homagama, Colombo","360,000","හෝමාගම, ගොඩගම හයිලෙවෙල් පාරට දුර 700 m යි. ගොඩගම හන්දිය පෙනෙන දුරින්.(ඇවිදින දුරින්) හතරැස් තැනිතලා පර්චස් 10 කි.","Homagama, Godagama","Commercial, Residential, Other",10.0 perches
16,Land for Sale in - Welipillawa,21 Jul  5:48 pm,"Homagama, Colombo","43,000,000","Flat Land cultivated with Thambili, Coconut, Jack and other Fruit trees. 02.4 Km from Panagoda 190 Main Bus Route, 04 Km from Low Level Road (143 Bus Route) , 08 Km to Athurigiriya Highway entrance, 04.2 Km to High Level Road. Located in close proximity to the Industrial Zone @ Leyland Junction. 03 Bedroom House (approx. 1,100 Sqft). 15 Ft Carpet road access. Clear Title Deeds. Interested Buyers only. No Brokers Please.",Residential,187.23 perches,
17,Land for Sale in - Meegoda,21 Jul  3:35 pm,"Homagama, Colombo","285,000","Land For Sale ===========#     පිරිසිදු ඔප්පු#    මීගොඩ ආයුර්වේද රෝහලට , 125 සහ 190 බස් මාර්ග වලට මීටර් 900 යි.#    NSBM විශ්ව විද්‍යාලයට කිලෝමීටර් 3යි#    මහින්ද රාජපක්ෂ විද්‍යාලයට 2.5 යි#    හෝමාගම නගරයට කිලෝමීටර් 3.5 යි#    ජල, විදුලිය සමගින් සියළු පහසුකම් වලින් සමන්විතයි.","Puwakwatta, Meegoda.",Residential,10.5 perches
18,320 P Bare Land Sale Godagama,21 Jul  1:36 pm,"Homagama, Colombo","200,000",Rs 200000.00 LAKHSPER PERCH,GODAGAMA WATHTHA ROAD GODAGAMA HOMAGAMA,"Commercial, Residential",320.0 perches
19,"බටවල ,ගොඩගම ඉඩම විකිනීමට",20 Jul  3:48 pm,"Homagama, Colombo","850,000","අගනා ඉඩමකි. හයිලෙවල් පාරට කි.මි 3.3කිආටිගල මාවතේ ඇවිත් බටවල පාරින් හැරී කි.මි 1.4කි.බටවල කනිෂ්ඨ විද්‍යාලයේ සිට මිටර් 200.ජලය, විදුලිය , පුලුල් මාර්ග ප්‍රධාන කාර්පට් මාර්ගය ට මිටර් 100.වසර 3කට කලින් මිලදි ගත් මිලටමබෑවුමක් සහිත ඉඩමකි . ඉඩමම 8 ලක්ශ 50 දහසක් පමනි","බටවල, ගොඩගම,",Residential,8.15 perches
20,Land In Homagama,20 Jul  3:42 pm,"Homagama, Colombo","5,450,000",බස් පාරට 50mටවුන් එකට 500mඅධිවේගී පිවිසුමට 1.5 kmහෝමාගම දුම්රියපළට 800 km,"කටුවාන පාර, හෝමාගම",Residential,6.0 perches
21,Land for sale in Homagama,20 Jul  1:45 pm,"Homagama, Colombo","385,000",The land location is meegoda 20th mile post junction,meegoda,"Commercial, Residential",10.0 perches
22,Land for Sale at - Homagama,20 Jul 10:37 am,"Homagama, Colombo","625,000",10.53p Land for Sale at Mawathgama Road Homagama. Peaceful Residential Area. 1km Away from Pitipana Junction. Price Slighty Negotiable.,"Mawathgama Road, Homagama",Residential,10.53 perches
23,Best Land in Homagama,20 Jul  7:38 am,"Homagama, Colombo","325,000",හෝමගම පිටිපන NSBM හරිත සරසවියට සහ මහින්ද රජපක්ෂ විදුහලට ආසන්නයෙන් සුපිරි  බිම් කොටස් 129  ප්‍රධාන බස් පාරට නුදුරින්  පදින්චියට මෙන්ම ආයෝජනයට සරිලන නේවාසික කලාපයක්,pitipana homagama,Residential,7.8 perches
24,Land for Sale Pitipana Homagama,19 Jul  7:38 pm,"Homagama, Colombo","350,000","හය්ලෙවල් පරට නුදුරින් ,හෝමාගම පිටිපනින් සියළු පහසුකම් සහිත නේවාසික බිම් කොටස් විකිණිමට...  සුන්දර වට පිටාවක සැපෙන් දිවි ගෙවන්න අදම එන්න.. ","Homagama , Pitipana",Residential,8.0 perches
25,Land for Sale - Halbarawa Homagama,19 Jul  7:59 pm,"Homagama, Colombo","145,000",Land for sale - Homagama Halbarawa===================👉🏿 366 හල්බරාව හෝමාගම මාර්ගයට යාබදව පිහිටා ඇති පර්චස් 15 ඉඩම් කැබැල්ල විකිණීමට ඇත👉🏿 වටරැක දුම්රිය ස්ථානයට කි.මි. 4 ක් පමණ වේ👉🏿 ජලය විදුලිය සහ සියලු පහසුකම් සහිත නිදහස් නිස්කලංක ස්වාභාවික පරිසරයකි👉🏿 පැමිණ මිල ගණන් සාකච්චා කර ගත හැකිය.,"Halbarawa, Homagama","Commercial, Residential, Other",15.0 perches
