,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land for Sale in Kaduwela (korathota),10 Jul  4:32 pm,"Kaduwela, Colombo","425,000",කොරත‌ොට පන්සල අසල මී.500ක් දුරින්697 කඩුවෙල හෝමගම බස් මාර්ගයට මී.500සමතලා හතරැස් ඉඩමකිඅවශ්‍ය නම් පර්චස් 15ක් උවද ලබා ගත හැකගංවතුර තර්ජන නැත (2016 ඇතිවූ විශාලම ගංවතුරටවත් යට නොවූ ප්‍රදේශයකි)මිල ගණන් සාකච්ඡා කරගත හැක500m to Korathota temple500m to 697 Bus routSquare land.. no slopesNo floodingif you want we can give 15 perches total,Korathota - Kaduwela,Residential,8.0 perches
2,"['Land for Sale in Kaduwela (korathota)', '10 Jul  4:32 pm', 'Kaduwela, Colombo', '425,000', 'කොරත\u200cොට පන්සල අසල මී.500ක් දුරින්697 කඩුවෙල හෝමගම බස් මාර්ගයට මී.500සමතලා හතරැස් ඉඩමකිඅවශ්\u200dය නම් පර්චස් 15ක් උවද ලබා ගත හැකගංවතුර තර්ජන නැත (2016 ඇතිවූ විශාලම ගංවතුරටවත් යට නොවූ ප්\u200dරදේශයකි)මිල ගණන් සාකච්ඡා කරගත හැක500m to Korathota temple500m to 697 Bus routSquare land.. no slopesNo floodingif you want we can give 15 perches total', 'Korathota - Kaduwela', 'Residential', '8.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land for Sale in Kaduwela,22 Jul 12:37 pm,"Kaduwela, Colombo","280,000","Land for sale in kaduwela, korathota10.6 perchesPerfect Rectangular shape 3.5km to athurugiriya town","No: 56/B, Horapaya Estate, Korathota, Kaduwela, Home",Residential,10.0 perches
4,Land in Kaduwela,22 Jul  2:00 pm,"Kaduwela, Colombo","300,000","කඩුවෙල ඉඩමක් විකිණීමට✔ පර්චස් 16✔ කඩුවෙල නගරයට 5km✔ කොතලාවල අධිවේගී පිවිසුමට විනාඩි 10✔ නවගමුව දේවාලය හා රෝහල ආසන්නයේ ...✔ වට තාප්පය සහිතයි.✔ නිරවුල් ඔප්පු✔ වැඩි විස්තර සඳහා අමතන්න. 📱 ☎️✔ බ්‍රෝකර්වරු අනවශ්‍යයි.Land in Kaduwela✔ 16 Perchas✔ 5km to Kaduwela town✔ 10 minutes to Kothalawala highway entrance✔ Near to Nawagamuwa Dewalaya & hospital✔ Surrounded wall✔ Clear deed✔ Land, House, Hous, Nawagamuwa, Kaduwela✔ Contact for more details 📱 ☎️✔ No Brokers or time wasters. Genuine buyers only. ● ●● ●● ●● ● ● ●● ●● ●● ● ● ●● ●● ●● ●😁😁😁😁ඔබගේ දැන්වීම ගුණාත්මක භාවයෙන් යුක්තව ikman.lk වෙබ් අඩවියෙහිපල කරවා ගැනීමට අප සමග සම්බන්ධ වන්න.- විශ්වාසදායී සේවය- ඔබ කොතැන සිටියත් ඔබේ දැන්වීම පල කර ගැනීමේ හැකියාවඅප මගින් ඔබගේ දැන්වීම ඉතා ඉක්මණින් හා ගුණාත්මක භාවයෙන් යුතුව , සිංහල හෝ ඉංග්‍රිසි භාෂා වලින් පළ කර ගැනීමට අපව අමතන්න.Sanokma Mobile ( Viber / imo/ whatsapp )Ikman.lk බලය ලත් නියෝජිතඅපගේ විශ්වාසනීය බව තහවුරු කර/ ගැනීමට මෙම වෙබ් ලිපිනයෙන් පිවිසෙන්න.https://ikman.lk/en/shops/sellfast-sanokmaPrice can be negotiable","Hospital Road, Nawagamuwa",Residential,16.0 perches
5,Land for Sale in Kaduwela,22 Jul 12:37 pm,"Kaduwela, Colombo","280,000","Land for sale in kaduwela, korathota10.6 perchesPerfect Rectangular shape 3.5km to athurugiriya town","No: 56/B, Horapaya Estate, Korathota, Kaduwela, Home",Residential,10.0 perches
6,Exclusive Residential Land Plots - Kaduwela,19 Jul  5:53 pm,"Kaduwela, Colombo","310,000",Exclusive residential land plots Kaduwela - 697 Bus Route*Electricity (3 Phase)*water*clear deeds*Bank loan & Easy payment availableGuardian Lands (Pvt) Ltd.,Kaduwela - 697 Bus Route,Residential,10.0 perches
7,Best Land For Seal Lot 15 Athurugiriya,19 Jul  5:45 pm,"Kaduwela, Colombo","320,000","Athurugiriya - Grace Park“Grace Park” is located in Athurugiriya with easy Access Homagama Kaduwela 697 Main Bus Route and Access to Kothalawla  Highway Entrees  ,SLIIT Campus and  Nevile Fernando Hospital. 3 Phase electricity, Water, easy payment plans and Bank loan facilities available.*Electricity (3 Phase)*water*clear deeds*Bank loan & Easy payment available.Guardian Lands (Pvt) Ltd.",Athurugiriya To kaduwela 697 Bus route,Residential,6.5 perches
8,Land For Sale In Kaduwela,19 Jul  4:56 pm,"Kaduwela, Colombo","365,000","කඩුවෙල සිට යාකාල හන්දියට පැමිණ වැලිහිඳ පාරේ මීටර්  800ක් දුරින් පිහිටි ඉඩම.නිරවුල් ඔප්පු සහිතයි.නලජලය, තෙකලා විදුලිය, නගරසභා සිමාව.කඩුවෙල සිට ඉඩමට කිලෝමීටර් 02.කොතලාවල අධිවේගී පිවිසුමට විනාඩි 15.","Welihinda Road, Kaduwela.",Residential,8.25 perches
9,Land for Sale in Kaduwela Pahala Bomiriya,20 Jul  5:47 pm,"Kaduwela, Colombo","250,000","Valuable Land for Sale12 perch LandGood Residencial areaWater , Electricity2Km to Kaduwela junction500m to Hanwella, Colombo main road3Km to southern highway entranceCan negotiation after inspectionper perch Rs.250,000Please refer google location,,6°56'25.4""N 79°59'51.2""Ehttps://maps.google.com/?q=6.940381,79.997549","Bowila Garden, Bowila Road, Pahala Bomiriya",Residential,12.0 perches
