,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Sisaara Land / Kesbewa Plot 15,20 Jul  5:58 pm,"Kesbewa, Colombo","3,622,500","Land for sale in kesbewa thoranavila junction,facing to the Paddy field walking distance to the 162 main bus route, land with a all the facility , bank loan also can arrange, call us for more details.",Kesbewa Thoranavila Junction,Residential,6.3 perches
2,"['Sisaara Land / Kesbewa Plot 15', '20 Jul  5:58 pm', 'Kesbewa, Colombo', '3,622,500', 'Land for sale in kesbewa thoranavila junction,facing to the Paddy field walking distance to the 162 main bus route, land with a all the facility , bank loan also can arrange, call us for more details.', 'Kesbewa Thoranavila Junction', 'Residential', '6.3 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Commercial Land Jaburaliya,22 Jul  1:10 pm,"Kesbewa, Colombo","2,500,000",කොළඹ බණ්ඩාරගම ප්‍රධාන පාරට මුහුණලා ජඹුරලිය පර්චස් 10 ඉඩම මුලු ඉඩම ලක්ෂ 25 ව්‍යාපාරික ඉඩම නිරවුල් ඹප්පුඅනුමත ප්ලෑන්වාහන මාරුද සැලකේ.,colombo road Jabulariya,Commercial,10.0 perches
4,Land For Sale In Kahathuduwa,22 Jul 11:30 am,"Kesbewa, Colombo","380,000","කොළඹ හොරණ 120 පාරට 800 m කහතුඩුව අධිවේගි පිවිසුමට 2 Km. කහතුඩුව ප්‍රගති මාවතේ, සිතුමින උයනේ පර්චස් 10 ක, ඉඩම පර්චසය රු 380,000 /=  තාප්ප දෙකකින් වටවුණ මනරම් පරිසරයක තැනිතලා ඉඩම අතුරු පාරට මුහුණලා නේවාසික ව්‍යාපාරික ආයෝජනයකට වඩාත් සුදුසුය තෙකලා විදුලිය ,ජලය, දුරකථන, සියළු පහසුකම් සහිතයි .ණය පහසුකම් ලබාගත හැක පිරිසිදු ඔප්පු ඉක්මනින් වැඩිම ඉල්ලුමට",සිතුමින උයන ප්‍රගති මාවත කහතුඩුව,"Commercial, Residential",10.0 perches
5,Sisaara Land / Kesbewa Plot 15,20 Jul  5:58 pm,"Kesbewa, Colombo","3,622,500","Land for sale in kesbewa thoranavila junction,facing to the Paddy field walking distance to the 162 main bus route, land with a all the facility , bank loan also can arrange, call us for more details.",Kesbewa Thoranavila Junction,Residential,6.3 perches
6,Land for Sale Bathwatera,20 Jul  4:56 pm,"Kesbewa, Colombo","450,000",400 miter bandaragama Colombo bus rdපර්චස් 15 හෝ කොටසක් විකිණීමට,kesbewa batuwandara,Residential,15.0 perches
7,Land For Sale In Kesbewa,18 Jul  6:05 am,"Kesbewa, Colombo","625,000",Land for sale in Kesbewa in a calm place.800m from 120 Horana - Colombo Main road.Please contact for more details.Serious buyers only.(No brokers),Kesbewa,Residential,11.85 perches
8,Land with Small House Kahathuduwa,16 Jul 10:02 pm,"Kesbewa, Colombo","3,700,000",10 p Land ( with small house )Highly Residential AreaLocated @ City of Life Kahathuduwa Land Value OnlyElectricity & Water Approved DeedsWalking Distance To Piliyandala Homagama Bus Route 1.3 km To 120 Colombo Road & Kahathuduwa Highway Exchange More details for Call Price 37 lks,Kahathuduwa,Residential,10.0 perches
9,20 Perch Land Near 120 Road At Koralaima,16 Jul  7:07 pm,"Kesbewa, Colombo","450,000","20 Perch LandClose to 120 Newly enlarged RoadClose to Kebewa, Piliyandala, Horana and Diyagama300 Metres to 120 Horahan Colombo  Main Bus Road3.5 Km to Koralaima Junction2+ Km to Kahathuduwa2+ Km to Highway entranceGood Residential AreaPrice is less than market valueClose to  Shops, Towns, Supermarkets, Buses20 Feet  Road  Private Road, near 12 FeetLand is mostly square  in shape, can be broken 10 Perch eachSelling Urgently, Loan also okNo Brokers Pls","Zoysa Road, Koralaima, Piliyandala",Residential,20.0 perches
