,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land for Sale at Kalubowila,14 Jul  2:40 pm,"Kohuwala, Colombo","32,500,000",Land For Sale at kalubowilaLand with house💠 Good Land 💠 Calm Place      water & Power 💠 Fence Surrounded The Land ,L-kalubowila-01,"Commercial, Residential",9.5 perches
2,"['Land for Sale at Kalubowila', '14 Jul  2:40 pm', 'Kohuwala, Colombo', '32,500,000', 'Land For Sale at kalubowilaLand with house💠 Good Land 💠 Calm Place      water & Power 💠 Fence Surrounded The Land ', 'L-kalubowila-01', 'Commercial, Residential', '9.5 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Kohuwala Land | for Sale - LL538,13 Jul 11:24 am,"Kohuwala, Colombo","7,000,000","70 perch land and this land located in Dutugemunu street, Kohuwala.",Residential,70.0 perches,
4,Kohuwala Land | for Sale - LL685,13 Jul 11:00 am,"Kohuwala, Colombo","3,000,000","11 perch land Off Woodland Avenue, Kohuwala.",Residential,11.0 perches,
5,Kohuwala Land | for Sale - L0685-AAB,12 Jul  6:42 pm,"Kohuwala, Colombo","3,500,000","35.2 perch land in Wijayamangalarama Road, Kohuwala.",Residential,35.2 perches,
6,Land for Sale in - Kohuwala, 9 Jul  5:57 pm,"Kohuwala, Colombo","57,500,000","11.5 p land at kohuwala. Excellent location with all convenience.Just 30 meters fro main dutugamunu road/ walking distance to kohuwala junction. 20 feet carpet road. Kohuwala , Indra road.Expecting 5 M pp .","Residential, Other",11.5 perches,
7,Commercial/ Residential 18.5P Land For Sale in Kohuwala, 8 Jul 11:57 am,"Kohuwala, Colombo","100,000,000",Commercial / Residential Land For Sale in Nugegoda.,"Kohuwala, Nugegoda Road.","Commercial, Residential",18.5 perches
8,30 P Commercial Land Sale Kalubowila, 6 Jul  2:35 pm,"Kohuwala, Colombo","6,000,000",Rs 6000000.00 LAKHSPER PERCHNegotiable,KALUBOWILA-KOHUWALA MAIN ROAD FACING KALUBOWILA,"Commercial, Residential",30.0 perches
9,Land for Sale in Kohuwala, 6 Jul 12:29 pm,"Kohuwala, Colombo","3,500,000","Land with 14 perches.Between Kohuwala and Pepiliyana at Sri Sumanarama road, off Woodland Avenue for immediate sale.Rs. 3.5 million per a perch.10 foot access road.All facilities are available.",Residential,14.0 perches,
10,Kohuwala - Land for Sale LL578, 5 Jul  1:08 am,"Kohuwala, Colombo","6,000,000","#. 21 perch land for sale in Hospital road, Kohuwala.",Residential,21.0 perches,
