,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land for Sale - Kottawa,20 Jul 11:57 am,"Kottawa, Colombo","995,000",1km to Kottawa Town 700m to Makubura Bus station (MMC)400m to High level Road,"Kulathunga Mawatha, kottawa","Agricultural, Residential",8.0 perches
2,"['Land for Sale - Kottawa', '20 Jul 11:57 am', 'Kottawa, Colombo', '995,000', '1km to Kottawa Town 700m to Makubura Bus station (MMC)400m to High level Road', 'Kulathunga Mawatha, kottawa', 'Agricultural, Residential', '8.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land for Sale Kottawa - Homagama Road., 8 Jul  1:13 pm,"Kottawa, Colombo","1,000,000","kottawa - homagama 128 road.Facing to 128 kottawa - homagama road, nugagahalanda place, 6 lane500 meters to homagama hospital.Two mints to high-level road.Two mints to kottawa highway entrance.can use commercial or residential.*Electricity *water*clear deeds*Bank loan & Easy payment available","nugagahalanda place, kottawa.",Residential,16.6 perches
4,Luxury Living Space - Mattegoda,22 Jul  1:29 pm,"Kottawa, Colombo","750,000","Valuable land for sale in mattegodaExtent 19.5PPerch prices Rs.750,000/=Close to mattegoda Campcall us more information",Mattegoda,"Residential, Other",19.5 perches
5,Land for Sale - Kottawa,22 Jul 12:56 pm,"Kottawa, Colombo","540,000",600 m to mattegoda salgas jantion,"Kottawa, mattegoda",Residential,8.39 perches
6,High Residential Land for Sale in Kottawa,14 Jun  8:35 pm,"Kottawa, Colombo","22,000,000",කොට්ටාව නගරයට ඇවිදින දුරින් (300m) බංගලාවත්ත පාරෙන් සියළු පහසුකම් සහිත වෙල් අද්දර නිස්කලංක පරිසරයක පිහිටි නිවසක් සහිත අගනා ඉඩමක් ඉක්මනින් විකිණීමට..,KOTTAWA - Bangalawatta road,Residential,15.0 perches
7,Serene Land for Sale in Kottawa,22 Jul  8:28 am,"Kottawa, Colombo","446,000",20 feet roadClear deedbank loansCalm environmentin the middle of Kottawa and Piliyandala,Matthegoda Kottawa,Residential,6.53 perches
8,Kottawa Best Land,27 Jun  8:24 am,"Kottawa, Colombo","445,000","20 ft road350 m to bus roadHave access from both 342, 255 roads","255 rd, Kottawa",Residential,7.0 perches
9,Valuable Land for Sale Mattegoda,22 Jul 11:57 am,"Kottawa, Colombo","750,000","Valuable land for sale in mattegodaExtent 19.5PPerch prices Rs.750,000/=Close to mattegoda Campcall us more information",Mattegoda,"Residential, Other",19.5 perches
