,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Commercial Land for Sale Facing Kotte Main Road,21 Jul  1:37 pm,"Kotte, Colombo","3,500,000",ETHUL KOTTE Main Road Facing,Kotte Road,"Commercial, Residential",19.5 perches
2,"['Commercial Land for Sale Facing Kotte Main Road', '21 Jul  1:37 pm', 'Kotte, Colombo', '3,500,000', 'ETHUL KOTTE Main Road Facing', 'Kotte Road', 'Commercial, Residential', '19.5 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land for Sale in Ethulkotte, 8 Jul  2:40 pm,"Kotte, Colombo","2,100,000",REFERENCE NO - L.E.K.02	,"Ethulkotte, Kotu bemma road",Residential,7.0 perches
4,Water Front 20 P Bare Land for Sale Kotte,22 Jul  2:48 pm,"Kotte, Colombo","1,750,000",Rs 1750000.00 LAKHSper perchNegotiable,EPITAMULLA ROAD PITAKOTTE,"Commercial, Residential",20.0 perches
5,Land for Sale at Kotte,22 Jul 11:14 am,"Kotte, Colombo","15,000,000",Land for Sale at KotteNEAR KOTTE RAJAMAHAWIHARAYAWITH OLD HOUSE (3 ROOMS)15 FEET ROAD  💠 Very Use Full for ResidentHighly residential area and very calm surrounding.,L-KOTTE-01,Residential,7.0 perches
6,Land for Sale at Kotte,21 Jul  3:19 pm,"Kotte, Colombo","2,500,000",Land for Sale at Kotte6.9 PERCHES25 LAKS PER PERCHWITH OLD HOUSENEAR ANANDA SHATHRALAYA💠 Very Use Full For Resident        For Quickly Sell☎ Call For More Details.../,L-KOTTE-10,Residential,6.9 perches
7,Land for Sale at Kotte,21 Jul  3:17 pm,"Kotte, Colombo","1,200,000",Land for Sale at Kotte14.5 PERCHES12 LAKS PER PERCH3KM TO MADIWELA SIDE FROM PITA KOTTEBARE LAND💠 Very Use Full For Resident or Business        For Quickly Sell,L-KOTTE-11,"Commercial, Residential",14.5 perches
8,"35 Perch Land Near Parliament , Pahalawela Road",20 Jul 10:49 am,"Kotte, Colombo","3,500,000","35 perch valuable land block situated at pahalawela road ( honorable residential area)Just 5 minutes drive to thalawathugoda, kotte, baththaramulla and rajagiriya townsAlso close to jayawardanapura hospital20 feet entrance roadClear titlesInspections trough appointments only","Pahalawela road,","Commercial, Residential, Other",35.0 perches
9,Land for Sale in Ethulkotte,20 Jul 10:35 am,"Kotte, Colombo","3,200,000",REFERENCE NO - #LRO.E,Ethulkotte,"Commercial, Residential",14.0 perches
10,Land for Sale Kotte,19 Jul 10:03 pm,"Kotte, Colombo","2,000,000",20 feet RoadCan be divided two blocks20 lakhs perch,Atulkotte,Residential,25.0 perches
11,18 P Bare Land Sale Ethulkotte,19 Jul 11:14 am,"Kotte, Colombo","2,100,000",18 P BARE LAND SALE AT NEW JAYAWEERA ROAD ETHULKOTTEIDEAL FOR LUXURY HOUSE / OFFICE BUILDING OR ANY RESIDENTIAL / COMMERCIAL WORK ....,NEW JAYAWEERA ROAD ETHULKOTTE,"Commercial, Residential",18.0 perches
12,Highly Residence Area in Kotte,19 Jul  7:54 am,"Kotte, Colombo","3,600,000",highly residence area in kottewe have 26 perched if you wont half perched we can arrange like 12 perched and 14 perchedjubili post junction 100 metersclear documentmain road 50 metersimmediate sale genuine buyers callgreen homes,"kotte, jubili post","Commercial, Residential",26.0 perches
13,Madiwela Land for Sale - L0592-A,19 Jul  7:53 am,"Kotte, Colombo","2,000,000",120 perch land for sale in Madiwela.,Residential,120.0 perches,
14,18P Land Close to Pita Kotte Junction and Main Road,19 Jul  7:28 am,"Kotte, Colombo","2,400,000",18p superb land at Pita Kotte1 km to Pita kotte junction50 meters to Pita Kotte - Thalawathugoxda main roadFacing 15 - 18 ft wide access roadHigh residential area,Pita Kotte,Residential,18.0 perches
15,20p Land facing Duwa Road in Kotte,18 Jul  3:34 pm,"Kotte, Colombo","42,000,000","This 20p property faces a wide road and is placed in a very desirable residential location in Kotte. The old house on the property is occupied and livable, but no value has been assigned for it. Some of the key features of the property are",Duwa Road,Residential,19.84 perches
16,Old House with Land For Sale Kotte,18 Jul  3:36 pm,"Kotte, Colombo","42,000,000","Old House with Land For Sale  @ Kotte_____________________________________Extent of Land :-   15 Perches (Rectangle land)_____________________________________Property Specification_____________________• - This property has enough space to build 2 house• - With Electricity & Main water supply• - Walking distance to Kotte Main road• - Very closed proximity to Kotte city limit• - Having two entrances to the Land• - 20 Feet Wide Access Road• - Peaceful & Quit Neighborhood______________________________________House Details___________________• - Siting, Living, Dining, Prantry with Kitchen• - 3 Bedroom with 2 Bathroom• - Right-round parapet walls with Gate ____________________________________________Per Perch - 2.8 million / 28 Laks (Negotiable)Total value - 42 million / 420 Laks (Negotiable)_____________________________________________More photos - www.kpproperty.lk",Near Kotte city limit,"Commercial, Residential, Other",15.0 perches
17,10.5P Bare Land Sale at Ethulkotte,17 Jul  6:33 pm,"Kotte, Colombo","2,400,000",Rs. 2400000PER PERCH negotiable,Alakeshwara Road,"Residential, Other",10.5 perches
18,12 P Bare Land Sale at Baddagana,17 Jul  5:01 pm,"Kotte, Colombo","2,500,000",Rs 2500000.00 LAKHS PER PERCH,DARMAPALA MAWATHA BADDAGANA PITAKOTTE,"Commercial, Residential",12.0 perches
19,Land For Sale Pita Kotte,17 Jul  1:48 pm,"Kotte, Colombo","2,500,000",Pirisindu oppu. Sirikotha ta 1.1 km only. 300 meters to CMS college.Ganumkaru pamanak amathanna.,"11/3, Mission lane, Pita kotte",Residential,8.6 perches
20,Land for sale in Ethul Kotte,17 Jul 12:12 pm,"Kotte, Colombo","2,200,000",Land for sale in Ethul Kotte====================,"Commercial, Residential",20.0 perches,
21,Land For Sale - Kotte Road 7 Perches,17 Jul  9:28 am,"Kotte, Colombo","1,800,000","URGENT SALE Highly Residential Land Land Size 6.9 Perches, Squire Land Land with Livable House 2 Bedrooms Location : Kotte Rd, Sri Jayawardenepura Kotte 50 Meters to Kotte Road, Opposite Aalindaya Furniture & Lifestyle StoreHigh Residential Area20 Feet & 15 Feet Road AccessPrice 18 Million Per Perch Negotiable Very urgent Sale Please Call for More Details","Kotte Rd, Sri Jayawardenepura Kotte",Residential,7.0 perches
22,Land For Sale In Kotte,17 Jul  6:09 pm,"Kotte, Colombo","11,000,000","Land for sale in Kotte, kotubamma roadHigh  residential land and high quality landPrivate road for 3 block Good soilVery close to wetland park, walking park 600 m to main kotte road.Good investmentDon't miss this property.Seen on proper appointment.no brokers please",Residential,6.6 perches,
23,Super Land For Sale With An Old House In Kotte,20 Jul 11:32 am,"Kotte, Colombo","15,000,000",100m to main pitakotte Talawathugoda rd 15ft rd facing superb land with an old house 40ft rd frontage 10perches square land highly residential area very close to pitakotte kotte  battaramulla Colombo price 1500000per perch no brokers genuine buyers well come appointments,kotte pitakotte Thalawathugoda rd,Residential,10.0 perches
24,Land for Sale - Kotte,16 Jul 10:45 am,"Kotte, Colombo","2,000,000","An 8 perch land facing the Rajamaha Vihara Road for sale. LKR 2 million per perch, and non-negotiable. the land faces the main road (Rajamaha Vihara Road) of 20 feet, and 12 feet road by the side of land. Located close by the Rajamaha Vihara Temple.  No brokers please.",Residential,8.0 perches,
25,Land for Sale at Kotte,16 Jul  8:38 am,"Kotte, Colombo","1,400,000",Land for Sale at Kotte💠 Good Land 💠 Calm Place 💠 Bare Land 💠 Water & Power 💠 Very Use Full For Resident or Business        For Quickly Sell,L-KOTTE-07,"Commercial, Residential",13.0 perches
26,8.5P Madiwela & Land Sale Sudada Mawatha,15 Jul  4:38 pm,"Kotte, Colombo","8,500,000","8.5 P & LAND FOR SALE IN MADIWELA, KOTTE Suhada mawatha, thàlawathugoda road,madiwela,Kotte.","150Meters to thàlawathugoda Road, Madiwela, Kotte",Residential,8.5 perches
27,Land with 2 houses for sale Pita Kotte,15 Jul  2:28 pm,"Kotte, Colombo","2,600,000","පිටකෝට්ටේ ආනන්ද බාලිකා මාවතින් පර්චස් 19.40ක ඉඩම. නිරවුල් ඔප්පුව.  තැනිතලා සෘජුකෝණාස්රාකාර ඉඩම.දිග අඩි 91, පළල අඩි 61.නිවාස 2ක්ද සමගින් (එක් නිවසක කාමර 3 හා අනෙක් නිවසේ කාමර 2කි)","Ananda Balika road, Pita Kotte. Sri Jayewardenepura","Commercial, Residential",19.4 perches
28,51 P Bare Land Sale at Jubbli Post Kotte,15 Jul 11:40 am,"Kotte, Colombo","2,500,000",Rs 2500000.00 LAKHSPER PERCHNegotiable,FACING RAJA MAWATHA JUBLLI POST KOTTE,"Commercial, Residential",51.0 perches
29,Commercial Land for Sale Facing Kotte Main Road,21 Jul  1:37 pm,"Kotte, Colombo","3,500,000",ETHUL KOTTE Main Road Facing,Kotte Road,"Commercial, Residential",19.5 perches
30,Land for Sale in Ethulkotte, 8 Jul  2:40 pm,"Kotte, Colombo","2,100,000",REFERENCE NO - L.E.K.02	,"Ethulkotte, Kotu bemma road",Residential,7.0 perches
31,Land for Sale at Kotte,14 Jul  4:18 pm,"Kotte, Colombo","1,650,000",Land For Sale at KOTTE💠 Good Land 💠 Calm Place 💠 Flat Land 💠 Water & Power 💠 Very Use Full For Resident or Business        For Quickly Sell,L-KOTTE-08,"Commercial, Residential",29.0 perches
32,Land for Sale at Kotte,14 Jul 12:00 pm,"Kotte, Colombo","3,200,000",17.4 land is available for sale at kotte  Near the sirikotha 300 m from junction50m to main roadwith old house(land value only)20 ft  road💠 Very Use Full For Resident or Business        For Quickly Sell☎ Call For More Details...,L-KOTTE-06,"Commercial, Residential",17.4 perches
33,11P Bare Land For Sale - Kibulawela Kotte,14 Jul 10:16 am,"Kotte, Colombo","1,625,000",Rs 1625000.00 Lakhs Per PerchNegotiable,Sigera Mawatha Kibulawela Kotte,"Commercial, Residential",11.0 perches
34,11.75 P & PROPERTY SALE ETHULKOTTE,14 Jul  8:44 am,"Kotte, Colombo","3,300,000",Rs 3300000.00 LAKHS per perch,50 METERS TO MAIN ROAD / ADIKARAM ROAD ETHULKOTTE,"Commercial, Residential",11.75 perches
35,Residential 7.7P Land For Sale in Ebuldeniya,13 Jul 11:03 pm,"Kotte, Colombo","9,200,000",Residential 7.7P Land For Sale in  Ebuldeniya  ------------200meters to Ebuldeniya  junction ,700 meters to Ebuldeniya junction.,Residential,7.7 perches
