,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land For Sale In Maharagama,18 Jul  2:00 am,"Maharagama, Colombo","610,000",maharagama Piliyandala Bus Margaye Egodawatte Dewala Paren Siyalu Pahasukam Sahitha Agana Bim Kotasak,dewala para,Residential,10.9 perches
2,"['Land For Sale In Maharagama', '18 Jul  2:00 am', 'Maharagama, Colombo', '610,000', 'maharagama Piliyandala Bus Margaye Egodawatte Dewala Paren Siyalu Pahasukam Sahitha Agana Bim Kotasak', 'dewala para', 'Residential', '10.9 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land for Sale - Nawinna Bordering Scenic Paddy,19 Jul  3:29 pm,"Maharagama, Colombo","1,400,000","Residential Land Bordering Scenic Paddy Fields 14 perches. Per perche 14,000,00.00Price can be negotiableClose to you Jayawardanapura Hospital 1KMClose to you Maharagama town 750MDiyatha Garden Park Closer Meager cities Nugegoda, Kottawa, pannipitiya, Boralasgamuwa, kotte.සුන්දර වෙල්‍ යායකට මුහුණලා ඇති පර් 14 ඉඩම.විදුලිය නලජලය සහිතයි .බැංකු ණය ලබාගත හැක.",Residential,14.0 perches,
4,Land for Sale - Maharagama,23 Jul 10:08 pm,"Maharagama, Colombo","5,850,000",Super Land for sale in Neelammahara road maharagama250.mt maharagama katuwawala bus road1.8 km maharagama townLand facing 20 feet roadper perch 975000 / Totale price 5850000 Negotiableold house available,Neelammahara Road Maharagama,Residential,6.0 perches
5,Land for Sale in Maharagama Town,12 Jul  3:48 pm,"Maharagama, Colombo","2,700,000",Great opportunity to BUY a LAND in the HEART of MAHARAGAMA Commercial City.,"116/1C, Dehiwala Road, Maharagama.","Commercial, Residential",16.0 perches
6,Land for Sale - Maharagama,13 Jul  8:57 pm,"Maharagama, Colombo","6,500,000",පදිංචියට මෙන්ම කාමර කුලියට ලබා දීම වෙනුවෙන් ගොඩනැගිල්ලක් සඳහා ද සුදුසුයි..බැංකු ණය පහසුකම් ලබාගත හැක.,"Daham Mawatha  ,  Maharagama","Commercial, Residential",6.6 perches
7,Land|plot 04|for sale|Maharagama,18 Jul  1:58 pm,"Maharagama, Colombo","13,800,000",මහරගම හන්දියට මීටර් 600ක් නුදුරින් වියාපාරයකටද නිවසක් ඉදිකිරීමටද සුදුසු සියලු පහසුකම් සමගින් සුපිරි බිම් කොටස් කීපයක්.,"Daham Mw, Maharagama","Commercial, Residential",7.5 perches
8,Maharagama Land For Sale in Dehiwala Road.,23 Jul  9:02 am,"Maharagama, Colombo","18,800,000","Rs 18,800,000/NegotiableMaharagama 11.8P Land For Sale in Dehiwala Road.",Dehiwala Road 200metes to Maharagama Junction,Residential,11.8 perches
9,"Valuable Land for Sale in Wattegedara, Maharagama",22 Jul  4:44 pm,"Maharagama, Colombo","1,300,000","Valuable Land for Sale in Wattegedara, Maharagama","Residential, Other",72.0 perches,
10,Land For Sale at Maharagama,22 Jul  3:00 pm,"Maharagama, Colombo","2,800,000",19 PERCHESNEAR NAWINNA JUNCTION28 LAKS PER PERCHBARE LAND  💠 Very Use Full for ResidentHighly residential area and very calm surrounding.,L- MAHARAGAMA-07,Residential,19.0 perches
11,Land for Sale in Maharagama,22 Jul 10:23 am,"Maharagama, Colombo","690,000",Land For Sale at MAHARAGAMANEAR PILIYANDALA EGODAWATTE TEMPLEBARE LAND20 FEET ROAD6 PERCHES6.9 LAKS PER PERCHHighly residential area and very calm surrounding.,L-MAHARAGAMA -05,Residential,6.0 perches
