,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,පර්චස් 10.5ක ඉඩම් කැබලි දෙකක් විකිනීමට ඇත මාලබේ,11 Jul 12:30 pm,"Malabe, Colombo","800,000","පර්චස් 10.5ක ඉඩම් කැබලි දෙකක් විකිනීමට ඇත.මාලබේ සුදර්ශන මාවත, මාලබේ කඩුවෙල පාර සිට මීටර් 500 යි. ගැනුම්කරුවන් පමණක් විමසන්න.Two 10.5 Perches Lands for Sale.Malabe Sudarshana Mawatha, Malabe is 500 meters from Kaduwela Road.Ask buyers only.",මාලබේ සුදර්ශන මාවත,Residential,10.0 perches
2,"['පර්චස් 10.5ක ඉඩම් කැබලි දෙකක් විකිනීමට ඇත මාලබේ', '11 Jul 12:30 pm', 'Malabe, Colombo', '800,000', 'පර්චස් 10.5ක ඉඩම් කැබලි දෙකක් විකිනීමට ඇත.මාලබේ සුදර්ශන මාවත, මාලබේ කඩුවෙල පාර සිට මීටර් 500 යි. ගැනුම්කරුවන් පමණක් විමසන්න.Two 10.5 Perches Lands for Sale.Malabe Sudarshana Mawatha, Malabe is 500 meters from Kaduwela Road.Ask buyers only.', 'මාලබේ සුදර්ශන මාවත', 'Residential', '10.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,10p Land for Sale in Malambe,21 Jun  9:57 am,"Malabe, Colombo","4,600,000","10p superb land facing 20 ft wide access roadHigh residential areaPeaceful surroundingOverlooking Southern Express Way1 km to Pittugala Junction and 3 km to Malambe junction1.6 km to SLIIT3.5 km to CINEC campusAsking Price Rs. 460,000/- PP","Thunandahena Road, Kahanthota, Malambe",Residential,10.0 perches
4,Land for Sale - Malabe,20 Jul 12:28 pm,"Malabe, Colombo","9,800,000",Land for sale in Malabe City limit,"Commercial, Residential",8.0 perches,
5,Valuable Land for sale - Hokandara,22 Jul 11:46 am,"Malabe, Colombo","850,000",5 mint to southern high way,Ramanayaka Mw,"Residential, Other",8.3 perches
6,Land for sale in Malabe - Athurugiriya road,13 Jun  9:27 am,"Malabe, Colombo","790,000","අතුරුගිරිය නගරයට මීටර් 250යි. 190,138/4, 697 බස් පාරට මීටර් 100යි.කොට්ටාව හෝමාගම නගරයන්ට හා අතුරුගිරිය අධිවේගී පිවිසුමට පහසුවෙන් ලඟා විය හැක .නලජලය විදුලිය සහිතයි .වෙල් යායකට මුහුණලා ඇත.",Residential,6.3 perches,
7,10 Perch Land in Malabe Potuarawa Road,21 Jul 10:15 pm,"Malabe, Colombo","990,000",10 Perch LAND in Potuarawa Road .Malabe15 -20  ft wide Road Enters1.5 Kms from Malabe Twon1 Kms Pelawatta3 Kms Experswey AthurugiriyaOne perch Rs 990000/-Total price Rs 9.9 MillionBoundary surrounded by WallClear DeedsTo inspect the Land - Please inform 1 hours before,Potuarawa Road Malabe,Residential,10.0 perches
8,Land for sale in Malabe,13 Jul  3:47 pm,"Malabe, Colombo","550,000",මාලබේ තුන්අදහේන පාරෙන් පෙර්චෙස් 10 ක සුපිරි නේවාසික බිම් කොටසක්.කහන්තොට පාරට මීටර් 700 යිකඩුවෙල බස් පාරට 1.5 කි.මි,Kahanthota Road,Residential,10.0 perches
9,Land for Sale in Malabe,21 Jul  1:54 pm,"Malabe, Colombo","810,000","About 500m to Pittugala Junction ( 177 bus route) and about 600m to SLIIT Campus. About 3.5km to Malabe town. Calm and highly residential area. Respectable neighborhood. An ideal location to build up your dream home. with in five minute drive you will reach to Kothalawala Highway Interchange, Food City, Campuses, Private schools, Hospitals, Cinemas and many more. Two access roads to the land. Plat land, not in flood effecting area. No Brokers please...BERYL will provide you personalized, trust worthy service at all the time.",Malabe,Residential,18.0 perches
10,Land For Sale With House In Malabe,21 Jul 12:58 pm,"Malabe, Colombo","22,500,000","මාල⁣ඹේ, රොබට් ගුණවර්ධන මාවත, සෙත්සිරි මාවතේ පිහිටි නිවස සහිත පර්චස් 25 ක ඉඩම වහාම විකිණීමට ඇත. අඩි 20 පළල concrete පාරමාලඹේ නගරයට කි.මී. 1.5සුපිරි වෙළදසැල්, පාසල්, සියලුම බැංකු ආසන්නයේ පිහිටා ඇත.",Malabe,Residential,25.0 perches
11,Land In Malabe,20 Jul  1:58 pm,"Malabe, Colombo","6,500,000","පදිංචියට හොඳම තැනක්බස්මාර්ගයට ඇවිදයන දුරින්, තෙකලා විදුලිය, නල ජලය, තාර යෙදූ මාර්ග සහිත ප්‍රාදේශීය සභා අනුමත සුන්දර නිසංසල පරිසරයක පිහිටි බිම් කැබලි කිහිපයක්;සිමිත බිම් කොටස් කිහිපයක් පමණයි.",Malabe Kahanthota Road,Residential,7.0 perches
12,Land for Sale in - Malabe,20 Jul  1:34 pm,"Malabe, Colombo","1,500,000","600m to main road1.3km to thalahena junction2km to malabe junctionSupermarkets,international schools,hospitals are very nearby","Muwanhelawaththa Road,thalahena,malabe",Residential,7.2 perches
