,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land for Sale in Moratuwa, 7 Jul  4:17 pm,"Moratuwa, Colombo","21,000,000",Suitable for commercial and residential purposes30ft wide road 70m to Galle road and moratuwa town 21 million,"peries mawtha,moratuwa town","Commercial, Residential",14.0 perches
2,"['Land for Sale in Moratuwa', ' 7 Jul  4:17 pm', 'Moratuwa, Colombo', '21,000,000', 'Suitable for commercial and residential purposes30ft wide road 70m to Galle road and moratuwa town 21 million', 'peries mawtha,moratuwa town', 'Commercial, Residential', '14.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Moratuwa Bolgoda River Front Land,14 Jul  3:55 pm,"Moratuwa, Colombo","325,000",Very calm green environment facing Bolgoda river. in bitween moratuwa and panadura.   20 ft access road,diggala road,"Agricultural, Commercial, Residential",183.0 perches
4,Katubedda Land for Sale,28 Jun  9:01 am,"Moratuwa, Colombo","600,000",Please call after 2pm during the weekdays6.5 PerchClear DeedsWide access road1 km to university of Moratuwa1.8 km to Rawatawatta JunctionPrice Negotiable,Residential,7.0 perches,
5,Land In Moratuwa Egoda Uyana,20 Jul  4:57 pm,"Moratuwa, Colombo","23,200,000","ඉක්මනින් විකිණීම සදහා,","No 26, Arnold place, Egodauyana, Moratuwa.",Commercial,26.0 perches
6,නේවාසික බිම් කොටස් - මොරටුව,20 Jul 10:56 am,"Moratuwa, Colombo","1,395,000",මොරටුව නගරයට සමිපව අගනා නේවාසික බිම් කොටස් ඉඩමෙදි ව්කිනේ නල ජලය විදුලිය තාර දමන ලද පුලුල් මාර්ග ණය පහසුකම් සමගින්,මොරටුව,Residential,6.0 perches
7,Land for Sale at Moratuwa Old Galle Road,20 Jul  9:52 am,"Moratuwa, Colombo","700,000",Land in Moratuwa Horetuduwa 20m away from old Galle Road located in a highly residential area square type land for sale2 KM to the Moratuwa Town3phase electricity and pipe borne water facilities are availableExpected Rs 700000 per perch price can be negotiated,Residential,10.4 perches,
8,20 Perches Valuable Land for Sale at Moratuwa.,19 Jul 10:40 am,"Moratuwa, Colombo","350,000","20 Perches valuable Land for Sale in Paraththa road, Moratuwa. Just 2.5 Km to Moratuwa town and 2 km to Galle road.  Very close to Bolgoda Lake and Easy access to Moratuwa University.",Paraththa road,"Residential, Other",20.0 perches
9,10-P Land with House for Sale in Lakshapathiya Moratuwa,17 Jul  5:16 pm,"Moratuwa, Colombo","13,000,000","10 perches Land with 3BR House for sale in Lakshapathiya Moratuwa, call for more details.",Ernest place Lakshapathiya Moratuwa,Residential,10.0 perches
