,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Residential Property for Sale Mt Lavinia,22 Jul  8:47 am,"Mount Lavinia, Colombo","2,300,000","13.32 perch land, 250 meters from Galle Road on Land side on Templers Road. On private road, Property surrounded by residential houses and never built on. Up market neighborhood.  Great Location, Clear Title Deeds and Prime Residential Property - Safe / Quiet Neighborhood. Cleared rectangular Block, with access to two different private roads for entrance. Extremely close to all banks, St Thomas College, Keels and Cargill’s and Mt Lavina junction.Asking price of 2.3 million per perch or nearest offer","Templers Road, Mt Lavinia",Residential,13.32 perches
2,"['Residential Property for Sale Mt Lavinia', '22 Jul  8:47 am', 'Mount Lavinia, Colombo', '2,300,000', '13.32 perch land, 250 meters from Galle Road on Land side on Templers Road. On private road, Property surrounded by residential houses and never built on. Up market neighborhood.  Great Location, Clear Title Deeds and Prime Residential Property - Safe / Quiet Neighborhood. Cleared rectangular Block, with access to two different private roads for entrance. Extremely close to all banks, St Thomas College, Keels and Cargill’s and Mt Lavina junction.Asking price of 2.3 million per perch or nearest offer', 'Templers Road, Mt Lavinia', 'Residential', '13.32 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Large Land Ware House Mt Lavinia, 2 Jul  7:15 am,"Mount Lavinia, Colombo","2,000,000",Large Land in Mount Lavinia Good to Start a Land project Garment factory ware house Hotel project etc  Great investment for future Wide roads Easy access containers Give your proposal,Mount Lavinia Templars Road,"Commercial, Residential, Other",409.0 perches
4,Residential Property for Sale Mt Lavinia,22 Jul  8:47 am,"Mount Lavinia, Colombo","2,300,000","13.32 perch land, 250 meters from Galle Road on Land side on Templers Road. On private road, Property surrounded by residential houses and never built on. Up market neighborhood.  Great Location, Clear Title Deeds and Prime Residential Property - Safe / Quiet Neighborhood. Cleared rectangular Block, with access to two different private roads for entrance. Extremely close to all banks, St Thomas College, Keels and Cargill’s and Mt Lavina junction.Asking price of 2.3 million per perch or nearest offer","Templers Road, Mt Lavinia",Residential,13.32 perches
5,Residential B-Land for Sale - Mount lavinia,21 Jul  2:12 pm,"Mount Lavinia, Colombo","2,300,000,000",B-land 20feet road (2.3million per perch)@and another residential land in ratmalana 30pperches 20feet road (2.5million per perch) !waiting for good buyer!,Mount lavinia,Residential,20.0 perches
6,Land for Sale in Mount Lavinia - Ll660,20 Jul  8:17 am,"Mount Lavinia, Colombo","3,000,000","29 perch land for sale in Station Road, Mount Lavinia.",Residential,29.0 perches,
7,21 P Bare Land Sale at Mt Lavinia,19 Jul  1:26 pm,"Mount Lavinia, Colombo","2,850,000",Rs 2850000.00 LAKHSPER PERCH ,FACING 30 FEET ATULA MAWATHA TEMPLERS ROAD MOUNT LAVINIEA,"Commercial, Residential",21.0 perches
8,8.8 Perches Land for Sale with The House - Mount Lavinia,18 Jul  1:39 pm,"Mount Lavinia, Colombo","23,500,000",8.8 Perches landTwo bed room houseWider RoadAsking Price Rs 23.5m,Mount Lavinia,Residential,8.8 perches
9,Two Storied House with Land in Mount Lavinia,17 Jul  4:13 pm,"Mount Lavinia, Colombo","23,539,997",We have designed this two storied modern house to offer the utmost comfortable and convenience for your life along with following features.,Mt. Lavinia,Residential,6.62 perches
10,Luxury Land Plots in Mt. Lavinia,17 Jul  3:35 pm,"Mount Lavinia, Colombo","2,100,000","Build your home at 'Royal Park' Mt.Lavinia, an exclusive gated community that will redefine your concept of living in elegance.- The Marine DriveIn seconds you will find the marine drive- Gated LivingYou can be assured of safety and privacy in this exclusive gated living- Project200 perch land extent holding 20 plots- Land Extent6.62 to 10 perch- Selling Price21 M per lot upwards",Mt. Lavinia,Residential,7.0 perches
11,30 P Land with Property for Sale at Mount Lavinea,15 Jul 10:22 am,"Mount Lavinia, Colombo","2,950,000",Rs 2950000.00 LAKHSPER PERCHNegotiable,FACING STATION ROAD MOUNT LAVINEA,"Commercial, Residential",30.0 perches
12,Mount Lavinia Land for Sale - LL597,12 Jul 10:48 pm,"Mount Lavinia, Colombo","40,000,000","#. 13 perch land for sale in Temples Road, Mount Lavinia.",Residential,13.0 perches,
13,Mount Lavinia Land for Sale - LL591,12 Jul  7:15 pm,"Mount Lavinia, Colombo","2,900,000","59 perch land in Off Hotel Road, Mount Lavinia.Good Neighborhood.",Residential,59.0 perches,
14,Mount Lavinia Beach Front Land for Sale - LL589,12 Jul  7:13 pm,"Mount Lavinia, Colombo","5,000,000",Beach front 17 perch land in Mount Lavinia,Residential,17.0 perches,
15,Mount Lavinia Land for Sale - L0597,12 Jul  7:05 pm,"Mount Lavinia, Colombo","40,000,000","#. 13 perch land for sale in Temples Road, Mount Lavinia.",Residential,13.0 perches,
16,Land for sale Mount Lavinia,11 Jul  3:42 pm,"Mount Lavinia, Colombo","3,500,000","200m to Galle Rd, High residential area, Seperate water and electricity, 20 feet wide road","Templers Rd, Mount Lavinia","Commercial, Residential",20.0 perches
17,Land Wt Old House Rathmalana,11 Jul  3:14 pm,"Mount Lavinia, Colombo","2,200,000",Land with old House Fasing large roads Highly residential good areas 132 lakhs 13.2 million,Behind police station,"Commercial, Residential, Other",6.0 perches
18,Land for sale - Mt Lavinia,11 Jul  3:07 pm,"Mount Lavinia, Colombo","2,000,000","150m to Galle Rd, Rs. 2000000 per perch, Facing to road from both side","St Reetas Rd, Mount Lavinia","Commercial, Residential",14.0 perches
19,Land for Sale Mount Lavinia,10 Jul  8:44 am,"Mount Lavinia, Colombo","3,700,000",Land for sale 16 perches galle road 50m per Perch price 37 lakh immediately sale please no brokers,galle road mount lavinia,"Commercial, Residential",16.0 perches
20,Land and House For Sale From Mt.Lavinia Junction, 8 Jul  6:43 pm,"Mount Lavinia, Colombo","4,000,000",Land and House for Sale from Mt.Lavinia Junction========================================,mt. Lavinia Junction,Residential,15.6 perches
21,Land for sale in Mount Lavinia, 8 Jul  5:10 pm,"Mount Lavinia, Colombo","91,905,000",55.7 perches 15-foot access roadAccess to many areasHighly residential area Convenient location,"Dhakshinarama Road, Watarapolla",Residential,55.7 perches
22,Land for Sale - Mt.Lavinia, 8 Jul  1:10 pm,"Mount Lavinia, Colombo","4,000,000",please call for more details Mr. Roshan,"gall rd, mt.lavinia",Residential,10.7 perches
23,Templers Road 15P Land for Sale Mount Lavinia, 8 Jul  1:24 pm,"Mount Lavinia, Colombo","2,900,000",This square block of 15perch is the second block off the main Templers road. And close to Huludhagoda road as well.,Facing Templers Road.,Residential,14.0 perches
24,Land for sale in Mt.Lavinia, 6 Jul 11:31 am,"Mount Lavinia, Colombo","60,000,000","Valuable property facing the park with two road frontages ,18.275 perches.","No.5 / 2,Lilian Avenue,Mt.Lavinia","Residential, Other",18.27 perches
25,Commercial Prime Land in - Mt Lavinia, 5 Jul  4:34 pm,"Mount Lavinia, Colombo","4,500,000",Commercial Prime Bare Land in Mt Lavinia. 6 Perches Second Block from Galle roadOpposite Mt Lavinia Court Complex / Ceypetco Filling StationLand side block,Opposite Mount Lavinia Court Complex / Opposite Cypetco Filling Station,Commercial,6.0 perches
26,Mount Lavinia - Land | for Sale LL544-A, 5 Jul 12:55 pm,"Mount Lavinia, Colombo","2,800,000","22.8 perch land and this land located in Pieris road, Mount LaviniaVery convenient located land which is 200m from gal;le road and close to Family super restaurant.highly residential area and quite place very close to Galle road, can be subdivide with two entrance with easy access.",Residential,22.8 perches,
27,Land with House Sale - Mt.Lavinia,13 Jul  8:45 am,"Mount Lavinia, Colombo","16,800,000",Land with house Mtlavinia Large Garden area 3 bedrooms House also there168 lakhs only Urgent sale,End of off Templars road,"Residential, Other",10.0 perches
28,Mount Lavinia Land For Sale - LL622, 5 Jul  1:20 am,"Mount Lavinia, Colombo","65,000,000","#. 9.5 perch land with 30 years old house for sale in Barns Avenue, Mount Lavinia.",Residential,9.5 perches,
29,Residential Property for Sale Mt Lavinia,22 Jul  8:47 am,"Mount Lavinia, Colombo","2,300,000","13.32 perch land, 250 meters from Galle Road on Land side on Templers Road. On private road, Property surrounded by residential houses and never built on. Up market neighborhood.  Great Location, Clear Title Deeds and Prime Residential Property - Safe / Quiet Neighborhood. Cleared rectangular Block, with access to two different private roads for entrance. Extremely close to all banks, St Thomas College, Keels and Cargill’s and Mt Lavina junction.Asking price of 2.3 million per perch or nearest offer","Templers Road, Mt Lavinia",Residential,13.32 perches
30,Large Land Ware House Mt Lavinia, 2 Jul  7:15 am,"Mount Lavinia, Colombo","2,000,000",Large Land in Mount Lavinia Good to Start a Land project Garment factory ware house Hotel project etc  Great investment for future Wide roads Easy access containers Give your proposal,Mount Lavinia Templars Road,"Commercial, Residential, Other",409.0 perches
31,44 P Bare Land for Sale in Mount Lavinia, 4 Jul  3:40 pm,"Mount Lavinia, Colombo","2,200,000",Rs 2200000.00 Lakhs  per perchNegotiable,TEMPLE ROAD MOUNT LAVINIA,"Commercial, Residential",44.0 perches
32,409 P & Property Sale at Mount Lavinia, 4 Jul  2:43 pm,"Mount Lavinia, Colombo","2,100,000",Rs 2100000.00 Lakhs  per perchNegotiable,150 METERS TO TEMPLE ROAD MOUNT LAVINIEA,"Commercial, Residential",409.0 perches
33,Land for Sale in Mount Lavinia, 4 Jul  1:56 pm,"Mount Lavinia, Colombo","2,800,000","Good Residential Property in Peiris Road, Mount laviniaLocated in calm and quiet, decent residential area","Peiris Road, Mount Lavinia","Residential, Other",23.0 perches
