,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land for Sale in Nugegoda,17 Jul  5:07 pm,"Nugegoda, Colombo","9,800,000",REFERENCE NO - #LR.N.M.P.M,"Nugegoda, mirihana, pagiriwaththa mawatha","Commercial, Residential",4.7 perches
2,"['Land for Sale in Nugegoda', '17 Jul  5:07 pm', 'Nugegoda, Colombo', '9,800,000', 'REFERENCE NO - #LR.N.M.P.M', 'Nugegoda, mirihana, pagiriwaththa mawatha', 'Commercial, Residential', '4.7 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,"Land for sale in Embuldeniya, Nugegoda.",18 Jul  3:28 pm,"Nugegoda, Colombo","1,400,000","Land for sale in Embuldeniya, Nugegoda.","Embuldeniya, Nugegoda","Commercial, Residential",25.0 perches
4,17.7 P LAND SALE MIRIHANA NUGEGODA,22 Jul 10:50 am,"Nugegoda, Colombo","1,925,000",Rs 1925000.00 per perch,MIRIHANA ( OPISIT GALWALA ROAD ) NUGEGODA,"Commercial, Residential",17.7 perches
5,13 P LAND SALE NUGEGODA,22 Jul 10:44 am,"Nugegoda, Colombo","2,000,000",Rs 2000000.00 per perch,FACING EDERISINGHE ROAD DELKADA NUGEGODA,"Commercial, Residential",13.0 perches
6,Land for Sale - Kohuwala,21 Jul  1:40 pm,"Nugegoda, Colombo","5,000,000",Kohuwala suranimala place Off to dutugemunu street 2nd block as you enter from dutugemunu street 40 feet front facing to road Clear document Exchange considered for a vehicle,"Dutugemunu street, Kohuwala","Commercial, Residential",12.57 perches
7,100p Land for Sale in Hi-Level Nugegoda,16 Jul  7:33 am,"Nugegoda, Colombo","7,000,000",Located in a highly commercial Area Facing higelevel Road 138,nugegoda,"Agricultural, Commercial, Residential",100.0 perches
8,Land for Sale in Nugegoda,17 Jul  5:07 pm,"Nugegoda, Colombo","9,800,000",REFERENCE NO - #LR.N.M.P.M,"Nugegoda, mirihana, pagiriwaththa mawatha","Commercial, Residential",4.7 perches
9,Land for Sale in Nugegoda,21 Jul  9:48 pm,"Nugegoda, Colombo","3,800,000",Highly Residential Property in NugegodaAraliya Mawatha off  Mirihana -pepiliyana Road,"Araliya Mawatha, Nugegoda","Residential, Other",12.5 perches
10,Land with House in Nugegoda,16 Jul  1:21 pm,"Nugegoda, Colombo","3,000,000",nugegoda town ekat  700mkohuwala royal institute ekata 100mpepliyana town ekata 500m kohowal town ekat 200m no brokersNugegoda land,jambugasmulla mawatha,Residential,10.0 perches
11,60 P Land with Property for Sale in Nugegoda,21 Jul  3:04 pm,"Nugegoda, Colombo","2,100,000",Rs 2100000.00 LAKHS per perchNegotiable,20 FEET WALAWWATHA ROAD GAMSABA JUNCTION NUGEGODA,"Commercial, Residential",60.0 perches
12,6P Land for Sale in Papiliyana Junction Nugegoda .,21 Jul 11:37 am,"Nugegoda, Colombo","1,950,000",නුගේගොඩ  පැපිලියාන හන්දියේ  විහාර  මාවතට මුහුනත අඩි 30කට වඩා ඇති  හතරැස් වටිනා පර්චස් 6 ක ඉඩම පර්චසය ලක්ෂ 19.5 ගනනේ විකිනීමට ඇත .ඉඩම පරීක්ෂා කර මිල සාකච්ඡා කරන්න .තැරව්කරුවන් අනවශ්‍යයි .සත්‍ය ගැනුම්කරුවන් සදහා පමණයි .ඉඩම පරීක්ෂා කිරීම සදහා සාකච්ඡා කර කලින් වෙලාවක් වෙන්කර ගන්න......................ස්තුතියි ............................,"VIHARA  MAWATHA , PAPILIYANA JUNCTION  NUGEGODA .","Commercial, Residential, Other",6.0 perches
13,Land for sale in Nugegoda,20 Jul  6:41 pm,"Nugegoda, Colombo","2,500,000",Highly Residential Property in NugegodaLocated on a private road off Kandewatta Road,"Kandewatta Road, Nugegoda","Agricultural, Residential, Other",34.0 perches
14,Land for Sale in Nugegoda Udahamulla,21 Jul  2:46 pm,"Nugegoda, Colombo","11,800,000","Residential Land For Sale in Nugegoda Udahamulla, Walking distance to 119 and 117 main bus route, Land with half bullied House and a electricity and water supply also available, we can arrange bank loan also. clear titles for more details please call us,",Udahamulla - Nugegoda,Residential,8.0 perches
15,Land with Old House for Sale in Nugegoda,20 Jul  4:44 pm,"Nugegoda, Colombo","36,000,000",- 13.35 Perches - Idea for Residential or Commercial project - 20 feet road wide- very close to Jubilee post junction- Total price is 36M (2.7M PP ),Residential,13.35 perches,
16,Land for Sale in Embuldeniya,21 Jul  1:32 pm,"Nugegoda, Colombo","9,000,000",Land for sale in Embuldeniya with Old House ,"Commercial, Residential",5.9 perches,
17,Land for Sale in - Nugegoda,20 Jul  2:14 pm,"Nugegoda, Colombo","3,000,000","Nugegoda,Facing to Old Kesbawa Rd, 18 Perches Land for Sale or Rent3 Million per Perch.",Commercial,18.0 perches,
18,Super Land for Sale Nugegoda,19 Jul  2:26 pm,"Nugegoda, Colombo","2,700,000",4th block from main rd 20ft rd facing superb square land two entrance high land 500m to mirihana 200m to kattiya handiya 700m to Gamsaba junction 60ft rd frontage high land highly residential area very close to Nugegoda Colombo price 2700000.per perch no brokers genuine buyers well come appointments,Nugegoda Katrina.junction.mirihana.rd.,Residential,20.0 perches
