,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land in Padukka For Sale,12 Jul  1:07 pm,"Padukka, Colombo","95,000",පාදුක්ක අරකාවිල කාෆට් පාරකට මායිම්ව මධ්‍යම ප්‍රමාණයේ කර්මාන්ත ශාලාවකට ඉතා සුදුසු පර්චස් 57ක ඉඩමක් විකිණීමට...විස්තර සඳහා අමතන්න,Arakavila | Koswathta Land,Residential,57.9 perches
2,"['Land in Padukka For Sale', '12 Jul  1:07 pm', 'Padukka, Colombo', '95,000', 'පාදුක්ක අරකාවිල කාෆට් පාරකට මායිම්ව මධ්\u200dයම ප්\u200dරමාණයේ කර්මාන්ත ශාලාවකට ඉතා සුදුසු පර්චස් 57ක ඉඩමක් විකිණීමට...විස්තර සඳහා අමතන්න', 'Arakavila | Koswathta Land', 'Residential', '57.9 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land in Padukka For Sale,20 Jul 10:05 am,"Padukka, Colombo","1,320,000",600m to Hadapangoda Bus RdWith Electricity & Pipe Water lineClear Deeds & Tittels.Bank loan or 3 years Easy payment methods.Super Land Plots and good Residential area,Arakavila,Residential,10.0 perches
4,Land in Padukka - Maputugala,22 Jul  3:17 pm,"Padukka, Colombo","91,000",land in padukka - maputugalaelectricity availablebank loan & easy payment facilitiesclear deed & aproved plan,padukka,Residential,12.0 perches
5,Land for Sale in Horana,22 Jul  1:11 pm,"Padukka, Colombo","1,104,000","දර්ශණීය පරිසරයක් සහිත පදිංචියට සුදුසු , සියලු පහසුකම් සපිරි බිම් කොටස් කිහිපයක් විකිණීමට...හඳපාන්ගොඩ බස් මාර්ගයට මීටර 300බැංකු ණය පහසුකම් ලබා ගත හැකිය.වසර 03ක් දක්වා ගෙවිමේ පහසුකම්",Maputugala,Residential,12.0 perches
6,කොළඹ ඉංගිරිය බස් මාර්ගයෙන් ඉඩමක්,22 Jul 12:53 pm,"Padukka, Colombo","1,320,000",# With Electricity & Pipe Water line.# Clear deeds & tittels.# Calm & Quite area.# 600m to Colombo Ingiriya Bus Rd# Bank loan or 3 years Easy payment methods.,Arakavila,Residential,10.0 perches
7,Land with House for Sale - Padukka,22 Jul 12:08 pm,"Padukka, Colombo","6,500,000","පාදුක්ක ගලගෙදර හයිලෙවල් පාරට ඉතා ආසන්නව වටේට තාප්ප දැමූ පර්චස් 15.5 ඉඩම සහ නිවස විකුනමි.  කාමර 3 සහ නාන කාමර 1 ඇත. ජලය , විදුලිය, සාරවත් පොල් ගස් තුනක් ඇත. පිරිසිදු ඔප්පු.ප්රසිද්ද පාසල්, කැම්පස්, සුපිරි වෙළෙඳ සැල්, දුම්රියපොල, P&S, මීගොඩ ආර්ථික මද්යස්ථානයආදී පහසුකම් ආසන්නයේ ඇත. වැඩි විස්තර සඳහා අමතන්න.Land with House for Sale at High Level Road  Galagedara – PadukkaJust 2 minute walk from High Level roadFeatures15.5 perch landRecently renovated house with Bedrooms -03, Bathroom -1(New), Large Living room, Kitchen, House about 2000 ft2, Packing space, Boundary wall and steel Gate, Access road, Calm & peaceful neighborhood. Railway station and all urban facilities are nearby. 15 to 20 minute drive from Kottawa – Highway exitPrice- Rs. 6,500,000 (negotiable)",High Level Road  Galagedara – Padukka,Residential,15.5 perches
8,Land for Sale in Padukka,22 Jul 11:30 am,"Padukka, Colombo","1,320,000",land in padukka - arakawilapipe born water3 phaseelectricitynear colombo bus road,padukka,Residential,10.0 perches
9,Land in For Sale - Watareka,20 Jul 11:24 pm,"Padukka, Colombo","135,000","Residential land for sale in Watareka-Madulawa, Diamond City3 phase electricityPipe borne water20-30ft roads300m to the bus-stop3Km to Watareka rail station6Km to Godagama - Highlevel road4Km to Mahinda Rajapakshe National School4Km to NSBM Green University",Watareka - Madulawa (Diamond City),Residential,10.0 perches
10,Land for Sale in Padukka,20 Jul  1:59 pm,"Padukka, Colombo","1,320,000",300m to colombo - ingiriya bus rdpipe born water3 phase electricityclear deed,padukka,Residential,10.0 perches
